变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{151=5;gold=50000},{151=14;gold=50000},{151=18;gold=50000},{151=22;gold=50000},{151=26;gold=50000},{151=30;gold=50000},{151=35;gold=50000},{151=40;gold=50000}
43,{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000},{151=206;gold=139000}
44,{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000},{151=214;gold=142000}
45,{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000},{151=222;gold=145000}
46,{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000},{151=230;gold=148000}
47,{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000},{151=238;gold=151000}
48,{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000},{151=246;gold=154000}
49,{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000},{151=254;gold=157000}
50,{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000},{151=262;gold=160000}
51,{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000},{151=270;gold=163000}
52,{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000},{151=278;gold=166000}
53,{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000},{151=286;gold=169000}
54,{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000},{151=294;gold=172000}
55,{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000},{151=302;gold=175000}
56,{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000},{151=310;gold=178000}
57,{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000},{151=318;gold=181000}
58,{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000},{151=326;gold=184000}
59,{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000},{151=334;gold=187000}
60,{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000},{151=342;gold=190000}
61,{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000},{151=350;gold=193000}
62,{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000},{151=358;gold=196000}
63,{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000},{151=366;gold=199000}
64,{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000},{151=374;gold=202000}
65,{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000},{151=382;gold=205000}
66,{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000},{151=390;gold=208000}
67,{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000},{151=398;gold=211000}
68,{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000},{151=406;gold=214000}
69,{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000},{151=414;gold=217000}
70,{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000},{151=422;gold=220000}
71,{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000},{151=430;gold=223000}
72,{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000},{151=438;gold=226000}
73,{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000},{151=446;gold=229000}
74,{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000},{151=454;gold=232000}
75,{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000},{151=462;gold=235000}
76,{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000},{151=470;gold=238000}
77,{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000},{151=478;gold=241000}
78,{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000},{151=486;gold=244000}
79,{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000},{151=494;gold=247000}
80,{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000},{151=502;gold=250000}
81,{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000},{151=510;gold=253000}
82,{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000},{151=518;gold=256000}
83,{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000},{151=526;gold=259000}
84,{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000},{151=534;gold=262000}
85,{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000},{151=542;gold=265000}
86,{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000},{151=550;gold=268000}
87,{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000},{151=558;gold=271000}
88,{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000},{151=566;gold=274000}
89,{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000},{151=574;gold=277000}
90,{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000},{151=582;gold=280000}
91,{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000},{151=590;gold=283000}
92,{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000},{151=598;gold=286000}
93,{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000},{151=606;gold=289000}
94,{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000},{151=614;gold=292000}
95,{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000},{151=622;gold=295000}
96,{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000},{151=630;gold=298000}
97,{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000},{151=638;gold=301000}
98,{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000},{151=646;gold=304000}
99,{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000}
100,{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000},{151=654;gold=307000}
101,{151=662;gold=310000},{151=662;gold=310000},{151=662;gold=310000},{151=662;gold=310000},{151=662;gold=310000},{151=662;gold=310000},{151=662;gold=310000},{151=662;gold=310000}
102,{151=670;gold=313000},{151=670;gold=313000},{151=670;gold=313000},{151=670;gold=313000},{151=670;gold=313000},{151=670;gold=313000},{151=670;gold=313000},{151=670;gold=313000}
103,{151=678;gold=316000},{151=678;gold=316000},{151=678;gold=316000},{151=678;gold=316000},{151=678;gold=316000},{151=678;gold=316000},{151=678;gold=316000},{151=678;gold=316000}
104,{151=686;gold=319000},{151=686;gold=319000},{151=686;gold=319000},{151=686;gold=319000},{151=686;gold=319000},{151=686;gold=319000},{151=686;gold=319000},{151=686;gold=319000}
105,{151=694;gold=322000},{151=694;gold=322000},{151=694;gold=322000},{151=694;gold=322000},{151=694;gold=322000},{151=694;gold=322000},{151=694;gold=322000},{151=694;gold=322000}
106,{151=702;gold=325000},{151=702;gold=325000},{151=702;gold=325000},{151=702;gold=325000},{151=702;gold=325000},{151=702;gold=325000},{151=702;gold=325000},{151=702;gold=325000}
107,{151=710;gold=328000},{151=710;gold=328000},{151=710;gold=328000},{151=710;gold=328000},{151=710;gold=328000},{151=710;gold=328000},{151=710;gold=328000},{151=710;gold=328000}
108,{151=718;gold=331000},{151=718;gold=331000},{151=718;gold=331000},{151=718;gold=331000},{151=718;gold=331000},{151=718;gold=331000},{151=718;gold=331000},{151=718;gold=331000}
109,{151=726;gold=334000},{151=726;gold=334000},{151=726;gold=334000},{151=726;gold=334000},{151=726;gold=334000},{151=726;gold=334000},{151=726;gold=334000},{151=726;gold=334000}
110,{151=734;gold=337000},{151=734;gold=337000},{151=734;gold=337000},{151=734;gold=337000},{151=734;gold=337000},{151=734;gold=337000},{151=734;gold=337000},{151=734;gold=337000}
111,{151=742;gold=340000},{151=742;gold=340000},{151=742;gold=340000},{151=742;gold=340000},{151=742;gold=340000},{151=742;gold=340000},{151=742;gold=340000},{151=742;gold=340000}
112,{151=750;gold=343000},{151=750;gold=343000},{151=750;gold=343000},{151=750;gold=343000},{151=750;gold=343000},{151=750;gold=343000},{151=750;gold=343000},{151=750;gold=343000}
113,{151=758;gold=346000},{151=758;gold=346000},{151=758;gold=346000},{151=758;gold=346000},{151=758;gold=346000},{151=758;gold=346000},{151=758;gold=346000},{151=758;gold=346000}
114,{151=766;gold=349000},{151=766;gold=349000},{151=766;gold=349000},{151=766;gold=349000},{151=766;gold=349000},{151=766;gold=349000},{151=766;gold=349000},{151=766;gold=349000}
115,{151=774;gold=352000},{151=774;gold=352000},{151=774;gold=352000},{151=774;gold=352000},{151=774;gold=352000},{151=774;gold=352000},{151=774;gold=352000},{151=774;gold=352000}
116,{151=782;gold=355000},{151=782;gold=355000},{151=782;gold=355000},{151=782;gold=355000},{151=782;gold=355000},{151=782;gold=355000},{151=782;gold=355000},{151=782;gold=355000}
117,{151=790;gold=358000},{151=790;gold=358000},{151=790;gold=358000},{151=790;gold=358000},{151=790;gold=358000},{151=790;gold=358000},{151=790;gold=358000},{151=790;gold=358000}
118,{151=798;gold=361000},{151=798;gold=361000},{151=798;gold=361000},{151=798;gold=361000},{151=798;gold=361000},{151=798;gold=361000},{151=798;gold=361000},{151=798;gold=361000}
119,{151=806;gold=364000},{151=806;gold=364000},{151=806;gold=364000},{151=806;gold=364000},{151=806;gold=364000},{151=806;gold=364000},{151=806;gold=364000},{151=806;gold=364000}
120,{151=814;gold=367000},{151=814;gold=367000},{151=814;gold=367000},{151=814;gold=367000},{151=814;gold=367000},{151=814;gold=367000},{151=814;gold=367000},{151=814;gold=367000}
121,{151=822;gold=370000},{151=822;gold=370000},{151=822;gold=370000},{151=822;gold=370000},{151=822;gold=370000},{151=822;gold=370000},{151=822;gold=370000},{151=822;gold=370000}
122,{151=830;gold=373000},{151=830;gold=373000},{151=830;gold=373000},{151=830;gold=373000},{151=830;gold=373000},{151=830;gold=373000},{151=830;gold=373000},{151=830;gold=373000}
123,{151=838;gold=376000},{151=838;gold=376000},{151=838;gold=376000},{151=838;gold=376000},{151=838;gold=376000},{151=838;gold=376000},{151=838;gold=376000},{151=838;gold=376000}
124,{151=846;gold=379000},{151=846;gold=379000},{151=846;gold=379000},{151=846;gold=379000},{151=846;gold=379000},{151=846;gold=379000},{151=846;gold=379000},{151=846;gold=379000}
125,{151=854;gold=382000},{151=854;gold=382000},{151=854;gold=382000},{151=854;gold=382000},{151=854;gold=382000},{151=854;gold=382000},{151=854;gold=382000},{151=854;gold=382000}
126,{151=862;gold=385000},{151=862;gold=385000},{151=862;gold=385000},{151=862;gold=385000},{151=862;gold=385000},{151=862;gold=385000},{151=862;gold=385000},{151=862;gold=385000}
127,{151=870;gold=388000},{151=870;gold=388000},{151=870;gold=388000},{151=870;gold=388000},{151=870;gold=388000},{151=870;gold=388000},{151=870;gold=388000},{151=870;gold=388000}
128,{151=878;gold=391000},{151=878;gold=391000},{151=878;gold=391000},{151=878;gold=391000},{151=878;gold=391000},{151=878;gold=391000},{151=878;gold=391000},{151=878;gold=391000}
129,{151=886;gold=394000},{151=886;gold=394000},{151=886;gold=394000},{151=886;gold=394000},{151=886;gold=394000},{151=886;gold=394000},{151=886;gold=394000},{151=886;gold=394000}
130,{151=894;gold=397000},{151=894;gold=397000},{151=894;gold=397000},{151=894;gold=397000},{151=894;gold=397000},{151=894;gold=397000},{151=894;gold=397000},{151=894;gold=397000}
131,{151=902;gold=400000},{151=902;gold=400000},{151=902;gold=400000},{151=902;gold=400000},{151=902;gold=400000},{151=902;gold=400000},{151=902;gold=400000},{151=902;gold=400000}
132,{151=910;gold=403000},{151=910;gold=403000},{151=910;gold=403000},{151=910;gold=403000},{151=910;gold=403000},{151=910;gold=403000},{151=910;gold=403000},{151=910;gold=403000}
133,{151=918;gold=406000},{151=918;gold=406000},{151=918;gold=406000},{151=918;gold=406000},{151=918;gold=406000},{151=918;gold=406000},{151=918;gold=406000},{151=918;gold=406000}
134,{151=926;gold=409000},{151=926;gold=409000},{151=926;gold=409000},{151=926;gold=409000},{151=926;gold=409000},{151=926;gold=409000},{151=926;gold=409000},{151=926;gold=409000}
135,{151=934;gold=412000},{151=934;gold=412000},{151=934;gold=412000},{151=934;gold=412000},{151=934;gold=412000},{151=934;gold=412000},{151=934;gold=412000},{151=934;gold=412000}
136,{151=942;gold=415000},{151=942;gold=415000},{151=942;gold=415000},{151=942;gold=415000},{151=942;gold=415000},{151=942;gold=415000},{151=942;gold=415000},{151=942;gold=415000}
137,{151=950;gold=418000},{151=950;gold=418000},{151=950;gold=418000},{151=950;gold=418000},{151=950;gold=418000},{151=950;gold=418000},{151=950;gold=418000},{151=950;gold=418000}
138,{151=958;gold=421000},{151=958;gold=421000},{151=958;gold=421000},{151=958;gold=421000},{151=958;gold=421000},{151=958;gold=421000},{151=958;gold=421000},{151=958;gold=421000}
139,{151=966;gold=424000},{151=966;gold=424000},{151=966;gold=424000},{151=966;gold=424000},{151=966;gold=424000},{151=966;gold=424000},{151=966;gold=424000},{151=966;gold=424000}
140,{151=974;gold=427000},{151=974;gold=427000},{151=974;gold=427000},{151=974;gold=427000},{151=974;gold=427000},{151=974;gold=427000},{151=974;gold=427000},{151=974;gold=427000}
141,{151=982;gold=430000},{151=982;gold=430000},{151=982;gold=430000},{151=982;gold=430000},{151=982;gold=430000},{151=982;gold=430000},{151=982;gold=430000},{151=982;gold=430000}
142,{151=990;gold=433000},{151=990;gold=433000},{151=990;gold=433000},{151=990;gold=433000},{151=990;gold=433000},{151=990;gold=433000},{151=990;gold=433000},{151=990;gold=433000}
143,{151=998;gold=436000},{151=998;gold=436000},{151=998;gold=436000},{151=998;gold=436000},{151=998;gold=436000},{151=998;gold=436000},{151=998;gold=436000},{151=998;gold=436000}
144,{151=1006;gold=439000},{151=1006;gold=439000},{151=1006;gold=439000},{151=1006;gold=439000},{151=1006;gold=439000},{151=1006;gold=439000},{151=1006;gold=439000},{151=1006;gold=439000}
145,{151=1014;gold=442000},{151=1014;gold=442000},{151=1014;gold=442000},{151=1014;gold=442000},{151=1014;gold=442000},{151=1014;gold=442000},{151=1014;gold=442000},{151=1014;gold=442000}
146,{151=1022;gold=445000},{151=1022;gold=445000},{151=1022;gold=445000},{151=1022;gold=445000},{151=1022;gold=445000},{151=1022;gold=445000},{151=1022;gold=445000},{151=1022;gold=445000}
147,{151=1030;gold=448000},{151=1030;gold=448000},{151=1030;gold=448000},{151=1030;gold=448000},{151=1030;gold=448000},{151=1030;gold=448000},{151=1030;gold=448000},{151=1030;gold=448000}
148,{151=1038;gold=451000},{151=1038;gold=451000},{151=1038;gold=451000},{151=1038;gold=451000},{151=1038;gold=451000},{151=1038;gold=451000},{151=1038;gold=451000},{151=1038;gold=451000}
149,{151=1046;gold=454000},{151=1046;gold=454000},{151=1046;gold=454000},{151=1046;gold=454000},{151=1046;gold=454000},{151=1046;gold=454000},{151=1046;gold=454000},{151=1046;gold=454000}
