变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_beizhu,type,activeType,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath
1009,双防强化,雙防強化,SP.DEF and P.DEF Enhancement,Tăng cường SP.DEF và P.DEF,SP.DEF 및 P.DEF 강화,Reforço de SP.DEF e P.DEF,เพิ่มพลังป้องกัน SP.DEF และ P.DEF,,1,1,该玩法内己方前排双防提升10%,此玩法中我方前排雙防提升10%,"In this gameplay, the front row ally's SP.DEF and P.DEF are increased by 10%","Trong chế độ chơi này, khả năng phòng thủ vật lý và phép thuật của hàng trước đồng minh tăng 10%",이 게임 플레이에서 아군 전열의 SP.DEF 및 P.DEF가 10% 증가합니다.,"Neste modo de jogo, a SP.DEF e a P.DEF da linha da frente aliada são aumentadas em 10%",ในโหมดการเล่นนี้ พลังป้องกันทั้งกายภาพและเวทมนตร์ของแนวหน้าฝ่ายเราเพิ่มขึ้น 10%,1,1,{10=10%;9=10%},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1010,免伤强化,免傷強化,Damage Reduction Enhancement,Tăng cường giảm sát thương,피해 감소 강화,Aprimoramento de Redução de Dano,การเสริมสร้างการลดความเสียหาย,,1,1,该玩法内己方前排伤害减免提升10%,此玩法中我方前排傷害減免提升10％,"In this gameplay, damage reduction for the front row of the ally team is increased by 10%","Trong chế độ chơi này, giảm sát thương cho hàng trước của phe mình được tăng lên 10%",이 플레이 방식에서 아군 전열의 피해 감소가 10% 증가합니다.,"Neste modo de jogo, a redução de dano para a linha da frente do seu time é aumentada em 10%",ในโหมดการเล่นนี้ การลดความเสียหายของแนวหน้าฝ่ายตัวเองเพิ่มขึ้น 10%,1,1,{23=1000},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1011,抗暴强化,抗暴強化,Critical Resistance Enhancement,Tăng cường kháng chí mạng,크리티컬 저항 강화,Reforço de Resistência a Golpes Críticos,การเสริมสร้างความต้านทานคริติคอล,,1,1,该玩法内己方前排抗爆率提升10%,此玩法中我方前排抗爆率提升10%。,"In this gameplay, the front row's critical hit resistance is increased by 10%.","Trong chế độ chơi này, khả năng kháng chí mạng của hàng trước của phe mình tăng lên 10%.",이 플레이 방식에서 아군 전열의 치명타 저항력이 10% 증가합니다.,"Neste modo de jogo, a resistência a golpes críticos da linha da frente aliada aumenta em 10%.",ในโหมดการเล่นนี้ ความต้านทานการโจมตีวิกฤตของแถวหน้าฝ่ายเราเพิ่มขึ้น 10%,1,1,{16=1000},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1012,必杀抗性强化,必殺抗性強化,Ultimate Skill Resistance Enhancement,Tăng cường sức đề kháng kỹ năng chí mạng,필살기 저항 강화,Fortalecimento da Resistência a Habilidades Fatais,เสริมความแข็งแกร่งต่อสกิล必殺技,,1,1,该玩法内己方前排必杀抗性提升10%,此玩法中我方前排必殺抗性提升10％,"In this gameplay, the front row's ultimate resistance is increased by 10%","Trong chế độ chơi này, khả năng kháng chiêu cuối của hàng trước của phe mình tăng 10%",이 게임 플레이에서 아군 전열의 궁극기 저항력이 10% 증가합니다.,"Neste modo de jogo, a resistência a ataques finais da linha da frente aliada é aumentada em 10%",ในโหมดการเล่นนี้ ความต้านทานสกิลไม้ตายของแนวหน้าฝ่ายเราเพิ่มขึ้น 10%,1,1,{25=1000},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1013,双防强化(强),雙防強化(強),SP.DEF and P.DEF Enhancement (Strong),Tăng cường phòng thủ (Mạnh),방어력 강화(강),Reforço de Defesa (Forte),เสริมเกราะป้องกัน (แข็งแกร่ง),,1,1,该玩法内己方前排双防提升20%,此玩法中我方前排雙防提升20％,"In this gameplay, the front row ally's SP.DEF and P.DEF are increased by 20%.","Trong chế độ chơi này, khả năng phòng thủ vật lý và phép thuật của hàng trước bên ta tăng 20%.",이 게임 플레이에서 아군 전열의 SP.DEF와 P.ATK가 20% 증가합니다.,"Neste modo de jogo, a SP.DEF e a P.DEF da linha da frente aliada são aumentadas em 20%.",ในรูปแบบการเล่นนี้ การป้องกันทั้งทางกายภาพและเวทย์มนตร์ของแนวหน้าฝ่ายเราจะเพิ่มขึ้น 20%,1,2,{10=20%;9=20%},1,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1014,免伤强化(强),免傷強化(強),Damage Reduction Enhancement (Strong),Tăng cường giảm sát thương (Mạnh),피해 감소 강화 (강),Reforço de Redução de Dano (Forte),การเสริมสร้างการลดความเสียหาย (แข็งแกร่ง),,1,1,该玩法内己方前排伤害减免提升20%,此玩法中我方前排傷害減免提升20%,"In this gameplay, damage reduction for the front row of the ally team is increased by 20%","Trong chế độ chơi này, giảm sát thương cho hàng trước của phe ta tăng 20%",이 게임 플레이에서 아군 전열의 피해 감소가 20% 증가합니다.,"Neste modo de jogo, a redução de dano para a linha da frente do seu time é aumentada em 20%",ในโหมดการเล่นนี้ การลดความเสียหายของแนวหน้าฝ่ายเราเพิ่มขึ้น 20%,1,2,{23=2000},1,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1015,抗暴强化(强),抗暴強化（強）,Critical Resistance Enhancement (Strong),Tăng cường Kháng chí mạng (Mạnh),크리티컬 저항 강화 (강),Reforço de Resistência a Acertos Críticos (Forte),การเสริมความแข็งแกร่งต่อการโจมตีวิกฤต (แข็งแกร่ง),,1,1,该玩法内己方前排抗爆率提升20%,此玩法中我方前排抗爆率提升20%。,"In this gameplay, the front row's critical hit resistance is increased by 20%.","Trong lối chơi này, khả năng kháng chí mạng của hàng trước tăng 20%.",이 플레이 방식에서 아군 전열의 크리티컬 저항이 20% 증가합니다.,"Neste modo de jogo, a resistência a golpes críticos da linha da frente aliada é aumentada em 20%.",ในรูปแบบการเล่นนี้ ความต้านทานคริติคอลของแถวหน้าฝ่ายเราเพิ่มขึ้น 20%,1,2,{16=2000},1,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1016,必杀抗性强化(强),必殺抗性強化（強）,Ultimate Resistance Enhancement (Strong),Tăng cường sức đề kháng tuyệt chiêu (Mạnh),필살기 저항 강화(강),Reforço de Resistência a Ataques Fatais (Forte),การเสริมความแข็งแกร่งต่อสกิล必殺技 (แข็งแกร่ง),,1,1,该玩法内己方前排必杀抗性提升20%,此玩法中我方前排必殺抗性提升20%。,"In this gameplay, the front row of the ally team has a 20% increase in ultimate resistance.","Trong chế độ chơi này, hàng trước của phe ta có khả năng kháng chiêu cuối tăng 20%.",이 플레이 방식에서 아군 전열의 필살기 저항력이 20% 증가합니다.,"Neste modo de jogo, a resistência a habilidades definitivas da linha de frente aliada aumenta em 20%.",ในโหมดการเล่นนี้ ฝ่ายเราแถวหน้าได้รับการเพิ่มความต้านทานสกิลไม้ตาย 20%,1,2,{25=2000},1,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2001,攻击强化,攻擊強化,Attack Enhancement,Tăng cường tấn công,공격 강화,Aprimoramento de Ataque,การเพิ่มพลังโจมตี,,1,1,该玩法内己方后排双攻提升10%,此玩法中我方後排雙攻提升10%。,"In this gameplay, the ally back row's P.ATK and SP.ATK are increased by 10%.","Trong chế độ chơi này, P.ATK và SP.ATK của hàng sau bên ta được tăng 10%.",이 게임 플레이에서 아군 후열의 P.ATK와 SP.ATK가 10% 증가합니다.,"Neste modo de jogo, o P.ATK e o SP.ATK da retaguarda aliada são aumentados em 10%.",ในโหมดการเล่นนี้ การโจมตีปกติ (P.ATK) และการโจมตีพิเศษ (SP.ATK) ของแถวหลังฝ่ายเราจะเพิ่มขึ้น 10%,1,2001,{7=10%;8=10%},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2002,必杀强化,必殺技強化,Ultimate Skill Enhancement,Tăng cường kỹ năng chí mạng,필살기 강화,Aprimoramento de Habilidade Suprema,การเสริมพลังท่าไม้ตาย,,1,1,该玩法内己方后排必杀伤害加成10%,此玩法中我方後排必殺技傷害提升10%。,"In this gameplay, the damage of my back row's ultimate skill is increased by 10%.","Trong chế độ chơi này, sát thương chiêu cuối của hàng sau bên ta được tăng 10%.",이 게임 플레이에서 아군 후열의 필살기 데미지가 10% 증가합니다.,"Neste modo de jogo, o dano do golpe final da retaguarda aliada é aumentado em 10%.",ในรูปแบบการเล่นนี้ ความเสียหายท่าไม้ตายของแถวหลังฝ่ายเราจะเพิ่มขึ้น 10%,1,2001,{24=1000},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2003,免伤强化,免傷強化,Damage Reduction Enhancement,Tăng cường giảm sát thương,피해 감소 강화,Aprimoramento de redução de dano,การเสริมสร้างการลดความเสียหาย,,1,1,该玩法内己方前排伤害减免提升10%,此玩法中我方前排傷害減免提升10%,"In this gameplay, the damage reduction of the ally front row is increased by 10%.","Trong chế độ chơi này, giảm sát thương cho hàng trước của phe mình tăng 10%.",이 게임 플레이에서 아군 전열의 피해 감소가 10% 증가합니다.,"Neste modo de jogo, a redução de dano da linha de frente aliada é aumentada em 10%.",ในโหมดการเล่นนี้ การลดความเสียหายของแนวหน้าฝ่ายเราเพิ่มขึ้น 10%,1,2001,{23=1000},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2004,双防强化(强),雙防強化(強),SP.DEF and P.DEF enhancement (strong),Tăng cường phòng thủ (mạnh),SP.DEF 및 P.DEF 강화(강),Reforço de SP.DEF e P.DEF (forte),การเสริมสร้างพลังป้องกัน SP.DEF และ P.DEF (แข็งแกร่ง),,1,1,该玩法内己方前排双防提升20%,此玩法中我方前排雙防提升20％,"In this gameplay, the front row ally's SP.DEF and P.DEF are increased by 20%","Trong chế độ chơi này, khả năng phòng thủ vật lý và phép thuật của hàng trước đồng minh tăng 20%",이 게임 플레이에서 아군 전열의 SP.DEF 및 P.DEF가 20% 증가합니다.,"Neste modo de jogo, a SP.DEF e a P.DEF da linha da frente aliada são aumentadas em 20%",ในรูปแบบการเล่นนี้ การป้องกันทั้งกายภาพและเวทย์มนตร์ของแนวหน้าฝ่ายเราจะเพิ่มขึ้น 20%,1,2001,{10=20%;9=20%},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2005,吸血强化,吸血強化,Lifesteal Enhancement,Tăng cường hút máu,흡혈 강화,Aprimoramento de Roubo de Vida,การเสริมพลังดูดเลือด,,1,1,该玩法内己方全体吸血率提升5%,此玩法中我方全体吸血率提升5%。,"In this gameplay, all allies' lifesteal is increased by 5%.","Trong chế độ chơi này, tỷ lệ hút máu của toàn bộ đồng minh tăng 5%.",이 플레이 방식에서 아군 전체의 흡혈률이 5% 증가합니다.,"Neste modo de jogo, o roubo de vida de todos os aliados é aumentado em 5%.",ในโหมดการเล่นนี้ อัตราการดูดเลือดของฝ่ายเราทั้งหมดเพิ่มขึ้น 5%,1,2001,{26=500},3,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2006,回怒强化,回怒強化,Rage Enhancement,Tăng cường giận dữ,분노 강화,Aprimoramento da Fúria,การเพิ่มพลังแห่งความโกรธ,,1,1,该玩法内己方全体回怒速度提升5%,此玩法中我方全體怒氣恢復速度提升5%,"In this gameplay, the rage recovery speed of all allies is increased by 5%.","Trong chế độ chơi này, tốc độ hồi phục nội năng của toàn bộ đồng minh tăng 5%.",이 게임 플레이에서 모든 아군의 분노 회복 속도가 5% 증가합니다.,"Neste modo de jogo, a velocidade de recuperação de fúria de todos os aliados é aumentada em 5%.",ในโหมดการเล่นนี้ ความเร็วในการฟื้นฟูพลังโกรธของฝ่ายเราทั้งหมดเพิ่มขึ้น 5%,1,2001,{5=500},3,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fz.png
2007,攻击强化,攻擊強化,Attack Enhancement,Tăng cường tấn công,공격 강화,Aprimoramento de Ataque,การเสริมพลังโจมตี,,1,1,该玩法内己方后排双攻提升10%,此玩法中我方後排雙攻提升10％,"In this gameplay, ally back row's P.ATK and SP.ATK are increased by 10%","Trong chế độ chơi này, P.ATK và SP.ATK của hàng sau phe ta tăng 10%",이 게임 플레이에서 아군 후열의 P.ATK와 SP.ATK가 10% 증가합니다.,"Neste modo de jogo, o P.ATK e o SP.ATK da retaguarda aliada aumentam 10%",ในโหมดการเล่นนี้ การโจมตีปกติ (P.ATK) และการโจมตีพิเศษ (SP.ATK) ของแนวหลังฝ่ายเราจะเพิ่มขึ้น 10%,1,2001,{7=10%;8=10%},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2008,必杀强化,必殺技強化,Ultimate Skill Enhancement,Tăng cường kỹ năng chí mạng,필살기 강화,Aprimoramento de Habilidade Suprema,การเสริมพลังท่าไม้ตาย,,1,1,该玩法内己方后排必杀伤害加成10%,此玩法中我方後排必殺技傷害增加10%。,"In this gameplay, the damage of ultimate skills from the ally's back row is increased by 10%.","Trong chế độ chơi này, sát thương chí mạng của hàng sau bên ta được tăng 10%.",이 플레이 방식에서 아군 후열의 필살기 데미지가 10% 증가합니다.,"Neste modo de jogo, o dano de habilidades definitivas da retaguarda aliada é aumentado em 10%.",ในโหมดการเล่นนี้ ความเสียหายท่าไม้ตายของแถวหลังฝ่ายเราจะเพิ่มขึ้น 10%,1,2001,{24=1000},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2009,免伤强化,免傷強化,Damage Reduction Enhancement,Tăng cường giảm sát thương,피해 감소 강화,Aprimoramento de Redução de Dano,การเสริมสร้างการลดความเสียหาย,,1,1,该玩法内己方前排伤害减免提升10%,此玩法中我方前排傷害減免提升10%,"In this gameplay, damage reduction for our front row is increased by 10%","Trong chế độ chơi này, giảm sát thương cho hàng trước của ta tăng 10%",이 게임 플레이에서 아군 전열의 피해 감소가 10% 증가합니다.,"Neste modo de jogo, a redução de dano para nossa linha da frente é aumentada em 10%",ในโหมดการเล่นนี้ การลดความเสียหายสำหรับแถวหน้าของเราเพิ่มขึ้น 10%,1,2001,{23=1000},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2010,双防强化(强),雙防強化(強),SP.DEF and P.DEF enhancement (strong),Tăng cường SP.DEF và P.DEF (mạnh),SP.DEF 및 P.DEF 강화(강),Reforço de SP.DEF e P.DEF (forte),เสริมความแข็งแกร่ง SP.DEF และ P.DEF (สูง),,1,1,该玩法内己方前排双防提升20%,此玩法中我方前排雙防提升20%,"In this gameplay, the front row ally's SP.DEF and P.DEF are increased by 20%","Trong chế độ chơi này, khả năng phòng thủ vật lý và phép thuật của hàng trước bên ta tăng 20%",이 플레이 방식에서 아군 전열의 SP.DEF와 P.ATK가 20% 증가합니다.,"Neste modo de jogo, a SP.DEF e a P.DEF da linha da frente aliada são aumentadas em 20%",ในโหมดการเล่นนี้ การป้องกันทางกายภาพและเวทย์มนตร์ของแนวหน้าฝ่ายเราเพิ่มขึ้น 20%,1,2001,{10=20%;9=20%},1,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2011,吸血强化,吸血強化,Lifesteal Enhancement,Tăng cường hút máu,흡혈 강화,Aprimoramento de Roubo de Vida,เพิ่มพลังดูดเลือด,,1,1,该玩法内己方全体吸血率提升5%,此玩法中我方全体吸血率提升5%。,"In this gameplay, all allies' lifesteal is increased by 5%.","Trong chế độ chơi này, tỷ lệ hút máu của toàn bộ đồng minh tăng lên 5%.",이 플레이 방식에서는 아군 전체의 흡혈률이 5% 증가합니다.,"Neste modo de jogo, o lifesteal de todos os aliados é aumentado em 5%.",ในรูปแบบการเล่นนี้ อัตราการดูดเลือดของฝ่ายเราทั้งหมดจะเพิ่มขึ้น 5%,1,2001,{26=500},3,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2012,回怒强化,回怒強化,Rage Enhancement,Tăng cường Phẫn nộ,분노 강화,Aprimoramento da Fúria,เพิ่มพลังความเดือดดาล,,1,1,该玩法内己方全体回怒速度提升5%,此玩法中我方全體怒氣恢復速度提升5%。,"In this gameplay, the rage recovery speed of all allies is increased by 5%.","Trong lối chơi này, tốc độ hồi phục nội năng của toàn bộ đồng minh được tăng lên 5%.",이 게임 플레이에서 아군 전체의 분노 회복 속도가 5% 증가합니다.,"Neste modo de jogo, a velocidade de recuperação de fúria de todos os aliados é aumentada em 5%.",ในโหมดการเล่นนี้ ความเร็วการฟื้นฟูพลังโกรธของฝ่ายพันธมิตรทั้งหมดจะเพิ่มขึ้น 5%,1,2001,{5=500},3,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3001,控制强化,控制強化,Control Enhancement,Tăng cường Kiểm soát,제어 강화,Aprimoramento de Controle,การเพิ่มประสิทธิภาพการควบคุม,,1,1,该玩法内己方全体控制率提升5%,此玩法中我方全體控制率提升5%。,"In this gameplay, the control rate of all allies is increased by 5%.","Trong chế độ chơi này, tỷ lệ khống chế của toàn bộ đồng minh tăng 5%.",이 게임 플레이에서 아군 전체의 제어율이 5% 증가합니다.,"Neste modo de jogo, a taxa de controle de todos os aliados é aumentada em 5%.",ในโหมดการเล่นนี้ อัตราการควบคุมของฝ่ายเราทั้งหมดเพิ่มขึ้น 5%,1,3,{90=500},3,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_kz.png
3002,反弹强化,反彈強化,Reflect Enhancement,Tăng cường phản xạ,반사 강화,Reforço de Reflexo,การเสริมสร้างการสะท้อน,,1,1,该玩法内己方全体反弹率提升5%,此玩法中我方全體反彈率提升5%。,"In this gameplay, the reflection rate of all allies is increased by 5%.","Trong chế độ chơi này, tỷ lệ phản xạ của tất cả đồng minh tăng 5%.",이 플레이 방식에서 아군 전체의 반사율이 5% 증가합니다.,"Neste modo de jogo, a taxa de reflexão de todos os aliados é aumentada em 5%.",ในโหมดการเล่นนี้ อัตราการสะท้อนของฝ่ายเราทั้งหมดเพิ่มขึ้น 5%,1,3,{27=500},3,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3003,吸血强化,吸血強化,Lifesteal Enhancement,Tăng cường hút máu,흡혈 강화,Aprimoramento de Roubo de Vida,เพิ่มพลังดูดเลือด,,1,1,该玩法内己方全体吸血率提升5%,此玩法中我方全体吸血率提升5%。,"In this gameplay, all allies' lifesteal rate is increased by 5%.","Trong chế độ chơi này, tỷ lệ hút máu của toàn bộ đồng minh tăng 5%.",이 게임 플레이에서 아군 전체의 흡혈률이 5% 증가합니다.,"Neste modo de jogo, a taxa de roubo de vida de todos os aliados é aumentada em 5%.",ในโหมดการเล่นนี้ อัตราการดูดเลือดของฝ่ายฉันทั้งหมดเพิ่มขึ้น 5%,1,3,{26=500},3,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
3004,治疗强化,治療強化,Healing Enhancement,Tăng cường hồi máu,힐링 강화,Aprimoramento de Cura,การเพิ่มพลังการรักษา,,1,1,该玩法内己方全体治疗效果提升5%,此玩法中我方全體治療效果提升5%。,"In this gameplay, the healing effect of all allies is increased by 5%.","Trong chế độ chơi này, hiệu ứng hồi máu của toàn bộ đồng minh tăng 5%.",이 게임 플레이에서 아군 전체의 치유 효과가 5% 증가합니다.,"Neste modo de jogo, o efeito de cura de todos os aliados é aumentado em 5%.",ในโหมดการเล่นนี้ ผลการรักษาของฝ่ายเราทั้งหมดเพิ่มขึ้น 5%,1,3,{28=500},3,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_jx.png
