变量名,suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitName_pt,suitName_th,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
71,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,2,2,,1,3%,7,2%,8,2%
72,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,4,2,66036,,,,,,
73,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,2,3,,1,4%,7,3%,8,3%
74,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,4,3,66037,,,,,,
75,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,2,4,,1,5%,7,4%,8,4%
76,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,4,4,66038,,,,,,
77,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,2,5,,1,7.50%,7,5%,8,5%
78,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,4,5,66039,,,,,,
79,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,2,6,,1,9%,7,6%,8,6%
80,8,恐惧,恐懼,Fear,Sợ Hãi,공포,Temer,กลัว,config/chip/suit/img_kz_2_00.png,4,6,66040,,,,,,
81,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,2,2,,1,3%,7,2%,8,2%
82,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,4,2,66041,,,,,,
83,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,2,3,,1,4%,7,3%,8,3%
84,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,4,3,66042,,,,,,
85,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,2,4,,1,5%,7,4%,8,4%
86,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,4,4,66043,,,,,,
87,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,2,5,,1,7.50%,7,5%,8,5%
88,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,4,5,66044,,,,,,
89,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,2,6,,1,9%,7,6%,8,6%
90,9,献祭,獻祭,Sacrifice,Hiến Tế,희생,Sacrifício,เสียสละ,config/chip/suit/img_kz_3_00.png,4,6,66045,,,,,,
