变量名,firstMonters,repeatMonters,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,monsterDesc,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax
9,<119>,<119;19>,第9关,第9關,Level 9,Cấp 9,9단계,Nível 9,ด่านที่ 9,,迈向最强之路,邁向最強之路,On the path to the strongest,Trên con đường trở thành mạnh nhất,최강의 길로 나아가다,Rumo ao mais forte,มุ่งสู่เส้นทางที่แข็งแกร่งที่สุด,stage/znq.csv,1.18,1.18,1.18,1.18,9,{5000=30;520=2;6393=10;452=80},{gold=50000},{},500,500
10,<120>,<120;20>,第10关,第10關,Level 10,Cấp 10,10단계,Nível 10,ด่านที่ 10,,友谊象征：最初的精灵,友誼象徵：最初的精靈,Symbol of friendship: The first Pokémon,Biểu tượng tình bạn: Pokémon đầu tiên,우정의 상징: 최초의 포켓몬,Símbolo da amizade: O primeiro Pokémon,สัญลักษณ์แห่งมิตรภาพ: โปเกมอนตัวแรก,stage/znq.csv,1.31,1.31,1.31,1.31,10,{850=120;973=1;6393=10;930=30},{gold=50000},{},500,500
11,<121>,<121;21>,第11关,第11關,Level 11,Cấp 11,11단계,Nível 11,ด่านที่ 11,,最后的战斗,最後的戰鬥,The final battle,Trận chiến cuối cùng,마지막 전투,A batalha final,การต่อสู้ครั้งสุดท้าย,stage/znq.csv,1.35,1.35,1.35,1.35,11,{2415=1;521=3;6393=30;rmb=188},{gold=50000},{2415=1;521=3;6393=30;rmb=188},500,500
101,<111>,<111;11>,第1关,第1關,Level 1,Cấp 1,1단계,Nível 1,ด่านที่ 1,,就决定是你了,就決定是你了,"It’s decided, it’s you",Chính là bạn rồi,바로 너로 정했다,É você,ฉันเลือกเธอแล้ว,stage/znq.csv,0.6,0.6,0.6,0.6,1,{talent_point=1;gold=100000;5000=50},{gold=50000},{},500,500
102,<112>,<112;12>,第2关,第2關,Level 2,Cấp 2,2단계,Nível 2,ด่านที่ 2,,欢迎来到研究基地,歡迎來到研究基地,Welcome to the research base,Chào mừng đến căn cứ nghiên cứu,연구기지에 오신 것을 환영합니다,Bem-vindo à base de pesquisa,ยินดีต้อนรับสู่ฐานวิจัย,stage/znq.csv,0.66,0.66,0.66,0.66,2,{502=1;930=50;gold=100000},{gold=50000},{},500,500
103,<113>,<113;13>,第3关,第3關,Level 3,Cấp 3,3단계,Nível 3,ด่านที่ 3,,暴风雪中会遇到什么呢,暴風雪中會遇到什麼呢,What will you encounter in the blizzard?,Sẽ gặp gì trong cơn bão tuyết?,눈보라 속에서 무엇을 만날까?,O que você encontrará na tempestade de neve?,จะเจออะไรในพายุหิมะนะ,stage/znq.csv,0.73,0.73,0.73,0.73,3,{talent_point=1;951=10;gold=100000},{gold=50000},{},500,500
104,<114>,<114;14>,第4关,第4關,Level 4,Cấp 4,4단계,Nível 4,ด่านที่ 4,,彩虹的彼端,彩虹的彼端,Beyond the rainbow,Phía cuối cầu vồng,무지개의 저편,Do outro lado do arco-íris,ปลายสายรุ้ง,stage/znq.csv,0.85,0.85,0.85,0.85,4,{502=1;gold=100000;452=50},{gold=50000},{},500,500
105,<115>,<115;15>,第5关,第5關,Level 5,Cấp 5,5단계,Nível 5,ด่านที่ 5,,变身对战,變身對戰,Transformation battle,Chiến đấu biến hình,변신 배틀,Batalha de transformação,การต่อสู้เปลี่ยนร่าง,stage/znq.csv,0.97,0.97,0.97,0.97,5,{talent_point=1;gold=100000;stamina=100},{gold=50000},{},500,500
106,<116>,<116;16>,第6关,第6關,Level 6,Cấp 6,6단계,Nível 6,ด่านที่ 6,,皮卡丘之歌,皮卡丘之歌,Pikachu’s song,Bài hát của Pikachu,피카츄의 노래,Canção do Pikachu,เพลงของปิกาจู,stage/znq.csv,1.09,1.09,1.09,1.09,6,{502=1;501=1;gold=100000},{gold=50000},{},500,500
107,<117>,<117;17>,第7关,第7關,Level 7,Cấp 7,7단계,Nível 7,ด่านที่ 7,,超梦，我就在这里,超夢，我就在這裡,"Mewtwo, I’m right here","Mewtwo, tôi đang ở đây","뮤츠, 나는 여기 있어","Mewtwo, estou aqui",มิวทู ฉันอยู่ตรงนี้,stage/znq.csv,1.24,1.24,1.24,1.24,7,{talent_point=1;4000=200;gold=100000},{gold=50000},{},500,500
108,<118>,<118;18>,第8关,第8關,Level 8,Cấp 8,8단계,Nível 8,ด่านที่ 8,,来自异世界的勇者,來自異世界的勇者,Hero from another world,Anh hùng từ thế giới khác,이세계에서 온 용사,Herói de outro mundo,วีรบุรุษจากต่างโลก,stage/znq.csv,1.39,1.39,1.39,1.39,8,{529=1000;502=1;gold=100000},{gold=50000},{},500,500
109,<119>,<119;19>,第9关,第9關,Level 9,Cấp 9,9단계,Nível 9,ด่านที่ 9,,迈向最强之路,邁向最強之路,On the path to the strongest,Trên con đường trở thành mạnh nhất,최강의 길로 나아가다,Rumo ao mais forte,มุ่งสู่เส้นทางที่แข็งแกร่งที่สุด,stage/znq.csv,1.56,1.56,1.56,1.56,9,{talent_point=1;111=200;gold=100000},{gold=50000},{},500,500
110,<120>,<120;20>,第10关,第10關,Level 10,Cấp 10,10단계,Nível 10,ด่านที่ 10,,友谊象征：最初的精灵,友誼象徵：最初的精靈,Symbol of friendship: The first Pokémon,Biểu tượng tình bạn: Pokémon đầu tiên,우정의 상징: 최초의 포켓몬,Símbolo da amizade: O primeiro Pokémon,สัญลักษณ์แห่งมิตรภาพ: โปเกมอนตัวแรก,stage/znq.csv,1.73,1.73,1.73,1.73,10,{502=1;gold=100000;527=2},{gold=50000},{},500,500
111,<121>,<121;21>,第11关,第11關,Level 11,Cấp 11,11단계,Nível 11,ด่านที่ 11,,最后的战斗,最後的戰鬥,The final battle,Trận chiến cuối cùng,마지막 전투,A batalha final,การต่อสู้ครั้งสุดท้าย,stage/znq.csv,1.79,1.79,1.79,1.79,11,{521=1;501=1;gold=100000},{gold=50000},{},500,500
201,<111>,<111;11>,第1关,第1關,Level 1,Cấp 1,1단계,Nível 1,ด่านที่ 1,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,0.69,0.69,0.69,0.69,1,{talent_point=1;gold=100000;5000=50},{gold=50000},{},500,500
202,<112>,<112;12>,第2关,第2關,Level 2,Cấp 2,2단계,Nível 2,ด่านที่ 2,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,0.76,0.76,0.76,0.76,2,{502=1;930=50;gold=100000},{gold=50000},{},500,500
203,<113>,<113;13>,第3关,第3關,Level 3,Cấp 3,3단계,Nível 3,ด่านที่ 3,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,0.84,0.84,0.84,0.84,3,{talent_point=1;951=10;gold=100000},{gold=50000},{},500,500
204,<114>,<114;14>,第4关,第4關,Level 4,Cấp 4,4단계,Nível 4,ด่านที่ 4,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,0.98,0.98,0.98,0.98,4,{502=1;gold=100000;452=50},{gold=50000},{},500,500
205,<115>,<115;15>,第5关,第5關,Level 5,Cấp 5,5단계,Nível 5,ด่านที่ 5,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,1.12,1.12,1.12,1.12,5,{talent_point=1;gold=100000;stamina=100},{gold=50000},{},500,500
206,<116>,<116;16>,第6关,第6關,Level 6,Cấp 6,6단계,Nível 6,ด่านที่ 6,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,1.25,1.25,1.25,1.25,6,{502=1;501=1;gold=100000},{gold=50000},{},500,500
207,<117>,<117;17>,第7关,第7關,Level 7,Cấp 7,7단계,Nível 7,ด่านที่ 7,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,1.43,1.43,1.43,1.43,7,{talent_point=1;4000=200;gold=100000},{gold=50000},{},500,500
208,<118>,<118;18>,第8关,第8關,Level 8,Cấp 8,8단계,Nível 8,ด่านที่ 8,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,1.6,1.6,1.6,1.6,8,{529=1000;502=1;gold=100000},{gold=50000},{},500,500
209,<119>,<119;19>,第9关,第9關,Level 9,Cấp 9,9단계,Nível 9,ด่านที่ 9,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,1.79,1.79,1.79,1.79,9,{talent_point=1;111=200;gold=100000},{gold=50000},{},500,500
210,<120>,<120;20>,第10关,第10關,Level 10,Cấp 10,10단계,Nível 10,ด่านที่ 10,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,1.99,1.99,1.99,1.99,10,{502=1;gold=100000;527=2},{gold=50000},{},500,500
211,<121>,<121;21>,第11关,第11關,Level 11,Cấp 11,11단계,Nível 11,ด่านที่ 11,,幻之宝可梦集结,幻之寶可夢集結,Gathering of mythical Pokémon,Tập hợp Pokémon huyền thoại,전설의 포켓몬 집결,Reunião dos Pokémon lendários,การรวมตัวโปเกมอนในตำนาน,stage/znq.csv,2.06,2.06,2.06,2.06,11,{521=1;501=1;gold=100000},{gold=50000},{},500,500
301,<111>,<111;11>,第1关,第1關,Level 1,Cấp 1,1단계,Nível 1,ด่านที่ 1,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,0.69,0.69,0.69,0.69,1,{talent_point=1;gold=100000;5000=50},{gold=50000},{},500,500
302,<112>,<112;12>,第2关,第2關,Level 2,Cấp 2,2단계,Nível 2,ด่านที่ 2,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,0.76,0.76,0.76,0.76,2,{502=1;930=50;gold=100000},{gold=50000},{},500,500
303,<113>,<113;13>,第3关,第3關,Level 3,Cấp 3,3단계,Nível 3,ด่านที่ 3,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,0.84,0.84,0.84,0.84,3,{talent_point=1;951=10;gold=100000},{gold=50000},{},500,500
304,<114>,<114;14>,第4关,第4關,Level 4,Cấp 4,4단계,Nível 4,ด่านที่ 4,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,0.98,0.98,0.98,0.98,4,{502=1;gold=100000;452=50},{gold=50000},{},500,500
305,<115>,<115;15>,第5关,第5關,Level 5,Cấp 5,5단계,Nível 5,ด่านที่ 5,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,1.12,1.12,1.12,1.12,5,{talent_point=1;gold=100000;stamina=100},{gold=50000},{},500,500
306,<116>,<116;16>,第6关,第6關,Level 6,Cấp 6,6단계,Nível 6,ด่านที่ 6,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,1.25,1.25,1.25,1.25,6,{502=1;501=1;gold=100000},{gold=50000},{},500,500
307,<117>,<117;17>,第7关,第7關,Level 7,Cấp 7,7단계,Nível 7,ด่านที่ 7,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,1.43,1.43,1.43,1.43,7,{talent_point=1;4000=200;gold=100000},{gold=50000},{},500,500
308,<118>,<118;18>,第8关,第8關,Level 8,Cấp 8,8단계,Nível 8,ด่านที่ 8,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,1.6,1.6,1.6,1.6,8,{529=1000;502=1;gold=100000},{gold=50000},{},500,500
309,<119>,<119;19>,第9关,第9關,Level 9,Cấp 9,9단계,Nível 9,ด่านที่ 9,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,1.79,1.79,1.79,1.79,9,{talent_point=1;111=200;gold=100000},{gold=50000},{},500,500
310,<120>,<120;20>,第10关,第10關,Level 10,Cấp 10,10단계,Nível 10,ด่านที่ 10,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,1.99,1.99,1.99,1.99,10,{502=1;gold=100000;527=2},{gold=50000},{},500,500
311,<121>,<121;21>,第11关,第11關,Level 11,Cấp 11,11단계,Nível 11,ด่านที่ 11,,龙族集结,龍族集結,Gathering of dragons,Tập hợp rồng,용족 집결,Reunião dos dragões,การรวมตัวมังกร,stage/znq.csv,2.06,2.06,2.06,2.06,11,{521=1;501=1;gold=100000},{gold=50000},{},500,500
401,<111>,<111;11>,第1关,第1關,Level 1,Cấp 1,1단계,Nível 1,ด่านที่ 1,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,0.69,0.69,0.69,0.69,1,{talent_point=1;gold=100000;5000=50},{gold=50000},{},500,500
402,<112>,<112;12>,第2关,第2關,Level 2,Cấp 2,2단계,Nível 2,ด่านที่ 2,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,0.76,0.76,0.76,0.76,2,{502=1;930=50;gold=100000},{gold=50000},{},500,500
403,<113>,<113;13>,第3关,第3關,Level 3,Cấp 3,3단계,Nível 3,ด่านที่ 3,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,0.84,0.84,0.84,0.84,3,{talent_point=1;951=10;gold=100000},{gold=50000},{},500,500
404,<114>,<114;14>,第4关,第4關,Level 4,Cấp 4,4단계,Nível 4,ด่านที่ 4,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,0.98,0.98,0.98,0.98,4,{502=1;gold=100000;452=50},{gold=50000},{},500,500
405,<115>,<115;15>,第5关,第5關,Level 5,Cấp 5,5단계,Nível 5,ด่านที่ 5,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,1.12,1.12,1.12,1.12,5,{talent_point=1;gold=100000;stamina=100},{gold=50000},{},500,500
406,<116>,<116;16>,第6关,第6關,Level 6,Cấp 6,6단계,Nível 6,ด่านที่ 6,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,1.25,1.25,1.25,1.25,6,{502=1;501=1;gold=100000},{gold=50000},{},500,500
407,<117>,<117;17>,第7关,第7關,Level 7,Cấp 7,7단계,Nível 7,ด่านที่ 7,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,1.43,1.43,1.43,1.43,7,{talent_point=1;4000=200;gold=100000},{gold=50000},{},500,500
408,<118>,<118;18>,第8关,第8關,Level 8,Cấp 8,8단계,Nível 8,ด่านที่ 8,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,1.6,1.6,1.6,1.6,8,{529=1000;502=1;gold=100000},{gold=50000},{},500,500
409,<119>,<119;19>,第9关,第9關,Level 9,Cấp 9,9단계,Nível 9,ด่านที่ 9,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,1.79,1.79,1.79,1.79,9,{talent_point=1;111=200;gold=100000},{gold=50000},{},500,500
410,<120>,<120;20>,第10关,第10關,Level 10,Cấp 10,10단계,Nível 10,ด่านที่ 10,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,1.99,1.99,1.99,1.99,10,{502=1;gold=100000;527=2},{gold=50000},{},500,500
411,<121>,<121;21>,第11关,第11關,Level 11,Cấp 11,11단계,Nível 11,ด่านที่ 11,,斗战集结,鬥戰集結,Gathering of fighters,Tập hợp chiến binh,전투 집결,Reunião dos guerreiros,การรวมตัวนักสู้,stage/znq.csv,2.06,2.06,2.06,2.06,11,{521=1;501=1;gold=100000},{gold=50000},{},500,500
