变量名,_beizhu,cardID,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,groupID,starUnlock,addAttributes,unlockdesc1,unlockdesc1_tw,unlockdesc1_en,unlockdesc1_vn,unlockdesc1_kr,unlockdesc1_pt,unlockdesc1_th,unlockdesc2,unlockdesc2_tw,unlockdesc2_en,unlockdesc2_vn,unlockdesc2_kr,unlockdesc2_pt,unlockdesc2_th,unlockType,unlockTarget,lock,rarity,level,star,advance,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,zawake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
10593,,593,电击魔兽,電擊獸,Manectric,Manectric,마네킹,Manectric,แมเน็กทริค,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10761,,761,超梦,超夢,Mewtwo,Mewtwo,뮤츠,Mewtwo,Mewtwo,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,挑战完成【超梦，我就在这里】副本后极大概率解锁,挑戰完成【超夢，我就在這裡】副本後極大概率解鎖,"Completing the 【Mewtwo, I'm right here】 dungeon has a very high chance of unlocking","Hoàn thành phụ bản 【Mewtwo, tôi ở đây】 có xác suất rất cao mở khóa","【뮤츠, 바로 여기 있어】던전을 완료하면 매우 높은 확률로 잠금 해제됩니다.","Completar a masmorra 【Mewtwo, estou aqui】 tem uma chance muito alta de desbloquear","การจบดันเจี้ยน 【Mewtwo, ฉันอยู่ตรงนี้】 มีโอกาสสูงมากที่จะปลดล็อค",恭喜解锁超梦，你已经超过20%的玩家,恭喜解鎖超夢，你已經超過20%的玩家！,Congratulations on unlocking Mewtwo! You've surpassed 20% of players.,Chúc mừng đã mở khóa Mewtwo! Bạn đã vượt qua 20% người chơi.,뮤츠 해금 축하합니다! 20% 이상의 플레이어를 넘어섰습니다.,Parabéns por desbloquear Mewtwo! Você superou 20% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อก Mewtwo! คุณได้แซงหน้าผู้เล่นกว่า 20% แล้ว,4,17,1,4,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,<cn>
10783,,783,大竺葵,大蜀葵,Hollyhock,Hoa dâm bụt,접시꽃,Malva-rosa,ชบา,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10793,,793,火暴兽,火暴獸,Blazing Beast,Thú Hoang Hỏa,불꽃 짐승,Besta Flamejante,อสูรกายเพลิง,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10803,,803,大力鳄,大力鱷,Feraligatr,Feraligatr,강철포,Feraligatr,เฟอราลิแกเตอร์,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10893,,893,玛力露丽,瑪力露麗,Marill,Marill,마릴,Marill,มาริลล์,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,1,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11253,,1253,班基拉斯,班基拉斯,Houndoom,Houndoom,헌드룸,Houndoom,ฮาวน์ดูม,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11271,,1271,凤王,鳳王,Phoenix King,Vua Phượng Hoàng,불새왕,Rei Fênix,ราชาฟีนิกซ์,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,玩法周期内累计认输6次后解锁,玩法週期內累計認輸6次後解鎖,Unlocks after accumulating 6 surrenders within a gameplay cycle.,Mở khóa sau khi tích lũy 6 lần đầu hàng trong một chu kỳ chơi.,게임 플레이 주기 내에 6번 항복 누적 시 해제됩니다.,Desbloqueia após acumular 6 rendições dentro de um ciclo de jogo.,ปลดล็อกหลังจากสะสมการยอมแพ้ 6 ครั้งภายในรอบการเล่น,恭喜解锁凤王，你已经超过30%的玩家,恭喜解鎖鳳王，您已超越 30% 的玩家！,Congratulations on unlocking Ho-Oh! You've surpassed 30% of players.,Chúc mừng đã mở khóa Ho-Oh! Bạn đã vượt qua 30% người chơi.,鳳王 해금 축하드립니다! 30% 이상의 플레이어를 능가했습니다.,Parabéns por desbloquear Ho-Oh! Você superou 30% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อก Ho-Oh! คุณได้แซงหน้าผู้เล่นไปแล้ว 30%,2,6,1,4,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,<cn>
11293,,1293,蜥蜴王,蜥蜴王,Lizard King,Vua Thằn Lằn,도마뱀 왕,Rei Lagarto,ราชาจิ้งจก,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11303,,1303,火焰鸡,火焰雞,Blaziken,Blaziken,번치코,Blaziken,บลาซิเคน,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11313,,1313,巨沼怪,巨沼怪,Swamp Thing,Quái vật đầm lầy,늪괴물,Coisa do Pântano,สัตว์ประหลาดหนองบึง,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11443,,1443,爆音怪,爆音怪,Booming Monster,Quái vật âm thanh bùng nổ,굉음 괴물,Monstro estrondoso,สัตว์ประหลาดเสียงดังสนั่น,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11503,,1503,波士可多拉,波士可多拉,Boskadora,Boskadora,보스카도라,Boskadora,บอสคาโดรา,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11893,,1893,暴飞龙,暴飛龍,暴飞龙 (Pinyin: Bàofēilóng),Bạo Phi Long,폭풍룡 (Ppokpungnyong),Bao Feilong,เปาเฟยหลง,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11903,,1903,巨金怪,巨金怪,Regigigas,Regigigas,레지기가스,Regigigas,เรจิกิแกส,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
11941,,1941,拉帝亚斯,拉帝亞斯,Latias,Latios,라티아스,Latias,ลาติอัส,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,获得徽章【合体之谜I】后解锁,獲得徽章【合體之謎I】後解鎖,Unlocks after obtaining the badge 【Mystery of Fusion I】,Mở khóa sau khi nhận được huy hiệu 【Bí Ẩn Hợp Thể I】,배지 【합체의 수수께끼 I】 획득 후 해제,Desbloqueia após obter o distintivo 【Mistério da Fusão I】,ปลดล็อกหลังจากได้รับตรา 【ปริศนาแห่งการรวมร่าง I】,恭喜解锁拉帝亚斯，你已经超过70%的玩家,恭喜解鎖拉帝亞斯，你已經超過70%的玩家！,Congratulations on unlocking Latias! You've surpassed 70% of players.,Chúc mừng bạn đã mở khóa Latias! Bạn đã vượt qua 70% người chơi.,라티아스 해금 축하드립니다! 70% 이상의 플레이어를 능가했습니다.,Parabéns por desbloquear Latias! Você superou 70% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อกลาเทียส! คุณทำได้ดีกว่าผู้เล่น 70% แล้ว,3,5101,1,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,<cn>
11951,,1951,拉帝欧斯,拉帝歐斯,Latios,Latios,라티오스,Latios,ลาติออส,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,获得徽章【合体之谜II】后解锁,獲得徽章【合體之謎II】後解鎖,Unlocks after obtaining the badge 【Mystery of Fusion II】,Mở khóa sau khi nhận được huy hiệu 【Bí Ẩn Hợp Thể II】,【합체의 수수께끼 II】 배지를 획득한 후 해제,Desbloqueia após obter o distintivo 【Mistério da Fusão II】,ปลดล็อกหลังจากได้รับตราสัญลักษณ์ 【ปริศนาแห่งการรวมร่าง II】,恭喜解锁拉帝欧斯，你已经超过70%的玩家,恭喜解鎖拉帝歐斯，你已經超過70%的玩家！,Congratulations on unlocking Latios! You've surpassed 70% of players.,Chúc mừng đã mở khóa Latios! Bạn đã vượt qua 70% người chơi.,라티오스 해금 축하합니다! 70% 이상의 플레이어를 능가했습니다.,Parabéns por desbloquear Latios! Você superou 70% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อคลาติออส! คุณทำได้ดีกว่าผู้เล่น 70% แล้ว,3,5102,1,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,<cn>
11971,,1971,固拉多,固拉多,Groudon,Groudon,가이오가,Groudon,Groudon,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,获得徽章【大地之怒】后解锁,獲得徽章【大地之怒】後解鎖,Unlocked after obtaining the badge [Earth's Fury],Mở khóa sau khi nhận được huy hiệu [Nộ Hỏa Đại Địa],배지 [대지의 분노] 획득 후 해제,Desbloqueado após obter o distintivo [Fúria da Terra],ปลดล็อคหลังจากได้รับตรา [พลังแห่งแผ่นดิน],恭喜解锁固拉多，你已经超过90%的玩家,恭喜解鎖固拉多，你已經超過90%的玩家！,Congratulations on unlocking Groudon! You've surpassed 90% of players.,Chúc mừng đã mở khóa Groudon! Bạn đã vượt qua 90% người chơi.,그라돈 해금 축하합니다! 90% 이상의 플레이어를 뛰어넘었습니다.,Parabéns por desbloquear Groudon! Você superou 90% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อก Groudon! คุณได้แซงหน้าผู้เล่นไปแล้วกว่า 90% ,3,5103,1,4,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,200%,200%,200%,200%,200%,200%,,,,,,,2000,2000,500,500,,,,,<cn>
11981,,1981,裂空座,裂空座,Rayquaza,Rayquaza,레쿠쟈,Rayquaza,เรย์ควาซา,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,挑战完成【迈向最强之路】副本后极大概率解锁,挑戰完成【邁向最強之路】副本後極大概率解鎖,High chance of unlocking after completing the 【Road to the Strongest】 dungeon.,Cơ hội rất cao để mở khóa sau khi hoàn thành phụ bản 【Con đường đến mạnh nhất】.,【최강의 길】던전을 완료하면 매우 높은 확률로 잠금 해제됩니다.,Alta probabilidade de desbloquear após completar a masmorra 【Caminho para o Mais Forte】.,โอกาสสูงมากที่จะปลดล็อกหลังจากเคลียร์ดันเจี้ยน 【เส้นทางสู่ความแข็งแกร่ง】,恭喜解锁裂空座，你已经超过30%的玩家,恭喜解鎖裂空座，你已經超過30%的玩家,Congratulations on unlocking Rayquaza! You've surpassed 30% of players.,Chúc mừng đã mở khóa Rayquaza! Bạn đã vượt qua 30% người chơi.,레이쿠아자 해금 축하합니다! 30% 이상의 플레이어를 넘어섰습니다.,Parabéns por desbloquear Rayquaza! Você superou 30% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อกเรย์ควาซ่า! คุณได้แซงหน้าผู้เล่นไปแล้วกว่า 30%.,4,19,1,4,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,<cn>
12013,,2013,土台龟,土台龜,Earth Tortoise,Rùa Đất,대지 거북,Tartaruga da Terra,เต่าดิน,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
12033,,2033,帝王拿波,帝王拿波,Emperor Nappa,Đế Vương Nappa,황제 나파,Imperador Nappa,จักรพรรดินัปปา,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
12242,,2242,路卡利欧,路卡利歐,Lucario,Lucario,루카리오,Lucario,ลูคาริโอ,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
12351,,2351,帝牙卢卡,帝牙盧卡,Dialga,Dialga,디아루가,Dialga,ไดอัลก้า,2,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,玩法周期内累计招募1次帝牙卢卡后解锁,玩法週期內累計招募1次帝牙盧卡後解鎖,Unlocks after recruiting Dialga once during the gameplay cycle.,Mở khóa sau khi chiêu mộ Dialga một lần trong chu kỳ chơi.,플레이 기간 동안 디아루가를 한 번 모집한 후 잠금 해제됩니다.,Desbloqueia após recrutar Dialga uma vez durante o ciclo de jogo.,ปลดล็อกหลังจากสรรหาไดอัลกาได้ 1 ครั้งในรอบการเล่น,恭喜解锁帝牙卢卡，你已经超过60%的玩家,恭喜解鎖帝牙盧卡，你已經超過60%的玩家！,Congratulations on unlocking Dialga! You've surpassed 60% of players.,Chúc mừng đã mở khóa Dialga! Bạn đã vượt qua 60% người chơi.,디아루가 해금 축하합니다! 60% 이상의 플레이어를 넘어섰습니다.,Parabéns por desbloquear Dialga! Você superou 60% dos jogadores.,ขอแสดงความยินดีที่ปลดล็อคไดอัลกา คุณได้เอาชนะผู้เล่นมากกว่า 60% แล้ว,1,22351,1,4,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,<cn>
