变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{},{},{},{},{},{},{},{}
等级,消耗1,消耗2,消耗3,消耗4,消耗5,消耗6,消耗7,消耗8
19,{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400}
20,{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400},{gold=5100000;152=400}
21,{gold=5400000;152=420},{gold=5400000;152=420},{gold=5400000;152=420},{gold=5400000;152=420},{gold=5400000;152=420},{gold=5400000;152=420},{gold=5400000;152=420},{gold=5400000;152=420}
22,{gold=5700000;152=440},{gold=5700000;152=440},{gold=5700000;152=440},{gold=5700000;152=440},{gold=5700000;152=440},{gold=5700000;152=440},{gold=5700000;152=440},{gold=5700000;152=440}
23,{gold=6000000;152=460},{gold=6000000;152=460},{gold=6000000;152=460},{gold=6000000;152=460},{gold=6000000;152=460},{gold=6000000;152=460},{gold=6000000;152=460},{gold=6000000;152=460}
24,{gold=6300000;152=480},{gold=6300000;152=480},{gold=6300000;152=480},{gold=6300000;152=480},{gold=6300000;152=480},{gold=6300000;152=480},{gold=6300000;152=480},{gold=6300000;152=480}
25,{gold=6600000;152=500},{gold=6600000;152=500},{gold=6600000;152=500},{gold=6600000;152=500},{gold=6600000;152=500},{gold=6600000;152=500},{gold=6600000;152=500},{gold=6600000;152=500}
26,{gold=6900000;152=520},{gold=6900000;152=520},{gold=6900000;152=520},{gold=6900000;152=520},{gold=6900000;152=520},{gold=6900000;152=520},{gold=6900000;152=520},{gold=6900000;152=520}
27,{gold=7200000;152=540},{gold=7200000;152=540},{gold=7200000;152=540},{gold=7200000;152=540},{gold=7200000;152=540},{gold=7200000;152=540},{gold=7200000;152=540},{gold=7200000;152=540}
28,{gold=7500000;152=560},{gold=7500000;152=560},{gold=7500000;152=560},{gold=7500000;152=560},{gold=7500000;152=560},{gold=7500000;152=560},{gold=7500000;152=560},{gold=7500000;152=560}
29,{gold=7800000;152=580},{gold=7800000;152=580},{gold=7800000;152=580},{gold=7800000;152=580},{gold=7800000;152=580},{gold=7800000;152=580},{gold=7800000;152=580},{gold=7800000;152=580}
30,{gold=8100000;152=600},{gold=8100000;152=600},{gold=8100000;152=600},{gold=8100000;152=600},{gold=8100000;152=600},{gold=8100000;152=600},{gold=8100000;152=600},{gold=8100000;152=600}
31,{gold=8400000;152=620},{gold=8400000;152=620},{gold=8400000;152=620},{gold=8400000;152=620},{gold=8400000;152=620},{gold=8400000;152=620},{gold=8400000;152=620},{gold=8400000;152=620}
32,{gold=8700000;152=640},{gold=8700000;152=640},{gold=8700000;152=640},{gold=8700000;152=640},{gold=8700000;152=640},{gold=8700000;152=640},{gold=8700000;152=640},{gold=8700000;152=640}
33,{gold=9000000;152=660},{gold=9000000;152=660},{gold=9000000;152=660},{gold=9000000;152=660},{gold=9000000;152=660},{gold=9000000;152=660},{gold=9000000;152=660},{gold=9000000;152=660}
34,{gold=9300000;152=680},{gold=9300000;152=680},{gold=9300000;152=680},{gold=9300000;152=680},{gold=9300000;152=680},{gold=9300000;152=680},{gold=9300000;152=680},{gold=9300000;152=680}
35,{gold=9600000;152=700},{gold=9600000;152=700},{gold=9600000;152=700},{gold=9600000;152=700},{gold=9600000;152=700},{gold=9600000;152=700},{gold=9600000;152=700},{gold=9600000;152=700}
36,{gold=9900000;152=720},{gold=9900000;152=720},{gold=9900000;152=720},{gold=9900000;152=720},{gold=9900000;152=720},{gold=9900000;152=720},{gold=9900000;152=720},{gold=9900000;152=720}
37,{gold=10200000;152=740},{gold=10200000;152=740},{gold=10200000;152=740},{gold=10200000;152=740},{gold=10200000;152=740},{gold=10200000;152=740},{gold=10200000;152=740},{gold=10200000;152=740}
38,{gold=10500000;152=760},{gold=10500000;152=760},{gold=10500000;152=760},{gold=10500000;152=760},{gold=10500000;152=760},{gold=10500000;152=760},{gold=10500000;152=760},{gold=10500000;152=760}
39,{gold=10800000;152=780},{gold=10800000;152=780},{gold=10800000;152=780},{gold=10800000;152=780},{gold=10800000;152=780},{gold=10800000;152=780},{gold=10800000;152=780},{gold=10800000;152=780}
40,{gold=11100000;152=800},{gold=11100000;152=800},{gold=11100000;152=800},{gold=11100000;152=800},{gold=11100000;152=800},{gold=11100000;152=800},{gold=11100000;152=800},{gold=11100000;152=800}
41,{gold=11400000;152=820},{gold=11400000;152=820},{gold=11400000;152=820},{gold=11400000;152=820},{gold=11400000;152=820},{gold=11400000;152=820},{gold=11400000;152=820},{gold=11400000;152=820}
42,{gold=11700000;152=840},{gold=11700000;152=840},{gold=11700000;152=840},{gold=11700000;152=840},{gold=11700000;152=840},{gold=11700000;152=840},{gold=11700000;152=840},{gold=11700000;152=840}
43,{gold=12000000;152=860},{gold=12000000;152=860},{gold=12000000;152=860},{gold=12000000;152=860},{gold=12000000;152=860},{gold=12000000;152=860},{gold=12000000;152=860},{gold=12000000;152=860}
44,{gold=12300000;152=880},{gold=12300000;152=880},{gold=12300000;152=880},{gold=12300000;152=880},{gold=12300000;152=880},{gold=12300000;152=880},{gold=12300000;152=880},{gold=12300000;152=880}
45,{gold=12600000;152=900},{gold=12600000;152=900},{gold=12600000;152=900},{gold=12600000;152=900},{gold=12600000;152=900},{gold=12600000;152=900},{gold=12600000;152=900},{gold=12600000;152=900}
46,{gold=12900000;152=920},{gold=12900000;152=920},{gold=12900000;152=920},{gold=12900000;152=920},{gold=12900000;152=920},{gold=12900000;152=920},{gold=12900000;152=920},{gold=12900000;152=920}
47,{gold=13200000;152=940},{gold=13200000;152=940},{gold=13200000;152=940},{gold=13200000;152=940},{gold=13200000;152=940},{gold=13200000;152=940},{gold=13200000;152=940},{gold=13200000;152=940}
48,{gold=13500000;152=960},{gold=13500000;152=960},{gold=13500000;152=960},{gold=13500000;152=960},{gold=13500000;152=960},{gold=13500000;152=960},{gold=13500000;152=960},{gold=13500000;152=960}
49,{gold=13800000;152=980},{gold=13800000;152=980},{gold=13800000;152=980},{gold=13800000;152=980},{gold=13800000;152=980},{gold=13800000;152=980},{gold=13800000;152=980},{gold=13800000;152=980}
50,{gold=14100000;152=1000},{gold=14100000;152=1000},{gold=14100000;152=1000},{gold=14100000;152=1000},{gold=14100000;152=1000},{gold=14100000;152=1000},{gold=14100000;152=1000},{gold=14100000;152=1000}
51,{gold=14400000;152=1020},{gold=14400000;152=1020},{gold=14400000;152=1020},{gold=14400000;152=1020},{gold=14400000;152=1020},{gold=14400000;152=1020},{gold=14400000;152=1020},{gold=14400000;152=1020}
52,{gold=14700000;152=1040},{gold=14700000;152=1040},{gold=14700000;152=1040},{gold=14700000;152=1040},{gold=14700000;152=1040},{gold=14700000;152=1040},{gold=14700000;152=1040},{gold=14700000;152=1040}
53,{gold=15000000;152=1060},{gold=15000000;152=1060},{gold=15000000;152=1060},{gold=15000000;152=1060},{gold=15000000;152=1060},{gold=15000000;152=1060},{gold=15000000;152=1060},{gold=15000000;152=1060}
54,{gold=15300000;152=1080},{gold=15300000;152=1080},{gold=15300000;152=1080},{gold=15300000;152=1080},{gold=15300000;152=1080},{gold=15300000;152=1080},{gold=15300000;152=1080},{gold=15300000;152=1080}
55,{gold=15600000;152=1100},{gold=15600000;152=1100},{gold=15600000;152=1100},{gold=15600000;152=1100},{gold=15600000;152=1100},{gold=15600000;152=1100},{gold=15600000;152=1100},{gold=15600000;152=1100}
56,{gold=15900000;152=1120},{gold=15900000;152=1120},{gold=15900000;152=1120},{gold=15900000;152=1120},{gold=15900000;152=1120},{gold=15900000;152=1120},{gold=15900000;152=1120},{gold=15900000;152=1120}
57,{gold=16200000;152=1140},{gold=16200000;152=1140},{gold=16200000;152=1140},{gold=16200000;152=1140},{gold=16200000;152=1140},{gold=16200000;152=1140},{gold=16200000;152=1140},{gold=16200000;152=1140}
58,{gold=16500000;152=1160},{gold=16500000;152=1160},{gold=16500000;152=1160},{gold=16500000;152=1160},{gold=16500000;152=1160},{gold=16500000;152=1160},{gold=16500000;152=1160},{gold=16500000;152=1160}
59,{gold=16800000;152=1180},{gold=16800000;152=1180},{gold=16800000;152=1180},{gold=16800000;152=1180},{gold=16800000;152=1180},{gold=16800000;152=1180},{gold=16800000;152=1180},{gold=16800000;152=1180}
60,{gold=17100000;152=1200},{gold=17100000;152=1200},{gold=17100000;152=1200},{gold=17100000;152=1200},{gold=17100000;152=1200},{gold=17100000;152=1200},{gold=17100000;152=1200},{gold=17100000;152=1200}
61,{gold=17400000;152=1220},{gold=17400000;152=1220},{gold=17400000;152=1220},{gold=17400000;152=1220},{gold=17400000;152=1220},{gold=17400000;152=1220},{gold=17400000;152=1220},{gold=17400000;152=1220}
62,{gold=17700000;152=1240},{gold=17700000;152=1240},{gold=17700000;152=1240},{gold=17700000;152=1240},{gold=17700000;152=1240},{gold=17700000;152=1240},{gold=17700000;152=1240},{gold=17700000;152=1240}
63,{gold=18000000;152=1260},{gold=18000000;152=1260},{gold=18000000;152=1260},{gold=18000000;152=1260},{gold=18000000;152=1260},{gold=18000000;152=1260},{gold=18000000;152=1260},{gold=18000000;152=1260}
64,{gold=18300000;152=1280},{gold=18300000;152=1280},{gold=18300000;152=1280},{gold=18300000;152=1280},{gold=18300000;152=1280},{gold=18300000;152=1280},{gold=18300000;152=1280},{gold=18300000;152=1280}
65,{gold=18600000;152=1300},{gold=18600000;152=1300},{gold=18600000;152=1300},{gold=18600000;152=1300},{gold=18600000;152=1300},{gold=18600000;152=1300},{gold=18600000;152=1300},{gold=18600000;152=1300}
66,{gold=18900000;152=1320},{gold=18900000;152=1320},{gold=18900000;152=1320},{gold=18900000;152=1320},{gold=18900000;152=1320},{gold=18900000;152=1320},{gold=18900000;152=1320},{gold=18900000;152=1320}
67,{gold=19200000;152=1340},{gold=19200000;152=1340},{gold=19200000;152=1340},{gold=19200000;152=1340},{gold=19200000;152=1340},{gold=19200000;152=1340},{gold=19200000;152=1340},{gold=19200000;152=1340}
68,{gold=19500000;152=1360},{gold=19500000;152=1360},{gold=19500000;152=1360},{gold=19500000;152=1360},{gold=19500000;152=1360},{gold=19500000;152=1360},{gold=19500000;152=1360},{gold=19500000;152=1360}
69,{gold=19800000;152=1380},{gold=19800000;152=1380},{gold=19800000;152=1380},{gold=19800000;152=1380},{gold=19800000;152=1380},{gold=19800000;152=1380},{gold=19800000;152=1380},{gold=19800000;152=1380}
70,{gold=20100000;152=1400},{gold=20100000;152=1400},{gold=20100000;152=1400},{gold=20100000;152=1400},{gold=20100000;152=1400},{gold=20100000;152=1400},{gold=20100000;152=1400},{gold=20100000;152=1400}
71,{gold=20400000;152=1420},{gold=20400000;152=1420},{gold=20400000;152=1420},{gold=20400000;152=1420},{gold=20400000;152=1420},{gold=20400000;152=1420},{gold=20400000;152=1420},{gold=20400000;152=1420}
72,{gold=20700000;152=1440},{gold=20700000;152=1440},{gold=20700000;152=1440},{gold=20700000;152=1440},{gold=20700000;152=1440},{gold=20700000;152=1440},{gold=20700000;152=1440},{gold=20700000;152=1440}
73,{gold=21000000;152=1460},{gold=21000000;152=1460},{gold=21000000;152=1460},{gold=21000000;152=1460},{gold=21000000;152=1460},{gold=21000000;152=1460},{gold=21000000;152=1460},{gold=21000000;152=1460}
74,{gold=21300000;152=1480},{gold=21300000;152=1480},{gold=21300000;152=1480},{gold=21300000;152=1480},{gold=21300000;152=1480},{gold=21300000;152=1480},{gold=21300000;152=1480},{gold=21300000;152=1480}
75,{gold=21600000;152=1500},{gold=21600000;152=1500},{gold=21600000;152=1500},{gold=21600000;152=1500},{gold=21600000;152=1500},{gold=21600000;152=1500},{gold=21600000;152=1500},{gold=21600000;152=1500}
76,{gold=21900000;152=1520},{gold=21900000;152=1520},{gold=21900000;152=1520},{gold=21900000;152=1520},{gold=21900000;152=1520},{gold=21900000;152=1520},{gold=21900000;152=1520},{gold=21900000;152=1520}
77,{gold=22200000;152=1540},{gold=22200000;152=1540},{gold=22200000;152=1540},{gold=22200000;152=1540},{gold=22200000;152=1540},{gold=22200000;152=1540},{gold=22200000;152=1540},{gold=22200000;152=1540}
78,{gold=22500000;152=1560},{gold=22500000;152=1560},{gold=22500000;152=1560},{gold=22500000;152=1560},{gold=22500000;152=1560},{gold=22500000;152=1560},{gold=22500000;152=1560},{gold=22500000;152=1560}
79,{gold=22800000;152=1580},{gold=22800000;152=1580},{gold=22800000;152=1580},{gold=22800000;152=1580},{gold=22800000;152=1580},{gold=22800000;152=1580},{gold=22800000;152=1580},{gold=22800000;152=1580}
80,{gold=23100000;152=1600},{gold=23100000;152=1600},{gold=23100000;152=1600},{gold=23100000;152=1600},{gold=23100000;152=1600},{gold=23100000;152=1600},{gold=23100000;152=1600},{gold=23100000;152=1600}
81,{gold=23400000;152=1620},{gold=23400000;152=1620},{gold=23400000;152=1620},{gold=23400000;152=1620},{gold=23400000;152=1620},{gold=23400000;152=1620},{gold=23400000;152=1620},{gold=23400000;152=1620}
82,{gold=23700000;152=1640},{gold=23700000;152=1640},{gold=23700000;152=1640},{gold=23700000;152=1640},{gold=23700000;152=1640},{gold=23700000;152=1640},{gold=23700000;152=1640},{gold=23700000;152=1640}
83,{gold=24000000;152=1660},{gold=24000000;152=1660},{gold=24000000;152=1660},{gold=24000000;152=1660},{gold=24000000;152=1660},{gold=24000000;152=1660},{gold=24000000;152=1660},{gold=24000000;152=1660}
84,{gold=24300000;152=1680},{gold=24300000;152=1680},{gold=24300000;152=1680},{gold=24300000;152=1680},{gold=24300000;152=1680},{gold=24300000;152=1680},{gold=24300000;152=1680},{gold=24300000;152=1680}
85,{gold=24600000;152=1700},{gold=24600000;152=1700},{gold=24600000;152=1700},{gold=24600000;152=1700},{gold=24600000;152=1700},{gold=24600000;152=1700},{gold=24600000;152=1700},{gold=24600000;152=1700}
86,{gold=24900000;152=1720},{gold=24900000;152=1720},{gold=24900000;152=1720},{gold=24900000;152=1720},{gold=24900000;152=1720},{gold=24900000;152=1720},{gold=24900000;152=1720},{gold=24900000;152=1720}
87,{gold=25200000;152=1740},{gold=25200000;152=1740},{gold=25200000;152=1740},{gold=25200000;152=1740},{gold=25200000;152=1740},{gold=25200000;152=1740},{gold=25200000;152=1740},{gold=25200000;152=1740}
88,{gold=25500000;152=1760},{gold=25500000;152=1760},{gold=25500000;152=1760},{gold=25500000;152=1760},{gold=25500000;152=1760},{gold=25500000;152=1760},{gold=25500000;152=1760},{gold=25500000;152=1760}
89,{gold=25800000;152=1780},{gold=25800000;152=1780},{gold=25800000;152=1780},{gold=25800000;152=1780},{gold=25800000;152=1780},{gold=25800000;152=1780},{gold=25800000;152=1780},{gold=25800000;152=1780}
90,{gold=26100000;152=1800},{gold=26100000;152=1800},{gold=26100000;152=1800},{gold=26100000;152=1800},{gold=26100000;152=1800},{gold=26100000;152=1800},{gold=26100000;152=1800},{gold=26100000;152=1800}
91,{gold=26400000;152=1820},{gold=26400000;152=1820},{gold=26400000;152=1820},{gold=26400000;152=1820},{gold=26400000;152=1820},{gold=26400000;152=1820},{gold=26400000;152=1820},{gold=26400000;152=1820}
92,{gold=26700000;152=1840},{gold=26700000;152=1840},{gold=26700000;152=1840},{gold=26700000;152=1840},{gold=26700000;152=1840},{gold=26700000;152=1840},{gold=26700000;152=1840},{gold=26700000;152=1840}
93,{gold=27000000;152=1860},{gold=27000000;152=1860},{gold=27000000;152=1860},{gold=27000000;152=1860},{gold=27000000;152=1860},{gold=27000000;152=1860},{gold=27000000;152=1860},{gold=27000000;152=1860}
94,{gold=27300000;152=1880},{gold=27300000;152=1880},{gold=27300000;152=1880},{gold=27300000;152=1880},{gold=27300000;152=1880},{gold=27300000;152=1880},{gold=27300000;152=1880},{gold=27300000;152=1880}
95,{gold=27600000;152=1900},{gold=27600000;152=1900},{gold=27600000;152=1900},{gold=27600000;152=1900},{gold=27600000;152=1900},{gold=27600000;152=1900},{gold=27600000;152=1900},{gold=27600000;152=1900}
96,{gold=27900000;152=1920},{gold=27900000;152=1920},{gold=27900000;152=1920},{gold=27900000;152=1920},{gold=27900000;152=1920},{gold=27900000;152=1920},{gold=27900000;152=1920},{gold=27900000;152=1920}
97,{gold=28200000;152=1940},{gold=28200000;152=1940},{gold=28200000;152=1940},{gold=28200000;152=1940},{gold=28200000;152=1940},{gold=28200000;152=1940},{gold=28200000;152=1940},{gold=28200000;152=1940}
98,{gold=28500000;152=1960},{gold=28500000;152=1960},{gold=28500000;152=1960},{gold=28500000;152=1960},{gold=28500000;152=1960},{gold=28500000;152=1960},{gold=28500000;152=1960},{gold=28500000;152=1960}
99,{gold=28800000;152=1980},{gold=28800000;152=1980},{gold=28800000;152=1980},{gold=28800000;152=1980},{gold=28800000;152=1980},{gold=28800000;152=1980},{gold=28800000;152=1980},{gold=28800000;152=1980}
100,{gold=29100000;152=2000},{gold=29100000;152=2000},{gold=29100000;152=2000},{gold=29100000;152=2000},{gold=29100000;152=2000},{gold=29100000;152=2000},{gold=29100000;152=2000},{gold=29100000;152=2000}
