变量名,_beizhu,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,icon1,rDesc,rDesc_tw,rDesc_en,rDesc_vn,rDesc_kr,rDesc_pt,rDesc_th,type,independent,desc,_desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,paramMap,clientParam,huodongID,countType,openType,validServerOpenDateRange,validRoleCreatedDateRange,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,relativeDayRange,openDuration,leastLevel,leastVipLevel,serverDayRange,roleDayRange,servers,languages,active,sortWeight,redpoint
8,资源找回,,8,,,,,Recuperação de Recursos,การดึงข้อมูลทรัพยากร,city/main/icon_thlb.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,41,3,Resource recovery,资源找回,資源找回,Resource recovery,Resource recovery,자원 회수,Recuperação de recursos,การกู้คืนทรัพยากร,{rmbUpd=<1;1.8;2.6>;limit=3;freeProportion=60;dayUpd=<1;1.8;2.6>},{generalTaskNotShowTime=true;limit=3;isShowCountDown=false;dayUpd=<1;1.8;2.6>;isShowTitle=false;rmbUpd=<1;1.8;2.6>;freeProportion=60;topBg=activity/banner_zyhs@.png},22002,1,1,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,20,0,<-1;9999>,<-1;9999>,,,1,4,0
11,月卡,,11,,,,,"4,99 cartão mensal_fixo",บัตรรายเดือน 4.99_คงที่,ICON/yunying/yueka.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,6,3,Monthly Card,月卡,月卡,Monthly Card,Thẻ Tháng,월간 카드,Cartão Mensal,บัตรรายเดือน,{rechargeID=1;award={rmb=1800;521=5;500=3;453=120};privilege=1;title=35;most=3},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,3,1
12,至尊月卡,,12,,,,,"12,99 Cartão Mensal_Fixo",บัตรรายเดือน 12.99 แบบคงที่,ICON/yunying/yueka.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,6,3,Super Monthly Card,至尊月卡,超級月卡,Super Monthly Card,Thẻ Tháng Siêu Cấp,슈퍼 월간 카드,Cartão Mensal Supremo,บัตรรายเดือนสุดยอด,{rechargeID=2;award={rmb=5888;521=10;500=5;19=15};privilege=2;title=36;most=3},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,正式-开服狂欢海报,,20,,,,,Oficial - Cartaz de Abertura do Carnaval,อย่างเป็นทางการ - โปสเตอร์งานคาร์นิวัลเปิดตัว,city/main/icon_thlb.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,8,-1,Official - Open Server Carnival Poster,正式-开服狂欢海报,正式-開服狂歡海報,Official - Open Server Carnival Poster,Official - Open Server Carnival Poster,정식-서버 오픈 축제 포스터,Oficial - Cartaz do Carnaval do Servidor Aberto,อย่างเป็นทางการ - โปสเตอร์งานคาร์นิวัลโอเพ่นเซิฟเวอร์,{},{res=config/poster/img_hb_kfkh@.png},0,1,3,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;6>,50000,0,0,<-1;9999>,<-1;9999>,,,1,1,0
21,正式-梦幻海报,,21,,,,,Cartaz Oficial-Dream,โปสเตอร์อย่างเป็นทางการ-ความฝัน,city/main/icon_thlb.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,8,-1,Official - Mew Poster,正式-梦幻海报,正式-夢幻海報,Official - Mew Poster,Official - Mew Poster,정식-뮤 포스터,Oficial - Pôster Mew,อย่างเป็นทางการ - โปสเตอร์ Mew,{},{res=config/poster/img_hb_kfjnh@.png},0,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;6>,50000,0,0,<-1;9999>,<-1;9999>,,,1,1,0
24,登录送神兽召唤,Free 10x draws,24,登入送十連抽,Free 10x draws,Free 10x draws,로그인 10연속 뽑기 증정,Sorteios grátis 10x,ลุ้นรับฟรี 10 เท่า,city/main/icon_thlb.png,1,开服首日登录即豪送十连抽，快去召唤精灵吧！,開服首日登錄即豪送十連抽，快去召喚精靈吧！,Get 10 consecutive draws on the first day of server opening. Time to summon some Pokémons!,Get 10 consecutive draws on the first day of server opening. Time to summon some Pokémons!,오픈 첫 날 로그인 시 10연속 뽑기를 증정합니다. 어서 포켓몬을 소환해 보세요!,Obtenha 10 sorteios consecutivos no primeiro dia de abertura do servidor. Hora de invocar alguns Pokémons!,รับสิทธิ์สุ่มจับรางวัล 10 ครั้งติดต่อกันในวันแรกของการเปิดเซิร์ฟเวอร์ ถึงเวลาอัญเชิญโปเกมอนแล้ว!,8,0,登入送十連抽,登录送神兽召唤,登入送十連抽,Free 10x draws,Free 10x draws,로그인 10연속 뽑기 증정,Sorteios grátis 10x,ลุ้นรับฟรี 10 เท่า,{},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,首充活动,First-purchase Event,32,首儲活動,First-purchase Event,Sự kiện nạp đầu tiên,첫 충전 이벤트,Primeiro evento de recarga,กิจกรรมเติมเงินครั้งแรก,city/main/iconnapdau.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,1,1,首儲活動,首充活动,First-purchase Event,首儲活動,Sự kiện nạp đầu tiên,첫 충전 이벤트,Evento de primeira compra,กิจกรรมการซื้อครั้งแรก,{rmb=0;award={card={id=4161};11=50;2058=1;500=30;gold=1000000}},{page=1;resBg=activity/first_recharge/naplandau1new.png},0,1,0,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,1,1
33,首充活动,First-purchase Event,33,首儲活動,First-purchase Event,Sự kiện nạp đầu tiên,첫 충전 이벤트,Primeiro evento de recarga,กิจกรรมเติมเงินครั้งแรก,city/main/iconnapdau.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,1,1,首儲活動,首充活动,First-purchase Event,首儲活動,Sự kiện nạp đầu tiên,첫 충전 이벤트,Evento de primeira compra,กิจกรรมการซื้อครั้งแรก,{rmb=980;award={rmb=28888;9205=2;2033=1;2153=5;2103=1000}},{page=2;resBg=activity/first_recharge/naplan2new.png},0,1,0,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,2,1
,首充活动,First-purchase Event,34,首儲活動,First-purchase Event,Sự kiện nạp đầu tiên,첫 충전 이벤트,Primeiro evento de recarga,กิจกรรมเติมเงินครั้งแรก,city/main/iconnapdau.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,1,1,首儲活動,首充活动,First-purchase Event,首儲活動,Sự kiện nạp đầu tiên,첫 충전 이벤트,Evento de primeira compra,กิจกรรมการซื้อครั้งแรก,{rmb=2999;award={rmb=58888;9205=4;2052=1;11=50;500=100}},{page=3;resBg=activity/first_recharge/naplan3new.png},0,1,0,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,3,1
,首充活动,First-purchase Event,150001,首儲活動,First-purchase Event,Sự kiện nạp đầu tiên,첫 충전 이벤트,Primeiro evento de recarga,กิจกรรมเติมเงินครั้งแรก,city/main/iconnapdau.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,1,1,首儲活動,首充活动,First-purchase Event,首儲活動,Sự kiện nạp đầu tiên,첫 충전 이벤트,Evento de primeira compra,กิจกรรมการซื้อครั้งแรก,{rmb=4999;award={card={id=9003};rmb=88888;6199=1;2153=10;2103=1000}},{page=4;resBg=activity/first_recharge/naplan4new.png},0,1,0,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,4,1
34,测试专用-每日首充,,,,,,,,,city/main/icon_mrsc.png,,,,,,,,,14,1,每日首充,404,,,,,,,,{type=recharge;generalTaskDisappear=true},20556,0,0,<20160101;20990101>,<20160101;20990101>,20240911,500,0,,20300101,,,,,5000000,,,,,,,1,1,1
35,开服嘉年华,,35,,,,,Oficial - Carnaval do Servidor,อย่างเป็นทางการ - เซิร์ฟเวอร์คาร์นิวัล,city/main/icon_kfjnh.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,15,1,Open Server Carnival,开服嘉年华,開服嘉年華,Open Server Carnival,Open Server Carnival,서버 오픈 축제,Carnaval de Servidor Aberto,เปิดเซิฟเวอร์คาร์นิวัล,{itemId=20771},{type=kaifu},12002,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<3;32>,5000000,1,0,<-1;9999>,<-1;9999>,,,1,22,1
36,战力排行,,36,,,,,Oficial - Battle Power Ranking_Evento de abertura_Entrada independente,อย่างเป็นทางการ - การจัดอันดับพลังการต่อสู้_งานเปิด_การเข้างานอิสระ,city/main/icon_zlph.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,16,1,Combat power ranking,战力排行,戰力排行,Combat power ranking,Chiến lực xếp hạng,전투력 순위,Classificação de poder de combate,อันดับพลังการต่อสู้,{card=1271},{},1001,1,3,<20160101;20990101>,<20160101;20990101>,20250501,500,0,0,20300101,500,0,0,<3;10>,144,20,0,<-1;9999>,<-1;9999>,,,1,15,1
37,战力排行海报,,37,,,,,Depois de Qingming,หลังเทศกาลเชงเม้ง,city/main/icon_thlb.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,8,-1,,战力排行海报,,,,,,,{},{res=config/poster/img_hb_zlph@.png},0,1,3,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<3;10>,144,0,0,<-1;9999>,<-1;9999>,,,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,七日登录,,150002,,,,,,,city/main/icon_qrdl.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,37,1,Consecutive login,连续登录,連續登入,Consecutive login,Consecutive login,연속 로그인,Login consecutivo,การเข้าสู่ระบบแบบต่อเนื่อง,{isSum=1},{},10014,1,0,<20160101;20990101>,<20160101;20990101>,20250712,500,0,0,20250722,500,0,0,<0;9999>,5000000,1,0,,,,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,抽卡有奖,,61,,,,,,,city/main/icon_thlb.png,1,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,14,0,Draw Rewards,抽卡有奖,抽卡有獎,Draw Rewards,Draw Rewards,뽑기 보상,Sorteio de Recompensas,จับรางวัล,{},{},1001,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,19,0
66,消耗钻石返利,,66,,,,,Oficial - recompensas de consumo - 3-6 dias para criar um personagem,ทางการ - รางวัลการบริโภค - 3-6 วันในการสร้างตัวละคร,city/main/icon_thlb.png,2,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,14,0,Diamond Spending Rebate,消耗钻石返利,消耗鑽石返利,Diamond Spending Rebate,Diamond Spending Rebate,다이아 소모 반환,Reembolso de gastos com diamantes,ส่วนลดการใช้จ่ายเพชร,{},{},1004,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,,500,0,0,<3;6>,50000,0,0,<-1;9999>,<-1;9999>,,,1,18,0
67,饰品抽卡有礼,,67,,,,,Oficial - sorteio de recompensas de joias - 3-6 dias para criar o personagem,ทางการ - จับรางวัลเครื่องประดับ - 3-6 วันในการสร้างตัวละคร,city/main/icon_thlb.png,2,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,14,0,Trinket Card Draw And Get Rewards,饰品抽卡有礼,飾品抽卡有禮,Trinket Card Draw And Get Rewards,Trinket Card Draw And Get Rewards,액세서리 뽑기 선물,Sorteio de cartas de bugigangas e ganhe recompensas,การจับฉลากการ์ด Trinket และรับรางวัล,{},{},1005,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,,500,0,0,<3;6>,50000,0,0,<-1;9999>,<-1;9999>,,,1,18,0
68,消耗钻石返利,,68,,,,,Oficial - recompensas de consumo - 7 a 9 dias para criar um personagem,ทางการ - รางวัลการบริโภค - 7-9 วันสำหรับการสร้างตัวละคร,city/main/icon_thlb.png,2,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,14,0,Diamond Spending Rebate,消耗钻石返利,消耗鑽石返利,Diamond Spending Rebate,Diamond Spending Rebate,다이아 소모 반환,Reembolso de gastos com diamantes,ส่วนลดการใช้จ่ายเพชร,{},{},1008,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,,500,0,0,<7;9>,50000,0,0,<-1;9999>,<-1;9999>,,,1,18,0
69,抽卡有奖,,69,,,,,Oficial - recompensas de sorteio de cartas - Criação de personagem 7-9 dias,ทางการ - รางวัลการจับฉลากการ์ด - สร้างตัวละคร 7-9 วัน,city/main/icon_thlb.png,2,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,14,0,Draw Rewards,抽卡有奖,抽卡有獎,Draw Rewards,Draw Rewards,뽑기 보상,Sorteio de Recompensas,จับรางวัล,{},{},1009,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,,500,0,0,<7;9>,50000,0,0,<-1;9999>,<-1;9999>,,,1,16,0
