变量名,huodongID,rank,award,pointLeast,desc,desc_en
43,1004,3,{521=158;539=88;card={id=7081}},10000,起源梦幻+万能碎片,无奖励吗
44,1004,6,{502=158;539=88;card={id=7081}},8000,起源梦幻+万能碎片,无奖励吗
45,1004,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
46,1004,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
47,1004,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
51,1005,1,{502=188;9004=1;539=128;card={id=9081}},20000,艾岚超级喷火龙X+万能碎片+头像框,无奖励吗
52,1005,2,{521=158;539=108;card={id=9081}},15000,艾岚超级喷火龙X+万能碎片,无奖励吗
53,1005,3,{521=158;539=88;card={id=9081}},10000,艾岚超级喷火龙X+万能碎片,无奖励吗
54,1005,6,{502=158;539=88;card={id=9081}},8000,艾岚超级喷火龙X+万能碎片,无奖励吗
55,1005,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
56,1005,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
57,1005,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
61,1006,1,{502=188;539=128;2089=1;card={id=7021}},20000,闪光超级耿鬼+万能碎片+头像框,无奖励吗
62,1006,2,{521=158;539=108;card={id=7021}},15000,闪光超级耿鬼+万能碎片,无奖励吗
63,1006,3,{521=158;539=88;card={id=7021}},10000,闪光超级耿鬼+万能碎片,无奖励吗
64,1006,6,{502=158;539=88;card={id=7021}},8000,闪光超级耿鬼+万能碎片,无奖励吗
65,1006,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
66,1006,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
67,1006,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
71,1007,1,{502=188;8203=1;539=128;card={id=9051}},20000,闪光超级巨金怪+万能碎片+头像框,无奖励吗
72,1007,2,{521=158;539=108;card={id=9051}},15000,闪光超级巨金怪+万能碎片,无奖励吗
73,1007,3,{521=158;539=88;card={id=9051}},10000,闪光超级巨金怪+万能碎片,无奖励吗
74,1007,6,{502=158;539=88;card={id=9051}},8000,闪光超级巨金怪+万能碎片,无奖励吗
75,1007,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
76,1007,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
77,1007,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
81,1008,1,{502=188;539=128;9002=1;card={id=9061}},20000,闪光超级路卡利欧+万能碎片+头像框,无奖励吗
82,1008,2,{521=158;539=108;card={id=9061}},15000,闪光超级路卡利欧+万能碎片,无奖励吗
83,1008,3,{521=158;539=88;card={id=9061}},10000,闪光超级路卡利欧+万能碎片,无奖励吗
84,1008,6,{502=158;539=88;card={id=9061}},8000,闪光超级路卡利欧+万能碎片,无奖励吗
85,1008,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
86,1008,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
87,1008,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
91,1009,1,{502=188;539=128;card={id=1981};2013=1},20000,裂空座+万能碎片+头像框,无奖励吗
92,1009,2,{521=158;539=108;card={id=1981}},15000,裂空座+万能碎片,无奖励吗
93,1009,3,{521=158;539=88;card={id=1981}},10000,裂空座+万能碎片,无奖励吗
94,1009,6,{502=158;539=88;card={id=1981}},8000,裂空座+万能碎片,无奖励吗
95,1009,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
96,1009,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
97,1009,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
100,1010,1,{502=188;539=128;2047=1;card={id=3211}},20000,莱希拉姆+万能碎片+头像框,无奖励吗
101,1010,2,{521=158;539=108;card={id=3211}},15000,莱希拉姆+万能碎片,无奖励吗
102,1010,3,{521=158;539=88;card={id=3211}},10000,莱希拉姆+万能碎片,无奖励吗
103,1010,6,{502=158;539=88;card={id=3211}},8000,莱希拉姆+万能碎片,无奖励吗
104,1010,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
105,1010,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
106,1010,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
110,1011,1,{502=188;539=128;2087=1;card={id=4101}},20000,奈克洛兹玛+万能碎片+头像框,无奖励吗
111,1011,2,{521=158;539=108;card={id=4101}},15000,奈克洛兹玛+万能碎片,无奖励吗
112,1011,3,{521=158;539=88;card={id=4101}},10000,奈克洛兹玛+万能碎片,无奖励吗
113,1011,6,{502=158;539=88;card={id=4101}},8000,奈克洛兹玛+万能碎片,无奖励吗
114,1011,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
115,1011,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
116,1011,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
120,1012,1,{2084=1;539=128;502=188;card={id=4024}},20000,露奈雅拉+万能碎片+头像框,无奖励吗
121,1012,2,{521=158;539=108;card={id=4024}},15000,露奈雅拉+万能碎片,无奖励吗
122,1012,3,{521=158;539=88;card={id=4024}},10000,露奈雅拉+万能碎片,无奖励吗
123,1012,6,{502=158;539=88;card={id=4024}},8000,露奈雅拉+万能碎片,无奖励吗
124,1012,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
125,1012,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
126,1012,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
130,1013,1,{502=188;539=128;2096=1;card={id=7081}},20000,起源梦幻+万能碎片+头像框,无奖励吗
131,1013,2,{521=158;539=108;card={id=7081}},15000,起源梦幻+万能碎片,无奖励吗
132,1013,3,{521=158;539=88;card={id=7081}},10000,起源梦幻+万能碎片,无奖励吗
133,1013,6,{502=158;539=88;card={id=7081}},8000,起源梦幻+万能碎片,无奖励吗
134,1013,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
135,1013,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
136,1013,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
140,1014,1,{502=188;539=128;2090=1;card={id=4023}},20000,索尔迦雷欧+万能碎片+头像框,无奖励吗
141,1014,2,{521=158;539=108;card={id=4023}},15000,索尔迦雷欧+万能碎片,无奖励吗
142,1014,3,{521=158;539=88;card={id=4023}},10000,索尔迦雷欧+万能碎片,无奖励吗
143,1014,6,{502=158;539=88;card={id=4023}},8000,索尔迦雷欧+万能碎片,无奖励吗
144,1014,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
145,1014,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
146,1014,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
150,1015,1,{502=188;539=128;2097=1;card={id=7111}},20000,闪光超级艾路雷朵+万能碎片+头像框,无奖励吗
151,1015,2,{521=158;539=108;card={id=7111}},15000,闪光超级艾路雷朵+万能碎片,无奖励吗
152,1015,3,{521=158;539=88;card={id=7111}},10000,闪光超级艾路雷朵+万能碎片,无奖励吗
153,1015,6,{502=158;539=88;card={id=7111}},8000,闪光超级艾路雷朵+万能碎片,无奖励吗
154,1015,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
155,1015,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
156,1015,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
160,1016,1,{502=188;539=128;2088=1;card={id=1254}},20000,闪光超级班基拉斯+万能碎片+头像框,无奖励吗
161,1016,2,{521=158;539=108;card={id=1254}},15000,闪光超级班基拉斯+万能碎片,无奖励吗
162,1016,3,{521=158;539=88;card={id=1254}},10000,闪光超级班基拉斯+万能碎片,无奖励吗
163,1016,6,{502=158;539=88;card={id=1254}},8000,闪光超级班基拉斯+万能碎片,无奖励吗
164,1016,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
165,1016,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
166,1016,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
170,1017,1,{502=188;539=128;2089=1;card={id=7021}},20000,闪光超级耿鬼+万能碎片+头像框,无奖励吗
171,1017,2,{521=158;539=108;card={id=7021}},15000,闪光超级耿鬼+万能碎片,无奖励吗
172,1017,3,{521=158;539=88;card={id=7021}},10000,闪光超级耿鬼+万能碎片,无奖励吗
173,1017,6,{502=158;539=88;card={id=7021}},8000,闪光超级耿鬼+万能碎片,无奖励吗
174,1017,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
175,1017,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
176,1017,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
180,1018,1,{502=188;539=128;2099=1;card={id=7091}},20000,闪光超级沙奈朵+万能碎片+头像框,无奖励吗
181,1018,2,{521=158;539=108;card={id=7091}},15000,闪光超级沙奈朵+万能碎片,无奖励吗
182,1018,3,{521=158;539=88;card={id=7091}},10000,闪光超级沙奈朵+万能碎片,无奖励吗
183,1018,6,{502=158;539=88;card={id=7091}},8000,闪光超级沙奈朵+万能碎片,无奖励吗
184,1018,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
185,1018,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
186,1018,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
190,1019,1,{2081=1;539=128;502=188;card={id=3651}},20000,波尔凯尼恩+万能碎片+头像框,无奖励吗
191,1019,2,{521=158;539=108;card={id=3651}},15000,波尔凯尼恩+万能碎片,无奖励吗
192,1019,3,{521=158;539=88;card={id=3651}},10000,波尔凯尼恩+万能碎片,无奖励吗
193,1019,6,{502=158;539=88;card={id=3651}},8000,波尔凯尼恩+万能碎片,无奖励吗
194,1019,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
195,1019,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
196,1019,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
200,1020,1,{2080=1;539=128;502=188;card={id=2461}},20000,比克提尼+万能碎片+头像框,无奖励吗
201,1020,2,{521=158;539=108;card={id=2461}},15000,比克提尼+万能碎片,无奖励吗
202,1020,3,{521=158;539=88;card={id=2461}},10000,比克提尼+万能碎片,无奖励吗
203,1020,6,{502=158;539=88;card={id=2461}},8000,比克提尼+万能碎片,无奖励吗
204,1020,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
205,1020,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
206,1020,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
210,1021,1,{502=188;8195=1;539=128;card={id=7102}},20000,苍响+万能碎片+头像框,无奖励吗
211,1021,2,{521=158;539=108;card={id=7102}},15000,苍响+万能碎片,无奖励吗
212,1021,3,{521=158;539=88;card={id=7102}},10000,苍响+万能碎片,无奖励吗
213,1021,6,{502=158;539=88;card={id=7102}},8000,苍响+万能碎片,无奖励吗
214,1021,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
215,1021,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
216,1021,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
220,1022,1,{2040=1;539=128;502=188;card={id=2431}},20000,达克莱伊+万能碎片+头像框,无奖励吗
221,1022,2,{521=158;539=108;card={id=2431}},15000,达克莱伊+万能碎片,无奖励吗
222,1022,3,{521=158;539=88;card={id=2431}},10000,达克莱伊+万能碎片,无奖励吗
223,1022,6,{502=158;539=88;card={id=2431}},8000,达克莱伊+万能碎片,无奖励吗
224,1022,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
225,1022,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
226,1022,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
230,1023,1,{2042=1;539=128;502=188;card={id=2351}},20000,帝牙卢卡+万能碎片+头像框,无奖励吗
231,1023,2,{521=158;539=108;card={id=2351}},15000,帝牙卢卡+万能碎片,无奖励吗
232,1023,3,{521=158;539=88;card={id=2351}},10000,帝牙卢卡+万能碎片,无奖励吗
233,1023,6,{502=158;539=88;card={id=2351}},8000,帝牙卢卡+万能碎片,无奖励吗
234,1023,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
235,1023,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
236,1023,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
240,1024,1,{502=188;539=128;2033=1;card={id=1971}},20000,固拉多+万能碎片+头像框,无奖励吗
241,1024,2,{521=158;539=108;card={id=1971}},15000,固拉多+万能碎片,无奖励吗
242,1024,3,{521=158;539=88;card={id=1971}},10000,固拉多+万能碎片,无奖励吗
243,1024,6,{502=158;539=88;card={id=1971}},8000,固拉多+万能碎片,无奖励吗
244,1024,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
245,1024,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
246,1024,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
250,1025,1,{502=188;539=128;2056=1;card={id=3271}},20000,盖诺赛克特+万能碎片+头像框,无奖励吗
251,1025,2,{521=158;539=108;card={id=3271}},15000,盖诺赛克特+万能碎片,无奖励吗
252,1025,3,{521=158;539=88;card={id=3271}},10000,盖诺赛克特+万能碎片,无奖励吗
253,1025,6,{502=158;539=88;card={id=3271}},8000,盖诺赛克特+万能碎片,无奖励吗
254,1025,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
255,1025,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
256,1025,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
260,1026,1,{502=188;539=128;card={id=3641};2046=1},20000,惩戒胡帕+万能碎片+头像框,无奖励吗
261,1026,2,{521=158;539=108;card={id=3641}},15000,惩戒胡帕+万能碎片,无奖励吗
262,1026,3,{521=158;539=88;card={id=3641}},10000,惩戒胡帕+万能碎片,无奖励吗
263,1026,6,{502=158;539=88;card={id=3641}},8000,惩戒胡帕+万能碎片,无奖励吗
264,1026,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
265,1026,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
266,1026,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
270,1027,1,{502=188;2092=1;539=128;card={id=3623}},20000,基格尔德+万能碎片+头像框,无奖励吗
271,1027,2,{521=158;539=108;card={id=3623}},15000,基格尔德+万能碎片,无奖励吗
272,1027,3,{521=158;539=88;card={id=3623}},10000,基格尔德+万能碎片,无奖励吗
273,1027,6,{502=158;539=88;card={id=3623}},8000,基格尔德+万能碎片,无奖励吗
274,1027,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
275,1027,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
276,1027,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
280,1028,1,{502=188;539=128;2048=1;card={id=3221}},20000,捷克罗姆+万能碎片+头像框,无奖励吗
281,1028,2,{521=158;539=108;card={id=3221}},15000,捷克罗姆+万能碎片,无奖励吗
282,1028,3,{521=158;539=88;card={id=3221}},10000,捷克罗姆+万能碎片,无奖励吗
283,1028,6,{502=158;539=88;card={id=3221}},8000,捷克罗姆+万能碎片,无奖励吗
284,1028,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
285,1028,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
286,1028,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
290,1029,1,{502=188;539=128;2058=1;card={id=4161}},20000,捷拉奥拉+万能碎片+头像框,无奖励吗
291,1029,2,{521=158;539=108;card={id=4161}},15000,捷拉奥拉+万能碎片,无奖励吗
292,1029,3,{521=158;539=88;card={id=4161}},10000,捷拉奥拉+万能碎片,无奖励吗
293,1029,6,{502=158;539=88;card={id=4161}},8000,捷拉奥拉+万能碎片,无奖励吗
294,1029,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
295,1029,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
296,1029,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
300,1030,1,{502=188;2052=1;539=128;card={id=1991}},20000,基拉祈+万能碎片+头像框,无奖励吗
301,1030,2,{521=158;539=108;card={id=1991}},15000,基拉祈+万能碎片,无奖励吗
302,1030,3,{521=158;539=88;card={id=1991}},10000,基拉祈+万能碎片,无奖励吗
303,1030,6,{502=158;539=88;card={id=1991}},8000,基拉祈+万能碎片,无奖励吗
304,1030,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
305,1030,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
306,1030,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
310,1031,1,{502=188;8195=1;539=128;card={id=3252}},20000,凯路迪欧·觉悟+万能碎片+头像框,无奖励吗
311,1031,2,{521=158;539=108;card={id=3252}},15000,凯路迪欧·觉悟+万能碎片,无奖励吗
312,1031,3,{521=158;539=88;card={id=3252}},10000,凯路迪欧·觉悟+万能碎片,无奖励吗
313,1031,6,{502=158;539=88;card={id=3252}},8000,凯路迪欧·觉悟+万能碎片,无奖励吗
314,1031,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
315,1031,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
316,1031,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
320,1032,1,{502=188;539=128;2085=1;card={id=4111}},20000,玛机雅娜+万能碎片+头像框,无奖励吗
321,1032,2,{521=158;539=108;card={id=4111}},15000,玛机雅娜+万能碎片,无奖励吗
322,1032,3,{521=158;539=88;card={id=4111}},10000,玛机雅娜+万能碎片,无奖励吗
323,1032,6,{502=158;539=88;card={id=4111}},8000,玛机雅娜+万能碎片,无奖励吗
324,1032,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
325,1032,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
326,1032,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
330,1033,1,{502=188;539=128;2091=1;card={id=2421}},20000,玛纳霏+万能碎片+头像框,无奖励吗
331,1033,2,{521=158;539=108;card={id=2421}},15000,玛纳霏+万能碎片,无奖励吗
332,1033,3,{521=158;539=88;card={id=2421}},10000,玛纳霏+万能碎片,无奖励吗
333,1033,6,{502=158;539=88;card={id=2421}},8000,玛纳霏+万能碎片,无奖励吗
334,1033,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
335,1033,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
336,1033,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
340,1034,1,{502=188;539=128;2086=1;card={id=4121}},20000,玛夏多+万能碎片+头像框,无奖励吗
341,1034,2,{521=158;539=108;card={id=4121}},15000,玛夏多+万能碎片,无奖励吗
342,1034,3,{521=158;539=88;card={id=4121}},10000,玛夏多+万能碎片,无奖励吗
343,1034,6,{502=158;539=88;card={id=4121}},8000,玛夏多+万能碎片,无奖励吗
344,1034,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
345,1034,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
346,1034,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
350,1035,1,{502=188;539=128;2043=1;card={id=2361}},20000,帕路奇亚+万能碎片+头像框,无奖励吗
351,1035,2,{521=158;539=108;card={id=2361}},15000,帕路奇亚+万能碎片,无奖励吗
352,1035,3,{521=158;539=88;card={id=2361}},10000,帕路奇亚+万能碎片,无奖励吗
353,1035,6,{502=158;539=88;card={id=2361}},8000,帕路奇亚+万能碎片,无奖励吗
354,1035,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
355,1035,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
356,1035,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
360,1036,1,{502=188;539=128;card={id=2391};2044=1},20000,骑拉帝纳+万能碎片+头像框,无奖励吗
361,1036,2,{521=158;539=108;card={id=2391}},15000,骑拉帝纳+万能碎片,无奖励吗
362,1036,3,{521=158;539=88;card={id=2391}},10000,骑拉帝纳+万能碎片,无奖励吗
363,1036,6,{502=158;539=88;card={id=2391}},8000,骑拉帝纳+万能碎片,无奖励吗
364,1036,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
365,1036,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
366,1036,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
370,1037,1,{502=188;539=128;2049=1;card={id=3241}},20000,酋雷姆+万能碎片+头像框,无奖励吗
371,1037,2,{521=158;539=108;card={id=3241}},15000,酋雷姆+万能碎片,无奖励吗
372,1037,3,{521=158;539=88;card={id=3241}},10000,酋雷姆+万能碎片,无奖励吗
373,1037,6,{502=158;539=88;card={id=3241}},8000,酋雷姆+万能碎片,无奖励吗
374,1037,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
375,1037,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
376,1037,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
380,1038,1,{502=188;539=128;2055=1;card={id=1281}},20000,时拉比+万能碎片+头像框,无奖励吗
381,1038,2,{521=158;539=108;card={id=1281}},15000,时拉比+万能碎片,无奖励吗
382,1038,3,{521=158;539=88;card={id=1281}},10000,时拉比+万能碎片,无奖励吗
383,1038,6,{502=158;539=88;card={id=1281}},8000,时拉比+万能碎片,无奖励吗
384,1038,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
385,1038,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
386,1038,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
390,1039,1,{502=188;539=128;card={id=2441};2045=1},20000,谢米+万能碎片+头像框,无奖励吗
391,1039,2,{521=158;539=108;card={id=2441}},15000,谢米+万能碎片,无奖励吗
392,1039,3,{521=158;539=88;card={id=2441}},10000,谢米+万能碎片,无奖励吗
393,1039,6,{502=158;539=88;card={id=2441}},8000,谢米+万能碎片,无奖励吗
394,1039,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
395,1039,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
396,1039,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
397,1040,1,{502=188;8195=1;539=128;card={id=7102}},20000,苍响+万能碎片+头像框,无奖励吗
398,1040,2,{521=158;539=108;card={id=7102}},15000,苍响+万能碎片,无奖励吗
399,1040,3,{521=158;539=88;card={id=7102}},10000,苍响+万能碎片,无奖励吗
400,1040,6,{502=158;539=88;card={id=7102}},8000,苍响+万能碎片,无奖励吗
401,1040,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
402,1040,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
403,1040,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
404,1041,1,{502=188;539=128;2098=1;card={id=7101}},20000,藏马然特+万能碎片+头像框,无奖励吗
405,1041,2,{521=158;539=108;card={id=7101}},15000,藏马然特+万能碎片,无奖励吗
406,1041,3,{521=158;539=88;card={id=7101}},10000,藏马然特+万能碎片,无奖励吗
407,1041,6,{502=158;539=88;card={id=7101}},8000,藏马然特+万能碎片,无奖励吗
408,1041,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
409,1041,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
410,1041,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
411,1042,1,{502=188;539=128;2096=1;card={id=7081}},20000,起源梦幻+万能碎片+头像框,无奖励吗
412,1042,2,{521=158;539=108;card={id=7081}},15000,起源梦幻+万能碎片,无奖励吗
413,1042,3,{521=158;539=88;card={id=7081}},10000,起源梦幻+万能碎片,无奖励吗
414,1042,6,{502=158;539=88;card={id=7081}},8000,起源梦幻+万能碎片,无奖励吗
415,1042,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
416,1042,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
417,1042,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
418,1043,1,{502=188;9004=1;539=128;card={id=9081}},20000,艾岚超级喷火龙X+万能碎片+头像框,无奖励吗
419,1043,2,{521=158;539=108;card={id=9081}},15000,艾岚超级喷火龙X+万能碎片,无奖励吗
420,1043,3,{521=158;539=88;card={id=9081}},10000,艾岚超级喷火龙X+万能碎片,无奖励吗
421,1043,6,{502=158;539=88;card={id=9081}},8000,艾岚超级喷火龙X+万能碎片,无奖励吗
422,1043,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
423,1043,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
