变量名,_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,vip
202,普通副本挑战,8828,29,15,,普通关卡战斗20次,普通關卡戰鬥20次,Fight in Normal Level 20 times,Chiến đấu Ải Thường 20 lần,일반 스테이지 20회 전투,Lute no nível normal 20 vezes,ต่อสู้ในระดับปกติ 20 ครั้ง,{gold=20000;rmb=200},
203,普通副本挑战,8828,29,30,,普通关卡战斗30次,普通關卡戰鬥30次,Fight in Normal Level 30 times,Chiến đấu Ải Thường 30 lần,일반 스테이지 30회 전투,Lute no nível normal 30 vezes,ต่อสู้ในระดับปกติ 30 ครั้ง,{gold=20000;rmb=300},
204,普通副本挑战,8828,29,40,,普通关卡战斗40次,普通關卡戰鬥40次,Fight in Normal Level 40 times,Chiến đấu Ải Thường 40 lần,일반 스테이지 40회 전투,Lute no nível normal 40 vezes,ต่อสู้ในระดับปกติ 40 ครั้ง,{gold=20000;rmb=400},
205,普通副本挑战,8828,29,50,,普通关卡战斗50次,普通關卡戰鬥50次,Fight in Normal Level 50 times,Fight in Normal Level 50 times,일반 스테이지 50회 전투,Lute no nível normal 50 vezes,ต่อสู้ในระดับปกติ 50 ครั้ง,{gold=20000;13=14},
206,普通副本挑战,8828,29,60,,普通关卡战斗60次,普通關卡戰鬥60次,Fight in Normal Level 60 times,Chiến đấu Ải Thường 60 lần,일반 스테이지 60회 전투,Lute no nível normal 60 vezes,ต่อสู้ในระดับปกติ 60 ครั้ง,{gold=20000;12=15},
207,普通副本挑战,8828,29,70,,普通关卡战斗70次,普通關卡戰鬥70次,Fight in Normal Level 70 times,Chiến đấu Ải Thường 70 lần,일반 스테이지 70회 전투,Lute no nível normal 70 vezes,ต่อสู้ในระดับปกติ 70 ครั้ง,{gold=20000;11=16},
,,,,,,,,,,,,,,
301,购买体力_测试任务,8829,26,1,,购买体力1次,購買體力1次,Purchase Vitality once,Purchase Vitality once,체력 1회 구매,Compre Vitality uma vez,ซื้อ Vitality ครั้งเดียว,{gold=20000;rmb=10},
302,购买体力,8829,26,2,,购买体力2次,購買體力2次,Buy Energy 2 times,Buy Energy 2 times,체력 2회 구매,Compre Energia 2 vezes,ซื้อพลังงาน 2 ครั้ง,{gold=20000;rmb=11},
303,购买体力,8829,26,3,,购买体力3次,購買體力3次,Purchase Vitality 3 times,Purchase Vitality 3 times,체력 3회 구매,Compre Vitality 3 vezes,ซื้อ Vitality 3 ครั้ง,{31301=1;rmb=12},
304,购买体力,8829,26,4,,购买体力4次,購買體力4次,Buy Energy 4 times,Buy Energy 4 times,체력 4회 구매,Compre energia 4 vezes,ซื้อพลังงาน 4 ครั้ง,{card={id=12};rmb=12},
305,购买体力,8829,26,5,,购买体力5次,購買體力5次,Buy Energy 5 times,Buy Energy 5 times,체력 5회 구매,Compre Energia 5 vezes,ซื้อพลังงาน 5 ครั้ง,{card={id=13};rmb=12},
306,购买体力,8829,26,6,,购买体力6次,購買體力6次,Buy Energy 6 times,Buy Energy 6 times,체력 6회 구매,Compre Energia 6 vezes,ซื้อพลังงาน 6 ครั้ง,{card={id=1};rmb=12},
307,购买体力,8829,26,7,,购买体力7次,購買體力7次,Purchase Vitality 7 times,Purchase Vitality 7 times,체력 7회 구매,Compre Vitality 7 vezes,ซื้อ Vitality 7 ครั้ง,{card={id=21};rmb=12},
,,,,,,,,,,,,,,
401,累积登录_测试任务,8830,17,1,,累计登录1天,累計登錄1天,Login 1 days in total,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Login 1 dia no total,เข้าสู่ระบบทั้งหมด 1 วัน,{gold=2000;rmb=10},
402,累积登录,8830,17,2,,累计登录2天,累計登錄2天,Login 2 days in total,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Login 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{gold=2000;rmb=10},
403,累积登录,8830,17,3,,累计登录3天,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Login 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{gold=2000;rmb=10},
404,累积登录,8830,17,4,,累计登录4天,累計登錄4天,Login 4 days in total,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Login 4 dias no total,เข้าสู่ระบบรวม 4 วัน,{gold=2000;rmb=10},
405,累积登录,8830,17,5,,累计登录5天,累計登錄5天,Login 5 days in total,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Login 5 dias no total,เข้าสู่ระบบทั้งหมด 5 วัน,{gold=2000;rmb=10},
406,累积登录,8830,17,6,,累计登录6天,累計登錄6天,Login 6 days in total,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Login 6 dias no total,เข้าสู่ระบบทั้งหมด 6 วัน,{gold=2000;rmb=10},
407,累积登录,8830,17,7,,累计登录7天,累計登錄7天,Login 7 days in total,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Login 7 dias no total,เข้าสู่ระบบทั้งหมด 7 วัน,{gold=2000;rmb=10},
,,,,,,,,,,,,,,
501,测试任务,100033,1,25,,角色等级达到25级,角色等級達到25級,Trainer reaches level 25,Nhân vật đạt LV25,캐릭터 25레벨 달성,O treinador atinge o nível 25,เทรนเนอร์ถึงเลเวล 25 แล้ว,{gold=2000;rmb=10},
502,测试任务,100033,2,10102,,通关第一章第2关卡,通關第一章第2關卡,Clear Chapter 1 - Level 2,Vượt Chương 1 Ải 2,챕터1 스테이지2 클리어,Capítulo 1 - Nível 2,เคลียร์บทที่ 1 - ระดับ 2,{gold=2000;rmb=10},
503,测试任务,100033,3,5,,拥有5个任意精灵,擁有5個任意精靈,Own any 5 Pokémons,Có 5 Pokémon bất kỳ,임의의 포켓몬 5마리 보유,Tenha 5 Pokémons,เป็นเจ้าของโปเกมอน 5 ตัว,{gold=2000;rmb=10},
504,测试任务,100033,5,7,,VIP等级达到7级,VIP等級達到7級,Attain VIP level 7,VIP đạt LV7,VIP 7레벨 달성,Alcance o nível VIP 7,ได้รับระดับ VIP 7,{gold=2000;rmb=10},
505,测试任务,100033,6,10000,,战斗力达到10000,戰鬥力達到10000,C.P. reaches 10000,C.P. reaches 10000,전투력 10000 달성,CP atinge 10000,"CP ถึง 10,000 แล้ว",{gold=2000;rmb=10},
506,测试任务,100033,9,,{5=3},拥有5个A级精灵,擁有5個A級精靈,Own 5 A-grade Pokémon,Có 5 Pokémon cấp A,A급 포켓몬 5마리 보유,Tenha 5 Pokémon de nível A,มีโปเกมอนระดับ A จำนวน 5 ตัว,{gold=2000;rmb=10},
507,测试任务,100033,10,,{2=4},拥有4星精灵2个,擁有4星精靈2個,Own 2 3-star Pokémons,Có 2 Pokémon 4 Sao,4성 포켓몬 2마리 보유,Tenha 2 Pokémons de 3 estrelas,มีโปเกมอน 3 ดาว 2 ตัว,{gold=2000;rmb=10},
508,测试任务,100033,11,,{1=3},拥有蓝色饰品1个,擁有藍色飾品1個,Own 1 Rare Trinket,Có 1 Trang Sức Lam,파란색 액세서리 1개 보유,Tenha 1 bugiganga rara,มีเครื่องประดับหายาก 1 ชิ้น,{gold=2000;rmb=10},
509,测试任务,100033,12,,{1=2},拥有2星饰品1个,擁有2星飾品1個,Own 1 2-star trinket,Có 1 Trang Sức 2 Sao,2성 액세서리 1개 보유,Possuir 1 bugiganga de 2 estrelas,มีเครื่องประดับ 2 ดาว 1 ชิ้น,{gold=2000;rmb=10},
510,测试任务,100033,13,1,,激活妙蛙种子,啟動妙蛙種子,Activate Bulbasaur,Kích hoạt Bulbasaur,이상해씨 활성화,Ativar Bulbasaur,เปิดใช้งาน Bulbasaur,{gold=2000;rmb=10},
511,测试任务,100033,15,,,今日登录,今日登錄,Today's login,Đăng nhập hôm nay,오늘 로그인,Login de hoje,การเข้าสู่ระบบในวันนี้,{gold=2000;rmb=10},
512,测试任务,100033,17,2,,登录2天,登錄2天,Login 2 day,Login 2 day,2일 로그인,Login 2 dias,เข้าสู่ระบบ 2 วัน,{gold=2000;rmb=10},
513,测试任务,100033,18,2,,累计聚宝2次,累計聚寶2次,Get treasure pot 2 time in total,Tích luỹ Tụ Bảo 2 lần,보물단지 누적 2회,Obtenha o pote do tesouro 2 vezes no total,รับหม้อสมบัติทั้งหมด 2 ครั้ง,{gold=2000;rmb=10},
514,测试任务,100033,19,10000,,累计获得10000金币,累計獲得10000金幣,"Get 10,000 coins in total",Tích luỹ nhận 10000 Gold,10000코인 누적 획득,Ganhe 10.000 moedas no total,"รับรวม 10,000 เหรียญ",{gold=2000;rmb=10},
515,测试任务,100033,20,10000,,累计消耗10000金币,累計消耗10000金幣,"Spend 10,000 coins in total",Tích luỹ tiêu hao 10000 Gold,10000코인 누적 소모,Gaste 10.000 moedas no total,"ใช้เหรียญทั้งหมด 10,000 เหรียญ",{gold=2000;rmb=10},
516,测试任务,100033,21,500,,累计消费500钻石,累計消費500鑽石,Spend 500 diamonds in total,Tích luỹ tiêu phí 500 Diamond,500다이아 누적 소모,Gaste 500 diamantes no total,ใช้เพชรทั้งหมด 500 เม็ด,{gold=2000;rmb=10},
517,测试任务,100033,22,500,,累计充值500钻石,累計儲值500鑽石,Purchase 500 diamonds in total,Tích luỹ nạp 500 Diamond,500다이아 누적 충전,Compre 500 diamantes no total,ซื้อเพชรรวม 500 เม็ด,{gold=2000;rmb=10},
518,测试任务,100033,26,2,,累计购买体力2次,累計購買體力2次,Buy Energy for 2 times in total,Tích luỹ mua Thể Lực 2 lần,체력 누적 2회 구매,Compre energia por 2 vezes no total,ซื้อพลังงานรวม 2 ครั้ง,{gold=2000;rmb=10},
519,测试任务,100033,29,2,,累计挑战普通关卡2次,累計挑戰普通關卡2次,Clear Normal levels 2 times in total,Tích luỹ thách đấu Ải Thường 2 lần,일반 스테이지 누적 2회 도전,Limpe os níveis normais 2 vezes no total,เคลียร์ระดับปกติทั้งหมด 2 ครั้ง,{gold=2000;rmb=10},
520,测试任务,100033,30,1,,累计挑战困难关卡1次,累計挑戰困難關卡1次,Challenge the Elite Level 1 time in total,Challenge the Elite Level 1 time in total,하드 스테이지 누적 1회 도전,Desafie o nível Elite 1 vez no total,ท้าทายระดับ Elite ทั้งหมด 1 ครั้ง,{gold=2000;rmb=10},
521,测试任务,100033,31,1,,累计挑战噩梦关卡1次,累計挑戰噩夢關卡1次,Challenge the Nightmare Level 1 time in total,Tích luỹ thách đấu Ải Ác Mộng 1 lần,악몽 스테이지 누적 1회 도전,Desafie o nível do pesadelo 1 vez no total,ท้าทายระดับฝันร้ายทั้งหมด 1 ครั้ง,{gold=2000;rmb=10},
522,测试任务,100033,32,2,,累计通关活动副本2次,累計通關活動副本2次,Clear Event Dungeon 2 times,Tích luỹ vượt Phụ Bản Sự Kiện 2 lần,이벤트 던전 누적 2회 클리어,Limpe o Calabouço de Eventos 2 vezes,เคลียร์ดันเจี้ยนกิจกรรม 2 ครั้ง,{gold=2000;rmb=10},
523,测试任务,100033,33,2,,累计通关任意关卡2次,累計通關任意關卡2次,Clear any level 2 times in total,Tích luỹ vượt ải bất kỳ 2 lần,임의의 스테이지 누적 2회 클리어,Limpe qualquer nível 2 vezes no total,เคลียร์เลเวลใดๆ ทั้งหมด 2 ครั้ง,{gold=2000;rmb=10},
524,测试任务,100033,34,10,,任意精灵技能升级10次,任意精靈技能升級10次,Upgrade skill for any Pokémon 10 times,Tăng cấp kỹ năng Pokémon bất kỳ 10 lần,임의의 포켓몬 스킬 10회 레벨업,Melhore a habilidade de qualquer Pokémon 10 vezes,อัพเกรดทักษะให้กับโปเกมอนตัวใดก็ได้ 10 ครั้ง,{gold=2000;rmb=10},
525,测试任务,100033,35,5,,累计精灵进阶5次,累計精靈進階5次,Upgrade Pokémon 5 times in total,Tích luỹ tăng bậc Pokémon 5 lần,포켓몬 누적 5회 진화,Melhore o Pokémon 5 vezes no total,อัพเกรดโปเกมอนรวม 5 ครั้ง,{gold=2000;rmb=10},
526,测试任务,100033,36,5,,累计精灵升级5次,累計精靈升級5次,Level up Pokémon 5 times in total,Tích luỹ tăng cấp Pokémon 5 lần,포켓몬 누적 5회 레벨업,Aumente o nível do Pokémon 5 vezes no total,เพิ่มเลเวลโปเกมอนทั้งหมด 5 ครั้ง,{gold=2000;rmb=10},
527,测试任务,100033,37,5,,累计精灵升星5次,累計精靈升星5次,Star up Pokémon 5 times in total,Tích luỹ tăng sao Pokémon 5 lần,포켓몬 누적 5회 승급,Star up Pokémon 5 vezes no total,อัพดาวโปเกมอนทั้งหมด 5 ครั้ง,{gold=2000;rmb=10},
528,测试任务,100033,38,5,,累计饰品强化5次,累計飾品強化5次,Enhance Trinket 5 times in total,Tích luỹ cường hoá Trang Sức 5 lần,액세서리 누적 5회 강화,Melhore o Trinket 5 vezes no total,ปรับปรุงเครื่องประดับทั้งหมด 5 ครั้ง,{gold=2000;rmb=10},
529,测试任务,100033,39,2,,累计饰品突破2次,累計飾品突破2次,Breakthrough trinket 2 times in total,Tích luỹ đột phá Trang Sức 2 lần,액세서리 누적 2회 돌파,Bugiganga de avanço 2 vezes no total,เครื่องประดับล้ำยุค 2 ครั้ง รวมทั้งหมด,{gold=2000;rmb=10},
530,测试任务,100033,40,2,,累计饰品升星2次,累計飾品升星2次,Star up trinket 2 times,Tích luỹ tăng sao Trang Sức 2 lần,액세서리 누적 2회 승급,Estrela para cima trinket 2 vezes,สตาร์อัพเครื่องประดับ 2 ครั้ง,{gold=2000;rmb=10},
531,测试任务,100033,41,5,,竞技场战斗5次,競技場戰鬥5次,Engage in arena battle for 5 times,Engage in arena battle for 5 times,아레나 전투 5회 진행,Participe de uma batalha de arena 5 vezes,เข้าร่วมการต่อสู้ในสนามประลอง 5 ครั้ง,{gold=2000;rmb=10},
532,测试任务,100033,43,500,,竞技场积分达到20,競技場積分達到20,Arena Points reach 20 Points,Arena Points reach 20 Points,아레나 포인트 20 달성,Pontos de Arena atingem 20 pontos,คะแนนอารีน่าถึง 20 คะแนน,{gold=2000;rmb=10},
533,测试任务,100033,44,10,,竞技场排名达到10,競技場排名達到10,Arena Ranking reach No.10,Arena Ranking reach No.10,아레나 순위 10위 달성,Ranking da Arena alcança a 10ª posição,อารีน่า แรงกิ้ง ขึ้นถึงอันดับที่ 10,{gold=2000;rmb=10},
534,测试任务,100033,46,2,,进行钻石10连抽2次,進行鑽石10連抽2次,Perform 10 consecutive diamond draw 2 times,Rút 10 Lần Diamond 2 lần,다이아 10연속 뽑기 2회 진행,Realize 10 sorteios de diamantes consecutivos 2 vezes,ทำการจับเพชรติดต่อกัน 10 ครั้ง จำนวน 2 ครั้ง,{gold=2000;rmb=10},
535,测试任务,100033,47,2,,进行钻石单抽2次,進行鑽石單抽2次,Perform Single Diamond Draw 2 times,Rút Diamond 2 lần,다이아 뽑기 2회 진행,Execute o Single Diamond Draw 2 vezes,ทำการจับฉลากเพชรเดี่ยว 2 ครั้ง,{gold=2000;rmb=10},
536,测试任务,100033,48,2,,进行金币10连抽2次,進行金幣10連抽2次,Perform 10 consecutive coin draw 2 times,Rút 10 Lần Gold 2 lần,코인 10연속 뽑기 2회 진행,Realize 10 sorteios consecutivos de moedas 2 vezes,ทำการจับสลากเหรียญติดต่อกัน 10 ครั้ง 2 ครั้ง,{gold=2000;rmb=10},
537,测试任务,100033,49,2,,进行金币单抽2次,進行金幣單抽2次,Perform Single Coin Draw 2 times,Rút Gold 2 lần,코인 뽑기 2회 진행,Realizar sorteio de moeda única 2 vezes,ทำการดึงเหรียญเดี่ยว 2 ครั้ง,{gold=2000;rmb=10},
538,测试任务,100033,50,6,,钻石抽卡5次,鑽石抽卡5次,Diamond Card Draw for 5 times,Rút Thẻ Diamond 5 lần,다이아 뽑기 5회,Sorteio de cartas diamante por 5 vezes,การจับฉลากการ์ดเพชร 5 ครั้ง,{gold=2000;rmb=10},
539,测试任务,100033,51,6,,金币抽卡5次,金幣抽卡5次,Perform Coin Card Draw 5 times,Rút Thẻ Gold 5 lần,코인 뽑기 5회,Realize o sorteio de cartas de moedas 5 vezes,ทำการดึงการ์ดเหรียญ 5 ครั้ง,{gold=2000;rmb=10},
540,测试任务,100033,52,6,,饰品抽卡5次,飾品抽卡5次,Draw Trinket Card 5 times,Rút Thẻ Trang Sức 5 lần,액세서리 뽑기 5회,Compre uma carta de bugiganga 5 vezes,จั่วการ์ด Trinket 5 ครั้ง,{gold=2000;rmb=10},
541,测试任务,100033,53,2,,进行饰品10连抽2次,進行飾品10連抽2次,Draw 10 trinkets consecutively for 2 times,Rút 10 Lần Trang Sức 2 lần,액세서리 10연속 뽑기 2회 진행,Desenhe 10 bugigangas consecutivamente por 2 vezes,ดึงเครื่องประดับ 10 ชิ้นติดต่อกัน 2 ครั้ง,{gold=2000;rmb=10},
542,测试任务,100033,54,2,,进行饰品单抽2次,進行飾品單抽2次,Perform Single Trinket Draw 2 times,Rút Trang Sức 2 lần,액세서리 뽑기 2회 진행,Realize o Single Trinket Draw 2 vezes,ทำการจับฉลาก Trinket ครั้งเดียว 2 ครั้ง,{gold=2000;rmb=10},
543,测试任务,100033,55,3,,公会捐献3次,公會捐獻3次,Donate to guild 3 times,Cống Hiến Guild 3 lần,길드 기부 3회,Doe para a guilda 3 vezes,บริจาคให้กิลด์ 3 ครั้ง,{gold=2000;rmb=10},
544,测试任务,100033,57,2,,公会发红包2次,公會發紅包2次,Give Red Envelope 2 times,Give Red Envelope 2 times,길드 보너스 2회 보내기,Dê o Envelope Vermelho 2 vezes,แจกอั่งเปา 2 ครั้ง,{gold=2000;rmb=10},
545,测试任务,100033,58,2,,公会抢红包2次,公會搶紅包2次,Grab Guild Red Packet 2 times,Cướp Lì Xì Guild 2 lần,길드 보너스 2회 얻기,Pegue o Pacote Vermelho da Guilda 2 vezes,รับซองแดงกิลด์ 2 ครั้ง,{gold=2000;rmb=10},
546,测试任务,100033,59,1,,参与公会副本1次,參與公會副本1次,Participate in Guild Dungeon 1 time,Tham gia Phụ Bản Guild 1 lần,길드 던전 1회 참가,Participe do Calabouço da Guilda 1 vez,เข้าร่วม Guild Dungeon 1 ครั้ง,{gold=2000;rmb=10},
547,测试任务,100033,60,2,,以太乐园通关2个房间,以太樂園通關2個房間,Clear 2 rooms in Aether Paradise,Vượt ải 2 Phòng Aether Paradise,에테르파라다이스 2개 방 클리어,Limpe 2 salas no Aether Paradise,เคลียร์ 2 ห้องใน Aether Paradise,{gold=2000;rmb=10},
548,测试任务,100033,61,6,,以太乐园宝箱开启6次,以太樂園寶箱開啟6次,Open Aether Paradise chest 6 times,Mở Rương Aether Paradise 6 lần,에테르파라다이스 보물상자 6회 개방,Abra o baú do Paraíso Etéreo 6 vezes,เปิดหีบ Aether Paradise 6 ครั้ง,{gold=2000;rmb=10},
549,测试任务,100033,62,100,,以太乐园当日积分达到100,以太樂園當日積分達到100,Attain 100 points in Aether Paradise on the day,Điểm Aether Paradise trong ngày đạt 100,에테르파라다이스 당일 포인트 100 달성,Alcance 100 pontos no Aether Paradise no dia,รับ 100 แต้มใน Aether Paradise ในวันนั้น,{gold=2000;rmb=10},
550,测试任务,100033,63,300,,以太乐园积分达到300,以太樂園積分達到300,Attain 300 points in Aether Paradise,Điểm Aether Paradise đạt 100,에테르파라다이스 포인트 300 달성,Alcance 300 pontos no Aether Paradise,รับ 300 คะแนนใน Aether Paradise,{gold=2000;rmb=10},
551,测试任务,100033,64,2,,随机试炼塔累计通过2层数,隨機試煉塔累計通過2層數,Clear 2 levels in random Trial Tower in total,Tích luỹ vượt 2 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 누적 2층 클리어,Limpe 2 níveis na Torre de Teste aleatória no total,เคลียร์ 2 ระดับในหอคอยทดลองแบบสุ่มทั้งหมด,{gold=2000;rmb=11},
552,测试任务,100033,66,3,,参与元素挑战胜利3次,參與元素挑戰勝利3次,Win Element Challenge 3 times,Chiến thắng Thách Đấu Nguyên Tố 3 lần,엘리멘탈 챌린지 3회 승리,Ganhe o Element Challenge 3 vezes,ชนะ Element Challenge 3 ครั้ง,{gold=2000;rmb=12},
553,测试任务,100033,67,3,,随机试炼塔最高通过3层数,隨機試煉塔最高通過3層數,Clear at most 3 levels in random Trial Tower,Vượt qua tối đa 3 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 최고 3층 클리어,Limpe no máximo 3 níveis na Torre de Teste aleatória,เคลียร์ได้มากสุด 3 ระดับในหอคอยทดลองแบบสุ่ม,{gold=2000;rmb=13},
554,测试任务,100033,70,3,,日常任务完成3次,日常任務完成3次,Complete daily quests 3 times,Hoàn thành nhiệm vụ hàng ngày 3 lần,일일 퀘스트 3회 완료,Complete missões diárias 3 vezes,ทำภารกิจประจำวันให้สำเร็จ 3 ครั้ง,{gold=2000;rmb=14},
555,测试任务,100033,83,3,,探险器组件升级3次,探險器組件升級3次,Level up Explorer Device Component 3 times,Tăng cấp linh kiện Explorer Device 3 lần,탐지기 부품 3회 레벨업,Aumente o nível do componente do dispositivo Explorer 3 vezes,อัพเลเวล Explorer Device Component 3 ครั้ง,{gold=2000;rmb=10},
556,测试任务,100033,84,3,,探险器激活/进阶3次,探險器啟動/進階3次,Explorer Device Activation/Upgrade 3 times,Kích hoạt/ Tăng bậc Explorer Device 3 lần,탐지기 3회 활성화/진급,Ativação/Atualização do Dispositivo Explorer 3 vezes,การเปิดใช้งาน/อัพเกรดอุปกรณ์ Explorer 3 ครั้ง,{gold=2000;rmb=10},
557,测试任务,100033,85,3,,完成派遣任务3次,完成派遣任務3次,Complete Dispatch Quest 3 times,Hoàn thành nhiệm vụ điều phái 3 lần,파견 퀘스트 3회 완료,Complete a missão Dispatch 3 vezes,ทำภารกิจจัดส่งให้สำเร็จ 3 ครั้ง,{gold=2000;rmb=10},
558,测试任务,100033,86,,{3=4},完成S品质派遣任务3次,完成S品質派遣任務3次,Complete S Dispatch Mission 3 times,Hoàn thành nhiệm vụ điều phái S 3 lần,S등급 파견 퀘스트 3회 완료,Complete a missão S Dispatch 3 vezes,สำเร็จภารกิจ S Dispatch 3 ครั้ง,{gold=2000;rmb=10},
559,测试任务,100033,87,3,,携带道具强化3次,攜帶道具強化3次,Enhance Held Items 3 times,Cường hoá Held Item 3 lần,휴대 아이템 3회 강화,Melhore os itens retidos 3 vezes,ปรับปรุงไอเทมที่ถืออยู่ 3 ครั้ง,{gold=2000;rmb=10},
560,测试任务,100033,88,3,,携带道具突破3次,攜帶道具突破3次,Breakthrough Held Items 3 times,Đột phá Held Item 3 lần,휴대 아이템 3회 돌파,Itens mantidos em Breakthrough 3 vezes,ไอเทมที่ถือไว้เพื่อการพัฒนา 3 ครั้ง,{gold=2000;rmb=10},
561,测试任务,100033,89,20,,努力值培养20次,努力值培養20次,Train EV for 20 times,Bồi dưỡng Nỗ Lực 20 lần,노력치 20회 육성,Treine EV por 20 vezes,ฝึก EV 20 ครั้ง,{gold=2000;rmb=10},
562,测试任务,100033,90,10,,努力值普通培养10次,努力值普通培養10次,Perform Normal EV Training for 10 times,Bồi dưỡng thường Nỗ Lực 10 lần,노력치 일반 육성 10회,Execute o treinamento EV normal por 10 vezes,ฝึก EV ตามปกติ 10 ครั้ง,{gold=2000;rmb=10},
563,测试任务,100033,91,10,,努力值高级培养10次,努力值高級培養10次,Train Advanced EV for 10 times,Bồi dưỡng cao cấp Nỗ Lực 10 lần,노력치 고급 육성 10회,Treine EV avançado por 10 vezes,ฝึก EV ขั้นสูง 10 ครั้ง,{gold=2000;rmb=10},
564,测试任务,100033,92,3,,潜能升级3次,潛能升級3次,Upgrade potential ability 3 times,Tăng cấp Tiềm Năng 3 lần,잠재력 3회 레벨업,Melhore a habilidade potencial 3 vezes,อัพเกรดศักยภาพความสามารถ 3 เท่า,{gold=2000;rmb=10},
565,测试任务,100033,95,10,,限定抽卡10次,限定抽卡10次,Perform Limited Draw 10 times,Rút Thẻ Giới Hạn 10 lần,한정 뽑기 10회,Execute Sorteio Limitado 10 vezes,ทำการดรอว์จำกัด 10 ครั้ง,{gold=2000;rmb=10},
566,测试任务,100033,96,3,,钻石和限定抽卡3次,鑽石和限定抽卡3次,Perform Diamond and Limited Draw 3 times,Rút Thẻ Diamond và Giới Hạn 3 lần,다이아 및 한정 뽑기 3회,Execute Diamond e Limited Draw 3 vezes,ทำ Diamond และ Limited Draw 3 ครั้ง,{gold=2000;rmb=10},
,,,,,,,,,,,,,,
601,测试任务,100034,64,2,,随机试炼塔累计通过2层数,隨機試煉塔累計通過2層數,Clear 2 levels in random Trial Tower in total,Tích luỹ vượt 2 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 누적 2층 클리어,Limpe 2 níveis na Torre de Teste aleatória no total,เคลียร์ 2 ระดับในหอคอยทดลองแบบสุ่มทั้งหมด,{gold=2000;rmb=11},
