变量名,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award
1002,10001,2,新手福利第2天,新手福利第2天,Newbie Welfare Day 2,Phúc Lợi Tân Thủ Ngày 2,신규 혜택 2일 차,"Benefícios para novatos, dia 2",สิทธิประโยชน์สำหรับมือใหม่ วันที่ 2,{card={id=271};rmb=100;31201=1;gold=10000}
1003,10001,3,新手福利第3天,新手福利第3天,Newbie Welfare Day 3,Phúc Lợi Tân Thủ Ngày 3,신규 혜택 3일 차,"Benefícios para novatos, dia 3",สิทธิประโยชน์สำหรับมือใหม่ วันที่ 3,{card={id=391};rmb=100;13=20;gold=12000}
1004,10001,4,新手福利第4天,新手福利第4天,Newbie Welfare Day 4,Phúc Lợi Tân Thủ Ngày 4,신규 혜택 4일 차,"Benefícios para novatos, dia 4",สิทธิประโยชน์สำหรับมือใหม่ วันที่ 4,{rmb=120;100=3;503=2;gold=12000}
1005,10001,5,新手福利第5天,新手福利第5天,Newbie Welfare Day 5,Phúc Lợi Tân Thủ Ngày 5,신규 혜택 5일 차,"Benefícios para novatos, dia 5",สิทธิประโยชน์สำหรับมือใหม่ วันที่ 5,{rmb=120;501=1;451=30;gold=15000}
1006,10001,6,新手福利第6天,新手福利第6天,Newbie Welfare Day 6,Phúc Lợi Tân Thủ Ngày 6,신규 혜택 6일 차,"Benefícios para novatos, dia 6",สิทธิประโยชน์สำหรับมือใหม่ วันที่ 6,{rmb=120;talent_point=3;502=2;gold=20000}
1007,10001,7,新手福利第7天,新手福利第7天,Newbie Welfare Day 7,Phúc Lợi Tân Thủ Ngày 7,신규 혜택 7일 차,Benefícios para novatos dia 7,สิทธิประโยชน์สำหรับมือใหม่ วันที่ 7,{card={id=771};rmb=150;13=20;gold=30000}
,,,,,,,,,,
1101,11001,1,连续登录第1天,連續登錄第1天,Consecutive Login Day 1,Đăng Nhập Liên Tục Ngày 1,연속 로그인 1일 차,Faça login pelo 1º dia consecutivo,เข้าสู่ระบบเป็นวันที่ 1 ติดต่อกัน,{rmb=100;}
1102,11001,2,连续登录第2天,連續登錄第2天,Consecutive Login Day 2,Đăng Nhập Liên Tục Ngày 2,연속 로그인 2일 차,Faça login pelo 2º dia consecutivo,เข้าสู่ระบบเป็นวันที่ 2 ติดต่อกัน,{card={id=271};rmb=100;}
1103,11001,3,连续登录第3天,連續登錄第3天,Consecutive Login Day 3,Đăng Nhập Liên Tục Ngày 3,연속 로그인 3일 차,Faça login pelo terceiro dia consecutivo,เข้าสู่ระบบเป็นวันที่ 3 ติดต่อกัน,{card={id=391};rmb=100;13=20}
1104,11001,4,连续登录第4天,連續登錄第4天,Consecutive Login Day 4,Đăng Nhập Liên Tục Ngày 4,연속 로그인 4일 차,Faça login pelo 4º dia consecutivo,เข้าสู่ระบบเป็นวันที่ 4 ติดต่อกัน,{rmb=120;100=3;503=2;gold=12000}
1105,11001,5,连续登录第5天,連續登錄第5天,Consecutive Login Day 5,Đăng Nhập Liên Tục Ngày 5,연속 로그인 5일 차,Faça login pelo 5º dia consecutivo,เข้าสู่ระบบเป็นวันที่ 5 ติดต่อกัน,{rmb=120;501=1;451=30;gold=15000}
1106,11001,6,连续登录第6天,連續登錄第6天,Consecutive Login Day 6,Đăng Nhập Liên Tục Ngày 6,연속 로그인 6일 차,Faça login pelo 6º dia consecutivo,เข้าสู่ระบบเป็นวันที่ 6 ติดต่อกัน,{rmb=120;talent_point=3;502=2;gold=20000}
1107,11001,7,连续登录第7天,連續登錄第7天,Consecutive Login Day 7,Đăng Nhập Liên Tục Ngày 7,연속 로그인 7일 차,Faça login pelo 7º dia consecutivo,เข้าสู่ระบบเป็นวันที่ 7 ติดต่อกัน,{card={id=771};rmb=150;13=20;gold=30000}
,,,,,,,,,,
1201,12001,1,对应天数第1天,對應天數第1天,Corresponding Day 1,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,Dia 1 correspondente,ตรงกับวันที่ 1,{rmb=100;}
1202,12001,2,对应天数第2天,對應天數第2天,Corresponding Day 2,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,Dia correspondente 2,ตรงกับวันที่ 2,{card={id=271};rmb=100;}
1203,12001,3,对应天数第3天,對應天數第3天,Corresponding Day 3,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,Dia correspondente 3,ตรงกับวันที่ 3,{card={id=391};rmb=100;13=20}
1204,12001,4,对应天数第4天,對應天數第4天,Corresponding Day 4,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,Dia correspondente 4,ตรงกับวันที่ 4,{rmb=120;100=3;503=2;gold=12000}
1205,12001,5,对应天数第5天,對應天數第5天,Corresponding Day 5,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,Dia 5 correspondente,ตรงกับวันที่ 5,{rmb=120;501=1;451=30;gold=15000}
1206,12001,6,对应天数第6天,對應天數第6天,Corresponding Day 6,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,Dia 6 correspondente,ตรงกับวันที่ 6,{rmb=120;talent_point=3;502=2;gold=20000}
1207,12001,7,对应天数第7天,對應天數第7天,Corresponding Day 7,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,Dia correspondente 7,ตรงกับวันที่ 7,{card={id=771};rmb=150;13=20;gold=30000}
1208,12001,8,对应天数第8天,對應天數第8天,Corresponding Day 8,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,Dia correspondente 8,ตรงกับวันที่ 8,{rmb=100;519=10;930=5;gold=10000}
1209,12001,9,对应天数第9天,對應天數第9天,Corresponding Day 9,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,Dia correspondente 9,ตรงกับวันที่ 9,{card={id=271};rmb=100;31201=1;gold=10000}
1210,12001,10,对应天数第10天,對應天數第10天,Corresponding Day 10,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,Dia correspondente 10,ตรงกับวันที่ 10,{card={id=391};rmb=100;13=20;gold=12000}
,,,,,,,,,,
1301,13001,1,对应天数第1天,對應天數第1天,Corresponding Day 1,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,Dia 1 correspondente,ตรงกับวันที่ 1,{528=10}
1302,13001,2,对应天数第2天,對應天數第2天,Corresponding Day 2,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,Dia correspondente 2,ตรงกับวันที่ 2,{528=10}
1303,13001,3,对应天数第3天,對應天數第3天,Corresponding Day 3,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,Dia correspondente 3,ตรงกับวันที่ 3,{528=10}
1304,13001,4,对应天数第4天,對應天數第4天,Corresponding Day 4,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,Dia correspondente 4,ตรงกับวันที่ 4,{528=10}
1305,13001,5,对应天数第5天,對應天數第5天,Corresponding Day 5,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,Dia 5 correspondente,ตรงกับวันที่ 5,{528=10}
1306,13001,6,对应天数第6天,對應天數第6天,Corresponding Day 6,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,Dia 6 correspondente,ตรงกับวันที่ 6,{528=10}
1307,13001,7,对应天数第7天,對應天數第7天,Corresponding Day 7,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,Dia correspondente 7,ตรงกับวันที่ 7,{528=10}
1308,13001,8,对应天数第8天,對應天數第8天,Corresponding Day 8,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,Dia correspondente 8,ตรงกับวันที่ 8,{528=10}
1309,13001,9,对应天数第9天,對應天數第9天,Corresponding Day 9,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,Dia correspondente 9,ตรงกับวันที่ 9,{528=10}
1310,13001,10,对应天数第10天,對應天數第10天,Corresponding Day 10,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,Dia correspondente 10,ตรงกับวันที่ 10,{528=10}
1311,13001,11,对应天数第11天,對應天數第11天,Corresponding Day 11,Số Ngày Tương Ứng Ngày 11,대응 일수 11일 차,Dia 11 correspondente,ตรงกับวันที่ 11,{528=10}
1312,13001,12,对应天数第12天,對應天數第12天,Corresponding Day 12,Số Ngày Tương Ứng Ngày 12,대응 일수 12일 차,Dia 12 correspondente,ตรงกับวันที่ 12,{528=10}
1313,13001,13,对应天数第13天,對應天數第13天,Corresponding Day 13,Số Ngày Tương Ứng Ngày 13,대응 일수 13일 차,Dia correspondente 13,ตรงกับวันที่ 13,{528=10}
1314,13001,14,对应天数第14天,對應天數第14天,Corresponding Day 14,Số Ngày Tương Ứng Ngày 14,대응 일수 14일 차,Dia correspondente 14,ตรงกับวันที่ 14,{528=10}
1315,13001,15,对应天数第15天,對應天數第15天,Corresponding Day 15,Số Ngày Tương Ứng Ngày 15,대응 일수 15일 차,Dia correspondente 15,ตรงกับวันที่ 15,{528=10}
1316,13001,16,对应天数第16天,對應天數第16天,Corresponding Day 16,Số Ngày Tương Ứng Ngày 16,대응 일수 16일 차,Dia correspondente 16,ตรงกับวันที่ 16,{528=10}
,,,,,,,,,,
1321,13002,1,对应天数第1天,對應天數第1天,Corresponding Day 1,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,Dia 1 correspondente,ตรงกับวันที่ 1,{6376=5;6372=3;6373=3;6374=3;6375=1}
1322,13002,2,对应天数第2天,對應天數第2天,Corresponding Day 2,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,Dia correspondente 2,ตรงกับวันที่ 2,{6376=5;6372=3;6373=3;6374=3;6375=1}
1323,13002,3,对应天数第3天,對應天數第3天,Corresponding Day 3,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,Dia correspondente 3,ตรงกับวันที่ 3,{6376=5;6372=3;6373=3;6374=3;6375=1}
1324,13002,4,对应天数第4天,對應天數第4天,Corresponding Day 4,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,Dia correspondente 4,ตรงกับวันที่ 4,{6376=5;6372=3;6373=3;6374=3;6375=1}
1325,13002,5,对应天数第5天,對應天數第5天,Corresponding Day 5,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,Dia 5 correspondente,ตรงกับวันที่ 5,{6376=5;6372=3;6373=3;6374=3;6375=1}
1326,13002,6,对应天数第6天,對應天數第6天,Corresponding Day 6,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,Dia 6 correspondente,ตรงกับวันที่ 6,{6376=5;6372=3;6373=3;6374=3;6375=1}
1327,13002,7,对应天数第7天,對應天數第7天,Corresponding Day 7,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,Dia correspondente 7,ตรงกับวันที่ 7,{6376=5;6372=3;6373=3;6374=3;6375=1}
1328,13002,8,对应天数第8天,對應天數第8天,Corresponding Day 8,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,Dia correspondente 8,ตรงกับวันที่ 8,{6376=5;6372=3;6373=3;6374=3;6375=1}
1329,13002,9,对应天数第9天,對應天數第9天,Corresponding Day 9,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,Dia correspondente 9,ตรงกับวันที่ 9,{6376=5;6372=3;6373=3;6374=3;6375=1}
1330,13002,10,对应天数第10天,對應天數第10天,Corresponding Day 10,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,Dia correspondente 10,ตรงกับวันที่ 10,{6376=5;6372=3;6373=3;6374=3;6375=1}
1331,13002,11,对应天数第11天,對應天數第11天,Corresponding Day 11,Số Ngày Tương Ứng Ngày 11,대응 일수 11일 차,Dia 11 correspondente,ตรงกับวันที่ 11,{6376=5;6372=3;6373=3;6374=3;6375=1}
1332,13002,12,对应天数第12天,對應天數第12天,Corresponding Day 12,Số Ngày Tương Ứng Ngày 12,대응 일수 12일 차,Dia 12 correspondente,ตรงกับวันที่ 12,{6376=5;6372=3;6373=3;6374=3;6375=1}
1333,13002,13,对应天数第13天,對應天數第13天,Corresponding Day 13,Số Ngày Tương Ứng Ngày 13,대응 일수 13일 차,Dia correspondente 13,ตรงกับวันที่ 13,{6376=5;6372=3;6373=3;6374=3;6375=1}
1334,13002,14,对应天数第14天,對應天數第14天,Corresponding Day 14,Số Ngày Tương Ứng Ngày 14,대응 일수 14일 차,Dia correspondente 14,ตรงกับวันที่ 14,{6376=5;6372=3;6373=3;6374=3;6375=1}
1335,13002,15,对应天数第15天,對應天數第15天,Corresponding Day 15,Số Ngày Tương Ứng Ngày 15,대응 일수 15일 차,Dia correspondente 15,ตรงกับวันที่ 15,{6376=5;6372=3;6373=3;6374=3;6375=1}
1336,13002,16,对应天数第16天,對應天數第16天,Corresponding Day 16,Số Ngày Tương Ứng Ngày 16,대응 일수 16일 차,Dia correspondente 16,ตรงกับวันที่ 16,{6376=5;6372=3;6373=3;6374=3;6375=1}
,,,,,,,,,,
1341,13003,1,对应天数第1天,對應天數第1天,Corresponding Day 1,Số Ngày Tương Ứng Ngày 1,대응 일수 1일 차,Dia 1 correspondente,ตรงกับวันที่ 1,{6372=3;6373=3;6374=3;6375=1}
1342,13003,2,对应天数第2天,對應天數第2天,Corresponding Day 2,Số Ngày Tương Ứng Ngày 2,대응 일수 2일 차,Dia correspondente 2,ตรงกับวันที่ 2,{6372=3;6373=3;6374=3;6375=1}
1343,13003,3,对应天数第3天,對應天數第3天,Corresponding Day 3,Số Ngày Tương Ứng Ngày 3,대응 일수 3일 차,Dia correspondente 3,ตรงกับวันที่ 3,{6372=3;6373=3;6374=3;6375=1}
1344,13003,4,对应天数第4天,對應天數第4天,Corresponding Day 4,Số Ngày Tương Ứng Ngày 4,대응 일수 4일 차,Dia correspondente 4,ตรงกับวันที่ 4,{6372=3;6373=3;6374=3;6375=1}
1345,13003,5,对应天数第5天,對應天數第5天,Corresponding Day 5,Số Ngày Tương Ứng Ngày 5,대응 일수 5일 차,Dia 5 correspondente,ตรงกับวันที่ 5,{6372=3;6373=3;6374=3;6375=1}
1346,13003,6,对应天数第6天,對應天數第6天,Corresponding Day 6,Số Ngày Tương Ứng Ngày 6,대응 일수 6일 차,Dia 6 correspondente,ตรงกับวันที่ 6,{6372=3;6373=3;6374=3;6375=1}
1347,13003,7,对应天数第7天,對應天數第7天,Corresponding Day 7,Số Ngày Tương Ứng Ngày 7,대응 일수 7일 차,Dia correspondente 7,ตรงกับวันที่ 7,{6372=3;6373=3;6374=3;6375=1}
1348,13003,8,对应天数第8天,對應天數第8天,Corresponding Day 8,Số Ngày Tương Ứng Ngày 8,대응 일수 8일 차,Dia correspondente 8,ตรงกับวันที่ 8,{6372=3;6373=3;6374=3;6375=1}
1349,13003,9,对应天数第9天,對應天數第9天,Corresponding Day 9,Số Ngày Tương Ứng Ngày 9,대응 일수 9일 차,Dia correspondente 9,ตรงกับวันที่ 9,{6372=3;6373=3;6374=3;6375=1}
1350,13003,10,对应天数第10天,對應天數第10天,Corresponding Day 10,Số Ngày Tương Ứng Ngày 10,대응 일수 10일 차,Dia correspondente 10,ตรงกับวันที่ 10,{6372=3;6373=3;6374=3;6375=1}
1351,13003,11,对应天数第11天,對應天數第11天,Corresponding Day 11,Số Ngày Tương Ứng Ngày 11,대응 일수 11일 차,Dia 11 correspondente,ตรงกับวันที่ 11,{6372=3;6373=3;6374=3;6375=1}
1352,13003,12,对应天数第12天,對應天數第12天,Corresponding Day 12,Số Ngày Tương Ứng Ngày 12,대응 일수 12일 차,Dia 12 correspondente,ตรงกับวันที่ 12,{6372=3;6373=3;6374=3;6375=1}
1353,13003,13,对应天数第13天,對應天數第13天,Corresponding Day 13,Số Ngày Tương Ứng Ngày 13,대응 일수 13일 차,Dia correspondente 13,ตรงกับวันที่ 13,{6372=3;6373=3;6374=3;6375=1}
1354,13003,14,对应天数第14天,對應天數第14天,Corresponding Day 14,Số Ngày Tương Ứng Ngày 14,대응 일수 14일 차,Dia correspondente 14,ตรงกับวันที่ 14,{6372=3;6373=3;6374=3;6375=1}
1355,13003,15,对应天数第15天,對應天數第15天,Corresponding Day 15,Số Ngày Tương Ứng Ngày 15,대응 일수 15일 차,Dia correspondente 15,ตรงกับวันที่ 15,{6372=3;6373=3;6374=3;6375=1}
1356,13003,16,对应天数第16天,對應天數第16天,Corresponding Day 16,Số Ngày Tương Ứng Ngày 16,대응 일수 16일 차,Dia correspondente 16,ตรงกับวันที่ 16,{6372=3;6373=3;6374=3;6375=1}
,,,,,,,,,,
10181,10012,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=188;520=2;gold=100000;2301=1}
10182,10012,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=188;503=3;gold=100000;13=10}
10183,10012,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=188;519=2;gold=100000;2009=1}
10184,10012,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=188;502=3;gold=100000;13=15}
10185,10012,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=188;19=5;gold=100000;13=20}
10186,10012,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=188;6050=1;gold=100000;13=20}
10187,10012,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=188;501=2;gold=100000;2401=1}
10188,10012,8,累计登录8天,累計登錄8天,Cumulative Login for 8 days,Tích luỹ đăng nhập 8 ngày,누적 8일 로그인,Conectado por 8 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 8 วัน,{card={id=9002};rmb=188;gold=100000;13=25}
10189,10012,9,累计登录9天,累計登錄9天,Cumulative Login for 9 days,Tích luỹ đăng nhập 9 ngày,누적 9일 로그인,Conectado por 9 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 9 วัน,{rmb=188;502=10;gold=100000;13=30}
,,,,,,,,,,
10191,10013,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=100;520=2;gold=100000;2313=1}
10192,10013,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=100;503=3;gold=100000;13=10}
10193,10013,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=100;519=2;gold=100000;13=15}
10194,10013,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=188;502=3;gold=100000;13=15}
10195,10013,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=100;19=5;gold=100000;13=20}
10196,10013,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=100;501=2;gold=100000;13=20}
10197,10013,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=188;521=3;gold=100000;13=20}
,,,,,,,,,,
10201,2152,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{6381=3;6385=1;6386=1}
10202,2152,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{6381=3;6387=1;6388=1}
10203,2152,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{6381=3;6389=1;6390=1}
10204,2152,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{6381=3;6385=1;6386=1}
10205,2152,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{6381=3;6387=1;6388=1}
10206,2152,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{6381=3;6389=1;6390=1}
10207,2152,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{6381=3;6385=1;6386=1}
,,,,,,,,,,
10211,10014,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=1000;520=2;gold=100000;23961=5}
10212,10014,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=1000;503=3;gold=100000;23961=10}
10213,10014,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=1000;519=2;gold=100000;23961=15}
10214,10014,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=1888;502=3;gold=100000;23961=20}
10215,10014,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=1000;519=15;521=5;501=10}
