变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,lowNum,middleNum,highNum,totalNum,targetNum,timeDown,fasterSpeed,extraProbability,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,attrType7,attrNum7,attrType8,attrNum8
12,强力垂钓者II,強力垂釣者II,Senior Fisherman II,Ngư Thủ Cao Thủ II,강한 낚시꾼II,Pescador Sênior II,นักตกปลาอาวุโส II,270,100,41,0,{},0.22,0.22,0.12,1,25320,13,600,7,8445,8,8445,9,2475,10,2475,22,720,23,720
13,强力垂钓者I,強力垂釣者I,Senior Fisherman I,Ngư Thủ Cao Thủ I,강한 낚시꾼I,Pescador Sênior I,นักตกปลาอาวุโส I,300,115,46,0,{},0.24,0.24,0.13,1,28350,13,650,7,9450,8,9450,9,2775,10,2775,22,780,23,780
14,高级垂钓者III,高級垂釣者III,Advanced Fisherman III,Ngư Thủ Chuyên Nghiệp III,고급 낚시꾼III,Pescador Avançado III,นักตกปลาขั้นสูง III,340,125,51,0,{},0.26,0.26,0.14,1,32400,13,700,7,10800,8,10800,9,3150,10,3150,22,840,23,840
15,高级垂钓者II,高級垂釣者II,Advanced Fisherman II,Ngư Thủ Chuyên Nghiệp II,고급 낚시꾼II,Pescador Avançado II,นักตกปลาขั้นสูง II,370,140,56,0,{},0.28,0.28,0.15,1,36450,13,750,7,12150,8,12150,9,3600,10,3600,22,900,23,900
16,高级垂钓者,高級垂釣者,Advanced Fisherman,Ngư Thủ Chuyên Nghiệp,고급 낚시꾼I,Pescador Avançado,นักตกปลาขั้นสูง,410,150,61,0,{},0.3,0.3,0.16,1,40500,13,800,7,13500,8,13500,9,4050,10,4050,22,960,23,960
17,大师级垂钓者III,大師級垂釣者III,Master Fisherman III,Bậc Thầy Câu Cá III,대가 낚시꾼III,Mestre Pescador III,ปรมาจารย์นักตกปลา III,450,170,68,0,{},0.32,0.32,0.17,1,44550,13,850,7,14850,8,14850,9,4350,10,4350,22,1020,23,1020
18,大师级垂钓者II,大師級垂釣者II,Master Fisherman II,Bậc Thầy Câu Cá II,대가 낚시꾼II,Mestre Pescador II,ปรมาจารย์นักตกปลา II,490,185,74,0,{},0.34,0.34,0.18,1,48600,13,900,7,16200,8,16200,9,4770,10,4770,22,1080,23,1080
19,大师级垂钓者I,大師級垂釣者I,Master Fisherman I,Bậc Thầy Câu Cá I,대가 낚시꾼I,Mestre Pescador I,ปรมาจารย์นักตกปลา I,530,200,81,0,{},0.37,0.37,0.19,1,52650,13,950,7,17550,8,17550,9,5160,10,5160,22,1140,23,1140
20,垂钓宗师III,垂釣宗師III,Fishing LordIII,Vua Câu Cá III,낚시 의 종사III,Lorde Pescador III,ราชันย์นักตกปลา III,640,240,81,0,{},0.4,0.4,0.2,1,60750,13,1000,7,20250,8,20250,9,5940,10,5940,22,1200,23,1200
21,垂钓宗师II,垂釣宗師II,Fishing LordII,Vua Câu Cá II,낚시 의 종사II,Lorde Pescador II,ราชันย์นักตกปลา II,790,295,99,0,{},0.405,0.405,0.203,1,68850,13,1050,7,22950,8,22950,9,6720,10,6720,22,1260,23,1260
22,垂钓宗师I,垂釣宗師I,Fishing LordI,Vua Câu Cá I,낚시 의 종사I,Lorde Pescador I,ราชันย์นักตกปลา I,1000,375,126,0,{},0.41,0.41,0.206,1,76950,13,1100,7,25650,8,25650,9,7500,10,7500,22,1320,23,1320
23,垂钓至尊III,垂釣至尊III,Supreme Angler III,Chí Tôn Câu Cá III,낚시 지존 III,Pescador Supremo III,สุดยอดนักตกปลา III,1290,485,162,0,{},0.415,0.415,0.209,1,85050,13,1150,7,28350,8,28350,9,8280,10,8280,22,1380,23,1380
24,垂钓至尊II,垂釣至尊II,Supreme Angler II,Chí Tôn Câu Cá II,낚시 지존 II,Pescador Supremo II,สุดยอดนักตกปลา II,1720,645,216,0,{},0.42,0.42,0.212,1,93150,13,1200,7,31050,8,31050,9,9060,10,9060,22,1440,23,1440
25,垂钓至尊I,垂釣至尊I,Supreme Angler I,Chí Tôn Câu Cá I,낚시 지존 I,Pescador Supremo I,สุดยอดนักตกปลา I,3500,1200,500,0,{},0.425,0.425,0.215,1,101250,13,1250,7,33750,8,33750,9,9840,10,9840,22,1500,23,1500
