变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6
130,2689,2689,4034,5916,9142,13445
131,2716,2716,4074,5975,9234,13579
132,2743,2743,4115,6035,9326,13715
133,2770,2770,4156,6095,9419,13852
134,2798,2798,4198,6156,9514,13991
135,2826,2826,4240,6217,9609,14131
136,2854,2854,4282,6280,9705,14272
137,2883,2883,4325,6342,9802,14415
138,2912,2912,4368,6406,9900,14559
139,2941,2941,4412,6470,9999,14704
140,2970,2970,4456,6535,10099,14851
141,3000,3000,4501,6600,10200,15000
142,3030,3030,4546,6666,10302,15150
143,3060,3060,4591,6733,10405,15301
144,3091,3091,4637,6800,10509,15454
145,3122,3122,4683,6868,10614,15609
146,3153,3153,4730,6937,10720,15765
147,3185,3185,4778,7006,10827,15923
148,3216,3216,4825,7076,10936,16082
149,3249,3249,4874,7147,11045,16243
150,3281,3281,4922,7218,11156,16405
151,3314,3314,4972,7290,11267,16569
152,3347,3347,5021,7363,11380,16735
153,3380,3380,5072,7437,11494,16902
154,3414,3414,5122,7511,11608,17071
155,3448,3448,5173,7586,11725,17242
156,3483,3483,5225,7662,11842,17414
157,3518,3518,5277,7739,11960,17589
158,3553,3553,5330,7816,12080,17764
159,3588,3588,5384,7895,12201,17942
160,3624,3624,5437,7973,12323,18122
161,3661,3661,5492,8053,12446,18303
162,3697,3697,5547,8134,12570,18486
163,3734,3734,5602,8215,12696,18671
164,3771,3771,5658,8297,12823,18857
165,3809,3809,5715,8380,12951,19046
166,3847,3847,5772,8464,13081,19236
167,3886,3886,5830,8549,13212,19429
168,3925,3925,5888,8634,13344,19623
169,3964,3964,5947,8720,13477,19819
170,4003,4003,6006,8808,13612,20017
171,4044,4044,6066,8896,13748,20218
172,4084,4084,6127,8985,13885,20420
173,4125,4125,6188,9075,14024,20624
174,4166,4166,6250,9165,14165,20830
175,4208,4208,6313,9257,14306,21039
176,4250,4250,6376,9350,14449,21249
177,4292,4292,6440,9443,14594,21461
178,4335,4335,6504,9537,14740,21676
179,4379,4379,6569,9633,14887,21893
180,4422,4422,6635,9729,15036,22112
181,4467,4467,6701,9826,15186,22333
182,4511,4511,6768,9925,15338,22556
183,4556,4556,6836,10024,15492,22782
184,4602,4602,6904,10124,15647,23010
185,4648,4648,6973,10225,15803,23240
186,4694,4694,7043,10328,15961,23472
187,4741,4741,7113,10431,16121,23707
188,4789,4789,7184,10535,16282,23944
189,4837,4837,7256,10641,16445,24183
190,4885,4885,7329,10747,16609,24425
191,4934,4934,7402,10855,16775,24669
192,4983,4983,7476,10963,16943,24916
193,5033,5033,7551,11073,17112,25165
194,5083,5083,7626,11183,17283,25417
195,5134,5134,7703,11295,17456,25671
196,5186,5186,7780,11408,17631,25928
197,5237,5237,7857,11522,17807,26187
198,5290,5290,7936,11638,17985,26449
199,5343,5343,8015,11754,18165,26713
200,5396,5396,8096,11871,18347,26981
