变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6
默认值,{},{},{},{},{},{}
ID,升级消耗序列1,升级消耗序列2,升级消耗序列3,升级消耗序列4,升级消耗序列5,升级消耗序列6
56,{529=135;gold=16200},{529=135;gold=16200},{529=203;gold=24300},{529=297;gold=35640},{529=459;gold=55080},{529=675;gold=81000}
57,{529=135;gold=16200},{529=135;gold=16200},{529=203;gold=24300},{529=297;gold=35640},{529=459;gold=55080},{529=675;gold=81000}
58,{529=140;gold=16800},{529=140;gold=16800},{529=210;gold=25200},{529=308;gold=36960},{529=476;gold=57120},{529=700;gold=84000}
59,{529=140;gold=16800},{529=140;gold=16800},{529=210;gold=25200},{529=308;gold=36960},{529=476;gold=57120},{529=700;gold=84000}
60,{529=140;gold=16800},{529=140;gold=16800},{529=210;gold=25200},{529=308;gold=36960},{529=476;gold=57120},{529=700;gold=84000}
61,{529=145;gold=17400},{529=145;gold=17400},{529=218;gold=26100},{529=319;gold=38280},{529=493;gold=59160},{529=725;gold=87000}
62,{529=145;gold=17400},{529=145;gold=17400},{529=218;gold=26100},{529=319;gold=38280},{529=493;gold=59160},{529=725;gold=87000}
63,{529=150;gold=18000},{529=150;gold=18000},{529=225;gold=27000},{529=330;gold=39600},{529=510;gold=61200},{529=750;gold=90000}
64,{529=150;gold=18000},{529=150;gold=18000},{529=225;gold=27000},{529=330;gold=39600},{529=510;gold=61200},{529=750;gold=90000}
65,{529=150;gold=18000},{529=150;gold=18000},{529=225;gold=27000},{529=330;gold=39600},{529=510;gold=61200},{529=750;gold=90000}
66,{529=155;gold=18600},{529=155;gold=18600},{529=233;gold=27900},{529=341;gold=40920},{529=527;gold=63240},{529=775;gold=93000}
67,{529=155;gold=18600},{529=155;gold=18600},{529=233;gold=27900},{529=341;gold=40920},{529=527;gold=63240},{529=775;gold=93000}
68,{529=160;gold=19200},{529=160;gold=19200},{529=240;gold=28800},{529=352;gold=42240},{529=544;gold=65280},{529=800;gold=96000}
69,{529=160;gold=19200},{529=160;gold=19200},{529=240;gold=28800},{529=352;gold=42240},{529=544;gold=65280},{529=800;gold=96000}
70,{529=165;gold=19800},{529=165;gold=19800},{529=248;gold=29700},{529=363;gold=43560},{529=561;gold=67320},{529=825;gold=99000}
71,{529=165;gold=19800},{529=165;gold=19800},{529=248;gold=29700},{529=363;gold=43560},{529=561;gold=67320},{529=825;gold=99000}
72,{529=170;gold=20400},{529=170;gold=20400},{529=255;gold=30600},{529=374;gold=44880},{529=578;gold=69360},{529=850;gold=102000}
73,{529=175;gold=21000},{529=175;gold=21000},{529=263;gold=31500},{529=385;gold=46200},{529=595;gold=71400},{529=875;gold=105000}
74,{529=180;gold=21600},{529=180;gold=21600},{529=270;gold=32400},{529=396;gold=47520},{529=612;gold=73440},{529=900;gold=108000}
75,{529=190;gold=22800},{529=190;gold=22800},{529=285;gold=34200},{529=418;gold=50160},{529=646;gold=77520},{529=950;gold=114000}
76,{529=200;gold=24000},{529=200;gold=24000},{529=300;gold=36000},{529=440;gold=52800},{529=680;gold=81600},{529=1000;gold=120000}
77,{529=220;gold=26400},{529=220;gold=26400},{529=330;gold=39600},{529=484;gold=58080},{529=748;gold=89760},{529=1100;gold=132000}
78,{529=220;gold=26400},{529=220;gold=26400},{529=330;gold=39600},{529=484;gold=58080},{529=748;gold=89760},{529=1100;gold=132000}
79,{529=240;gold=28800},{529=240;gold=28800},{529=360;gold=43200},{529=528;gold=63360},{529=816;gold=97920},{529=1200;gold=144000}
80,{529=240;gold=28800},{529=240;gold=28800},{529=360;gold=43200},{529=528;gold=63360},{529=816;gold=97920},{529=1200;gold=144000}
81,{529=260;gold=31200},{529=260;gold=31200},{529=390;gold=46800},{529=572;gold=68640},{529=884;gold=106080},{529=1300;gold=156000}
82,{529=280;gold=33600},{529=280;gold=33600},{529=420;gold=50400},{529=616;gold=73920},{529=952;gold=114240},{529=1400;gold=168000}
83,{529=280;gold=33600},{529=280;gold=33600},{529=420;gold=50400},{529=616;gold=73920},{529=952;gold=114240},{529=1400;gold=168000}
84,{529=300;gold=36000},{529=300;gold=36000},{529=450;gold=54000},{529=660;gold=79200},{529=1020;gold=122400},{529=1500;gold=180000}
85,{529=320;gold=38400},{529=320;gold=38400},{529=480;gold=57600},{529=704;gold=84480},{529=1088;gold=130560},{529=1600;gold=192000}
86,{529=340;gold=40800},{529=340;gold=40800},{529=510;gold=61200},{529=748;gold=89760},{529=1156;gold=138720},{529=1700;gold=204000}
87,{529=360;gold=43200},{529=360;gold=43200},{529=540;gold=64800},{529=792;gold=95040},{529=1224;gold=146880},{529=1800;gold=216000}
88,{529=380;gold=45600},{529=380;gold=45600},{529=570;gold=68400},{529=836;gold=100320},{529=1292;gold=155040},{529=1900;gold=228000}
89,{529=400;gold=48000},{529=400;gold=48000},{529=600;gold=72000},{529=880;gold=105600},{529=1360;gold=163200},{529=2000;gold=240000}
90,{529=420;gold=50400},{529=420;gold=50400},{529=630;gold=75600},{529=924;gold=110880},{529=1428;gold=171360},{529=2100;gold=252000}
91,{529=440;gold=52800},{529=440;gold=52800},{529=660;gold=79200},{529=968;gold=116160},{529=1496;gold=179520},{529=2200;gold=264000}
92,{529=460;gold=55200},{529=460;gold=55200},{529=690;gold=82800},{529=1012;gold=121440},{529=1564;gold=187680},{529=2300;gold=276000}
93,{529=480;gold=57600},{529=480;gold=57600},{529=720;gold=86400},{529=1056;gold=126720},{529=1632;gold=195840},{529=2400;gold=288000}
94,{529=500;gold=60000},{529=500;gold=60000},{529=750;gold=90000},{529=1100;gold=132000},{529=1700;gold=204000},{529=2500;gold=300000}
95,{529=540;gold=64800},{529=540;gold=64800},{529=810;gold=97200},{529=1188;gold=142560},{529=1836;gold=220320},{529=2700;gold=324000}
96,{529=560;gold=67200},{529=560;gold=67200},{529=840;gold=100800},{529=1232;gold=147840},{529=1904;gold=228480},{529=2800;gold=336000}
97,{529=580;gold=69600},{529=580;gold=69600},{529=870;gold=104400},{529=1276;gold=153120},{529=1972;gold=236640},{529=2900;gold=348000}
98,{529=620;gold=74400},{529=620;gold=74400},{529=930;gold=111600},{529=1364;gold=163680},{529=2108;gold=252960},{529=3100;gold=372000}
99,{529=640;gold=76800},{529=640;gold=76800},{529=960;gold=115200},{529=1408;gold=168960},{529=2176;gold=261120},{529=3200;gold=384000}
100,{529=660;gold=79200},{529=660;gold=79200},{529=990;gold=118800},{529=1452;gold=174240},{529=2244;gold=269280},{529=3300;gold=396000}
101,{529=673;gold=79992},{529=673;gold=79992},{529=1010;gold=119988},{529=1481;gold=175982},{529=2289;gold=271973},{529=3366;gold=399960}
102,{529=686;gold=80792},{529=686;gold=80792},{529=1030;gold=121188},{529=1511;gold=177742},{529=2335;gold=274693},{529=3433;gold=403960}
103,{529=700;gold=81600},{529=700;gold=81600},{529=1051;gold=122400},{529=1541;gold=179519},{529=2382;gold=277440},{529=3502;gold=408000}
104,{529=714;gold=82416},{529=714;gold=82416},{529=1072;gold=123624},{529=1572;gold=181314},{529=2430;gold=280214},{529=3572;gold=412080}
105,{529=728;gold=83240},{529=728;gold=83240},{529=1093;gold=124860},{529=1603;gold=183127},{529=2479;gold=283016},{529=3643;gold=416201}
106,{529=743;gold=84072},{529=743;gold=84072},{529=1115;gold=126109},{529=1635;gold=184958},{529=2529;gold=285846},{529=3716;gold=420363}
107,{529=758;gold=84913},{529=758;gold=84913},{529=1137;gold=127370},{529=1668;gold=186808},{529=2580;gold=288704},{529=3790;gold=424567}
108,{529=773;gold=85762},{529=773;gold=85762},{529=1160;gold=128644},{529=1701;gold=188676},{529=2632;gold=291591},{529=3866;gold=428813}
109,{529=788;gold=86620},{529=788;gold=86620},{529=1183;gold=129930},{529=1735;gold=190563},{529=2685;gold=294507},{529=3943;gold=433101}
110,{529=804;gold=87486},{529=804;gold=87486},{529=1207;gold=131229},{529=1770;gold=192469},{529=2739;gold=297452},{529=4022;gold=437432}
111,{529=820;gold=88361},{529=820;gold=88361},{529=1231;gold=132541},{529=1805;gold=194394},{529=2794;gold=300427},{529=4102;gold=441806}
112,{529=836;gold=89245},{529=836;gold=89245},{529=1256;gold=133866},{529=1841;gold=196338},{529=2850;gold=303431},{529=4184;gold=446224}
113,{529=853;gold=90137},{529=853;gold=90137},{529=1281;gold=135205},{529=1878;gold=198301},{529=2907;gold=306465},{529=4268;gold=450686}
114,{529=870;gold=91038},{529=870;gold=91038},{529=1307;gold=136557},{529=1916;gold=200284},{529=2965;gold=309530},{529=4353;gold=455193}
115,{529=887;gold=91948},{529=887;gold=91948},{529=1333;gold=137923},{529=1954;gold=202287},{529=3024;gold=312625},{529=4440;gold=459745}
116,{529=905;gold=92867},{529=905;gold=92867},{529=1360;gold=139302},{529=1993;gold=204310},{529=3084;gold=315751},{529=4529;gold=464342}
117,{529=923;gold=93796},{529=923;gold=93796},{529=1387;gold=140695},{529=2033;gold=206353},{529=3146;gold=318909},{529=4620;gold=468985}
118,{529=941;gold=94734},{529=941;gold=94734},{529=1415;gold=142102},{529=2074;gold=208417},{529=3209;gold=322098},{529=4712;gold=473675}
119,{529=960;gold=95681},{529=960;gold=95681},{529=1443;gold=143523},{529=2115;gold=210501},{529=3273;gold=325319},{529=4806;gold=478412}
120,{529=979;gold=96638},{529=979;gold=96638},{529=1472;gold=144958},{529=2157;gold=212606},{529=3338;gold=328572},{529=4902;gold=483196}
121,{529=999;gold=97604},{529=999;gold=97604},{529=1501;gold=146408},{529=2200;gold=214732},{529=3405;gold=331858},{529=5000;gold=488028}
122,{529=1019;gold=98580},{529=1019;gold=98580},{529=1531;gold=147872},{529=2244;gold=216879},{529=3473;gold=335177},{529=5100;gold=492908}
123,{529=1039;gold=99566},{529=1039;gold=99566},{529=1562;gold=149351},{529=2289;gold=219048},{529=3542;gold=338529},{529=5202;gold=497837}
124,{529=1060;gold=100562},{529=1060;gold=100562},{529=1593;gold=150845},{529=2335;gold=221238},{529=3613;gold=341914},{529=5306;gold=502815}
125,{529=1081;gold=101568},{529=1081;gold=101568},{529=1625;gold=152353},{529=2382;gold=223450},{529=3685;gold=345333},{529=5412;gold=507843}
126,{529=1103;gold=102584},{529=1103;gold=102584},{529=1658;gold=153877},{529=2430;gold=225685},{529=3759;gold=348786},{529=5520;gold=512921}
127,{529=1125;gold=103610},{529=1125;gold=103610},{529=1691;gold=155416},{529=2479;gold=227942},{529=3834;gold=352274},{529=5630;gold=518050}
128,{529=1148;gold=104646},{529=1148;gold=104646},{529=1725;gold=156970},{529=2529;gold=230221},{529=3911;gold=355797},{529=5743;gold=523231}
129,{529=1171;gold=105692},{529=1171;gold=105692},{529=1760;gold=158540},{529=2580;gold=232523},{529=3989;gold=359355},{529=5858;gold=528463}
130,{529=1194;gold=106749},{529=1194;gold=106749},{529=1795;gold=160125},{529=2632;gold=234848},{529=4069;gold=362949},{529=5975;gold=533748}
131,{529=1218;gold=107816},{529=1218;gold=107816},{529=1831;gold=161726},{529=2685;gold=237196},{529=4150;gold=366578},{529=6095;gold=539085}
132,{529=1242;gold=108894},{529=1242;gold=108894},{529=1868;gold=163343},{529=2739;gold=239568},{529=4233;gold=370244},{529=6217;gold=544476}
133,{529=1267;gold=109983},{529=1267;gold=109983},{529=1905;gold=164976},{529=2794;gold=241964},{529=4318;gold=373946},{529=6341;gold=549921}
134,{529=1292;gold=111083},{529=1292;gold=111083},{529=1943;gold=166626},{529=2850;gold=244384},{529=4404;gold=377685},{529=6468;gold=555420}
135,{529=1318;gold=112194},{529=1318;gold=112194},{529=1982;gold=168292},{529=2907;gold=246828},{529=4492;gold=381462},{529=6597;gold=560974}
136,{529=1344;gold=113316},{529=1344;gold=113316},{529=2022;gold=169975},{529=2965;gold=249296},{529=4582;gold=385277},{529=6729;gold=566584}
137,{529=1371;gold=114449},{529=1371;gold=114449},{529=2062;gold=171675},{529=3024;gold=251789},{529=4674;gold=389130},{529=6864;gold=572250}
138,{529=1398;gold=115593},{529=1398;gold=115593},{529=2103;gold=173392},{529=3084;gold=254307},{529=4767;gold=393021},{529=7001;gold=577973}
139,{529=1426;gold=116749},{529=1426;gold=116749},{529=2145;gold=175126},{529=3146;gold=256850},{529=4862;gold=396951},{529=7141;gold=583753}
140,{529=1455;gold=117916},{529=1455;gold=117916},{529=2188;gold=176877},{529=3209;gold=259419},{529=4959;gold=400921},{529=7284;gold=589591}
141,{529=1484;gold=119095},{529=1484;gold=119095},{529=2232;gold=178646},{529=3273;gold=262013},{529=5058;gold=404930},{529=7430;gold=595487}
142,{529=1514;gold=120286},{529=1514;gold=120286},{529=2277;gold=180432},{529=3338;gold=264633},{529=5159;gold=408979},{529=7579;gold=601442}
143,{529=1544;gold=121489},{529=1544;gold=121489},{529=2323;gold=182236},{529=3405;gold=267279},{529=5262;gold=413069},{529=7731;gold=607456}
144,{529=1575;gold=122704},{529=1575;gold=122704},{529=2369;gold=184058},{529=3473;gold=269952},{529=5367;gold=417200},{529=7886;gold=613531}
145,{529=1607;gold=123931},{529=1607;gold=123931},{529=2416;gold=185899},{529=3542;gold=272652},{529=5474;gold=421372},{529=8044;gold=619666}
146,{529=1639;gold=125170},{529=1639;gold=125170},{529=2464;gold=187758},{529=3613;gold=275379},{529=5583;gold=425586},{529=8205;gold=625863}
147,{529=1672;gold=126422},{529=1672;gold=126422},{529=2513;gold=189636},{529=3685;gold=278133},{529=5695;gold=429842},{529=8369;gold=632122}
148,{529=1705;gold=127686},{529=1705;gold=127686},{529=2563;gold=191532},{529=3759;gold=280914},{529=5809;gold=434140},{529=8536;gold=638443}
149,{529=1739;gold=128963},{529=1739;gold=128963},{529=2614;gold=193447},{529=3834;gold=283723},{529=5925;gold=438481},{529=8707;gold=644827}
150,{529=1774;gold=130253},{529=1774;gold=130253},{529=2666;gold=195381},{529=3911;gold=286560},{529=6044;gold=442866},{529=8881;gold=651275}
151,{529=1809;gold=131556},{529=1809;gold=131556},{529=2719;gold=197335},{529=3989;gold=289426},{529=6165;gold=447295},{529=9059;gold=657788}
152,{529=1845;gold=132872},{529=1845;gold=132872},{529=2773;gold=199308},{529=4069;gold=292320},{529=6288;gold=451768},{529=9240;gold=664366}
153,{529=1882;gold=134201},{529=1882;gold=134201},{529=2828;gold=201301},{529=4150;gold=295243},{529=6414;gold=456286},{529=9425;gold=671010}
154,{529=1920;gold=135543},{529=1920;gold=135543},{529=2885;gold=203314},{529=4233;gold=298195},{529=6542;gold=460849},{529=9614;gold=677720}
155,{529=1958;gold=136898},{529=1958;gold=136898},{529=2943;gold=205347},{529=4318;gold=301177},{529=6673;gold=465457},{529=9806;gold=684497}
156,{529=1997;gold=138267},{529=1997;gold=138267},{529=3002;gold=207400},{529=4404;gold=304189},{529=6806;gold=470112},{529=10002;gold=691342}
157,{529=2037;gold=139650},{529=2037;gold=139650},{529=3062;gold=209474},{529=4492;gold=307231},{529=6942;gold=474813},{529=10202;gold=698255}
158,{529=2078;gold=141047},{529=2078;gold=141047},{529=3123;gold=211569},{529=4582;gold=310303},{529=7081;gold=479561},{529=10406;gold=705238}
159,{529=2120;gold=142457},{529=2120;gold=142457},{529=3185;gold=213685},{529=4674;gold=313406},{529=7223;gold=484357},{529=10614;gold=712290}
160,{529=2162;gold=143882},{529=2162;gold=143882},{529=3249;gold=215822},{529=4767;gold=316540},{529=7367;gold=489201},{529=10826;gold=719413}
161,{529=2205;gold=145321},{529=2205;gold=145321},{529=3314;gold=217980},{529=4862;gold=319705},{529=7514;gold=494093},{529=11043;gold=726607}
162,{529=2249;gold=146774},{529=2249;gold=146774},{529=3380;gold=220160},{529=4959;gold=322902},{529=7664;gold=499034},{529=11264;gold=733873}
163,{529=2294;gold=148242},{529=2294;gold=148242},{529=3448;gold=222362},{529=5058;gold=326131},{529=7817;gold=504024},{529=11489;gold=741212}
164,{529=2340;gold=149724},{529=2340;gold=149724},{529=3517;gold=224586},{529=5159;gold=329392},{529=7973;gold=509064},{529=11719;gold=748624}
165,{529=2387;gold=151221},{529=2387;gold=151221},{529=3587;gold=226832},{529=5262;gold=332686},{529=8132;gold=514155},{529=11953;gold=756110}
166,{529=2435;gold=152733},{529=2435;gold=152733},{529=3659;gold=229100},{529=5367;gold=336013},{529=8295;gold=519297},{529=12192;gold=763671}
167,{529=2484;gold=154260},{529=2484;gold=154260},{529=3732;gold=231391},{529=5474;gold=339373},{529=8461;gold=524490},{529=12436;gold=771308}
168,{529=2534;gold=155803},{529=2534;gold=155803},{529=3807;gold=233705},{529=5583;gold=342767},{529=8630;gold=529735},{529=12685;gold=779021}
169,{529=2585;gold=157361},{529=2585;gold=157361},{529=3883;gold=236042},{529=5695;gold=346195},{529=8803;gold=535032},{529=12939;gold=786811}
170,{529=2637;gold=158935},{529=2637;gold=158935},{529=3961;gold=238402},{529=5809;gold=349657},{529=8979;gold=540382},{529=13198;gold=794679}
171,{529=2690;gold=160524},{529=2690;gold=160524},{529=4040;gold=240786},{529=5925;gold=353154},{529=9159;gold=545786},{529=13462;gold=802626}
172,{529=2744;gold=162129},{529=2744;gold=162129},{529=4121;gold=243194},{529=6044;gold=356686},{529=9342;gold=551244},{529=13731;gold=810652}
173,{529=2799;gold=163750},{529=2799;gold=163750},{529=4203;gold=245626},{529=6165;gold=360253},{529=9529;gold=556756},{529=14006;gold=818759}
174,{529=2855;gold=165388},{529=2855;gold=165388},{529=4287;gold=248082},{529=6288;gold=363856},{529=9720;gold=562324},{529=14286;gold=826947}
175,{529=2912;gold=167042},{529=2912;gold=167042},{529=4373;gold=250563},{529=6414;gold=367495},{529=9914;gold=567947},{529=14572;gold=835216}
176,{529=2970;gold=168712},{529=2970;gold=168712},{529=4460;gold=253069},{529=6542;gold=371170},{529=10112;gold=573626},{529=14863;gold=843568}
177,{529=3029;gold=170399},{529=3029;gold=170399},{529=4549;gold=255600},{529=6673;gold=374882},{529=10314;gold=579362},{529=15160;gold=852004}
178,{529=3090;gold=172103},{529=3090;gold=172103},{529=4640;gold=258156},{529=6806;gold=378631},{529=10520;gold=585156},{529=15463;gold=860524}
179,{529=3152;gold=173824},{529=3152;gold=173824},{529=4733;gold=260738},{529=6942;gold=382417},{529=10730;gold=591008},{529=15772;gold=869129}
180,{529=3215;gold=175562},{529=3215;gold=175562},{529=4828;gold=263345},{529=7081;gold=386241},{529=10945;gold=596918},{529=16087;gold=877820}
181,{529=3279;gold=177318},{529=3279;gold=177318},{529=4925;gold=265978},{529=7223;gold=390103},{529=11164;gold=602887},{529=16409;gold=886598}
182,{529=3345;gold=179091},{529=3345;gold=179091},{529=5024;gold=268638},{529=7367;gold=394004},{529=11387;gold=608916},{529=16737;gold=895464}
183,{529=3412;gold=180882},{529=3412;gold=180882},{529=5124;gold=271324},{529=7514;gold=397944},{529=11615;gold=615005},{529=17072;gold=904419}
184,{529=3480;gold=182691},{529=3480;gold=182691},{529=5226;gold=274037},{529=7664;gold=401923},{529=11847;gold=621155},{529=17413;gold=913463}
185,{529=3550;gold=184518},{529=3550;gold=184518},{529=5331;gold=276777},{529=7817;gold=405942},{529=12084;gold=627367},{529=17761;gold=922598}
186,{529=3621;gold=186363},{529=3621;gold=186363},{529=5438;gold=279545},{529=7973;gold=410001},{529=12326;gold=633641},{529=18116;gold=931824}
187,{529=3693;gold=188227},{529=3693;gold=188227},{529=5547;gold=282340},{529=8132;gold=414101},{529=12573;gold=639977},{529=18478;gold=941142}
188,{529=3767;gold=190109},{529=3767;gold=190109},{529=5658;gold=285163},{529=8295;gold=418242},{529=12824;gold=646377},{529=18848;gold=950553}
189,{529=3842;gold=192010},{529=3842;gold=192010},{529=5771;gold=288015},{529=8461;gold=422424},{529=13080;gold=652841},{529=19225;gold=960059}
190,{529=3919;gold=193930},{529=3919;gold=193930},{529=5886;gold=290895},{529=8630;gold=426648},{529=13342;gold=659369},{529=19610;gold=969660}
191,{529=3997;gold=195869},{529=3997;gold=195869},{529=6004;gold=293804},{529=8803;gold=430914},{529=13609;gold=665963},{529=20002;gold=979357}
