变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
152,lucky_egg_rmb10_101092,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=3;9008=1;9005=5;9007=1},250,{9006=3;9008=1;9005=4;9007=2},350,{9006=4;9008=1;9005=4;9007=1},200,{9006=4;9008=1;9005=3;9007=2},100,{9006=5;9008=1;9005=3;9007=1},100,{},0,{},0,{},0,{},0,{},0
161,lucky_egg_rmb1_101093,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
162,lucky_egg_rmb10_101093,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=3;9008=1;9005=5;9007=1},250,{9006=3;9008=1;9005=4;9007=2},350,{9006=4;9008=1;9005=4;9007=1},200,{9006=4;9008=1;9005=3;9007=2},100,{9006=5;9008=1;9005=3;9007=1},100,{},0,{},0,{},0,{},0,{},0
171,lucky_egg_rmb1_101094,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
172,lucky_egg_rmb10_101094,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=3;9008=1;9005=5;9007=1},250,{9006=3;9008=1;9005=4;9007=2},350,{9006=4;9008=1;9005=4;9007=1},200,{9006=4;9008=1;9005=3;9007=2},100,{9006=5;9008=1;9005=3;9007=1},100,{},0,{},0,{},0,{},0,{},0
181,lucky_egg_rmb1_101095,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
182,lucky_egg_rmb10_101095,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=3;9008=1;9005=5;9007=1},250,{9006=3;9008=1;9005=4;9007=2},350,{9006=4;9008=1;9005=4;9007=1},200,{9006=4;9008=1;9005=3;9007=2},100,{9006=5;9008=1;9005=3;9007=1},100,{},0,{},0,{},0,{},0,{},0
191,lucky_egg_rmb1_121030,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
192,lucky_egg_rmb10_121030,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=3;9008=1;9005=5;9007=1},250,{9006=3;9008=1;9005=4;9007=2},350,{9006=4;9008=1;9005=4;9007=1},200,{9006=4;9008=1;9005=3;9007=2},100,{9006=5;9008=1;9005=3;9007=1},100,{},0,{},0,{},0,{},0,{},0
201,lucky_egg_rmb1_122034,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
202,lucky_egg_rmb10_122034,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=3;9008=1;9005=5;9007=1},250,{9006=3;9008=1;9005=4;9007=2},350,{9006=4;9008=1;9005=4;9007=1},200,{9006=4;9008=1;9005=3;9007=2},100,{9006=5;9008=1;9005=3;9007=1},100,{},0,{},0,{},0,{},0,{},0
211,lucky_egg_rmb1_123059,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
212,lucky_egg_rmb10_123059,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=30;9008=10;9005=50;9007=10},250,{9006=30;9008=10;9005=40;9007=20},350,{9006=40;9008=10;9005=40;9007=10},200,{9006=40;9008=10;9005=30;9007=20},100,{9006=50;9008=10;9005=30;9007=10},100,{},0,{},0,{},0,{},0,{},0
213,lucky_egg_rmb1_124043,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
214,lucky_egg_rmb10_124043,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=30;9008=10;9005=50;9007=10},250,{9006=30;9008=10;9005=40;9007=20},350,{9006=40;9008=10;9005=40;9007=10},200,{9006=40;9008=10;9005=30;9007=20},100,{9006=50;9008=10;9005=30;9007=10},100,{},0,{},0,{},0,{},0,{},0
215,lucky_egg_rmb1_124114,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9008=1},50,{9006=1},330,{9007=1},150,{9005=1},470,{},0,{},0,{},0,{},0,{},0,{},0
216,lucky_egg_rmb10_124114,,0,1,0,0,0,0,0,0.01,0.2,30,50,{9006=30;9008=10;9005=50;9007=10},250,{9006=30;9008=10;9005=40;9007=20},350,{9006=40;9008=10;9005=40;9007=10},200,{9006=40;9008=10;9005=30;9007=20},100,{9006=50;9008=10;9005=30;9007=10},100,{},0,{},0,{},0,{},0,{},0
