变量名,icon,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,param,validRechargeHuodong,rmbDisplay,rmbDisplay_tw,rmbDisplay_en,rmbDisplay_vn,rmbDisplay_kr,rmbDisplay_pt,rmbDisplay_th,rmb,rmb_en,rmb_tw,rmb_kr,rmb_vn,rmb_pt,rmb_th,firstPresent,firstDesc,firstDesc_tw,firstDesc_en,firstDesc_vn,firstDesc_kr,firstDesc_pt,firstDesc_th,present,desc,desc_tw,desc_en,desc_kr,recommend,sortValue,languages
,city/recharge/icon_cz_1@.png,60钻石,60鑽石,60 Diamond,60 Diamond,,,,,,,"""6""","""0.99""","""0.99""","""0.99""",,,,60,60,60,60,,,,60,,,,,,,,0,,,,,0,3,
,,10钻石,10鑽石,10钻石,10钻石,,,,,,,1,1,1,1,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,
,,1钻石1角测试,1鑽石1角測試,1钻石1角测试,1钻石1角测试,,,,,,,0.1,0.1,0.1,0.1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,直购礼包1,直購禮包,Direct purchase box 1,Direct purchase box 1,패키지,Direct purchase box 1,Direct purchase box 1,3,,,"""0.33""","""0.33""","""0.33""","""0.33""","""0.33""",,,10,,,,,,,0,,,,,,,,,,,,,,,
102,,直购礼包6,直購禮包,Direct purchase box 6,Direct purchase box 6,패키지,Direct purchase box 6,Direct purchase box 6,3,,,"""0.99""","""0.99""","""0.99""","""0.99""","""0.99""",,,66,66,66,66,66,66,66,0,,,,,,,,,,,,,,,
103,,直购礼包12,直購禮包,Direct purchase box 12,Direct purchase box 12,패키지,Direct purchase box 12,Direct purchase box 12,3,,,"""1.99""","""1.99""","""1.99""","""1.99""","""1.99""",,,140,140,140,140,140,140,140,0,,,,,,,,,,,,,,,
104,,直购礼包18,直購禮包,Direct purchase box 18,Direct purchase box 18,패키지,Direct purchase box 18,Direct purchase box 18,3,,,"""2.99""","""2.99""","""2.99""","""2.99""","""2.99""",,,200,200,200,200,200,200,200,0,,,,,,,,,,,,,,,
105,,直购礼包25,直購禮包,Direct purchase box 25,Direct purchase box 25,패키지,Direct purchase box 25,Direct purchase box 25,3,,,"""3.99""","""3.99""","""3.99""","""3.99""","""3.99""",,,260,260,260,260,260,260,260,0,,,,,,,,,,,,,,,
106,,直购礼包30,直購禮包,Direct purchase box 30,Direct purchase box 30,패키지,Direct purchase box 30,Direct purchase box 30,3,,,"""4.99""","""4.99""","""4.99""","""4.99""","""4.99""",,,340,340,340,340,340,340,340,0,,,,,,,,,,,,,,,
107,,直购礼包60,直購禮包,Direct purchase box 60,Direct purchase box 60,패키지,Direct purchase box 60,Direct purchase box 60,3,,,"""8.99""","""8.99""","""8.99""","""8.99""","""8.99""",,,580,580,580,580,580,580,580,0,,,,,,,,,,,,,,,
108,,直购礼包98,直購禮包,Direct purchase box 98,Direct purchase box 98,패키지,Direct purchase box 98,Direct purchase box 98,3,,,"""14.99""","""14.99""","""14.99""","""14.99""","""14.99""",,,980,980,980,980,980,980,980,0,,,,,,,,,,,,,,,
109,,直购礼包128,直購禮包,Direct purchase box 128,Direct purchase box 128,패키지,Direct purchase box 128,Direct purchase box 128,3,,,"""19.99""","""19.99""","""19.99""","""19.99""","""19.99""",,,1340,1340,1340,1340,1340,1340,1340,0,,,,,,,,,,,,,,,
110,,直购礼包168,直購禮包,Direct purchase box 168,Direct purchase box 168,패키지,Direct purchase box 168,Direct purchase box 168,3,,,"""25.99""","""25.99""","""25.99""","""25.99""","""25.99""",,,1740,1740,1740,1740,1740,1740,1740,0,,,,,,,,,,,,,,,
111,,直购礼包198,直購禮包,Direct purchase box 198,Direct purchase box 198,패키지,Direct purchase box 198,Direct purchase box 198,3,,,"""29.99""","""29.99""","""29.99""","""29.99""","""29.99""",,,1980,1980,1980,1980,1980,1980,1980,0,,,,,,,,,,,,,,,
112,,直购礼包328,直購禮包,Direct purchase box 328,Direct purchase box 328,패키지,Direct purchase box 328,Direct purchase box 328,3,,,"""49.99""","""49.99""","""49.99""","""49.99""","""49.99""",,,3380,3380,3380,3380,3380,3380,3380,0,,,,,,,,,,,,,,,
113,,直购礼包648,直購禮包,Direct purchase box 648,Direct purchase box 648,패키지,Direct purchase box 648,Direct purchase box 648,3,,,"""99.99""","""99.99""","""99.99""","""99.99""","""99.99""",,,6580,6580,6580,6580,6580,6580,6580,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300鑽石月卡,,,,,,2,{days=30},,,"""4.99""",,,,,,340,340,340,340,,,,0,,連續30天每天領取100鑽,,,,,,0,,連續30天每天領取100鑽,,,1,,
,,,880鑽石月卡,,,,,,2,{days=30},,,"""14.99""",,,,,,980,980,980,980,,,,0,,運營期間每天領取100鑽,,,,,,0,,運營期間每天領取100鑽,,,1,,
,city/recharge/icon_cz_6.png,,6580鑽石,,,,,,,,,,"""99.99""",,,,,,6580,6580,6580,6580,,,,6580,,另贈6580鑽石(僅首次),,,,,,0,,,,,1,9,
,city/recharge/icon_cz_5.png,,3380鑽石,,,,,,,,,,"""49.99""",,,,,,3380,3380,3380,3380,,,,3380,,另贈3380鑽石(僅首次),,,,,,0,,,,,1,8,
,city/recharge/icon_cz_4.png,,1980鑽石,,,,,,,,,,"""29.99""",,,,,,1980,1980,1980,1980,,,,1980,,另贈1980鑽石(僅首次),,,,,,0,,,,,1,7,
,city/recharge/icon_cz_3.png,,980鑽石,,,,,,,,,,"""14.99""",,,,,,980,980,980,980,,,,980,,另贈980鑽石(僅首次),,,,,,0,,,,,0,6,
,city/recharge/icon_cz_2.png,,860鑽石,,,,,,,,,,"""12.99""",,,,,,580,580,580,580,,,,580,,另贈580鑽石(僅首次),,,,,,0,,,,,0,5,
,city/recharge/icon_cz_1.png,,340鑽石,,,,,,,,,,"""4.99""",,,,,,340,340,340,340,,,,340,,另贈340鑽石(僅首次),,,,,,0,,,,,0,4,
,city/recharge/icon_cz_1.png,,66鑽石,,,,,,,,,,"""0.99""",,,,,,66,66,66,66,,,,66,,另贈66鑽石(僅首次),,,,,,0,,,,,0,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,city/recharge/icon_cz_1@.png,,66鑽石,66 Diamond,66 Diamond,66다이아,66 Diamantes,66 เพชร,,,,"""0.99""","""0.99""","""0.99""","""0.99""","""0.99""","""0.99""","""0.99""",66,66,66,66,66,66,66,330,,另贈330鑽石(僅首次),Extra 330 Diamond(1st Recharge only),Thêm 330 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 330 다이아 추가 제공,330 Diamantes extras (1º recarregamento),เพชร 330 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,1,
1102,city/recharge/icon_cz_1@.png,,140鑽石,140 Diamond,140 Diamond,140다이아,140 Diamantes,140 เพชร,,,,"""1.99""","""1.99""","""1.99""","""1.99""","""1.99""","""1.99""","""1.99""",140,140,140,140,140,140,140,700,,另贈700鑽石(僅首次),Extra 700 Diamond(1st Recharge only),Thêm 700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 700 다이아 추가 제공,700 Diamantes extras (1º recarregamento),เพชร 700 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,2,
1103,city/recharge/icon_cz_2@.png,,200鑽石,200 Diamond,200 Diamond,200다이아,200 Diamantes,200 เพชร,,,,"""2.99""","""2.99""","""2.99""","""2.99""","""2.99""","""2.99""","""2.99""",200,200,200,200,200,200,200,1000,,另贈1000鑽石(僅首次),Extra 1000 Diamond(1st Recharge only),Thêm 1000 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 1000 다이아 추가 제공,1000 Diamantes extras (1º recarregamento),เพชร 1000 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,3,
1104,city/recharge/icon_cz_2@.png,,260鑽石,260 Diamond,260 Diamond,260다이아,260 Diamantes,260 เพชร,,,,"""3.99""","""3.99""","""3.99""","""3.99""","""3.99""","""3.99""","""3.99""",260,260,260,260,260,260,260,1300,,另贈1300鑽石(僅首次),Extra 1300 Diamond(1st Recharge only),Thêm 1300 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 1300 다이아 추가 제공,1300 Diamantes extras (1º recarregamento),เพชร 1300 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,4,
1105,city/recharge/icon_cz_3@.png,,340鑽石,340 Diamond,340 Diamond,340다이아,340 Diamantes,340 เพชร,,,,"""4.99""","""4.99""","""4.99""","""4.99""","""4.99""","""4.99""","""4.99""",340,340,340,340,340,340,340,1700,,另贈1700鑽石(僅首次),Extra 1700 Diamond(1st Recharge only),Thêm 1700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 1700 다이아 추가 제공,1700 Diamantes extras (1º recarregamento),เพชร 1700 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,5,
1106,city/recharge/icon_cz_3@.png,,580鑽石,580 Diamond,580 Diamond,580다이아,580 Diamantes,580 เพชร,,,,"""8.99""","""8.99""","""8.99""","""8.99""","""8.99""","""8.99""","""8.99""",580,580,580,580,580,580,580,2900,,另贈2900鑽石(僅首次),Extra 2900 Diamond(1st Recharge only),Thêm 2900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 2900 다이아 추가 제공,2900 Diamantes extras (1º recarregamento),เพชร 2900 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,6,
1107,city/recharge/icon_cz_4@.png,,860鑽石,860 Diamond,860 Diamond,860다이아,860 Diamantes,860 เพชร,,,,"""12.99""","""12.99""","""12.99""","""12.99""","""12.99""","""12.99""","""12.99""",860,860,860,860,860,860,860,4300,,另贈4300鑽石(僅首次),Extra 4300 Diamond(1st Recharge only),Thêm 4300 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 4300 다이아 추가 제공,4300 Diamantes extras (1º recarregamento),เพชร 4300 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,7,
1108,city/recharge/icon_cz_4@.png,,980鑽石,980 Diamond,980 Diamond,980다이아,980 Diamantes,980 เพชร,,,,"""14.99""","""14.99""","""14.99""","""14.99""","""14.99""","""14.99""","""14.99""",980,980,980,980,980,980,980,4900,,另贈4900鑽石(僅首次),Extra 4900 Diamond(1st Recharge only),Thêm 4900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 4900 다이아 추가 제공,4900 Diamantes extras (1º recarregamento),เพชร 4900 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,8,
1109,city/recharge/icon_cz_5@.png,,1340鑽石,1340 Diamond,1340 Diamond,1340다이아,1340 Diamantes,1340 เพชร,,,,"""19.99""","""19.99""","""19.99""","""19.99""","""19.99""","""19.99""","""19.99""",1340,1340,1340,1340,1340,1340,1340,6700,,另贈6700鑽石(僅首次),Extra 6700 Diamond(1st Recharge only),Thêm 6700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 6700 다이아 추가 제공,6700 Diamantes extras (1º recarregamento),เพชร 6700 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,9,
1110,city/recharge/icon_cz_5@.png,,1740鑽石,1740 Diamond,1740 Diamond,1740다이아,1740 Diamantes,1740 เพชร,,,,"""25.99""","""25.99""","""25.99""","""25.99""","""25.99""","""25.99""","""25.99""",1740,1740,1740,1740,1740,1740,1740,8700,,另贈8700鑽石(僅首次),Extra 8700 Diamond(1st Recharge only),Thêm 8700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 8700 다이아 추가 제공,8700 Diamantes extras (1º recarregamento),เพชร 8700 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,10,
1111,city/recharge/icon_cz_6@.png,,1980鑽石,1980 Diamond,1980 Diamond,1980다이아,1980 Diamantes,1980 เพชร,,,,"""29.99""","""29.99""","""29.99""","""29.99""","""29.99""","""29.99""","""29.99""",1980,1980,1980,1980,1980,1980,1980,9900,,另贈9900鑽石(僅首次),Extra 9900 Diamond(1st Recharge only),Thêm 9900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 9900 다이아 추가 제공,9900 Diamantes extras (1º recarregamento),เพชร 9900 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,11,
1112,city/recharge/icon_cz_6@.png,,3380鑽石,3380 Diamond,3380 Diamond,3380다이아,3380 Diamantes,3380 เพชร,,,,"""49.99""","""49.99""","""49.99""","""49.99""","""49.99""","""49.99""","""49.99""",3380,3380,3380,3380,3380,3380,3380,16900,,另贈16900鑽石(僅首次),Extra 16900 Diamond(1st Recharge only),Thêm 16900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 16900 다이아 추가 제공,16900 Diamantes extras (1º recarregamento),เพชร 16900 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,12,
1113,city/recharge/icon_cz_7@.png,,6580鑽石,6580 Diamond,6580 Diamond,6580다이아,6580 Diamantes,6580 เพชร,,,,"""99.99""","""99.99""","""99.99""","""99.99""","""99.99""","""99.99""","""99.99""",6580,6580,6580,6580,6580,6580,6580,32900,,另贈32900鑽石(僅首次),Extra 32900 Diamond(1st Recharge only),Thêm 32900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),첫 번째 충전 시 32900 다이아 추가 제공,32900 Diamantes extras (1º recarregamento),เพชร 32900 พิเศษ (เฉพาะการเติมเงินครั้งแรก),0,,,,,0,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,city/recharge/icon_cz_1@.png,,,66 Diamond,66 Diamond,,,,,,,"""0.99""","""0.99""","""0.99""","""0.99""",,,,66,66,66,66,,,,66,,另贈66鑽石(僅首次),Extra 66 Diamond(1st Recharge only),N?p 0.99 USD nh?n 120 Diamond,1300원으로 66다이아 획득가능,,,,,,,,0,2,
,city/recharge/icon_cz_1@.png,,,140 Diamond,140 Diamond,,,,,,,"""1.99""","""1.99""","""1.99""","""1.99""",,,,140,140,140,140,,,,140,,另贈140鑽石(僅首次),Extra 140 Diamond(1st Recharge only),N?p 1.99 USD nh?n 240 Diamond,2800원으로 140다이아 획득가능,,,,,,,,0,3,
,city/recharge/icon_cz_2@.png,,,200 Diamond,200 Diamond,,,,,,,"""2.99""","""2.99""","""2.99""","""2.99""",,,,200,200,200,200,,,,200,,另贈200鑽石(僅首次),Extra 200 Diamond(1st Recharge only),N?p 2.99 USD nh?n 360 Diamond,4000원으로 200다이아 획득가능,,,,,,,,0,4,
,city/recharge/icon_cz_2@.png,,,260 Diamond,260 Diamond,,,,,,,"""3.99""","""3.99""","""3.99""","""3.99""",,,,260,260,260,260,,,,260,,另贈260鑽石(僅首次),Extra 260 Diamond(1st Recharge only),N?p 3.99 USD nh?n 480 Diamond,5300원으로 260다이아 획득가능,,,,,,,,0,5,
,city/recharge/icon_cz_3@.png,,,340 Diamond,340 Diamond,,,,,,,"""4.99""","""4.99""","""4.99""","""4.99""",,,,340,340,340,340,,,,340,,另贈340鑽石(僅首次),Extra 340 Diamond(1st Recharge only),N?p 4.99 USD nh?n 600 Diamond,7000원으로 340다이아 획득가능,,,,,,,,0,6,
,city/recharge/icon_cz_3@.png,,,580 Diamond,580 Diamond,,,,,,,"""8.99""","""8.99""","""8.99""","""8.99""",,,,580,580,580,580,,,,580,,另贈580鑽石(僅首次),Extra 580 Diamond(1st Recharge only),N?p 8.99 USD nh?n 1080 Diamond,12000원으로 580다이아 획득가능,,,,,,,,0,7,
,city/recharge/icon_cz_4@.png,,,860 Diamond,860 Diamond,,,,,,,"""12.99""","""12.99""","""12.99""","""12.99""",,,,860,860,860,860,,,,860,,另贈860鑽石(僅首次),Extra 860 Diamond(1st Recharge only),N?p 12.99 USD nh?n 1560 Diamond,17000원으로 860다이아 획득가능,,,,,,,,0,8,
,city/recharge/icon_cz_4@.png,,,980 Diamond,980 Diamond,,,,,,,"""14.99""","""14.99""","""14.99""","""14.99""",,,,980,980,980,980,,,,980,,另贈980鑽石(僅首次),Extra 980 Diamond(1st Recharge only),N?p 14.99 USD nh?n 1800 Diamond,20000원으로 980다이아 획득가능,,,,,,,,0,9,
,city/recharge/icon_cz_5@.png,,,1340 Diamond,1340 Diamond,,,,,,,"""19.99""","""19.99""","""19.99""","""19.99""",,,,1340,1340,1340,1340,,,,1340,,另贈1340鑽石(僅首次),Extra 1340 Diamond(1st Recharge only),N?p 19.99 USD nh?n 2400 Diamond,26000원으로 1340다이아 획득가능,,,,,,,,0,10,
,city/recharge/icon_cz_5@.png,,,1740 Diamond,1740 Diamond,,,,,,,"""25.99""","""25.99""","""25.99""","""25.99""",,,,1740,1740,1740,1740,,,,1740,,另贈1740鑽石(僅首次),Extra 1740 Diamond(1st Recharge only),N?p 25.99 USD nh?n 3120 Diamond,34000원으로 1740다이아 획득가능,,,,,,,,0,11,
,city/recharge/icon_cz_6@.png,,,1980 Diamond,1980 Diamond,,,,,,,"""29.99""","""29.99""","""29.99""","""29.99""",,,,1980,1980,1980,1980,,,,1980,,另贈1980鑽石(僅首次),Extra 1980 Diamond(1st Recharge only),N?p 29.99 USD nh?n 3600 Diamond,40000원으로 1980다이아 획득가능,,,,,,,,0,12,
,city/recharge/icon_cz_6@.png,,,3380 Diamond,3380 Diamond,,,,,,,"""49.99""","""49.99""","""49.99""","""49.99""",,,,3380,3380,3380,3380,,,,3380,,另贈3380鑽石(僅首次),Extra 3380 Diamond(1st Recharge only),N?p 49.99 USD nh?n 6000 Diamond,70000원으로 3380다이아 획득가능,,,,,,,,0,13,
,city/recharge/icon_cz_7@.png,,,6580 Diamond,6580 Diamond,,,,,,,"""99.99""","""99.99""","""99.99""","""99.99""",,,,6580,6580,6580,6580,,,,6580,,另贈6580鑽石(僅首次),Extra 6580 Diamond(1st Recharge only),N?p 99.99 USD nh?n 12000 Diamond,1300000원으로 6580다이아 획득가능,,,,,,,,0,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,city/recharge/icon_cz_1@.png,,,,66 Diamond,,,,,,,,,"""0.99""",,,,,66,66,66,66,,,,330,,,,Thêm 330 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,1,<vn>
,city/recharge/icon_cz_1@.png,,,,140 Diamond,,,,,,,,,"""1.99""",,,,,140,140,140,140,,,,700,,,,Thêm 700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,2,<vn>
,city/recharge/icon_cz_2@.png,,,,200 Diamond,,,,,,,,,"""2.99""",,,,,200,200,200,200,,,,1000,,,,Thêm 1000 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,3,<vn>
,city/recharge/icon_cz_2@.png,,,,260 Diamond,,,,,,,,,"""3.99""",,,,,260,260,260,260,,,,1300,,,,Thêm 1300 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,4,<vn>
,city/recharge/icon_cz_3@.png,,,,340 Diamond,,,,,,,,,"""4.99""",,,,,340,340,340,340,,,,1700,,,,Thêm 1700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,5,<vn>
,city/recharge/icon_cz_3@.png,,,,580 Diamond,,,,,,,,,"""8.99""",,,,,580,580,580,580,,,,2900,,,,Thêm 2900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,6,<vn>
,city/recharge/icon_cz_4@.png,,,,860 Diamond,,,,,,,,,"""12.99""",,,,,860,860,860,860,,,,4300,,,,Thêm 4300 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,7,<vn>
,city/recharge/icon_cz_4@.png,,,,980 Diamond,,,,,,,,,"""14.99""",,,,,980,980,980,980,,,,4900,,,,Thêm 4900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,8,<vn>
,city/recharge/icon_cz_5@.png,,,,1340 Diamond,,,,,,,,,"""19.99""",,,,,1340,1340,1340,1340,,,,6700,,,,Thêm 6700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,9,<vn>
,city/recharge/icon_cz_5@.png,,,,1740 Diamond,,,,,,,,,"""25.99""",,,,,1740,1740,1740,1740,,,,8700,,,,Thêm 8700 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,10,<vn>
,city/recharge/icon_cz_6@.png,,,,1980 Diamond,,,,,,,,,"""29.99""",,,,,1980,1980,1980,1980,,,,9900,,,,Thêm 9900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,11,<vn>
,city/recharge/icon_cz_6@.png,,,,3380 Diamond,,,,,,,,,"""49.99""",,,,,3380,3380,3380,3380,,,,16900,,,,Thêm 16900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,12,<vn>
,city/recharge/icon_cz_7@.png,,,,6580 Diamond,,,,,,,,,"""99.99""",,,,,6580,6580,6580,6580,,,,32900,,,,Thêm 32900 Kim Cương (chỉ áp dụng cho lần nạp đầu tiên),,,,0,,,,,0,13,<vn>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,city/recharge/icon_cz_1@.png,,,,,66다이아,,,,,,,,"""0.99""",,,,,66,66,66,66,,,,330,,,,,첫 번째 충전 시 330 다이아 추가 제공,,,0,,,,0.99달러로 66다이아 획득 가능,0,1,<kr>
,city/recharge/icon_cz_1@.png,,,,,140다이아,,,,,,,,"""1.99""",,,,,140,140,140,140,,,,700,,,,,첫 번째 충전 시 700 다이아 추가 제공,,,0,,,,1.99달러로 140다이아 획득가능,0,2,<kr>
,city/recharge/icon_cz_2@.png,,,,,200다이아,,,,,,,,"""2.99""",,,,,200,200,200,200,,,,1000,,,,,첫 번째 충전 시 1000 다이아 추가 제공,,,0,,,,2.99달러로 200다이아 획득가능,0,3,<kr>
,city/recharge/icon_cz_2@.png,,,,,260다이아,,,,,,,,"""3.99""",,,,,260,260,260,260,,,,1300,,,,,첫 번째 충전 시 1300 다이아 추가 제공,,,0,,,,3.99달러로 260다이아 획득가능,0,4,<kr>
,city/recharge/icon_cz_3@.png,,,,,340다이아,,,,,,,,"""4.99""",,,,,340,340,340,340,,,,1700,,,,,첫 번째 충전 시 1700 다이아 추가 제공,,,0,,,,4.99달러로 340다이아 획득가능,0,5,<kr>
