变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,isWorldEnter,chapterType,res,baseMap,describe,ownerId,openLevel,seq,heroMapId,nightmareMapId,starAwardConds,starAwardIDs
48,烤烟镇,烤煙鎮,Tobacoil Town,Thị trấn Tobacoil,고연 마을,Vila Tobacoil,เมืองโทบาโคอิล,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,180,<13801;13802;13803;13804;13805;13806;13807;13808;13809;13810>,148,248,<10;20;30>,<1462;1463;1464>
49,苍星镇,蒼星鎮,Azuresky Town,Thị trấn Azuresky,창성 마을,Vila Azuresky,เมืองอะซูรสกาย,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,185,<13901;13902;13903;13904;13905;13906;13907;13908;13909;13910>,149,249,<10;20;30>,<1465;1466;1467>
50,松针镇,松針鎮,Pinetip Town,Thị trấn Pinetip,송침 마을,Vila Pinetip,เมืองไพน์ทิป,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,190,<14001;14002;14003;14004;14005;14006;14007;14008;14009;14010>,150,250,<10;20;30>,<1468;1469;1470>
51,湖天城,湖天城,Lacuna City,Thành phố Lacuna,호천성,Cidade de Lacuna,เมืองลาคูนา,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,195,<14101;14102;14103;14104;14105;14106;14107;14108;14109;14110>,151,251,<10;20;30>,<1471;1472;1473>
52,山葵镇,山葵鎮,Wasabi Town,Thị trấn Wasabi,와사비 마을,Vila Wasabi,เมืองวาซาบิ,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,200,<14201;14202;14203;14204;14205;14206;14207;14208;14209;14210>,152,252,<10;20;30>,<1474;1475;1476>
53,韵律镇,韻律鎮,Rhythm Town,Thị trấn Rhythm,운율 마을,Vila Rhythm,เมืองริทึม,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,205,<14301;14302;14303;14304;14305;14306;14307;14308;14309;14310>,153,253,<10;20;30>,<1477;1478;1479>
54,斗士镇,鬥士鎮,Fighter Town,Thị trấn Fighter,투사 마을,Vila Fighter,เมืองไฟท์เตอร์,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,210,<14401;14402;14403;14404;14405;14406;14407;14408;14409;14410>,154,254,<10;20;30>,<1480;1481;1482>
55,北上镇,北上鎮,Kitakami,Kitakami,북신 마을,Kitakami,คิตาคามิ,FALSE,1,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,215,<14501;14502;14503;14504;14505;14506;14507;14508;14509;14510>,155,255,<10;20;30>,<1483;1484;1485>
111,真新镇,真新鎮,Pallet Town,Thị trấn Pallet,태초마을,Cidade de Pallet,เมืองมาซาระ,FALSE,2,GKDT_ptgk1.json,city/gate/map/img_zxz.png,,1,1,<20101;20102;20103>,,,<0;0;9>,<0;0;1501>
112,神秘部落,神秘部落,Mysterious Tribe,Bộ lạc Bí ẩn,신비한 부족,Tribo Misteriosa,เผ่าลึกลับ,FALSE,2,GKDT_ptgk2.json,city/gate/map/img_smbl.png,,1,1,<20201;20202;20203>,,,<0;0;9>,<0;0;1511>
113,废弃城市,廢棄城市,Abandoned City,Thành phố Bị bỏ hoang,버려진 도시,Cidade Abandonada,เมืองร้าง,FALSE,2,GKDT_ptgk3.json,city/gate/map/img_fqcs.png,,1,1,<20301;20302;20303;20304>,,,<0;0;12>,<0;0;1521>
114,度假岛,度假島,Resort Island,Đảo Nghỉ dưỡng,휴양섬,Ilha Resort,เกาะพักร้อน,FALSE,2,GKDT_ptgk4.json,city/gate/map/img_djd.png,,1,1,<20401;20402;20403;20404>,,,<0;0;12>,<0;0;1531>
115,砂石镇,砂石鎮,Sandstone Town,Thị trấn Cát Sỏi,모래돌 마을,Vila Sandstone,เมืองหินทราย,FALSE,2,GKDT_ptgk5.json,city/gate/map/img_xbxz.png,,1,1,<20501;20502;20503;20504;20505>,,,<0;0;15>,<0;0;1541>
116,雪原,雪原,Snowfield,Cánh đồng Tuyết,설원,Campo de Neve,ทุ่งหิมะ,FALSE,2,GKDT_ptgk6.json,city/gate/map/img_spcj.png,,1,26,<20601;20602;20603;20604;20605>,,,<0;0;15>,<0;0;1551>
117,波尼岛,波尼島,Poni Island,Đảo Poni,포니섬,Ilha Poni,เกาะโพนี,FALSE,2,GKDT_ptgk7.json,city/gate/map/img_bnd.png,,1,30,<20701;20702;20703;20704;20705>,,,<0;0;15>,<0;0;1561>
118,乌拉乌拉岛,烏拉烏拉島,Ula'ula Island,Đảo Ula'ula,울라울라섬,Ilha Ula'ula,เกาะอุลาอุลา,FALSE,2,GKDT_ptgk8.json,city/gate/map/img_gbxs.png,,1,33,<20801;20802;20803;20804;20805>,,,<0;0;15>,<0;0;1571>
119,阿卡拉岛,阿卡拉島,Akala Island,Đảo Akala,아칼라섬,Ilha Akala,เกาะอาคาลา,FALSE,2,GKDT_ptgk9.json,city/gate/map/img_akld.png,,1,37,<20901;20902;20903;20904;20905>,,,<0;0;15>,<0;0;1581>
120,美乐美乐岛,美樂美樂島,Melemele Island,Đảo Melemele,멜레멜레섬,Ilha Melemele,เกาะเมเลเมเล,FALSE,2,GKDT_ptgk10.json,city/gate/map/img_mlmld.png,,1,40,<21001;21002;21003;21004;21005>,,,<0;0;15>,<0;0;1591>
121,训练家学校,訓練家學校,Trainer School,Trường học Nhà huấn luyện,트레이너 스쿨,Escola de Treinadores,โรงเรียนเทรนเนอร์,FALSE,2,GKDT_ptgk11.json,city/gate/map/img_alldqxx.png,,1,45,<21101;21102;21103;21104;21105>,,,<0;0;15>,<0;0;1601>
122,好奥乐市,好奧樂市,Hau'oli City,Thành phố Hau'oli,하우올리시티,Cidade de Hau'oli,เมืองเฮาโอลิ,FALSE,2,GKDT_ptgk12.json,city/gate/map/img_llajdhz.png,,1,50,<21201;21202;21203;21204;21205>,,,<0;0;15>,<0;0;1611>
123,对战开拓区,對戰開拓區,Battle Frontier,Khu vực Chiến đấu Biên giới,배틀프런티어,Fronteira da Batalha,แบทเทิลฟรอนเทียร์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_dzktq.png,,1,55,<21301;21302;21303;21304;21305>,,,<0;0;15>,<0;0;1621>
124,圆朱市,圓朱市,Ecruteak City,Thành phố Ecruteak,인주시티,Cidade de Ecruteak,เมืองเอ็นจู,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_yzs.png,,1,60,<21401;21402;21403;21404;21405>,,,<0;0;15>,<0;0;1631>
125,古代祭坛,古代祭壇,Ancient Altar,Bàn thờ Cổ đại,고대 제단,Altar Antigo,แท่นบูชาโบราณ,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_jt.png,,1,65,<21501;21502;21503;21504;21505>,,,<0;0;15>,<0;0;1641>
126,凛冽冻原,凜冽凍原,Frigid Tundra,Cánh đồng Băng giá,혹한의 동토,Tundra Gelada,ทุ่งทุนดราเยือกแข็ง,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_by.png,,1,70,<21601;21602;21603;21604;21605>,,,<0;0;15>,<0;0;1651>
127,游乐园,遊樂園,Amusement Park,Công viên Giải trí,놀이공원,Parque de Diversões,สวนสนุก,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,75,<21701;21702;21703;21704;21705>,,,<0;0;15>,<0;0;1661>
128,饲育家学校,培育家學校,Breeder School,Trường học Người nhân giống,사육사 학교,Escola de Criadores,โรงเรียนผู้เพาะพันธุ์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,80,<21801;21802;21803;21804;21805>,,,<0;0;15>,<0;0;1671>
129,马戏团,馬戲團,Circus,Rạp xiếc,서커스단,Circo,คณะละครสัตว์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,85,<21901;21902;21903;21904;21905>,,,<0;0;15>,<0;0;1681>
130,暗影山,暗影山,Shadow Mountain,Núi Bóng tối,그림자 산,Montanha das Sombras,ภูเขาเงา,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,90,<22001;22002;22003;22004;22005>,,,<0;0;15>,<0;0;1691>
131,香薰市,香薰市,Aromassee,Thành phố Aromassee,아로마시티,Aromassee,เมืองอโรมัสซี,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,95,<22101;22102;22103;22104;22105>,,,<0;0;15>,<0;0;1701>
132,枯叶市,枯葉市,Vermilion City,Thành phố Vermilion,갈색시티,Cidade de Vermilion,เมืองคุจิบะ,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,100,<22201;22202;22203;22204;22205>,,,<0;0;15>,<0;0;1711>
133,孔普斯镇,孔普斯鎮,Compus Town,Thị trấn Compus,콤푸스 마을,Vila Compus,เมืองคอมปัส,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,105,<22301;22302;22303;22304;22305>,,,<0;0;15>,<0;0;1721>
134,灯火市,燈火市,Lumiose City,Thành phố Lumiose,미르시티,Cidade de Lumiose,เมืองมิอาร์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,110,<22401;22402;22403;22404;22405>,,,<0;0;15>,<0;0;1731>
135,加布月镇,加布月鎮,Gabumoon Town,Thị trấn Gabumoon,가부문 마을,Vila Gabumoon,เมืองกาบุมูน,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,115,<22501;22502;22503;22504;22505>,,,<0;0;15>,<0;0;1741>
136,菜草镇,菜草鎮,Greensod Town,Thị trấn Greensod,채초 마을,Vila Greensod,เมืองไช่เฉ่า,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,120,<22601;22602;22603;22604;22605>,,,<0;0;15>,<0;0;1751>
137,钟探镇,鐘探鎮,Bellchime Town,Thị trấn Bellchime,종탐 마을,Vila Bellchime,เมืองจงท่าน,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,125,<22701;22702;22703;22704;22705>,,,<0;0;15>,<0;0;1761>
138,马拉町,馬拉町,Mela Town,Thị trấn Mela,마라 마을,Vila Mela,เมืองมาระ,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,130,<22801;22802;22803;22804;22805>,,,<0;0;15>,<0;0;1771>
139,焰摩镇,焰摩鎮,Flamora Town,Thị trấn Flamora,염마 마을,Vila Flamora,เมืองเฟลมโมรา,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,135,<22901;22902;22903;22904;22905>,,,<0;0;15>,<0;0;1781>
140,冻冻镇,凍凍鎮,Frozefield Town,Thị trấn Frozefield,동동 마을,Vila Frozefield,เมืองโฟรซฟิลด์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,140,<23001;23002;23003;23004;23005>,,,<0;0;15>,<0;0;1791>
141,宴宿镇,宴宿鎮,Festa Town,Thị trấn Festa,연숙 마을,Vila Festa,เมืองเฟสต้า,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,145,<23101;23102;23103;23104;23105>,,,<0;0;15>,<0;0;1801>
142,白铸镇,白鑄鎮,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,150,<23201;23202;23203;23204;23205>,,,<0;0;15>,<0;0;1811>
143,安溪镇,安溪鎮,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,155,<23301;23302;23303;23304;23305>,,,<0;0;15>,<0;0;1821>
144,橙花学院,橙花學院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,160,<23401;23402;23403;23404;23405>,,,<0;0;15>,<0;0;1831>
145,橙华镇,橙華市,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,165,<23501;23502;23503;23504;23505>,,,<0;0;15>,<0;0;1841>
146,桌台市,桌台市,Mesagoza,Thành phố Mesagoza,테이블시티,Mesagoza,เมืองเทเบิล,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,170,<23601;23602;23603;23604;23605>,,,<0;0;15>,<0;0;1851>
147,水影镇,水影鎮,Watervue Town,Thị trấn Watervue,수영 마을,Vila Watervue,เมืองวอเตอร์วู,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,175,<23701;23702;23703;23704;23705>,,,<0;0;15>,<0;0;1861>
148,烤烟镇,烤煙鎮,Tobacoil Town,Thị trấn Tobacoil,고연 마을,Vila Tobacoil,เมืองโทบาโคอิล,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,180,<23801;23802;23803;23804;23805>,,,<0;0;15>,<0;0;1871>
149,苍星镇,蒼星鎮,Azuresky Town,Thị trấn Azuresky,창성 마을,Vila Azuresky,เมืองอะซูรสกาย,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,185,<23901;23902;23903;23904;23905>,,,<0;0;15>,<0;0;1881>
150,松针镇,松針鎮,Pinetip Town,Thị trấn Pinetip,송침 마을,Vila Pinetip,เมืองไพน์ทิป,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,190,<24001;24002;24003;24004;24005>,,,<0;0;15>,<0;0;1891>
151,湖天城,湖天城,Lacuna City,Thành phố Lacuna,호천성,Cidade de Lacuna,เมืองลาคูนา,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,195,<24101;24102;24103;24104;24105>,,,<0;0;15>,<0;0;1901>
152,山葵镇,山葵鎮,Wasabi Town,Thị trấn Wasabi,와사비 마을,Vila Wasabi,เมืองวาซาบิ,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,200,<24201;24202;24203;24204;24205>,,,<0;0;15>,<0;0;1911>
153,韵律镇,韻律鎮,Rhythm Town,Thị trấn Rhythm,운율 마을,Vila Rhythm,เมืองริทึม,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,205,<24301;24302;24303;24304;24305>,,,<0;0;15>,<0;0;1921>
154,斗士镇,鬥士鎮,Fighter Town,Thị trấn Fighter,투사 마을,Vila Fighter,เมืองไฟท์เตอร์,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,210,<24401;24402;24403;24404;24405>,,,<0;0;15>,<0;0;1931>
155,北上镇,北上鎮,Kitakami,Kitakami,북신 마을,Kitakami,คิตาคามิ,FALSE,2,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,215,<24501;24502;24503;24504;24505>,,,<0;0;15>,<0;0;1941>
211,真新镇,真新鎮,Pallet Town,Thị trấn Pallet,태초마을,Cidade de Pallet,เมืองมาซาระ,FALSE,3,GKDT_ptgk1.json,city/gate/map/img_zxz.png,,1,47,<30101;30102>,,,<0;0;6>,<0;0;6501>
212,神秘部落,神秘部落,Mysterious Tribe,Bộ lạc Bí ẩn,신비한 부족,Tribo Misteriosa,เผ่าลึกลับ,FALSE,3,GKDT_ptgk2.json,city/gate/map/img_smbl.png,,1,48,<30201;30202>,,,<0;0;6>,<0;0;6511>
