变量名,typeID,star,gold,costCardNum,universalCards,costItems,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,curePowerC,natureRestraintC
316,3,16,3600000,10,<9002>,{539=160},341.483,8.19,72.891,29.211,72.891,29.211,16954.021,406.62,3618.918,1450.278,3618.918,1450.278,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0
317,3,17,4000000,20,<9002>,{539=180},367.751,8.82,78.498,31.458,78.498,31.458,18304.939,439.02,3907.278,1565.838,3907.278,1565.838,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0
318,3,18,0,0,<>,{},394.019,9.45,84.105,33.705,84.105,33.705,19655.857,471.42,4195.638,1681.398,4195.638,1681.398,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,500,500,0,0,500,500,0,0
401,4,1,15000,0,<>,{},0,0,0,0,0,0,93.814,2.25,20.025,8.025,20.025,8.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,4,2,75000,0,<>,{},12.759,0.306,2.723,1.091,2.723,1.091,750.51,18,160.2,64.2,160.2,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,4,3,300000,0,<9003>,{},25.517,0.612,5.447,2.183,5.447,2.183,1407.206,33.75,300.375,120.375,300.375,120.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,4,4,450000,1,<9003>,{},44.655,1.071,9.532,3.82,9.532,3.82,2626.785,63,560.7,224.7,560.7,224.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,4,5,600000,1,<9003>,{},66.983,1.607,14.298,5.73,14.298,5.73,3846.364,92.25,821.025,329.025,821.025,329.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,4,6,750000,2,<9003>,{},95.69,2.295,20.426,8.186,20.426,8.186,5253.57,126,1121.4,449.4,1121.4,449.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,4,7,900000,2,<9003>,{},127.587,3.06,27.234,10.914,27.234,10.914,6660.776,159.75,1421.775,569.775,1421.775,569.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,4,8,1200000,2,<9003>,{},159.483,3.825,34.043,13.643,34.043,13.643,8537.051,204.75,1822.275,730.275,1822.275,730.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,4,9,1500000,3,<9003>,{},191.38,4.59,40.851,16.371,40.851,16.371,10413.326,249.75,2222.775,890.775,2222.775,890.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,4,10,1800000,3,<9003>,{},223.277,5.355,47.66,19.1,47.66,19.1,12289.601,294.75,2623.275,1051.275,2623.275,1051.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,4,11,2400000,3,<9003>,{},255.173,6.12,54.468,21.828,54.468,21.828,14165.876,339.75,3023.775,1211.775,3023.775,1211.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,4,12,3000000,5,<9003>,{539=50},287.07,6.885,61.277,24.557,61.277,24.557,16042.151,384.75,3424.275,1372.275,3424.275,1372.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,4,13,3600000,5,<9003>,{539=100},318.967,7.65,68.086,27.286,68.086,27.286,17918.426,429.75,3824.775,1532.775,3824.775,1532.775,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,4,14,4200000,7,<9003>,{539=120},350.864,8.415,74.895,30.015,74.895,30.015,19794.701,474.75,4225.275,1693.275,4225.275,1693.275,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,4,15,4800000,8,<9003>,{539=140},382.761,9.18,81.704,32.744,81.704,32.744,21670.976,519.75,4625.775,1853.775,4625.775,1853.775,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,4,16,5400000,10,<9003>,{539=160},414.658,9.945,88.513,35.473,88.513,35.473,23547.251,564.75,5026.275,2014.275,5026.275,2014.275,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0
417,4,17,6000000,20,<9003>,{539=180},446.555,10.71,95.322,38.202,95.322,38.202,25423.526,609.75,5426.775,2174.775,5426.775,2174.775,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0
418,4,18,0,0,<>,{},478.452,11.475,102.131,40.931,102.131,40.931,27299.801,654.75,5827.275,2335.275,5827.275,2335.275,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,1000,1000,0,0
501,5,1,20000,0,<>,{},0,0,0,0,0,0,93.814,2.25,20.025,8.025,20.025,8.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,5,2,100000,0,<>,{},12.759,0.306,2.723,1.091,2.723,1.091,750.51,18,160.2,64.2,160.2,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,5,3,400000,0,<9003>,{},25.517,0.612,5.447,2.183,5.447,2.183,1407.206,33.75,300.375,120.375,300.375,120.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,5,4,600000,1,<9003>,{},44.655,1.071,9.532,3.82,9.532,3.82,2626.785,63,560.7,224.7,560.7,224.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,5,5,800000,1,<9003>,{},66.983,1.607,14.298,5.73,14.298,5.73,3846.364,92.25,821.025,329.025,821.025,329.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,5,6,1000000,2,<9003>,{},95.69,2.295,20.426,8.186,20.426,8.186,5253.57,126,1121.4,449.4,1121.4,449.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,5,7,1200000,2,<9003>,{},127.587,3.06,27.234,10.914,27.234,10.914,6660.776,159.75,1421.775,569.775,1421.775,569.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,5,8,1600000,2,<9003>,{},159.483,3.825,34.043,13.643,34.043,13.643,8537.051,204.75,1822.275,730.275,1822.275,730.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,5,9,2000000,3,<9003>,{},191.38,4.59,40.851,16.371,40.851,16.371,10413.326,249.75,2222.775,890.775,2222.775,890.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5,10,2400000,3,<9003>,{},223.277,5.355,47.66,19.1,47.66,19.1,12289.601,294.75,2623.275,1051.275,2623.275,1051.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,5,11,3200000,3,<9003>,{},255.173,6.12,54.468,21.828,54.468,21.828,14165.876,339.75,3023.775,1211.775,3023.775,1211.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,5,12,4200000,5,<9003>,{539=50},287.0698,6.885,61.277,24.557,61.277,24.557,16042.151,384.75,3424.275,1372.275,3424.275,1372.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,5,13,5200000,5,<9003>,{539=100},318.9664,7.65,68.0853,27.2853,68.0853,27.2853,17918.426,429.75,3824.775,1532.775,3824.775,1532.775,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,5,14,6200000,7,<9003>,{539=120},350.863,8.415,74.8938,30.0138,74.8938,30.0138,19794.701,474.75,4225.275,1693.275,4225.275,1693.275,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,5,15,7200000,8,<9003>,{539=140},382.7596,9.18,81.7023,32.7423,81.7023,32.7423,21670.976,519.75,4625.775,1853.775,4625.775,1853.775,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,5,16,8200000,10,<9003>,{539=160},414.6562,9.945,88.5108,35.4708,88.5108,35.4708,23547.251,564.75,5026.275,2014.275,5026.275,2014.275,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,0,0
517,5,17,9200000,20,<9003>,{539=180},446.5528,10.71,95.3193,38.1993,95.3193,38.1993,25423.526,609.75,5426.775,2174.775,5426.775,2174.775,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,0,0
518,5,18,10200000,0,<>,{},478.4494,11.475,102.1278,40.9278,102.1278,40.9278,27299.801,654.75,5827.275,2335.275,5827.275,2335.275,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,1500,1500,0,0,1500,1500,0,0
601,6,1,20000,0,<>,{},0,0,0,0,0,0,93.814,2.25,20.025,8.025,20.025,8.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,6,2,100000,0,<>,{},12.759,0.306,2.723,1.091,2.723,1.091,750.51,18,160.2,64.2,160.2,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,6,3,400000,0,<9003>,{},25.517,0.612,5.447,2.183,5.447,2.183,1407.206,33.75,300.375,120.375,300.375,120.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,6,4,600000,1,<9003>,{},44.655,1.071,9.532,3.82,9.532,3.82,2626.785,63,560.7,224.7,560.7,224.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,6,5,800000,1,<9003>,{},66.983,1.607,14.298,5.73,14.298,5.73,3846.364,92.25,821.025,329.025,821.025,329.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,6,6,1000000,2,<9003>,{},95.69,2.295,20.426,8.186,20.426,8.186,5253.57,126,1121.4,449.4,1121.4,449.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,6,7,1200000,2,<9003>,{},127.587,3.06,27.234,10.914,27.234,10.914,6660.776,159.75,1421.775,569.775,1421.775,569.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,6,8,1600000,2,<9003>,{},159.483,3.825,34.043,13.643,34.043,13.643,8537.051,204.75,1822.275,730.275,1822.275,730.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,6,9,2000000,3,<9003>,{},191.38,4.59,40.851,16.371,40.851,16.371,10413.326,249.75,2222.775,890.775,2222.775,890.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,6,10,2400000,3,<9003>,{},223.277,5.355,47.66,19.1,47.66,19.1,12289.601,294.75,2623.275,1051.275,2623.275,1051.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,6,11,3200000,3,<9003>,{},255.173,6.12,54.468,21.828,54.468,21.828,14165.876,339.75,3023.775,1211.775,3023.775,1211.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,6,12,3600000,5,<9003>,{539=50},287.0698,6.885,61.277,24.557,61.277,24.557,16042.151,384.75,3424.275,1372.275,3424.275,1372.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,6,13,4120000,5,<9003>,{539=100},318.9664,7.65,68.0853,27.2853,68.0853,27.2853,17918.426,429.75,3824.775,1532.775,3824.775,1532.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,6,14,4640000,7,<9003>,{539=120},350.863,8.415,74.8938,30.0138,74.8938,30.0138,19794.701,474.75,4225.275,1693.275,4225.275,1693.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,6,15,5160000,8,<9003>,{539=140},382.7596,9.18,81.7023,32.7423,81.7023,32.7423,21670.976,519.75,4625.775,1853.775,4625.775,1853.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,6,16,5680000,10,<9003>,{539=160},414.6562,9.945,88.5108,35.4708,88.5108,35.4708,23547.251,564.75,5026.275,2014.275,5026.275,2014.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,6,17,6200000,20,<9003>,{539=180},446.5528,10.71,95.3193,38.1993,95.3193,38.1993,25423.526,609.75,5426.775,2174.775,5426.775,2174.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,6,18,0,0,<>,{},478.4494,11.475,102.1278,40.9278,102.1278,40.9278,27299.801,654.75,5827.275,2335.275,5827.275,2335.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
