变量名,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,cardSpineNeedStar,bagCardSpinePos,bagCardSpineScale
默认值,宠物,宠物,宠物,宠物,宠物,宠物,宠物,宠物,,1,1,,FALSE,<>,{x=250;y=300},1000,0,,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1,{x=0;y=0},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_791_sejla@.png,1.4,{x=100;y=0},<>,<>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},1,<>,0,2,1,1,2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,{x=0;y=0},1.6,1,{x=0;y=0},1
21,Squirtle,杰尼龟,傑尼龜,Squirtle,Squirtle,꼬부기,Squirtle,เซนิกาเมะ,base,2,3,,FALSE,<>,{y=300;x=250},1000,0,21,0,config/portrait/speedranktouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang1/img_7_jng@.png,config/portrait/simple/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,1,{y=10;x=25},koudai_jienigui/hero_jienigui.skel,,config/big_hero/standby/img_7_jng@.png,1.4,{y=0;x=120},<>,<211;212;213>,,,{lifePos={y=250;x=0};hitPos={y=115;x=0};headPos={y=210;x=0};namePos={y=250;x=0}},1,<>,0,2.3,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,42.404,1.017,9.131,9.212,3.82,3.82,1.13,1.13,1.14,1.19,1.15,1.19,874,1000,400,1,1,1,198,205,115,114,0,0,29,0,15000,100,400,0,3000,0,10000,0,10000,0,100,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
22,Wartortle,卡咪龟,卡咪龜,Wartortle,Wartortle,어니부기,Wartortle,คาเมล,base,2,3,,FALSE,<>,{y=300;x=250},1000,0,22,0,config/portrait/speedranktouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang1/img_8_kmg@.png,config/portrait/simple/img_8_kmg@.png,config/big_hero/normal/img_8_kmg@.png,1,{y=0;x=20},koudai_kamigui/hero_kamigui.skel,,config/big_hero/standby/img_8_kmg@.png,1.4,{y=0;x=120},<>,<221;222;223>,,,{lifePos={y=280;x=0};hitPos={y=130;x=0};headPos={y=240;x=0};namePos={y=280;x=0}},1,<>,0,2.5,1,1,1.44,1,1,,,0,,0,<>,<>,<>,<>,<>,44.28,1.053,9.532,9.532,3.98,3.98,1.18,1.17,1.19,1.24,1.19,1.24,1045,1000,400,1,1,1,235,241,129,129,0,0,34,0,15000,100,400,0,3000,0,10000,0,10000,0,100,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
23,Blastoise,水箭龟,水箭龜,Blastoise,Blastoise,거북왕,Blastoise,คาเม็กซ์,base,2,3,,FALSE,<>,{y=300;x=250},1000,0,23,0,config/portrait/speedranktouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang1/img_9_sjg@.png,config/portrait/simple/img_9_sjg@.png,config/big_hero/normal/img_9_sjg@.png,1.2,{y=0;x=0},koudai_shuijiangui/hero_shuijiangui.skel,,config/big_hero/standby/img_9_sjg@.png,1.4,{y=-50;x=60},<>,<231;232;233>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.6,1,1,1.56,1,1,,,0,,0,<>,<>,<>,<>,<>,46.156,1.107,10.013,10.013,4.173,4.205,1.23,1.23,1.25,1.3,1.25,1.31,1339,1000,400,1,1,1,301,307,157,164,0,0,41,0,15000,100,400,0,3000,0,10000,0,10000,0,100,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
24,Mega Blastoise,超级水箭龟,超級水箭龜,Mega Blastoise,Mega Blastoise,메가거북왕,Mega Blastoise,เมก้าคาเม็กซ์,base,3,3,,FALSE,<>,{y=300;x=250},1000,0,24,0,config/portrait/speedranktouxiang/img_9_cjsjg@.png,config/portrait/jinglingtouxiang/img_9_cjsjg@.png,config/portrait/jinglingtouxiang1/img_9_cjsjg@.png,config/portrait/simple/img_9_cjsjg@.png,config/big_hero/normal/img_9_cjsjg@.png,1.5,{y=40;x=50},koudai_shuijianguimega/hero_shuijianguimega.skel,,config/big_hero/standby/img_9_cjsjg@.png,1.4,{y=-50;x=60},<>,<241;242;243>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.1,1,1,1.31,1,1,,,0,,0,<>,<>,<>,<>,<>,49.534,1.188,11.214,12.015,4.687,4.622,1.32,1.32,1.4,1.46,1.5,1.44,1659,1000,400,1,1,1,453,597,232,222,0,0,48,0,15000,1000,0,500,3000,0,10000,0,10000,0,500,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
31,Caterpie,绿毛虫,綠毛蟲,Caterpie,Caterpie,캐터피,Caterpie,แคタปี,base,1,12,,FALSE,<>,{y=300;x=250},1000,0,31,0,config/portrait/speedranktouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang1/img_10_lmc@.png,config/portrait/simple/img_10_lmc@.png,config/big_hero/normal/img_10_lmc@.png,0.8,{y=20;x=10},koudai_lvmaochong/hero_lvmaochong.skel,,config/big_hero/standby/img_10_lmc@.png,1.4,{y=0;x=120},<>,<311;312;313>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,1.4,1,1,0.9,1,1,,,0,,0,<>,<>,<>,<>,<>,39.777,0.954,8.09,7.93,3.306,3.178,1.06,1.06,1.01,1.03,0.99,0.99,633,1000,400,1,1,1,98,75,51,36,0,0,24,0,15000,0,0,0,3000,0,10000,0,10000,150,150,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
33,Butterfree,巴大蝶,巴大蝶,Butterfree,Butterfree,버터플,Butterfree,บัตเตอร์ฟรี,base,1,12,10,FALSE,<>,{y=300;x=250},1000,0,33,0,config/portrait/speedranktouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang1/img_12_bdd@.png,config/portrait/simple/img_12_bdd@.png,config/big_hero/normal/img_12_bdd@.png,1,{y=20;x=40},koudai_badahu/hero_badahu.skel,,config/big_hero/standby/img_12_bdd@.png,1.4,{y=0;x=80},<>,<331;332;333>,,,{lifePos={y=320;x=0};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},1,<>,0,1.9,1,1,1.02,1,1,,,0,,0,<>,<>,<>,<>,<>,41.278,1.017,8.491,9.452,3.435,3.724,1.1,1.13,1.06,1.07,1.18,1.16,819,1000,400,1,1,1,135,262,66,100,0,0,32,0,15000,0,0,0,3000,0,10000,0,10000,150,150,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
43,Beedrill,大针蜂,大針蜂,Beedrill,Beedrill,독침붕,Beedrill,สเปียร์,base,1,12,8,FALSE,<>,{y=300;x=250},1000,0,41,0,config/portrait/speedranktouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang1/img_15_dzf@.png,config/portrait/simple/img_15_dzf@.png,config/big_hero/normal/img_15_dzf@.png,1.2,{y=0;x=0},koudai_dazhenfeng/hero_dazhenfeng.skel,,config/big_hero/standby/img_15_dzf@.png,1.4,{y=-50;x=100},<>,<431;432;433>,,,{lifePos={y=320;x=0};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},1,<>,0,2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,41.653,1.026,9.452,8.491,3.338,3.724,1.11,1.14,1.18,1.04,1.06,1.16,881,1000,400,1,1,1,262,135,55,100,0,0,33,100,15000,0,0,200,3000,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
44,Mega Beedrill,超级大针蜂,超級大針蜂,Mega Beedrill,Mega Beedrill,메가독침붕,Mega Beedrill,เมก้าสเปียร์,base,2,12,8,FALSE,<>,{y=300;x=250},1000,0,44,0,config/portrait/speedranktouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,config/portrait/simple/img_15_cjdzf@.png,config/big_hero/normal/img_15_cjdzf@.png,1,{y=0;x=0},koudai_dazhenfengmega/hero_dazhenfengmega.skel,,config/big_hero/standby/img_15_cjdzf@.png,1.4,{y=-50;x=100},<>,<441;442;443>,,,{lifePos={y=320;x=0};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},1,<>,0,1.7,1,1,1.1,1,1,,,0,,0,<>,<>,<>,<>,<>,44.655,1.287,11.615,8.33,3.595,3.98,1.19,1.43,1.45,1.12,1.04,1.24,1127,1000,400,1,1,1,561,100,80,129,0,0,69,300,15000,0,0,300,3000,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
51,Pidgey,波波,波波,Pidgey,Pidgey,구구,Pidgey,ป็อปโปะ,base,2,1,10,FALSE,<>,{y=300;x=250},1000,0,51,0,config/portrait/speedranktouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang1/img_16_bb@.png,config/portrait/simple/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,1.1,{y=10;x=-15},koudai_bobo/hero_bobo.skel,,config/big_hero/standby/img_16_bb@.png,1.4,{y=0;x=150},<>,<511;512;513>,,,{lifePos={y=400;x=0};hitPos={y=190;x=0};headPos={y=360;x=0};namePos={y=400;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,42.029,1.053,9.051,8.811,3.595,3.531,1.12,1.17,1.13,1.12,1.1,1.1,779,1000,400,1,1,1,180,152,80,74,0,0,33,0,15000,0,0,300,3000,0,10000,0,10000,300,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
52,Pidgeotto,比比鸟,比比鳥,Pidgeotto,Pidgeotto,피죤,Pidgeotto,พิเจียน,base,2,1,10,FALSE,<>,{y=300;x=250},1000,0,52,0,config/portrait/speedranktouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang1/img_17_bbn@.png,config/portrait/simple/img_17_bbn@.png,config/big_hero/normal/img_17_bbn@.png,1.1,{y=15;x=10},koudai_bibiniao/hero_bibiniao.skel,,config/big_hero/standby/img_17_bbn@.png,1.4,{y=0;x=100},<>,<521;522;523>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,44.655,1.089,9.452,9.212,3.724,3.692,1.19,1.21,1.18,1.16,1.15,1.15,1102,1000,400,1,1,1,226,195,97,91,0,0,38,0,15000,0,0,300,3000,0,10000,0,10000,300,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
53,Pidgeot,大比鸟,大比鳥,Pidgeot,Pidgeot,피죤투,Pidgeot,พิเจียต,base,2,1,10,FALSE,<>,{y=300;x=250},1000,0,53,0,config/portrait/speedranktouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang1/img_18_dbn@.png,config/portrait/simple/img_18_dbn@.png,config/big_hero/normal/img_18_dbn@.png,1.5,{y=60;x=60},koudai_dabiniao/hero_dabiniao.skel,,config/big_hero/standby/img_18_dbn@.png,1.4,{y=0;x=120},<>,<531;532;533>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.3,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,46.907,1.17,9.932,9.692,3.916,3.884,1.25,1.3,1.24,1.22,1.21,1.21,1410,1000,400,1,1,1,291,257,122,116,0,0,50,0,15000,0,0,300,3000,0,10000,0,10000,300,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
