变量名,_beizhu,index,seatExtraFix,wave,hp,damage,specialDamage,defence,specialDefence,speed,hpself,damageself,specialDamageself,defenceself,specialDefenceself,speedself
默认值,,,{},,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
14,,80002,{11=1.1},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
15,,80002,{11=1.1},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
16,,80002,{11=1.1},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
17,,80002,{11=1.1},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
18,,80002,{11=1.1},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
19,,80002,{11=1.1},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
20,,80002,{11=1.1},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
21,,80002,{11=1.1},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
22,,80002,{11=1.1},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
23,,80002,{11=1.1},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
24,,80002,{11=1.1},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
25,,80003,{11=1.1},1,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
26,,80003,{11=1.1},2,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
27,,80003,{11=1.1},3,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
28,,80003,{11=1.1},4,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
29,,80003,{11=1.1},5,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
30,,80003,{11=1.1},6,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
31,,80003,{11=1.1},7,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
32,,80003,{11=1.1},8,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
33,,80003,{11=1.1},9,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
34,,80003,{11=1.1},10,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
35,,80003,{11=1.1},11,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
36,,80003,{11=1.1},12,<2.16;1.84>,<0.85;0.95>,<0.85;0.95>,<1.13;0.97>,<1.13;0.97>,<0.91;0.91>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
37,,80004,{},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
38,,80004,{},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
39,,80004,{},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
40,,80004,{},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
41,,80004,{},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
42,,80004,{},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
43,,80004,{},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
44,,80004,{},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
45,,80004,{},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
46,,80004,{},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
47,,80004,{},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
48,,80004,{},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
49,,80005,{},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
50,,80005,{},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
51,,80005,{},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
52,,80005,{},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
53,,80005,{},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
54,,80005,{},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
55,,80005,{},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
56,,80005,{},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
57,,80005,{},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
58,,80005,{},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
59,,80005,{},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
60,,80005,{},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
61,,80006,{},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
62,,80006,{},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
63,,80006,{},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
64,,80006,{},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
65,,80006,{},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
66,,80006,{},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
67,,80006,{},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
68,,80006,{},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
69,,80006,{},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
70,,80006,{},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
71,,80006,{},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
72,,80006,{},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
73,,80011,{11=1.1},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
74,,80011,{11=1.1},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
75,,80011,{11=1.1},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
76,,80011,{11=1.1},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
77,,80011,{11=1.1},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
78,,80011,{11=1.1},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
79,,80011,{11=1.1},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
80,,80011,{11=1.1},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
81,,80011,{11=1.1},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
82,,80011,{11=1.1},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
83,,80011,{11=1.1},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
84,,80011,{11=1.1},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
85,,80012,{11=1.1},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
86,,80012,{11=1.1},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
87,,80012,{11=1.1},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
88,,80012,{11=1.1},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
89,,80012,{11=1.1},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
90,,80012,{11=1.1},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
91,,80012,{11=1.1},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
92,,80012,{11=1.1},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
93,,80012,{11=1.1},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
94,,80012,{11=1.1},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
95,,80012,{11=1.1},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
96,,80012,{11=1.1},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
97,,80013,{},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
98,,80013,{},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
99,,80013,{},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
100,,80013,{},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
101,,80013,{},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
102,,80013,{},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
103,,80013,{},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
104,,80013,{},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
105,,80013,{},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
106,,80013,{},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
107,,80013,{},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
108,,80013,{},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
109,,80014,{},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
110,,80014,{},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
111,,80014,{},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
112,,80014,{},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
113,,80014,{},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
114,,80014,{},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
115,,80014,{},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
116,,80014,{},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
117,,80014,{},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
118,,80014,{},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
119,,80014,{},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
120,,80014,{},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
121,,80015,{},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
122,,80015,{},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
123,,80015,{},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
124,,80015,{},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
125,,80015,{},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
