变量名,_beizhu,count,award,drawType
默认值,,0,{},0
ID,备注,计数,奖励,抽卡类型（1 活动限制的抽卡2钻石抽卡3芯片代币及钻石抽卡）
160,,5330,{502=5;20771=5;gold=300000},2
161,,5360,{502=5;20771=5;gold=300000},2
162,,5400,{gold=300000;925=1;20771=10},2
163,,5430,{502=5;20771=5;gold=300000},2
164,,5460,{502=5;20771=5;gold=300000},2
165,,5500,{gold=300000;925=1;20771=10},2
166,,5530,{502=5;20771=5;gold=300000},2
167,,5560,{502=5;20771=5;gold=300000},2
168,,5600,{gold=300000;925=1;20771=10},2
169,,5630,{502=5;20771=5;gold=300000},2
170,,5660,{502=5;20771=5;gold=300000},2
171,,5700,{gold=300000;925=1;20771=10},2
172,,5730,{502=5;20771=5;gold=300000},2
173,,5760,{502=5;20771=5;gold=300000},2
174,,5800,{gold=300000;925=1;20771=10},2
175,,5830,{502=5;20771=5;gold=300000},2
176,,5860,{502=5;20771=5;gold=300000},2
177,,5900,{gold=300000;925=1;20771=10},2
178,,5930,{502=5;20771=5;gold=300000},2
179,,5960,{502=5;20771=5;gold=300000},2
180,,6000,{gold=300000;925=1;20771=10},2
181,,6030,{502=5;20771=5;gold=300000},2
182,,6060,{502=5;20771=5;gold=300000},2
183,,6100,{gold=300000;925=1;20771=10},2
184,,6130,{502=5;20771=5;gold=300000},2
185,,6160,{502=5;20771=5;gold=300000},2
186,,6200,{gold=300000;925=1;20771=10},2
187,,6230,{502=5;20771=5;gold=300000},2
188,,6260,{502=5;20771=5;gold=300000},2
189,,6300,{gold=300000;925=1;20771=10},2
190,,6330,{502=5;20771=5;gold=300000},2
191,,6360,{502=5;20771=5;gold=300000},2
192,,6400,{gold=300000;925=1;20771=10},2
193,,6430,{502=5;20771=5;gold=300000},2
194,,6460,{502=5;20771=5;gold=300000},2
195,,6500,{gold=300000;925=1;20771=10},2
196,,6530,{502=5;20771=5;gold=300000},2
197,,6560,{502=5;20771=5;gold=300000},2
198,,6600,{gold=300000;925=1;20771=10},2
199,,6630,{502=5;20771=5;gold=300000},2
200,,6660,{502=5;20771=5;gold=300000},2
201,,6700,{gold=300000;925=1;20771=10},2
202,,6730,{502=5;20771=5;gold=300000},2
203,,6760,{502=5;20771=5;gold=300000},2
204,,6800,{gold=300000;925=1;20771=10},2
205,,6830,{502=5;20771=5;gold=300000},2
206,,6860,{502=5;20771=5;gold=300000},2
207,,6900,{gold=300000;925=1;20771=10},2
208,,6930,{502=5;20771=5;gold=300000},2
209,,6960,{502=5;20771=5;gold=300000},2
210,,7000,{gold=300000;925=1;20771=10},2
211,,7030,{502=5;20771=5;gold=300000},2
212,,7060,{502=5;20771=5;gold=300000},2
213,,7100,{gold=300000;925=1;20771=10},2
214,,7130,{502=5;20771=5;gold=300000},2
215,,7160,{502=5;20771=5;gold=300000},2
216,,7200,{gold=300000;925=1;20771=10},2
217,,7230,{502=5;20771=5;gold=300000},2
218,,7260,{502=5;20771=5;gold=300000},2
219,,7300,{gold=300000;925=1;20771=10},2
220,,7330,{502=5;20771=5;gold=300000},2
221,,7360,{502=5;20771=5;gold=300000},2
222,,7400,{gold=300000;925=1;20771=10},2
223,,7430,{502=5;20771=5;gold=300000},2
224,,7460,{502=5;20771=5;gold=300000},2
225,,7500,{gold=300000;925=1;20771=10},2
226,,7530,{502=5;20771=5;gold=300000},2
227,,7560,{502=5;20771=5;gold=300000},2
228,,7600,{gold=300000;925=1;20771=10},2
229,,7630,{502=5;20771=5;gold=300000},2
230,,7660,{502=5;20771=5;gold=300000},2
231,,7700,{gold=300000;925=1;20771=10},2
232,,7730,{502=5;20771=5;gold=300000},2
233,,7760,{502=5;20771=5;gold=300000},2
234,,7800,{gold=300000;925=1;20771=10},2
235,,7830,{502=5;20771=5;gold=300000},2
236,,7860,{502=5;20771=5;gold=300000},2
237,,7900,{gold=300000;925=1;20771=10},2
238,,7930,{502=5;20771=5;gold=300000},2
239,,7960,{502=5;20771=5;gold=300000},2
240,,8000,{gold=300000;925=1;20771=10},2
241,,8030,{502=5;20771=5;gold=300000},2
242,,8060,{502=5;20771=5;gold=300000},2
243,,8100,{gold=300000;925=1;20771=10},2
244,,8130,{502=5;20771=5;gold=300000},2
245,,8160,{502=5;20771=5;gold=300000},2
246,,8200,{gold=300000;925=1;20771=10},2
247,,8230,{502=5;20771=5;gold=300000},2
248,,8260,{502=5;20771=5;gold=300000},2
249,,8300,{gold=300000;925=1;20771=10},2
250,,8330,{502=5;20771=5;gold=300000},2
251,,8360,{502=5;20771=5;gold=300000},2
252,,8400,{gold=300000;925=1;20771=10},2
253,,8430,{502=5;20771=5;gold=300000},2
254,,8460,{502=5;20771=5;gold=300000},2
255,,8500,{gold=300000;925=1;20771=10},2
256,,8530,{502=5;20771=5;gold=300000},2
257,,8560,{502=5;20771=5;gold=300000},2
258,,8600,{gold=300000;925=1;20771=10},2
259,,8630,{502=5;20771=5;gold=300000},2
260,,8660,{502=5;20771=5;gold=300000},2
261,,8700,{gold=300000;925=1;20771=10},2
262,,8730,{502=5;20771=5;gold=300000},2
263,,8760,{502=5;20771=5;gold=300000},2
264,,8800,{gold=300000;925=1;20771=10},2
265,,8830,{502=5;20771=5;gold=300000},2
266,,8860,{502=5;20771=5;gold=300000},2
267,,8900,{gold=300000;925=1;20771=10},2
268,,8930,{502=5;20771=5;gold=300000},2
269,,8960,{502=5;20771=5;gold=300000},2
270,,9000,{gold=300000;925=1;20771=10},2
271,,9030,{502=5;20771=5;gold=300000},2
272,,9060,{502=5;20771=5;gold=300000},2
273,,9100,{gold=300000;925=1;20771=10},2
274,,9130,{502=5;20771=5;gold=300000},2
275,,9160,{502=5;20771=5;gold=300000},2
276,,9200,{gold=300000;925=1;20771=10},2
277,,9230,{502=5;20771=5;gold=300000},2
278,,9260,{502=5;20771=5;gold=300000},2
279,,9300,{gold=300000;925=1;20771=10},2
280,,9330,{502=5;20771=5;gold=300000},2
281,,9360,{502=5;20771=5;gold=300000},2
282,,9400,{gold=300000;925=1;20771=10},2
283,,9430,{502=5;20771=5;gold=300000},2
284,,9460,{502=5;20771=5;gold=300000},2
285,,9500,{gold=300000;925=1;20771=10},2
286,,9530,{502=5;20771=5;gold=300000},2
287,,9560,{502=5;20771=5;gold=300000},2
288,,9600,{gold=300000;925=1;20771=10},2
289,,9630,{502=5;20771=5;gold=300000},2
290,,9660,{502=5;20771=5;gold=300000},2
291,,9700,{gold=300000;925=1;20771=10},2
292,,9730,{502=5;20771=5;gold=300000},2
293,,9760,{502=5;20771=5;gold=300000},2
294,,9800,{gold=300000;925=1;20771=10},2
295,,9830,{502=5;20771=5;gold=300000},2
296,,9860,{502=5;20771=5;gold=300000},2
297,,9900,{gold=300000;925=1;20771=10},2
298,,9930,{502=5;20771=5;gold=300000},2
299,,9960,{502=5;20771=5;gold=300000},2
300,,10000,{gold=300000;925=1;20771=10},2
10001,,30,{502=5;gold=300000;14=30},1
10002,,60,{502=5;gold=300000;14=30},1
10003,,100,{14=30;925=1;gold=300000},1
10004,,130,{502=5;gold=300000;14=30},1
10005,,160,{502=5;gold=300000;14=30},1
10006,,200,{14=30;925=1;gold=300000},1
10007,,230,{502=5;gold=300000;14=30},1
10008,,260,{502=5;gold=300000;14=30},1
10009,,300,{14=30;925=1;gold=300000},1
10010,,330,{502=5;gold=300000;14=30},1
10011,,360,{502=5;gold=300000;14=30},1
10012,,400,{14=30;925=1;gold=300000},1
10013,,430,{502=5;gold=300000;14=30},1
10014,,460,{502=5;gold=300000;14=30},1
10015,,500,{14=30;925=1;gold=300000},1
10016,,530,{502=5;gold=300000;14=30},1
10017,,560,{502=5;gold=300000;14=30},1
10018,,600,{14=30;925=1;gold=300000},1
10019,,630,{502=5;gold=300000;14=30},1
10020,,660,{502=5;gold=300000;14=30},1
10021,,700,{14=30;925=1;gold=300000},1
10022,,730,{502=5;gold=300000;14=30},1
10023,,760,{502=5;gold=300000;14=30},1
10024,,800,{14=30;925=1;gold=300000},1
10025,,830,{502=5;gold=300000;14=30},1
10026,,860,{502=5;gold=300000;14=30},1
10027,,900,{14=30;925=1;gold=300000},1
10028,,930,{502=5;gold=300000;14=30},1
10029,,960,{502=5;gold=300000;14=30},1
10030,,1000,{14=30;925=1;gold=300000},1
10031,,1030,{502=5;gold=300000;14=30},1
10032,,1060,{502=5;gold=300000;14=30},1
10033,,1100,{14=30;925=1;gold=300000},1
10034,,1130,{502=5;gold=300000;14=30},1
10035,,1160,{502=5;gold=300000;14=30},1
10036,,1200,{14=30;925=1;gold=300000},1
10037,,1230,{502=5;gold=300000;14=30},1
10038,,1260,{502=5;gold=300000;14=30},1
10039,,1300,{14=30;925=1;gold=300000},1
10040,,1330,{502=5;gold=300000;14=30},1
10041,,1360,{502=5;gold=300000;14=30},1
10042,,1400,{14=30;925=1;gold=300000},1
10043,,1430,{502=5;gold=300000;14=30},1
10044,,1460,{502=5;gold=300000;14=30},1
10045,,1500,{14=30;925=1;gold=300000},1
10046,,1530,{502=5;gold=300000;14=30},1
10047,,1560,{502=5;gold=300000;14=30},1
10048,,1600,{14=30;925=1;gold=300000},1
10049,,1630,{502=5;gold=300000;14=30},1
10050,,1660,{502=5;gold=300000;14=30},1
10051,,1700,{14=30;925=1;gold=300000},1
10052,,1730,{502=5;gold=300000;14=30},1
10053,,1760,{502=5;gold=300000;14=30},1
10054,,1800,{14=30;925=1;gold=300000},1
10055,,1830,{502=5;gold=300000;14=30},1
10056,,1860,{502=5;gold=300000;14=30},1
10057,,1900,{14=30;925=1;gold=300000},1
10058,,1930,{502=5;gold=300000;14=30},1
10059,,1960,{502=5;gold=300000;14=30},1
10060,,2000,{14=30;925=1;gold=300000},1
10061,,2030,{502=5;gold=300000;14=30},1
10062,,2060,{502=5;gold=300000;14=30},1
10063,,2100,{14=30;925=1;gold=300000},1
10064,,2130,{502=5;gold=300000;14=30},1
10065,,2160,{502=5;gold=300000;14=30},1
10066,,2200,{14=30;925=1;gold=300000},1
10067,,2230,{502=5;gold=300000;14=30},1
10068,,2260,{502=5;gold=300000;14=30},1
10069,,2300,{14=30;925=1;gold=300000},1
10070,,2330,{502=5;gold=300000;14=30},1
10071,,2360,{502=5;gold=300000;14=30},1
10072,,2400,{14=30;925=1;gold=300000},1
10073,,2430,{502=5;gold=300000;14=30},1
10074,,2460,{502=5;gold=300000;14=30},1
10075,,2500,{14=30;925=1;gold=300000},1
10076,,2530,{502=5;gold=300000;14=30},1
10077,,2560,{502=5;gold=300000;14=30},1
10078,,2600,{14=30;925=1;gold=300000},1
10079,,2630,{502=5;gold=300000;14=30},1
10080,,2660,{502=5;gold=300000;14=30},1
10081,,2700,{14=30;925=1;gold=300000},1
10082,,2730,{502=5;gold=300000;14=30},1
10083,,2760,{502=5;gold=300000;14=30},1
10084,,2800,{14=30;925=1;gold=300000},1
10085,,2830,{502=5;gold=300000;14=30},1
10086,,2860,{502=5;gold=300000;14=30},1
10087,,2900,{14=30;925=1;gold=300000},1
10088,,2930,{502=5;gold=300000;14=30},1
10089,,2960,{502=5;gold=300000;14=30},1
10090,,3000,{14=30;925=1;gold=300000},1
10091,,3030,{502=5;gold=300000;14=30},1
10092,,3060,{502=5;gold=300000;14=30},1
10093,,3100,{14=30;925=1;gold=300000},1
10094,,3130,{502=5;gold=300000;14=30},1
10095,,3160,{502=5;gold=300000;14=30},1
10096,,3200,{14=30;925=1;gold=300000},1
10097,,3230,{502=5;gold=300000;14=30},1
10098,,3260,{502=5;gold=300000;14=30},1
10099,,3300,{14=30;925=1;gold=300000},1
10100,,3330,{502=5;gold=300000;14=30},1
10101,,3360,{502=5;gold=300000;14=30},1
10102,,3400,{14=30;925=1;gold=300000},1
10103,,3430,{502=5;gold=300000;14=30},1
10104,,3460,{502=5;gold=300000;14=30},1
10105,,3500,{14=30;925=1;gold=300000},1
10106,,3530,{502=5;gold=300000;14=30},1
10107,,3560,{502=5;gold=300000;14=30},1
10108,,3600,{14=30;925=1;gold=300000},1
10109,,3630,{502=5;gold=300000;14=30},1
10110,,3660,{502=5;gold=300000;14=30},1
10111,,3700,{14=30;925=1;gold=300000},1
10112,,3730,{502=5;gold=300000;14=30},1
10113,,3760,{502=5;gold=300000;14=30},1
10114,,3800,{14=30;925=1;gold=300000},1
10115,,3830,{502=5;gold=300000;14=30},1
10116,,3860,{502=5;gold=300000;14=30},1
10117,,3900,{14=30;925=1;gold=300000},1
10118,,3930,{502=5;gold=300000;14=30},1
10119,,3960,{502=5;gold=300000;14=30},1
10120,,4000,{14=30;925=1;gold=300000},1
10121,,4030,{502=5;gold=300000;14=30},1
10122,,4060,{502=5;gold=300000;14=30},1
10123,,4100,{14=30;925=1;gold=300000},1
10124,,4130,{502=5;gold=300000;14=30},1
10125,,4160,{502=5;gold=300000;14=30},1
10126,,4200,{14=30;925=1;gold=300000},1
10127,,4230,{502=5;gold=300000;14=30},1
10128,,4260,{502=5;gold=300000;14=30},1
10129,,4300,{14=30;925=1;gold=300000},1
10130,,4330,{502=5;gold=300000;14=30},1
10131,,4360,{502=5;gold=300000;14=30},1
10132,,4400,{14=30;925=1;gold=300000},1
10133,,4430,{502=5;gold=300000;14=30},1
10134,,4460,{502=5;gold=300000;14=30},1
10135,,4500,{14=30;925=1;gold=300000},1
10136,,4530,{502=5;gold=300000;14=30},1
10137,,4560,{502=5;gold=300000;14=30},1
10138,,4600,{14=30;925=1;gold=300000},1
10139,,4630,{502=5;gold=300000;14=30},1
10140,,4660,{502=5;gold=300000;14=30},1
10141,,4700,{14=30;925=1;gold=300000},1
10142,,4730,{502=5;gold=300000;14=30},1
10143,,4760,{502=5;gold=300000;14=30},1
10144,,4800,{14=30;925=1;gold=300000},1
10145,,4830,{502=5;gold=300000;14=30},1
10146,,4860,{502=5;gold=300000;14=30},1
10147,,4900,{14=30;925=1;gold=300000},1
10148,,4930,{502=5;gold=300000;14=30},1
10149,,4960,{502=5;gold=300000;14=30},1
10150,,5000,{14=30;925=1;gold=300000},1
10151,,5030,{502=5;gold=300000;14=30},1
10152,,5060,{502=5;gold=300000;14=30},1
10153,,5100,{14=30;925=1;gold=300000},1
10154,,5130,{502=5;gold=300000;14=30},1
10155,,5160,{502=5;gold=300000;14=30},1
10156,,5200,{14=30;925=1;gold=300000},1
10157,,5230,{502=5;gold=300000;14=30},1
10158,,5260,{502=5;gold=300000;14=30},1
10159,,5300,{14=30;925=1;gold=300000},1
10160,,5330,{502=5;gold=300000;14=30},1
10161,,5360,{502=5;gold=300000;14=30},1
10162,,5400,{14=30;925=1;gold=300000},1
10163,,5430,{502=5;gold=300000;14=30},1
10164,,5460,{502=5;gold=300000;14=30},1
10165,,5500,{14=30;925=1;gold=300000},1
10166,,5530,{502=5;gold=300000;14=30},1
10167,,5560,{502=5;gold=300000;14=30},1
10168,,5600,{14=30;925=1;gold=300000},1
10169,,5630,{502=5;gold=300000;14=30},1
10170,,5660,{502=5;gold=300000;14=30},1
10171,,5700,{14=30;925=1;gold=300000},1
10172,,5730,{502=5;gold=300000;14=30},1
10173,,5760,{502=5;gold=300000;14=30},1
10174,,5800,{14=30;925=1;gold=300000},1
10175,,5830,{502=5;gold=300000;14=30},1
10176,,5860,{502=5;gold=300000;14=30},1
10177,,5900,{14=30;925=1;gold=300000},1
10178,,5930,{502=5;gold=300000;14=30},1
10179,,5960,{502=5;gold=300000;14=30},1
10180,,6000,{14=30;925=1;gold=300000},1
10181,,6030,{502=5;gold=300000;14=30},1
10182,,6060,{502=5;gold=300000;14=30},1
10183,,6100,{14=30;925=1;gold=300000},1
10184,,6130,{502=5;gold=300000;14=30},1
10185,,6160,{502=5;gold=300000;14=30},1
10186,,6200,{14=30;925=1;gold=300000},1
10187,,6230,{502=5;gold=300000;14=30},1
10188,,6260,{502=5;gold=300000;14=30},1
10189,,6300,{14=30;925=1;gold=300000},1
10190,,6330,{502=5;gold=300000;14=30},1
10191,,6360,{502=5;gold=300000;14=30},1
10192,,6400,{14=30;925=1;gold=300000},1
10193,,6430,{502=5;gold=300000;14=30},1
10194,,6460,{502=5;gold=300000;14=30},1
10195,,6500,{14=30;925=1;gold=300000},1
10196,,6530,{502=5;gold=300000;14=30},1
10197,,6560,{502=5;gold=300000;14=30},1
10198,,6600,{14=30;925=1;gold=300000},1
10199,,6630,{502=5;gold=300000;14=30},1
10200,,6660,{502=5;gold=300000;14=30},1
10201,,6700,{14=30;925=1;gold=300000},1
10202,,6730,{502=5;gold=300000;14=30},1
10203,,6760,{502=5;gold=300000;14=30},1
10204,,6800,{14=30;925=1;gold=300000},1
10205,,6830,{502=5;gold=300000;14=30},1
10206,,6860,{502=5;gold=300000;14=30},1
10207,,6900,{14=30;925=1;gold=300000},1
10208,,6930,{502=5;gold=300000;14=30},1
10209,,6960,{502=5;gold=300000;14=30},1
10210,,7000,{14=30;925=1;gold=300000},1
10211,,7030,{502=5;gold=300000;14=30},1
10212,,7060,{502=5;gold=300000;14=30},1
10213,,7100,{14=30;925=1;gold=300000},1
10214,,7130,{502=5;gold=300000;14=30},1
10215,,7160,{502=5;gold=300000;14=30},1
10216,,7200,{14=30;925=1;gold=300000},1
10217,,7230,{502=5;gold=300000;14=30},1
10218,,7260,{502=5;gold=300000;14=30},1
10219,,7300,{14=30;925=1;gold=300000},1
10220,,7330,{502=5;gold=300000;14=30},1
10221,,7360,{502=5;gold=300000;14=30},1
10222,,7400,{14=30;925=1;gold=300000},1
10223,,7430,{502=5;gold=300000;14=30},1
10224,,7460,{502=5;gold=300000;14=30},1
10225,,7500,{14=30;925=1;gold=300000},1
10226,,7530,{502=5;gold=300000;14=30},1
10227,,7560,{502=5;gold=300000;14=30},1
10228,,7600,{14=30;925=1;gold=300000},1
10229,,7630,{502=5;gold=300000;14=30},1
10230,,7660,{502=5;gold=300000;14=30},1
10231,,7700,{14=30;925=1;gold=300000},1
10232,,7730,{502=5;gold=300000;14=30},1
10233,,7760,{502=5;gold=300000;14=30},1
10234,,7800,{14=30;925=1;gold=300000},1
10235,,7830,{502=5;gold=300000;14=30},1
10236,,7860,{502=5;gold=300000;14=30},1
10237,,7900,{14=30;925=1;gold=300000},1
10238,,7930,{502=5;gold=300000;14=30},1
10239,,7960,{502=5;gold=300000;14=30},1
10240,,8000,{14=30;925=1;gold=300000},1
10241,,8030,{502=5;gold=300000;14=30},1
10242,,8060,{502=5;gold=300000;14=30},1
10243,,8100,{14=30;925=1;gold=300000},1
10244,,8130,{502=5;gold=300000;14=30},1
10245,,8160,{502=5;gold=300000;14=30},1
10246,,8200,{14=30;925=1;gold=300000},1
10247,,8230,{502=5;gold=300000;14=30},1
10248,,8260,{502=5;gold=300000;14=30},1
10249,,8300,{14=30;925=1;gold=300000},1
10250,,8330,{502=5;gold=300000;14=30},1
10251,,8360,{502=5;gold=300000;14=30},1
10252,,8400,{14=30;925=1;gold=300000},1
10253,,8430,{502=5;gold=300000;14=30},1
10254,,8460,{502=5;gold=300000;14=30},1
10255,,8500,{14=30;925=1;gold=300000},1
10256,,8530,{502=5;gold=300000;14=30},1
10257,,8560,{502=5;gold=300000;14=30},1
10258,,8600,{14=30;925=1;gold=300000},1
10259,,8630,{502=5;gold=300000;14=30},1
10260,,8660,{502=5;gold=300000;14=30},1
10261,,8700,{14=30;925=1;gold=300000},1
10262,,8730,{502=5;gold=300000;14=30},1
10263,,8760,{502=5;gold=300000;14=30},1
10264,,8800,{14=30;925=1;gold=300000},1
10265,,8830,{502=5;gold=300000;14=30},1
10266,,8860,{502=5;gold=300000;14=30},1
10267,,8900,{14=30;925=1;gold=300000},1
10268,,8930,{502=5;gold=300000;14=30},1
10269,,8960,{502=5;gold=300000;14=30},1
10270,,9000,{14=30;925=1;gold=300000},1
10271,,9030,{502=5;gold=300000;14=30},1
10272,,9060,{502=5;gold=300000;14=30},1
10273,,9100,{14=30;925=1;gold=300000},1
10274,,9130,{502=5;gold=300000;14=30},1
10275,,9160,{502=5;gold=300000;14=30},1
10276,,9200,{14=30;925=1;gold=300000},1
10277,,9230,{502=5;gold=300000;14=30},1
10278,,9260,{502=5;gold=300000;14=30},1
