变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unlockDesc_pt,unlockDesc_th
18,露夕华,露夕華,Lucy Hua,Lucy Hua,루시화,Lucy Hua,ลู่ซีฮวา,config/portrait/toptouxiang/img_role_18@.png,,,18,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
19,兰妞夜,蘭妞夜,Lanniuye,Lanniuye,란니우예,Lanniuye,หลันหนิวเย่,config/portrait/toptouxiang/img_role_19@.png,,,19,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
20,芦荟,蘆薈,Lenora,Lenora,알로에,Lenora,อโลเอ,config/portrait/toptouxiang/img_role_20@.png,,,20,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
21,斗子,鬥子,Hilda,Hilda,투희,Hilda,โทโกะ,config/portrait/toptouxiang/img_role_21@.png,,,21,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
22,芽衣,芽衣,Rosa,Rosa,명희,Rosa,เมย์,config/portrait/toptouxiang/img_role_22@.png,,,22,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
23,弥莉丝,彌莉絲,Mellis,Mellis,미리스,Mellis,มิลิส,config/portrait/toptouxiang/img_role_23@.png,,,23,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
24,芙蓉,芙蓉,Phoebe,Phoebe,후요,Phoebe,ฟูโย,config/portrait/toptouxiang/img_role_24@.png,,,24,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
25,水莲,水蓮,Lana,Lana,수련,Lana,ซุยเรน,config/portrait/toptouxiang/img_role_25@.png,,,25,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
26,碧蓝,碧藍,Blue,Blue,블루,Blue,บลู,config/portrait/toptouxiang/img_role_26@.png,,,26,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
27,小刚,小剛,Brock,Brock,웅,Brock,ทาเคชิ,config/portrait/toptouxiang/img_role_27@.png,,,27,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
28,碧珂,碧珂,Wicke,Wicke,비케,Wicke,วิคเก้,config/portrait/toptouxiang/img_role_28@.png,,,28,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
29,达帕,達帕,Dappa,Dappa,다파,Dappa,ดัปปะ,config/portrait/toptouxiang/img_role_29@.png,,,29,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
30,库库伊,庫庫伊,Professor Kukui,Giáo sư Kukui,쿠쿠이박사,Professor Kukui,ศาสตราจารย์คุคุย,config/portrait/toptouxiang/img_role_30@.png,,,30,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
31,艾岚,艾嵐,Alain,Alain,알랭,Alain,อลัน,config/portrait/toptouxiang/img_role_31@.png,,,31,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
32,大木博士,大木博士,Professor Oak,Giáo sư Oak,오박사,Professor Carvalho,ศาสตราจารย์โอคิโดะ,config/portrait/toptouxiang/img_role_32@.png,,,32,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
33,朗日,朗日,Elio,Elio,영태,Elio,โย,config/portrait/toptouxiang/img_role_33@.png,,,33,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
34,美月,美月,Selene,Selene,미월,Selene,มิซึกิ,config/portrait/toptouxiang/img_role_34@.png,,,34,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
35,小次郎,小次郎,James,James,로이,James,โคจิโร่,config/portrait/toptouxiang/img_role_35@.png,,,35,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
36,武藏,武藏,Jessie,Jessie,로사,Jessie,มุซาชิ,config/portrait/toptouxiang/img_role_36@.png,,,36,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
37,小智(圣诞),小智 (聖誕),Ash (Christmas),Ash (Giáng sinh),지우 (크리스마스),Ash (Natal),ซาโตชิ (คริสต์มาส),config/portrait/toptouxiang/img_role_37@.png,,,37,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
38,小霞(圣诞),小霞 (聖誕),Misty (Christmas),Misty (Giáng sinh),이슬 (크리스마스),Misty (Natal),คาสึมิ (คริสต์มาส),config/portrait/toptouxiang/img_role_38@.png,,,38,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
39,水莲(夏日限定),水蓮 (夏日限定),Lana (Summer Limited),Lana (Giới hạn Mùa hè),수련 (여름 한정),Lana (Limitado de Verão),ซุยเรน (ลิมิเต็ดฤดูร้อน),config/portrait/toptouxiang/img_role_39@.png,,,39,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
40,格拉吉欧,格拉吉歐,Gladion,Gladion,글라디오,Gladion,กลาดิโอ,config/portrait/toptouxiang/img_role_40@.png,,,40,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
41,玛奥,瑪奧,Mallow,Mallow,마오,Mallow,มาโอะ,config/portrait/toptouxiang/img_role_41@.png,,,41,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
42,莉莉艾,莉莉艾,Lillie,Lillie,릴리에,Lillie,ลิเลีย,config/portrait/toptouxiang/img_role_42@.png,,,42,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
43,阿塞萝拉,阿塞蘿拉,Acerola,Acerola,아세로라,Acerola,อเซโรลา,config/portrait/toptouxiang/img_role_43@.png,,,43,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
44,斗子圣诞节限定,鬥子 (聖誕節限定),Hilda (Christmas Limited),Hilda (Giới hạn Giáng sinh),투희 (크리스마스 한정),Hilda (Limitada de Natal),โทโกะ (ลิมิเต็ดคริสต์มาส),config/portrait/toptouxiang/img_role_44@.png,,,44,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
45,美月春节限定,美月 (春節限定),Selene (Spring Festival Limited),Selene (Giới hạn Tết Nguyên Đán),미월 (설날 한정),Selene (Limitada de Ano Novo Chinês),มิซึกิ (ลิมิเต็ดตรุษจีน),config/portrait/toptouxiang/img_role_45@.png,,,45,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
46,小光,小光,Dawn,Dawn,빛나,Dawn,ฮิคาริ,config/portrait/toptouxiang/img_role_46@.png,,,46,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
47,小胜,小勝,Max,Max,정인,Max,มาซาโตะ,config/portrait/toptouxiang/img_role_47@.png,,,47,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
49,希特隆,希特隆,Clemont,Clemont,시트론,Clemont,ซิตรอน,config/portrait/toptouxiang/img_role_49@.png,,,49,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
50,莉莉艾中秋限定,莉莉艾 (中秋限定),Lillie (Mid-Autumn Limited),Lillie (Giới hạn Trung thu),릴리에 (추석 한정),Lillie (Limitada de Meio do Outono),ลิเลีย (ลิมิเต็ดไหว้พระจันทร์),config/portrait/toptouxiang/img_role_50@.png,,,50,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
51,赤焰松,赤焰松,Maxie,Maxie,마적,Maxie,มัตสึบุสะ,config/portrait/toptouxiang/img_role_51@.png,,,51,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
52,阿塞萝拉万圣限定,阿塞蘿拉 (萬聖限定),Acerola (Halloween Limited),Acerola (Giới hạn Halloween),아세로라 (할로윈 한정),Acerola (Limitada de Halloween),อเซโรลา (ลิมิเต็ดฮาโลวีน),config/portrait/toptouxiang/img_role_52@.png,,,52,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
53,柚丽佳,柚麗嘉,Bonnie,Bonnie,유리카,Bonnie,ยูรีก้า,config/portrait/toptouxiang/img_role_53@.png,,,53,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
54,芽衣(圣诞限定),芽衣 (聖誕限定),Rosa (Christmas Limited),Rosa (Giới hạn Giáng sinh),명희 (크리스마스 한정),Rosa (Limitada de Natal),เมย์ (ลิมิเต็ดคริสต์มาส),config/portrait/toptouxiang/img_role_54@.png,,,54,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
55,玛奥(新春限定),瑪奧 (新春限定),Mallow (New Year Limited),Mallow (Giới hạn Năm Mới),마오 (신년 한정),Mallow (Limitada de Ano Novo),มาโอะ (ลิมิเต็ดปีใหม่),config/portrait/toptouxiang/img_role_55@.png,,,55,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
56,天桐,天桐,Cilan,Cilan,덴트,Cilan,เด็นโตะ,config/portrait/toptouxiang/img_role_56@.png,,,56,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
57,小茂,小茂,Gary,Gary,오바람,Gary,ชิเงรุ,config/portrait/toptouxiang/img_role_57@.png,,,57,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
58,莎莉娜,莎莉娜,Serena,Serena,세레나,Serena,เซเรน่า,config/portrait/toptouxiang/img_role_58@.png,,,58,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
59,露璃娜,露璃娜,Nessa,Nessa,루리나,Nessa,รูรินะ,config/portrait/toptouxiang/img_role_59@.png,,,59,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
60,丹帝,丹帝,Leon,Leon,단델,Leon,แดนดี้,config/portrait/toptouxiang/img_role_60@.png,,,60,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
61,彩豆,彩豆,Bea,Bea,채두,Bea,ไซโต,config/portrait/toptouxiang/img_role_61@.png,,,61,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
62,卡露妮(活动限定),卡露妮 (活動限定),Diantha (Event Limited),Diantha (Giới hạn Sự kiện),카르네 (이벤트 한정),Diantha (Limitada de Evento),คาร์เน็ต (ลิมิเต็ดกิจกรรม),config/portrait/toptouxiang/img_role_62@.png,,,62,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
63,辛俐,辛俐,Rika,Rika,칠리,Rika,ซากิ,config/portrait/toptouxiang/img_role_63@.png,,,63,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
64,欧尼奥(万圣节),歐尼奧 (萬聖節),Allister (Halloween),Allister (Halloween),어니언 (할로윈),Allister (Halloween),ออลนิโอ (ฮาโลวีน),config/portrait/toptouxiang/img_role_64@.png,,,64,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
65,玛俐,瑪俐,Marnie,Marnie,마리,Marnie,มารี,config/portrait/toptouxiang/img_role_65@.png,,,65,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
66,奇树,奇樹,Iono,Iono,모야모,Iono,นานาโมะ,config/portrait/toptouxiang/img_role_66@.png,,,66,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
67,莉可(新春限定),莉可 (新春限定),Liko (New Year Limited),Liko (Giới hạn Năm Mới),리코 (신년 한정),Liko (Limitada de Ano Novo),ริโกะ (ลิมิเต็ดปีใหม่),config/portrait/toptouxiang/img_role_67@.png,,,67,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
68,梅洛可,梅洛可,Mela,Mela,멜로코,Mela,เมโลโกะ,config/portrait/toptouxiang/img_role_68@.png,,,68,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
69,莉可,莉可,Liko,Liko,리코,Liko,ริโกะ,config/portrait/toptouxiang/img_role_69@.png,,,69,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
70,妮莫,妮莫,Nemona,Nemona,네모,Nemona,เนโม,config/portrait/toptouxiang/img_role_70@.png,,,70,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
71,八朔,八朔,Hassel,Hassel,팔삭,Hassel,ฮัสสึ,config/portrait/toptouxiang/img_role_71@.png,,,71,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
72,波琵,波琵,Poppy,Poppy,뽀삐,Poppy,ป๊อปปี้,config/portrait/toptouxiang/img_role_72@.png,,,72,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
73,小霞(夏日限定),小霞 (夏日限定),Misty (Summer Limited),Misty (Giới hạn Mùa hè),이슬 (여름 한정),Misty (Limitada de Verão),คาสึมิ (ลิมิเต็ดฤดูร้อน),config/portrait/toptouxiang/img_role_73@.png,,,73,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
74,青木,青木,Larry,Larry,청목,Larry,อาโอกิ,config/portrait/toptouxiang/img_role_74@.png,,,74,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
75,小智(活动限定),小智 (活動限定),Ash (Event Limited),Ash (Giới hạn Sự kiện),지우 (이벤트 한정),Ash (Limitado de Evento),ซาโตชิ (ลิมิเต็ดกิจกรรม),config/portrait/toptouxiang/img_role_75@.png,,,75,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
76,小刚(活动限定),小剛 (活動限定),Brock (Event Limited),Brock (Giới hạn Sự kiện),웅 (이벤트 한정),Brock (Limitado de Evento),ทาเคชิ (ลิมิเต็ดกิจกรรม),config/portrait/toptouxiang/img_role_76@.png,,,76,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
77,小次郎(万圣节),小次郎 (萬聖節),James (Halloween),James (Halloween),로이 (할로윈),James (Halloween),โคจิโร่ (ฮาโลวีน),config/portrait/toptouxiang/img_role_80@.png,,,77,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
78,紫竽,紫竽,Ziyu,Ziyu,자우,Ziyu,ชิอุ,config/portrait/toptouxiang/img_role_81@.png,,,78,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
79,奇树(圣诞节),奇樹 (聖誕節),Iono (Christmas),Iono (Giáng sinh),모야모 (크리스마스),Iono (Natal),นานาโมะ (คริสต์มาส),config/portrait/toptouxiang/img_role_82@.png,,,79,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
80,武藏(新春限定),武藏 (新春限定),Jessie (New Year Limited),Jessie (Giới hạn Năm Mới),로사 (신년 한정),Jessie (Limitada de Ano Novo),มุซาชิ (ลิมิเต็ดปีใหม่),config/portrait/toptouxiang/img_role_83@.png,,,80,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
81,修(活动限定),修 (活動限定),Hugh (Event Limited),Hugh (Giới hạn Sự kiện),휴 (이벤트 한정),Hugh (Limitado de Evento),ฮิว (ลิมิเต็ดกิจกรรม),config/portrait/toptouxiang/img_role_84@.png,,,81,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
901,电电鼠新春版,咚咚鼠 (新春版),Dedenne (New Year Edition),Dedenne (Phiên bản Năm Mới),데덴네 (신년 버전),Dedenne (Edição de Ano Novo),เดเด็นเนะ (เวอร์ชั่นปีใหม่),config/portrait/toptouxiang/img_dds.png,,2301,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
904,杰尼龟,傑尼龜,Squirtle,Squirtle,꼬부기,Squirtle,เซนิกาเมะ,config/portrait/toptouxiang/icon_sd_jng.png,,2304,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
905,喵喵,喵喵,Meowth,Meowth,나옹,Meowth,เนียส,config/portrait/toptouxiang/icon_sd_mm.png,,2305,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
907,妙蛙种子,妙蛙種子,Bulbasaur,Bulbasaur,이상해씨,Bulbasaur,ฟุชิกิดาเนะ,config/portrait/toptouxiang/icon_sd_mwzz.png,,2307,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
909,小火龙,小火龍,Charmander,Charmander,파이리,Charmander,ฮิโตคาเงะ,config/portrait/toptouxiang/icon_sd_xhl.png,,2309,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
910,伊布,伊布,Eevee,Eevee,이브이,Eevee,อีวุย,config/portrait/toptouxiang/icon_sd_yb.png,,2310,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
912,沼跃鱼,沼躍魚,Marshtomp,Marshtomp,늪짱이,Marshtomp,นูมาโคล,config/portrait/toptouxiang/icon_sd_zyy.png,,2312,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
913,卡比兽劳动节限定,卡比獸 (勞動節限定),Snorlax (Labor Day Limited),Snorlax (Giới hạn Ngày Lao động),잠만보 (노동절 한정),Snorlax (Limitado do Dia do Trabalho),คาบิกอน (ลิมิเต็ดวันแรงงาน),config/portrait/toptouxiang/img_wy.png,,2313,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
914,歌德宝宝61限定,哥德寶寶 (六一限定),Gothita (Children's Day Limited),Gothita (Giới hạn 1/6),고디탱 (어린이날 한정),Gothita (Limitada do Dia das Crianças),โกธิมู (ลิมิเต็ด 1 มิ.ย.),config/portrait/toptouxiang/img_ly.png,,2314,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
915,妙蛙粽子,妙蛙粽子,Bulba-zongzi,Bulba-zongzi,이상해쫑쯔,Bulba-zongzi,ฟุชิกิโซวบ๊ะจ่าง,config/portrait/toptouxiang/icon_mwzz_tx.png,,2315,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
916,吃饼嘛,吃餅嘛,Want some cake?,Ăn bánh không?,떡 먹을래?,Quer um bolo?,กินขนมไหว้พระจันทร์ไหม,config/portrait/toptouxiang/icon_ddzq.png,,2316,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
917,比心,比心,Finger Heart,Bắn tim,손가락 하트,Coração com os dedos,ส่งใจ,config/portrait/toptouxiang/icon_pkqgq.png,,2317,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
918,伪装,偽裝,Disguise,Cải trang,위장,Disfarce,ปลอมตัว,config/portrait/toptouxiang/icon_wsj.png,,2318,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
919,穿着熊2020圣诞限定,穿著熊 (2020聖誕限定),Bewear (2020 Christmas Limited),Bewear (Giới hạn Giáng sinh 2020),따라큐 (2020 크리스마스 한정),Bewear (Limitado de Natal 2020),คิเทรุกุมะ (ลิมิเต็ดคริสต์มาส 2020),config/portrait/toptouxiang/icon_2021sdtx.png,,2319,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
920,吉利蛋2021元旦限定,吉利蛋 (2021元旦限定),Chansey (2021 New Year's Day Limited),Chansey (Giới hạn Tết 2021),럭키 (2021 신년 한정),Chansey (Limitado de Ano Novo 2021),ลัคกี (ลิมิเต็ดปีใหม่ 2021),config/portrait/toptouxiang/icon_2021ydtx.png,,2320,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
921,圣诞魔影·几何雪花,聖誕魔影·幾何雪花,Christmas Shadow - Cryogonal,Bóng ma Giáng sinh - Cryogonal,크리스마스 마영·프리지오,Sombra de Natal - Cryogonal,เงาปีศาจคริสต์มาส·ฟรีจิโอ,config/portrait/speedranktouxiang/img_615_jhxhsd@.png,,,,101,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
922,冰雪公主·蒂安希,冰雪公主·蒂安希,Ice Princess - Diancie,Công chúa Băng giá - Diancie,얼음 공주·디안시,Princesa do Gelo - Diancie,เจ้าหญิงเหมันต์·เดียนซี,config/portrait/speedranktouxiang/img_719_daxsd@.png,,,,102,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
