变量名,_vipLevel,icon,icon2,gift,giftLevelLimit,monthGift,oldPrice,newPrice,upSum,dispatchTaskQualityUpd,dispatchTaskCount,megaItemMaxTimes,megaCommonItemMaxTimes,randomTowerPointRate,rmbDrawGemCountLimit,goldDrawGemCountLimit,rmbDrawChipCountLimit,itemDrawChipCountLimit,goldDrawCardCountLimit,drawItemCountLimit,crossArenaFreePWTimes,crossArenaBuyPWMaxTimes,freePWTimes,buyStaminaTimes,buyPWTimes,PWcoldTime,PWpointActive,buyHeroGateTimes,lianJinTimes,lianJinGift,lianJinUpstart,cardbgBuyNum,saodangCountOpen,chatTimes,roleChatTimes,chatTimes_kr,roleChatTimes_kr,chatTimes_en,roleChatTimes_en,chatTimes_tw,roleChatTimes_tw,bossTimeBuyLimit,skillPointRecoverTime,buySkillPointTimes,endlessTowerResetTimes,mysteryRefresh,shopRefreshLimit,fragShopRefreshLimit,explorerShopRefreshLimit,fishingShopRefreshLimit,hammer2048,freeTimes2048,buyTimes2048,freeTimesEatGreenBlock,buyTimesEatGreenBlock,freeTimesGoDown100,buyTimesGoDown100,arenaPassCD,huodongRedPacketSend,huodongRedPacketRob,gymTalentPointBuyTimes,gymBattleBuyTimes,fragExchangeTimes,heldItemExchangeTimes,crossMineRobBuyLimit,crossMineRevengeBuyLimit,huodongCrossRedPacketSend,huodongCrossRedPacketRob
9,,ICON/vip8.png,ICON/vip2_8.png,{203=1;13=30;gold=200000;223=1;2103=30},0,{},16880,1680,,{1=0;2=0.2;3=0.4;4=0.3;5=0.1},4,20,20,1.1,100,30,100,30,100,50,5,100,5,11,100,60,1,3,45,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=88;2=7;3=4;5=1;10=0},55,50,200,200,1,1,1,1,1,1,2,60,25,1,1,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=30},{4=3},12,12,1,10
10,,ICON/vip9.png,ICON/vip2_9.png,{21301=100;gold=200000;13=30;6100=1;902=20},0,{},22800,2280,,{1=0;2=0.2;3=0.4;4=0.3;5=0.1},4,20,20,1.1,100,30,100,30,100,55,5,100,5,12,100,60,1,3,50,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=88;2=7;3=4;5=1;10=0},60,50,220,220,1,1,1,1,1,1,2,5,30,1,1,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=30},{4=3},14,14,1,10
11,,ICON/vip10.png,ICON/vip2_10.png,{14=10;30315=1;gold=300000;233=1;902=20;213=1},0,{502=3;gold=200000;902=10;rmb=200;2103=10},26800,2680,,{1=0;2=0.15;3=0.3;4=0.35;5=0.2},4,20,20,1.1,100,30,100,30,100,60,5,100,5,12,100,60,1,4,60,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=83;2=9;3=5;5=3;10=1},65,50,240,240,1,1,1,1,1,1,2,5,35,2,1,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=40},{4=4},16,16,1,10
12,,ICON/vip11.png,ICON/vip2_11.png,{14=10;21301=100;gold=300000;2216=1;902=40},0,{502=4;gold=300000;902=12;rmb=240;2103=12},33800,3380,,{1=0;2=0.1;3=0.3;4=0.4;5=0.2},5,20,20,1.1,100,30,100,30,100,65,5,100,5,13,100,60,1,4,70,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=83;2=9;3=5;5=3;10=1},70,50,260,260,1,1,1,1,1,1,2,5,40,2,2,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=40},{4=4},18,18,1,10
13,,ICON/vip12.png,ICON/vip2_12.png,{14=100;card={id=761};gold=30000000;501=10;2006=1;902=260},0,{502=5;gold=400000;902=14;rmb=280;2103=14},48800,4880,10000,{1=0;2=0.1;3=0.25;4=0.4;5=0.25},5,20,20,1.15,100,30,100,30,100,70,5,100,5,13,100,60,1,4,80,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=83;2=9;3=5;5=3;10=1},80,50,280,280,1,1,1,1,1,1,2,5,50,2,2,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=40},{4=5},21,21,1,10
14,,ICON/vip13.png,ICON/vip2_13.png,{521=100;20761=160;gold=50000000;50761=20;201=10;902=100;221=10},0,{502=6;gold=500000;902=16;rmb=320;2103=16},68800,6880,40000,{1=0;2=0.05;3=0.3;4=0.4;5=0.25},5,20,20,1.15,100,30,100,30,100,80,5,100,5,14,100,10,1,5,100,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},90,50,300,300,1,1,1,1,1,1,2,5,60,2,2,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=50},{4=5},24,24,1,10
15,,ICON/vip14.png,ICON/vip2_14.png,{29076=80;231=1;211=1;6101=1;gold=500000;902=200},0,{502=7;gold=600000;902=18;rmb=360;2103=18},108800,10880,80000,{1=0;2=0.05;3=0.3;4=0.4;5=0.25},5,20,20,1.3,100,30,100,30,100,90,5,100,5,14,100,10,1,5,120,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},100,50,320,320,1,1,1,1,1,1,2,5,80,2,3,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=50},{4=6},27,27,1,10
16,,ICON/vip15.png,ICON/vip2_15.png,{14=100;902=500;gold=20000000;2261=1;521=340;30451=1},0,{502=8;gold=800000;902=20;rmb=400;2103=20},208800,20880,180000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,100,5,100,5,15,100,10,1,5,150,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},110,50,340,340,1,1,1,1,1,1,2,5,100,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=50},{4=7},30,30,1,10
17,,ICON/vip16.png,ICON/vip2_16.png,{gold=30000000;6102=1;6199=1;521=450;501=200;902=600},0,{502=10;gold=1000000;902=25;rmb=500;2103=25},308800,18880,230000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,110,5,100,5,15,100,10,1,5,180,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},120,50,360,360,1,1,1,1,1,1,2,5,100,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=8},35,35,1,10
18,,ICON/vip17.png,ICON/vip2_17.png,{6915=1;29086=80;2103=500;gold=50000000;521=560;2153=30;902=800},0,{502=12;gold=1200000;902=30;rmb=600;2103=30},408800,20880,330000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,120,5,100,5,20,100,10,1,5,210,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},130,50,380,380,1,1,1,1,1,1,2,5,100,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,40,1,10
19,,ICON/vip18.png,ICON/vip2_18.png,{30454=1;529=80000;604=500;gold=80000000;521=888;994=50;902=300},0,{502=15;gold=1500000;902=40;rmb=800;2103=40},508800,26880,430000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,200,60,100,30,100,200,5,100,5,30,100,10,1,5,240,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},150,50,400,400,1,1,1,1,1,1,2,5,100,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip19.png,ICON/vip2_19.png,{930=20;8192=5;521=100;8193=5},0,{502=15;902=40;rmb=80000;539=240;2103=40},608800,30880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},10,25,25,1.3,220,65,120,40,100,220,5,150,5,40,100,10,1,5,270,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},160,100,400,400,1,1,1,1,1,1,3,5,150,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip20.png,ICON/vip2_20.png,{930=30;8192=10;521=200;8193=10},0,{502=15;902=40;rmb=80000;539=240;2103=40},708800,40880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},10,30,30,1.3,250,70,140,50,100,250,5,200,5,50,100,10,1,5,300,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},170,100,400,400,1,1,1,1,1,1,3,5,200,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip21.png,ICON/vip2_21.png,{930=40;8192=15;521=300;8193=15},0,{502=15;902=40;rmb=80000;539=240;2103=40},808800,50880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},10,35,35,1.3,280,75,160,60,100,280,5,250,5,60,100,10,1,5,330,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},180,150,400,400,1,1,1,1,1,1,4,5,250,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip22.png,ICON/vip2_22.png,{6200=1;2193=1;539=100;2194=1},0,{502=15;902=40;521=400;539=240;rmb=80000},908800,60880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},10,40,40,1.3,300,80,180,70,100,300,5,300,5,70,100,10,1,5,360,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},190,150,400,400,1,1,1,1,1,1,4,5,300,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip23.png,ICON/vip2_23.png,{6200=2;2194=1;2192=1;539=200;6916=1},0,{502=15;902=40;521=1000;539=240;rmb=80000},1008800,70880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},10,45,45,1.3,320,85,200,80,100,320,5,350,5,80,100,10,1,5,390,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},200,200,400,400,1,1,1,1,1,1,5,5,350,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip24.png,ICON/vip2_24.png,{2191=1;2192=1;6199=1;6915=1;30454=1},0,{502=15;902=40;521=1000;539=240;rmb=80000},1108800,80880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},10,50,50,1.3,350,90,220,90,100,350,5,400,5,90,100,10,1,5,420,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},210,200,400,400,1,1,1,1,1,1,5,5,400,2,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip25.png,ICON/vip2_25.png,{2191=1;6218=1;2192=1;6915=1;539=400},0,{502=15;902=40;521=1000;539=240;rmb=80000},1208800,90880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,55,55,1.3,380,95,240,100,100,380,5,450,5,100,100,10,1,5,450,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},220,300,400,400,1,1,1,1,1,1,6,5,450,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip26.png,ICON/vip2_26.png,{2191=1;2192=1;29071=20;539=500;6915=1;6199=1},0,{502=15;902=40;521=1000;539=240;rmb=80000},1308800,100880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,60,60,1.3,400,100,260,110,100,400,5,500,5,110,100,10,1,5,480,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},230,300,400,400,1,1,1,1,1,1,6,5,500,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip27.png,ICON/vip2_27.png,{6915=1;2567=1;29071=30;30454=1;2192=1;6919=1;539=600;2191=1},0,{502=15;902=40;521=1000;539=240;rmb=80000},1408800,110880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,65,65,1.3,450,110,280,120,100,450,5,550,5,120,100,10,1,5,510,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},240,300,400,400,1,1,1,1,1,1,7,5,550,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip28.png,ICON/vip2_28.png,{6920=1;2570=1;29071=80;2191=1;30454=1;6915=1;6199=1;539=800;2192=1},0,{502=15;902=40;521=1000;539=240;rmb=80000},1508800,120880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,70,70,1.3,500,120,300,130,100,500,5,600,5,150,100,10,1,5,540,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},250,300,400,400,1,1,1,1,1,1,7,5,600,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip29.png,ICON/vip2_29.png,{529=990000;9016=500;6059=200;talent_point=8000;453=8000;4000=100000;rmb=6000000},0,{502=15;902=40;521=1000;539=240;rmb=80000},1408800,150880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,75,75,1.3,550,130,320,140,100,550,5,650,5,180,100,10,1,5,570,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},260,300,400,400,1,1,1,1,1,1,8,5,650,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip30.png,ICON/vip2_30.png,{6059=500;talent_point=20000;529=990000;9016=1000;4000=300000;2577=1;453=20000;rmb=10000000},0,{502=15;902=40;521=1000;539=240;rmb=80000},1508800,200880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,80,80,1.3,600,140,340,150,100,600,5,700,5,200,100,10,1,5,600,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},270,300,400,400,1,1,1,1,1,1,8,5,700,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip31.png,ICON/vip2_31.png,{529=990000;6071=10000;4000=500000;9016=1500;6059=1000;2154=100;rmb=10000000},0,{502=15;902=40;521=1000;539=240;rmb=80000},2008800,500880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,85,85,1.3,650,150,350,160,100,650,5,750,5,220,100,10,1,5,630,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},280,300,400,400,1,1,1,1,1,1,10,5,750,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
,,ICON/vip32.png,ICON/vip2_32.png,{529=990000;6071=20000;4000=800000;9016=2000;6059=2000;2154=200;rmb=10000000},0,{502=15;902=40;521=1000;539=240;rmb=80000},5008800,800880,,{1=0;2=0;3=0.3;4=0.4;5=0.3},15,90,90,1.3,700,160,360,170,100,700,5,800,5,240,100,10,1,5,630,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},290,300,400,400,1,1,1,1,1,1,10,5,800,3,4,20,5,20,5,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},40,45,1,10
