变量名,day,reward
默认值,999,
签到ID,签到天数,奖励
1,3,{14=10;rmb=100;gold=100000}
157,1540,{14=50;rmb=300;gold=500000}
158,1550,{14=50;rmb=300;gold=500000}
159,1560,{14=50;rmb=300;gold=500000}
160,1570,{14=50;rmb=300;gold=500000}
161,1580,{14=50;rmb=300;gold=500000}
162,1590,{14=50;rmb=300;gold=500000}
163,1600,{14=50;rmb=300;gold=500000}
164,1610,{14=50;rmb=300;gold=500000}
165,1620,{14=50;rmb=300;gold=500000}
166,1630,{14=50;rmb=300;gold=500000}
167,1640,{14=50;rmb=300;gold=500000}
168,1650,{14=50;rmb=300;gold=500000}
169,1660,{14=50;rmb=300;gold=500000}
170,1670,{14=50;rmb=300;gold=500000}
171,1680,{14=50;rmb=300;gold=500000}
172,1690,{14=50;rmb=300;gold=500000}
173,1700,{14=50;rmb=300;gold=500000}
174,1710,{14=50;rmb=300;gold=500000}
175,1720,{14=50;rmb=300;gold=500000}
176,1730,{14=50;rmb=300;gold=500000}
177,1740,{14=50;rmb=300;gold=500000}
178,1750,{14=50;rmb=300;gold=500000}
179,1760,{14=50;rmb=300;gold=500000}
180,1770,{14=50;rmb=300;gold=500000}
181,1780,{14=50;rmb=300;gold=500000}
182,1790,{14=50;rmb=300;gold=500000}
183,1800,{14=50;rmb=300;gold=500000}
184,1810,{14=50;rmb=300;gold=500000}
185,1820,{14=50;rmb=300;gold=500000}
186,1830,{14=50;rmb=300;gold=500000}
187,1840,{14=50;rmb=300;gold=500000}
188,1850,{14=50;rmb=300;gold=500000}
189,1860,{14=50;rmb=300;gold=500000}
190,1870,{14=50;rmb=300;gold=500000}
191,1880,{14=50;rmb=300;gold=500000}
192,1890,{14=50;rmb=300;gold=500000}
193,1900,{14=50;rmb=300;gold=500000}
194,1910,{14=50;rmb=300;gold=500000}
195,1920,{14=50;rmb=300;gold=500000}
196,1930,{14=50;rmb=300;gold=500000}
197,1940,{14=50;rmb=300;gold=500000}
198,1950,{14=50;rmb=300;gold=500000}
199,1960,{14=50;rmb=300;gold=500000}
200,1970,{14=50;rmb=300;gold=500000}
201,1980,{14=50;rmb=300;gold=500000}
202,1990,{14=50;rmb=300;gold=500000}
203,2000,{14=50;rmb=300;gold=500000}
