变量名,roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint
9,10021,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
10,10022,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
11,10023,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
12,10031,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
13,10033,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
14,10043,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
15,10044,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
16,10051,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
17,10052,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
18,10053,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
19,10061,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
20,10062,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
21,10071,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
22,10072,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
23,10081,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
24,10082,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
25,10092,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
26,10102,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
27,10131,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
28,10191,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
29,10192,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
30,10231,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
31,10232,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
32,10261,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
33,10262,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
34,10263,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
35,10264,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
36,10271,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
37,10272,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
38,10273,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
39,10301,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
40,10302,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
41,10333,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
42,10351,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
43,10352,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
44,10391,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
45,10392,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
46,10393,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
47,10394,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
48,10452,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
49,10471,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
50,10472,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
51,10481,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
52,10482,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
53,10491,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
54,10492,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
55,10493,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
56,10552,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
57,10591,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
58,10592,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
59,10601,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
60,10602,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
61,10603,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
62,10781,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
63,10782,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
64,10783,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
65,10791,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
66,10792,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
67,10793,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
68,10881,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
69,10882,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
70,10883,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
71,10891,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
72,10892,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
73,10893,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
74,11081,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
75,11082,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
76,11171,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
77,11172,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
78,11221,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
79,11231,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
80,11241,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
81,11291,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
82,11292,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
83,11351,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
84,11352,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
85,11353,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
86,11421,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
87,11422,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
88,11423,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
89,11441,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
90,11442,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
91,11443,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
92,11501,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
93,11502,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
94,11503,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
95,11611,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
96,11612,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
97,11813,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
98,11861,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
99,11862,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
100,11863,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
101,12011,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
102,12012,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
103,12071,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
104,12072,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
105,12073,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
106,12232,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
107,12233,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
108,12271,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
109,12272,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
110,12303,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
111,12481,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
112,12631,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
113,12632,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
114,12633,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
115,12681,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
116,12682,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
117,12683,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
118,12871,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
119,12872,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
120,12873,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
121,12961,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
122,12962,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
123,12963,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
124,13002,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
125,13003,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
126,13011,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
127,13012,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
128,13411,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
129,13412,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
130,13471,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
131,13472,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
132,13541,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
133,13542,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
134,13543,25,,{},{},1,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,9500,1,1,0,0,1,1,0,0,1,1
1001,1,25,,{},{},2,5,0,3,2117,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1002,2,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1003,3,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1004,11,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1005,12,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1006,13,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1007,14,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,800,1,1
1008,15,25,,{},{},2,5,0,3,2117,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1009,21,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1010,22,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1011,23,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1012,31,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1013,33,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1014,43,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1015,44,25,,{},{},2,5,0,3,2117,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1016,51,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1017,52,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1018,53,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1019,61,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
1020,62,25,,{},{},2,5,0,3,5000,1000,1,1,1,1,546,546,154,154,39,39,90,500,15000,1,1,1,1,500,10000,1,1,0,0,1,1,0,0,1,1
