变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
9,锋芒II,鋒芒II,Edge II,Sắc Bén II,칼날 II,Borda II,เอจ 2,201,4,200,7,city/adventure/random_tower/icon/icon_sh1.png,,81009,己方后排精灵伤害加成提升15%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得8%）#L0##C0xFF3D3D#,己方後排精靈傷害加成提升15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得8%）#L0##C0xFF3D3D#,"Damage bonus of allied back-row Pokémon increases by 15%, lasts for the whole battle#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect gains an additional 8%)#L0##C0xFF3D3D#","Thưởng sát thương của Pokémon hàng sau phe ta tăng 15%, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả nhận thêm 8%)#L0##C0xFF3D3D#","아군 후열 포켓몬의 피해 보너스가 15% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과가 추가로 8% 증가)#L0##C0xFF3D3D#","O bônus de dano dos seus próprios elfos da última fileira é aumentado em 15%, durando por todo o campo #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o efeito ganhará 8% adicionais) #L0##C0xFF3D3D#",โบนัสความเสียหายของเอลฟ์แถวหลังของคุณเพิ่มขึ้น 15% ตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์จะได้รับเพิ่มเติม 8%) #L0##C0xFF3D3D#
10,锋芒III,鋒芒III,Edge III,Sắc Bén III,칼날 III,Borda III,เอจ 3,301,4,100,7,city/adventure/random_tower/icon/icon_sh1.png,,81010,己方攻击最高的单位伤害加成提升15%#L0##C0xFF3D3D#（同时拥有锋芒I、锋芒II、锋芒III效果翻倍）#L0##C0xFF3D3D#,己方攻擊最高的單位傷害加成提升15%#L0##C0xFF3D3D#（同時擁有鋒芒I、鋒芒II、鋒芒III效果翻倍）#L0##C0xFF3D3D#,"Damage bonus of the allied unit with the highest ATK increases by 15%#L0##C0xFF3D3D#(The effect is doubled when possessing Edge I, Edge II, and Edge III simultaneously)#L0##C0xFF3D3D#","Thưởng sát thương của đơn vị có Công cao nhất phe ta tăng 15%#L0##C0xFF3D3D#(Khi sở hữu đồng thời hiệu ứng Sắc Bén I, Sắc Bén II, Sắc Bén III, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 공격력이 가장 높은 유닛의 피해 보너스가 15% 증가합니다#L0##C0xFF3D3D#(봉망I, 봉망II, 봉망III 효과를 동시에 보유 시 효과 두 배)#L0##C0xFF3D3D#","O bônus de dano da sua unidade com o maior ataque é aumentado em 15% #L0##C0xFF3D3D# (Ter Edge I, Edge II e Edge III ao mesmo tempo dobra o efeito) #L0##C0xFF3D3D#","โบนัสความเสียหายของหน่วยของคุณที่มีการโจมตีสูงสุดจะเพิ่มขึ้น 15% #L0##C0xFF3D3D# (การมี Edge I, Edge II และ Edge III พร้อมกันจะทำให้เอฟเฟกต์เพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#"
11,元素之力I,元素之力I,Element Force I,Lực Lượng Nguyên Tố I,원소의 힘 I,Elemento Força I,ธาตุแรง 1,1001,5,80,3,city/develop/talent/icon_sg.png,,81011,己方火系、斗系提升暴击率20%与伤害加成15%#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方火系、鬥系提升暴擊率20%與傷害加成15%#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Fire and Fighting-type Pokémon gain 20% Crit Rate and 15% Damage Bonus#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Lửa, Giác đấu phe ta tăng 20% Tỷ lệ Bạo kích và 15% Thưởng sát thương#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 불꽃, 격투 타입의 치명타 확률 20%와 피해 보너스 15%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","taxa de acerto crítico do seu próprio elemento fogo e elemento de combate é aumentada em 20%, e o dano é aumentado em 15%#L0##C0xFF3D3D# (Quando há mais de 3 poderes elementais, o efeito se torna todos)#L0##C0xFF3D3D #",อัตราการโจมตีคริติคอลของธาตุไฟและธาตุต่อสู้ของคุณเพิ่มขึ้น 20% และสร้างความเสียหายเพิ่มขึ้น 15%#L0##C0xFF3D3D# (เมื่อมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0##C0xFF3D3D #
12,元素之力II,元素之力II,Element Force II,Lực Lượng Nguyên Tố II,원소의 힘 II,Força Elemental II,พลังธาตุ II,1001,5,80,3,city/develop/talent/icon_sg.png,,81012,己方地面系、岩石系提升15%伤害加成与15%伤害减免#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方地面系、岩石系提升15%傷害加成與15%傷害減免#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Ground and Rock-type Pokémon gain 15% Damage Bonus and 15% Damage Reduction#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Đất, Đá phe ta tăng 15% Thưởng sát thương và 15% Giảm sát thương#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 땅, 바위 타입의 피해 보너스 15%와 피해 감소 15%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","O bônus de dano e a redução de dano dos seus próprios elementos terrestres e rochosos são aumentados em 15% e 15% #L0##C0xFF3D3D# (Quando você tem mais de 3 poderes elementais, o efeito se torna todos) #L0##C0xFF3D3D#",โบนัสความเสียหายและการลดความเสียหายของธาตุดินและหินของคุณเองจะเพิ่มขึ้น 15% และ 15% #L0##C0xFF3D3D# (เมื่อคุณมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด) #L0##C0xFF3D3D#
13,元素之力III,元素之力III,Element Force III,Lực Lượng Nguyên Tố III,원소의 힘 III,Força Elemental III,พลังธาตุ III,1001,5,80,3,city/develop/talent/icon_sg.png,,81013,己方普通系、草系、飞行系20%闪避率与15%速度#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方普通系、草系、飛行系20%閃避率與15%速度#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Normal, Grass, and Flying-type Pokémon gain 20% Dodge Rate and 15% Speed#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Thường, Cỏ, Bay phe ta tăng 20% Tỷ lệ né và 15% Tốc độ#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 노말, 풀, 비행 타입의 회피율 20%와 속도 15%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","Os atributos normal, grama e voador do self aumentam a taxa de esquiva em 20% e a velocidade em 15%#L0##C0xFF3D3D# (Quando o poder elemental excede 3 tipos, o efeito se torna todos)#L0##C0xFF3D3D#",คุณสมบัติปกติ หญ้า และบินของตัวจะเพิ่มอัตราการหลบหลีก 20% และความเร็ว 15%#L0##C0xFF3D3D# (เมื่อพลังธาตุเกิน 3 ประเภท เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0##C0xFF3D3D#
14,元素之力IV,元素之力IV,Element Force IV,Lực Lượng Nguyên Tố IV,원소의 힘 IV,Força Elemental IV,พลังธาตุ IV,1001,5,80,3,city/develop/talent/icon_sg.png,,81014,己方水系、冰系提升20%暴击抗性与20%暴击率#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方水系、冰系提升20%暴擊抗性與20%暴擊率#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Water and Ice-type Pokémon gain 20% Crit RES and 20% Crit Rate#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Nước, Băng phe ta tăng 20% Kháng Bạo kích và 20% Tỷ lệ Bạo kích#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 물, 얼음 타입의 치명타 저항 20%와 치명타 확률 20%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","A resistência a acerto crítico e a taxa de acerto crítico do próprio elemento água e elemento gelo são aumentadas em 20%#L0##C0xFF3D3D# (Quando há mais de 3 poderes elementais, o efeito se torna todos)#L0##C0xFF3D3D#",ความต้านทานการโจมตีคริติคอลและอัตราการโจมตีคริติคอลของธาตุน้ำและธาตุน้ำแข็งของตัวเองเพิ่มขึ้น 20%#L0##C0xFF3D3D# (เมื่อมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0##C0xFF3D3D#
15,元素之力V,元素之力V,Element Force V,Lực Lượng Nguyên Tố V,원소의 힘 V,Elemento Força V,พลังธาตุ V,1001,5,80,3,city/develop/talent/icon_sg.png,,81015,己方毒系、虫系、钢系提升15%伤害减免与20%暴击伤害#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方毒系、蟲系、鋼系提升15%傷害減免與20%暴擊傷害#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Poison, Bug, and Steel-type Pokémon gain 15% Damage Reduction and 20% Crit DMG#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Độc, Côn trùng, Thép phe ta tăng 15% Giảm sát thương và 20% Sát thương Bạo kích#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 독, 벌레, 강철 타입의 피해 감소 15%와 치명타 피해 20%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","redução de dano de veneno, inseto e aço do grupo é aumentada em 15%, e o dano de acerto crítico é aumentado em 20%#L0##C0xFF3D3D# (Quando há mais de 3 poderes elementais, o efeito se torna todos)#L0## C0xFF3D3D#",การลดความเสียหายจากพิษ แมลง และเหล็กของปาร์ตี้เพิ่มขึ้น 15% และความเสียหายจากการโจมตีคริติคอลเพิ่มขึ้น 20%#L0##C0xFF3D3D# (เมื่อมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0## C0xFF3D3D#
16,元素之力VI,元素之力VI,Element Force VI,Lực Lượng Nguyên Tố VI,원소의 힘 VI,Força Elemental VI,พลังธาตุ VI,1001,5,80,3,city/develop/talent/icon_sg.png,,81016,己方电系、龙系提升15%怒气回复速度与15%伤害加成#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方電系、龍系提升15%怒氣回復速度與15%傷害加成#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Electric and Dragon-type Pokémon gain 15% Rage recovery speed and 15% Damage Bonus#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Điện, Rồng phe ta tăng 15% Tốc độ hồi Nộ khí và 15% Thưởng sát thương#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 전기, 드래곤 타입의 분노 회복 속도 15%와 피해 보너스 15%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","Os tipos elétrico e dragão do seu próprio lado aumentam a velocidade de recuperação da raiva em 15% e o bônus de dano em 15%#L0##C0xFF3D3D# (Quando você tem mais de 3 poderes elementais, o efeito se torna todos)#L0##C0xFF3D3D#",ประเภทไฟฟ้าและมังกรของฝ่ายคุณเพิ่มความเร็วในการฟื้นตัวจากความโกรธ 15% และโบนัสความเสียหาย 15%#L0##C0xFF3D3D# (เมื่อคุณมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0##C0xFF3D3D#
17,元素之力VII,元素之力VII,Element Force VII,Lực Lượng Nguyên Tố VII,원소의 힘 VII,Elemento Força VII,พลังธาตุ VII,1001,5,80,3,city/develop/talent/icon_sg.png,,81017,己方幽灵系、恶系提升20%闪避率与15%伤害减免#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方幽靈系、惡系提升20%閃避率與15%傷害減免#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Ghost and Dark-type Pokémon gain 20% Dodge Rate and 15% Damage Reduction#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Ma, Bóng tối phe ta tăng 20% Tỷ lệ né và 15% Giảm sát thương#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 고스트, 악 타입의 회피율 20%와 피해 감소 15%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","A taxa de esquiva dos próprios elementos fantasmas e malignos é aumentada em 15%, e o dano é reduzido em 20%#L0##C0xFF3D3D# (Quando há mais de 3 poderes elementais, o efeito se torna todos)#L0##C0xFF3D3D#",อัตราการหลบหลีกของธาตุผีและธาตุชั่วร้ายของตัวเองเพิ่มขึ้น 15% และความเสียหายลดลง 20%#L0##C0xFF3D3D# (เมื่อมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0##C0xFF3D3D#
18,元素之力VIII,元素之力VIII,Element Force VIII,Lực Lượng Nguyên Tố VIII,원소의 힘 VIII,Força Elemental VIII,พลังธาตุ VIII,1001,5,80,3,city/develop/talent/icon_sg.png,,81018,己方超能系、妖系提升20%暴击抗性与20%暴击伤害#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方超能系、妖系提升20%暴擊抗性與20%暴擊傷害#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,"Allied Psychic and Fairy-type Pokémon gain 20% Crit RES and 20% Crit DMG#L0##C0xFF3D3D#(When possessing 3 or more Element Forces, the effect applies to all allies)#L0##C0xFF3D3D#","Pokémon hệ Tâm linh, Tiên phe ta tăng 20% Kháng Bạo kích và 20% Sát thương Bạo kích#L0##C0xFF3D3D#(Khi sở hữu từ 3 Lực Lượng Nguyên Tố trở lên, hiệu quả áp dụng cho toàn bộ)#L0##C0xFF3D3D#","아군 에스퍼, 페어리 타입의 치명타 저항 20%와 치명타 피해 20%가 증가합니다#L0##C0xFF3D3D#(3종류 이상의 원소의 힘을 보유 시, 효과가 전체에게 적용됩니다)#L0##C0xFF3D3D#","Seus próprios tipos super e demônio aumentam sua resistência a acertos críticos e dano a acertos críticos em 20%#L0##C0xFF3D3D# (Quando você tem mais de 3 poderes elementais, o efeito se torna todos)#L0##C0xFF3D3D#",ประเภทซูเปอร์และอสูรของคุณจะเพิ่มความต้านทานการโจมตีคริติคอลและความเสียหายจากการโจมตีคริติคอลขึ้น 20%#L0##C0xFF3D3D# (เมื่อคุณมีพลังธาตุมากกว่า 3 ธาตุ เอฟเฟกต์จะกลายเป็นทั้งหมด)#L0##C0xFF3D3D#
19,灵山I,靈山I,Protection I,Bảo Vệ I,보호 I,Proteção I,การป้องกันฉัน,101,6,300,1,city/develop/talent/icon_wf.png,,81019,己方全体精灵双防提升20%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果系数提升10%）#L0##C0xFF3D3D#,己方全體精靈雙防提升20%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果係數提升10%）#L0##C0xFF3D3D#,"Dual DEF of all allied Pokémon increases by 20%, lasts for the whole battle#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect coefficient increases by 10%)#L0##C0xFF3D3D#","Toàn bộ Pokémon phe ta tăng 20% cả hai Thủ, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hệ số hiệu quả tăng 10%)#L0##C0xFF3D3D#","아군 전체 포켓몬의 양방이 20% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 계수가 10% 증가)#L0##C0xFF3D3D#","defesa dupla de todos os elfos do seu lado é aumentada em 20%, durando por todo o campo. #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o coeficiente de efeito é aumentado em 10%) #L0##C0xFF3D3D#",การป้องกันสองเท่าของเอลฟ์ทั้งหมดในฝั่งของคุณเพิ่มขึ้น 20% มีผลตลอดพื้นที่ #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน ค่าสัมประสิทธิ์เอฟเฟกต์จะเพิ่มขึ้น 10%) #L0##C0xFF3D3D#
20,灵山II,靈山II,Protection II,Bảo Vệ II,보호 II,Proteção II,การป้องกัน II,201,6,200,1,city/develop/talent/icon_wf.png,,81020,己方前排精灵双防提升30%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果系数提升15%）#L0##C0xFF3D3D#,己方前排精靈雙防提升30%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果係數提升15%）#L0##C0xFF3D3D#,"Dual DEF of allied front-row Pokémon increases by 30%, lasts for the whole battle#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect coefficient increases by 15%)#L0##C0xFF3D3D#","Pokémon hàng trước phe ta tăng 30% cả hai Thủ, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hệ số hiệu quả tăng 15%)#L0##C0xFF3D3D#","아군 전열 포켓몬의 양방이 30% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 계수가 15% 증가)#L0##C0xFF3D3D#","A defesa dupla dos seus elfos da primeira linha é aumentada em 30%, durando por todo o campo #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o coeficiente de efeito é aumentado em 15%) #L0##C0xFF3D3D#",การป้องกันสองเท่าของเอลฟ์แถวหน้าของคุณเพิ่มขึ้น 30% มีผลตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน ค่าสัมประสิทธิ์เอฟเฟกต์จะเพิ่มขึ้น 15%) #L0##C0xFF3D3D#
21,灵山III,靈山III,Protection III,Bảo Vệ III,보호 III,Proteção III,การป้องกัน III,301,6,100,1,city/develop/talent/icon_wf.png,,81021,己方防御最高的单位双防提升50%#L0##C0xFF3D3D#（同时拥有灵山I、灵山II、灵山III效果翻倍）#L0##C0xFF3D3D#,己方防禦最高的單位雙防提升50%#L0##C0xFF3D3D#（同時擁有靈山I、靈山II、靈山III效果翻倍）#L0##C0xFF3D3D#,"Dual DEF of the allied unit with the highest DEF increases by 50%#L0##C0xFF3D3D#(The effect is doubled when possessing Protection I, Protection II, and Protection III simultaneously)#L0##C0xFF3D3D#","Đơn vị có Thủ cao nhất phe ta tăng 50% cả hai Thủ#L0##C0xFF3D3D#(Khi sở hữu đồng thời hiệu ứng Bảo Vệ I, Bảo Vệ II, Bảo Vệ III, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 방어력이 가장 높은 유닛의 양방이 50% 증가합니다#L0##C0xFF3D3D#(영산I, 영산II, 영산III 효과를 동시에 보유 시 효과 두 배)#L0##C0xFF3D3D#","A unidade com a maior defesa do nosso lado tem a defesa dobrada aumentada em 50%#L0##C0xFF3D3D# (Ter Lingshan 1, Lingshan 2 e Lingshan 3 ao mesmo tempo dobra o efeito)#L0##C0xFF3D3D#","หน่วยที่มีการป้องกันสูงสุดในฝ่ายของเราได้รับการป้องกันเพิ่มขึ้นสองเท่า 50% #L0##C0xFF3D3D# (การมี Lingshan 1, Lingshan 2 และ Lingshan 3 พร้อมกันจะทำให้เอฟเฟกต์เพิ่มขึ้นเป็นสองเท่า) #L0##C0xFF3D3D#"
22,御守I,禦守I,Block I,Chặn Đòn I,막기 I,Bloco I,บล็อคฉัน,201,7,300,3,city/adventure/random_tower/icon/icon_jh.png,,81022,己方前排抵御率提升20%#L0##C0xFF3D3D#（拥有其他同一系列，效果系数提升10%）#L0##C0xFF3D3D#,己方前排抵禦率提升20%#L0##C0xFF3D3D#（擁有其他同一系列，效果係數提升10%）#L0##C0xFF3D3D#,"Block Rate of allied front-row Pokémon increases by 20%#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect coefficient increases by 10%)#L0##C0xFF3D3D#","Tỷ lệ chặn đòn của Pokémon hàng trước phe ta tăng 20%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hệ số hiệu quả tăng 10%)#L0##C0xFF3D3D#","아군 전열의 방어율이 20% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 계수가 10% 증가)#L0##C0xFF3D3D#","A taxa de resistência da sua própria primeira linha é aumentada em 20% #L0##C0xFF3D3D# (Se você possui outros da mesma série, o coeficiente de efeito é aumentado em 10%) #L0##C0xFF3D3D#",อัตราการต้านทานของแถวหน้าของคุณเองเพิ่มขึ้น 20% #L0##C0xFF3D3D# (หากคุณเป็นเจ้าของคนอื่น ๆ ในซีรีส์เดียวกัน ค่าสัมประสิทธิ์ผลกระทบจะเพิ่มขึ้น 10%) #L0##C0xFF3D3D#
23,御守II,禦守II,Block II,Chặn Đòn II,막기 II,Bloco II,บล็อกที่ 2,301,7,200,3,city/adventure/random_tower/icon/icon_jh.png,,81023,己方前排抵御强度提升30%#L0##C0xFF3D3D#（拥有其他同一系列，效果系数提升15%）#L0##C0xFF3D3D#,己方前排抵禦強度提升30%#L0##C0xFF3D3D#（擁有其他同一系列，效果係數提升15%）#L0##C0xFF3D3D#,"Block Strength of allied front-row Pokémon increases by 30%#L0##C0xFF3D3D#(When possessing other effects of the same series, the effect coefficient increases by 15%)#L0##C0xFF3D3D#","Cường độ chặn đòn của Pokémon hàng trước phe ta tăng 30%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hệ số hiệu quả tăng 15%)#L0##C0xFF3D3D#","아군 전열의 방어 강도가 30% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 계수가 15% 증가)#L0##C0xFF3D3D#","A força de resistência da sua própria primeira fileira é aumentada em 30% #L0##C0xFF3D3D# (Se você possui outros da mesma série, o coeficiente de efeito é aumentado em 15%) #L0##C0xFF3D3D#",ความแข็งแกร่งของความต้านทานของแถวหน้าของคุณเพิ่มขึ้น 30% #L0##C0xFF3D3D# (หากคุณเป็นเจ้าของรุ่นอื่น ๆ ในซีรีส์เดียวกัน ค่าสัมประสิทธิ์ผลกระทบจะเพิ่มขึ้น 15%) #L0##C0xFF3D3D#
24,荆棘I,荊棘I,Thorns I,Gai I,가시 I,Espinhos I,หนามฉัน,1201,8,300,2,city/develop/talent/icon_shjm.png,,81024,己方双攻最高的单位反弹提升20%#L0##C0xFF3D3D#（拥有其他相同系列的效果时，反弹效果翻倍）#L0##C0xFF3D3D#,己方雙攻最高的單位反彈提升20%#L0##C0xFF3D3D#（擁有其他相同系列的效果時，反彈效果翻倍）#L0##C0xFF3D3D#,Reflect of the unit with the highest dual ATK increases by 20%#L0##C0xFF3D3D#(The reflect effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#,"Phản đòn của đơn vị có cả hai Công cao nhất tăng 20%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả phản đòn tăng gấp đôi)#L0##C0xFF3D3D#","아군 양공이 가장 높은 유닛의 반사가 20% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 반사 효과 두 배)#L0##C0xFF3D3D#","rebote da unidade com o maior ataque duplo seu é aumentado em 20%#L0##C0xFF3D3D# (Quando tem outros efeitos da mesma série, o efeito rebote é dobrado)#L0##C0xFF3D3D#",การดีดกลับของหน่วยที่มีการโจมตีสองครั้งสูงสุดของคุณเองจะเพิ่มขึ้น 20%#L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์อื่น ๆ จากซีรีส์เดียวกัน เอฟเฟกต์ดีดกลับจะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#
25,荆棘II,荊棘II,Thorns II,Gai II,가시 II,Espinhos II,หนามที่ 2,1301,8,200,2,city/develop/talent/icon_shjm.png,,81025,己方前排单位反弹提升10%#L0##C0xFF3D3D#（拥有其他相同系列的效果时，反弹效果提升5%）#L0##C0xFF3D3D#,己方前排單位反彈提升10%#L0##C0xFF3D3D#（擁有其他相同系列的效果時，反彈效果提升5%）#L0##C0xFF3D3D#,Reflect of allied front-row units increases by 10%#L0##C0xFF3D3D#(The reflect effect increases by 5% when possessing other effects of the same series)#L0##C0xFF3D3D#,"Phản đòn của đơn vị hàng trước phe ta tăng 10%#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả phản đòn tăng 5%)#L0##C0xFF3D3D#","아군 전열 유닛의 반사가 10% 증가합니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 반사 효과가 5% 증가)#L0##C0xFF3D3D#","O efeito rebote das suas unidades da primeira linha é aumentado em 10% #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o efeito rebote é aumentado em 5%) #L0##C0xFF3D3D#",เอฟเฟกต์การดีดกลับของหน่วยแถวหน้าของคุณเพิ่มขึ้น 10% #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์การดีดกลับจะเพิ่มขึ้น 5%) #L0##C0xFF3D3D#
