变量名,level,skillID,cost,attrValue
424,30,4,{coin3=700},600
425,31,4,{coin3=720},620
426,32,4,{coin3=740},640
427,33,4,{coin3=760},660
428,34,4,{coin3=780},680
429,35,4,{coin3=800},700
430,36,4,{coin3=820},720
431,37,4,{coin3=840},740
432,38,4,{coin3=860},760
433,39,4,{coin3=880},780
434,40,4,{coin3=900},800
435,41,4,{coin3=920},820
436,42,4,{coin3=940},840
437,43,4,{coin3=960},860
438,44,4,{coin3=980},880
439,45,4,{coin3=1000},900
440,46,4,{coin3=1020},920
441,47,4,{coin3=1040},940
442,48,4,{coin3=1060},960
443,49,4,{coin3=1080},980
444,50,4,{coin3=1100},1000
445,51,4,{coin3=1120},1020
446,52,4,{coin3=1140},1040
447,53,4,{coin3=1160},1060
448,54,4,{coin3=1180},1080
449,55,4,{coin3=1200},1100
450,56,4,{coin3=1220},1120
451,57,4,{coin3=1240},1140
452,58,4,{coin3=1260},1160
453,59,4,{coin3=1280},1180
454,60,4,{coin3=1300},1200
455,61,4,{coin3=1320},1220
456,62,4,{coin3=1340},1240
457,63,4,{coin3=1360},1260
458,64,4,{coin3=1380},1280
459,65,4,{coin3=1400},1300
460,66,4,{coin3=1420},1320
461,67,4,{coin3=1440},1340
462,68,4,{coin3=1460},1360
463,69,4,{coin3=1480},1380
464,70,4,{coin3=1500},1400
465,71,4,{coin3=1520},1420
466,72,4,{coin3=1540},1440
467,73,4,{coin3=1560},1460
468,74,4,{coin3=1580},1480
469,75,4,{coin3=1600},1500
470,76,4,{coin3=1620},1520
471,77,4,{coin3=1640},1540
472,78,4,{coin3=1660},1560
473,79,4,{coin3=1680},1580
474,80,4,{coin3=1700},1600
475,81,4,{coin3=1720},1620
476,82,4,{coin3=1740},1640
477,83,4,{coin3=1760},1660
478,84,4,{coin3=1780},1680
479,85,4,{coin3=1800},1700
480,86,4,{coin3=1820},1720
481,87,4,{coin3=1840},1740
482,88,4,{coin3=1860},1760
483,89,4,{coin3=1880},1780
484,90,4,{coin3=1900},1800
485,91,4,{coin3=1920},1820
486,92,4,{coin3=1940},1840
487,93,4,{coin3=1960},1860
488,94,4,{coin3=1980},1880
489,95,4,{coin3=2000},1900
490,96,4,{coin3=2020},1920
491,97,4,{coin3=2040},1940
492,98,4,{coin3=2060},1960
493,99,4,{coin3=2080},1980
494,100,4,{coin3=2100},2000
495,101,4,{coin3=2120},2020
496,102,4,{coin3=2140},2040
497,103,4,{coin3=2160},2060
498,104,4,{coin3=2180},2080
499,105,4,{coin3=2200},2100
500,106,4,{coin3=2220},2120
501,107,4,{coin3=2240},2140
502,108,4,{coin3=2260},2160
503,109,4,{coin3=2280},2180
504,110,4,{coin3=2300},2200
505,111,4,{coin3=2320},2220
506,112,4,{coin3=2340},2240
507,113,4,{coin3=2360},2260
508,114,4,{coin3=2380},2280
509,115,4,{coin3=2400},2300
510,116,4,{coin3=2420},2320
511,117,4,{coin3=2440},2340
512,118,4,{coin3=2460},2360
513,119,4,{coin3=2480},2380
514,120,4,{coin3=2500},2400
515,121,4,{coin3=2520},2420
516,122,4,{coin3=2540},2440
517,123,4,{coin3=2560},2460
518,124,4,{coin3=2580},2480
519,125,4,{coin3=2600},2500
520,126,4,{coin3=2620},2520
521,127,4,{coin3=2640},2540
522,128,4,{coin3=2660},2560
523,129,4,{coin3=2680},2580
524,130,4,{coin3=2700},2600
525,0,5,{coin3=100},0
526,1,5,{coin3=120},20
527,2,5,{coin3=140},40
528,3,5,{coin3=160},60
529,4,5,{coin3=180},80
530,5,5,{coin3=200},100
531,6,5,{coin3=220},120
532,7,5,{coin3=240},140
533,8,5,{coin3=260},160
534,9,5,{coin3=280},180
535,10,5,{coin3=300},200
536,11,5,{coin3=320},220
537,12,5,{coin3=340},240
538,13,5,{coin3=360},260
539,14,5,{coin3=380},280
540,15,5,{coin3=400},300
541,16,5,{coin3=420},320
542,17,5,{coin3=440},340
543,18,5,{coin3=460},360
544,19,5,{coin3=480},380
545,20,5,{coin3=500},400
546,21,5,{coin3=520},420
547,22,5,{coin3=540},440
548,23,5,{coin3=560},460
549,24,5,{coin3=580},480
550,25,5,{coin3=600},500
551,26,5,{coin3=620},520
552,27,5,{coin3=640},540
553,28,5,{coin3=660},560
554,29,5,{coin3=680},580
555,30,5,{coin3=700},600
556,31,5,{coin3=720},620
557,32,5,{coin3=740},640
558,33,5,{coin3=760},660
559,34,5,{coin3=780},680
560,35,5,{coin3=800},700
561,36,5,{coin3=820},720
562,37,5,{coin3=840},740
563,38,5,{coin3=860},760
564,39,5,{coin3=880},780
565,40,5,{coin3=900},800
566,41,5,{coin3=920},820
567,42,5,{coin3=940},840
568,43,5,{coin3=960},860
569,44,5,{coin3=980},880
570,45,5,{coin3=1000},900
571,46,5,{coin3=1020},920
572,47,5,{coin3=1040},940
573,48,5,{coin3=1060},960
574,49,5,{coin3=1080},980
575,50,5,{coin3=1100},1000
576,51,5,{coin3=1120},1020
577,52,5,{coin3=1140},1040
578,53,5,{coin3=1160},1060
579,54,5,{coin3=1180},1080
580,55,5,{coin3=1200},1100
581,56,5,{coin3=1220},1120
582,57,5,{coin3=1240},1140
583,58,5,{coin3=1260},1160
584,59,5,{coin3=1280},1180
585,60,5,{coin3=1300},1200
586,61,5,{coin3=1320},1220
587,62,5,{coin3=1340},1240
588,63,5,{coin3=1360},1260
589,64,5,{coin3=1380},1280
590,65,5,{coin3=1400},1300
591,66,5,{coin3=1420},1320
592,67,5,{coin3=1440},1340
593,68,5,{coin3=1460},1360
594,69,5,{coin3=1480},1380
595,70,5,{coin3=1500},1400
596,71,5,{coin3=1520},1420
597,72,5,{coin3=1540},1440
598,73,5,{coin3=1560},1460
599,74,5,{coin3=1580},1480
600,75,5,{coin3=1600},1500
601,76,5,{coin3=1620},1520
602,77,5,{coin3=1640},1540
603,78,5,{coin3=1660},1560
604,79,5,{coin3=1680},1580
605,80,5,{coin3=1700},1600
606,81,5,{coin3=1720},1620
607,82,5,{coin3=1740},1640
608,83,5,{coin3=1760},1660
609,84,5,{coin3=1780},1680
610,85,5,{coin3=1800},1700
611,86,5,{coin3=1820},1720
612,87,5,{coin3=1840},1740
613,88,5,{coin3=1860},1760
614,89,5,{coin3=1880},1780
615,90,5,{coin3=1900},1800
616,91,5,{coin3=1920},1820
617,92,5,{coin3=1940},1840
618,93,5,{coin3=1960},1860
619,94,5,{coin3=1980},1880
620,95,5,{coin3=2000},1900
621,96,5,{coin3=2020},1920
622,97,5,{coin3=2040},1940
623,98,5,{coin3=2060},1960
624,99,5,{coin3=2080},1980
625,100,5,{coin3=2100},2000
626,101,5,{coin3=2120},2020
627,102,5,{coin3=2140},2040
628,103,5,{coin3=2160},2060
629,104,5,{coin3=2180},2080
630,105,5,{coin3=2200},2100
631,106,5,{coin3=2220},2120
632,107,5,{coin3=2240},2140
633,108,5,{coin3=2260},2160
634,109,5,{coin3=2280},2180
635,110,5,{coin3=2300},2200
636,111,5,{coin3=2320},2220
637,112,5,{coin3=2340},2240
638,113,5,{coin3=2360},2260
639,114,5,{coin3=2380},2280
640,115,5,{coin3=2400},2300
641,116,5,{coin3=2420},2320
642,117,5,{coin3=2440},2340
643,118,5,{coin3=2460},2360
644,119,5,{coin3=2480},2380
645,120,5,{coin3=2500},2400
646,121,5,{coin3=2520},2420
647,122,5,{coin3=2540},2440
648,123,5,{coin3=2560},2460
649,124,5,{coin3=2580},2480
650,125,5,{coin3=2600},2500
651,126,5,{coin3=2620},2520
652,127,5,{coin3=2640},2540
653,128,5,{coin3=2660},2560
654,129,5,{coin3=2680},2580
655,130,5,{coin3=2700},2600
656,0,6,{coin3=150},0
657,1,6,{coin3=180},0.20%
658,2,6,{coin3=210},0.40%
659,3,6,{coin3=240},0.60%
660,4,6,{coin3=270},0.80%
661,5,6,{coin3=300},1%
662,6,6,{coin3=330},1.20%
663,7,6,{coin3=360},1.40%
664,8,6,{coin3=390},1.60%
665,9,6,{coin3=420},1.80%
666,10,6,{coin3=450},2%
667,11,6,{coin3=480},2.20%
668,12,6,{coin3=510},2.40%
669,13,6,{coin3=540},2.60%
670,14,6,{coin3=570},2.80%
671,15,6,{coin3=600},3%
672,16,6,{coin3=630},3.20%
673,17,6,{coin3=660},3.40%
674,18,6,{coin3=690},3.60%
675,19,6,{coin3=720},3.80%
676,20,6,{coin3=750},4%
677,21,6,{coin3=780},4.20%
678,22,6,{coin3=810},4.40%
679,23,6,{coin3=840},4.60%
680,24,6,{coin3=870},4.80%
681,25,6,{coin3=900},5%
682,26,6,{coin3=930},5.20%
683,27,6,{coin3=960},5.40%
684,28,6,{coin3=990},5.60%
685,29,6,{coin3=1020},5.80%
686,30,6,{coin3=1050},6%
687,31,6,{coin3=1080},6.20%
688,32,6,{coin3=1110},6.40%
689,33,6,{coin3=1140},6.60%
690,34,6,{coin3=1170},6.80%
691,35,6,{coin3=1200},7%
692,36,6,{coin3=1230},7.20%
693,37,6,{coin3=1260},7.40%
694,38,6,{coin3=1290},7.60%
695,39,6,{coin3=1320},7.80%
696,40,6,{coin3=1350},8%
697,41,6,{coin3=1380},8.20%
698,42,6,{coin3=1410},8.40%
699,43,6,{coin3=1440},8.60%
700,44,6,{coin3=1470},8.80%
701,45,6,{coin3=1500},9%
702,46,6,{coin3=1530},9.20%
703,47,6,{coin3=1560},9.40%
704,48,6,{coin3=1590},9.60%
705,49,6,{coin3=1620},9.80%
706,50,6,{coin3=1650},10%
707,51,6,{coin3=1680},10.20%
708,52,6,{coin3=1710},10.40%
709,53,6,{coin3=1740},10.60%
710,54,6,{coin3=1770},10.80%
711,55,6,{coin3=1800},11.00%
712,56,6,{coin3=1830},11.20%
713,57,6,{coin3=1860},11.40%
714,58,6,{coin3=1890},11.60%
715,59,6,{coin3=1920},11.80%
716,60,6,{coin3=1950},12.00%
717,61,6,{coin3=1980},12.20%
718,62,6,{coin3=2010},12.40%
719,63,6,{coin3=2040},12.60%
720,64,6,{coin3=2070},12.80%
721,65,6,{coin3=2100},13.00%
722,66,6,{coin3=2130},13.20%
723,67,6,{coin3=2160},13.40%
724,68,6,{coin3=2190},13.60%
725,69,6,{coin3=2220},13.80%
726,70,6,{coin3=2250},14.00%
727,71,6,{coin3=2280},14.20%
728,72,6,{coin3=2310},14.40%
729,73,6,{coin3=2340},14.60%
730,74,6,{coin3=2370},14.80%
731,75,6,{coin3=2400},15.00%
732,76,6,{coin3=2430},15.20%
733,77,6,{coin3=2460},15.40%
734,78,6,{coin3=2490},15.60%
735,79,6,{coin3=2520},15.80%
736,80,6,{coin3=2550},16.00%
737,81,6,{coin3=2580},16.20%
738,82,6,{coin3=2610},16.40%
739,83,6,{coin3=2640},16.60%
740,84,6,{coin3=2670},16.80%
741,85,6,{coin3=2700},17.00%
742,86,6,{coin3=2730},17.20%
743,87,6,{coin3=2760},17.40%
744,88,6,{coin3=2790},17.60%
745,89,6,{coin3=2820},17.80%
746,90,6,{coin3=2850},18.00%
747,91,6,{coin3=2880},18.20%
748,92,6,{coin3=2910},18.40%
749,93,6,{coin3=2940},18.60%
750,94,6,{coin3=2970},18.80%
751,95,6,{coin3=3000},19.00%
752,96,6,{coin3=3030},19.20%
753,97,6,{coin3=3060},19.40%
754,98,6,{coin3=3090},19.60%
755,99,6,{coin3=3120},19.80%
756,100,6,{coin3=3150},20.00%
757,101,6,{coin3=3180},20.20%
758,102,6,{coin3=3210},20.40%
759,103,6,{coin3=3240},20.60%
760,104,6,{coin3=3270},20.80%
761,105,6,{coin3=3300},21.00%
762,106,6,{coin3=3330},21.20%
763,107,6,{coin3=3360},21.40%
764,108,6,{coin3=3390},21.60%
765,109,6,{coin3=3420},21.80%
766,110,6,{coin3=3450},22.00%
767,111,6,{coin3=3480},22.20%
768,112,6,{coin3=3510},22.40%
769,113,6,{coin3=3540},22.60%
770,114,6,{coin3=3570},22.80%
771,115,6,{coin3=3600},23.00%
772,116,6,{coin3=3630},23.20%
773,117,6,{coin3=3660},23.40%
774,118,6,{coin3=3690},23.60%
775,119,6,{coin3=3720},23.80%
776,120,6,{coin3=3750},24.00%
777,121,6,{coin3=3780},24.20%
778,122,6,{coin3=3810},24.40%
779,123,6,{coin3=3840},24.60%
780,124,6,{coin3=3870},24.80%
781,125,6,{coin3=3900},25.00%
782,126,6,{coin3=3930},25.20%
783,127,6,{coin3=3960},25.40%
784,128,6,{coin3=3990},25.60%
785,129,6,{coin3=4020},25.80%
786,130,6,{coin3=4050},26.00%
787,0,7,{coin3=150},0
788,1,7,{coin3=180},0.20%
789,2,7,{coin3=210},0.40%
790,3,7,{coin3=240},0.60%
791,4,7,{coin3=270},0.80%
792,5,7,{coin3=300},1%
793,6,7,{coin3=330},1.20%
794,7,7,{coin3=360},1.40%
795,8,7,{coin3=390},1.60%
796,9,7,{coin3=420},1.80%
797,10,7,{coin3=450},2%
798,11,7,{coin3=480},2.20%
799,12,7,{coin3=510},2.40%
800,13,7,{coin3=540},2.60%
801,14,7,{coin3=570},2.80%
802,15,7,{coin3=600},3%
803,16,7,{coin3=630},3.20%
804,17,7,{coin3=660},3.40%
805,18,7,{coin3=690},3.60%
806,19,7,{coin3=720},3.80%
807,20,7,{coin3=750},4%
808,21,7,{coin3=780},4.20%
809,22,7,{coin3=810},4.40%
810,23,7,{coin3=840},4.60%
811,24,7,{coin3=870},4.80%
812,25,7,{coin3=900},5%
813,26,7,{coin3=930},5.20%
814,27,7,{coin3=960},5.40%
815,28,7,{coin3=990},5.60%
816,29,7,{coin3=1020},5.80%
817,30,7,{coin3=1050},6%
818,31,7,{coin3=1080},6.20%
819,32,7,{coin3=1110},6.40%
820,33,7,{coin3=1140},6.60%
821,34,7,{coin3=1170},6.80%
822,35,7,{coin3=1200},7%
823,36,7,{coin3=1230},7.20%
824,37,7,{coin3=1260},7.40%
825,38,7,{coin3=1290},7.60%
826,39,7,{coin3=1320},7.80%
