变量名,memberMax,viceChairmanMax,levelUpContrib,taskExpMax,ContribMax,ContribSumMax,openFeature,trainingExp,dailyGift,dailyPacket1,totalCount1,dailyPacket2,totalCount2,dailyPacket3,totalCount3,skillLvMax,notice1,notice1_tw,notice1_en,notice1_vn,notice1_kr,notice1_pt,notice1_th,notice2,notice2_tw,notice2_en,notice2_vn,notice2_kr,notice2_pt,notice2_th,notice3,notice4
14,43,3,778000,86000,5,43000,<>,1.06,{13=9;21841=3;gold=85000;coin3=230},{gold=4100000},31,{rmb=5600},31,{coin3=2800},31,40,会员人数上限+1（达到43）,會員人數上限+1（達到43）,Maximum membership +1 (up to 43),Thành viên tối đa +1 (tối đa 43),회원 인원수 한도 +1(43 달성),Associação máxima +1 (até 43),สมาชิกสูงสุด +1 (สูงสุด 43),,,,,,,,,
15,44,3,924000,88000,5,44000,<>,1.07,{13=10;21841=3;gold=90000;coin3=240},{gold=4300000},32,{rmb=5800},32,{coin3=2900},32,40,会员人数上限+1（达到44）,會員人數上限+1（達到44）,Maximum membership +1 (up to 44),Thành viên tối đa +1 (tối đa 44),회원 인원수 한도 +1(44 달성),Associação máxima +1 (até 44),สมาชิกสูงสุด +1 (สูงสุด 44),,,,,,,,,
16,45,3,1128000,90000,5,45000,<>,1.07,{13=10;21841=3;gold=95000;coin3=250},{gold=4500000},32,{rmb=6000},32,{coin3=3000},32,40,会员人数上限+1（达到45）,會員人數上限+1（達到45）,Maximum membership +1 (up to 45),Thành viên tối đa +1 (tối đa 45),회원 인원수 한도 +1(45 달성),Associação máxima +1 (até 45),สมาชิกสูงสุด +1 (สูงสุด 45),,,,,,,,,
17,46,3,1380000,92000,5,46000,<>,1.08,{13=11;21841=3;gold=100000;coin3=260},{gold=4700000},33,{rmb=6200},33,{coin3=3100},33,50,会员人数上限+1（达到46）,會員人數上限+1（達到46）,Maximum membership +1 (up to 46),Thành viên tối đa +1 (tối đa 46),회원 인원수 한도 +1(46 달성),Associação máxima +1 (até 46),สมาชิกสูงสุด +1 (สูงสุด 46),,,,,,,,,
18,47,3,1690000,94000,5,47000,<>,1.08,{13=11;21841=3;gold=105000;coin3=270},{gold=4900000},33,{rmb=6400},33,{coin3=3200},33,50,会员人数上限+1（达到47）,會員人數上限+1（達到47）,Maximum membership +1 (up to 47),Thành viên tối đa +1 (tối đa 47),회원 인원수 한도 +1(47 달성),Associação máxima +1 (até 47),สมาชิกสูงสุด +1 (สูงสุด 47),,,,,,,,,
19,48,3,2040000,96000,5,48000,<>,1.09,{13=12;21841=3;gold=110000;coin3=280},{gold=5100000},34,{rmb=6600},34,{coin3=3300},34,50,会员人数上限+1（达到48）,會員人數上限+1（達到48）,Maximum membership +1 (up to 48),Thành viên tối đa +1 (tối đa 48),회원 인원수 한도 +1(48 달성),Associação máxima +1 (até 48),สมาชิกสูงสุด +1 (สูงสุด 48),,,,,,,,,
20,49,3,2450000,98000,5,49000,<>,1.09,{13=12;21841=3;gold=115000;coin3=290},{gold=5300000},34,{rmb=6800},34,{coin3=3400},34,50,会员人数上限+1（达到49）,會員人數上限+1（達到49）,Maximum membership +1 (up to 49),Thành viên tối đa +1 (tối đa 49),회원 인원수 한도 +1(49 달성),Associação máxima +1 (até 49),สมาชิกสูงสุด +1 (สูงสุด 49),,,,,,,,,
21,50,4,2940000,100000,6,50000,<>,1.1,{13=12;21841=3;gold=115000;coin3=290},{gold=5500000},35,{rmb=7000},35,{coin3=3500},35,60,会员人数上限+1（达到50）,會員人數上限+1（達到50）,Maximum membership +1 (up to 50),Thành viên tối đa +1 (tối đa 50),회원 인원수 한도 +1(50 달성),Associação máxima +1 (até 50),สมาชิกสูงสุด +1 (สูงสุด 50),可设置副会长人数+1,可設置副會長人數+1,Can set one more Assistant Leader+1,Có thể đặt thêm một Phó Hội Trưởng,설정 가능 부회장 수 +1,Pode definir mais um Vice-líder+1,สามารถตั้งรองหัวหน้ากิลด์เพิ่มได้อีกหนึ่งคน+1,,
22,51,4,3528000,102000,6,51000,<>,1.1,{13=12;21841=3;gold=115000;coin3=290},{gold=5700000},35,{rmb=7200},35,{coin3=3600},35,60,会员人数上限+1（达到51）,會員人數上限+1（達到51）,Maximum membership +1 (up to 51),Thành viên tối đa +1 (tối đa 51),회원 인원수 한도 +1(51 달성),Associação máxima +1 (até 51),สมาชิกสูงสุด +1 (สูงสุด 51),,,,,,,,,
23,52,4,4233600,104000,6,52000,<>,1.11,{13=12;21841=3;gold=115000;coin3=290},{gold=5900000},36,{rmb=7400},36,{coin3=3700},36,60,会员人数上限+1（达到52）,會員人數上限+1（達到52）,Maximum membership +1 (up to 52),Thành viên tối đa +1 (tối đa 52),회원 인원수 한도 +1(52 달성),Associação máxima +1 (até 52),สมาชิกสูงสุด +1 (สูงสุด 52),,,,,,,,,
24,53,4,5080320,106000,6,53000,<>,1.11,{13=12;21841=3;gold=115000;coin3=290},{gold=6100000},36,{rmb=7600},36,{coin3=3800},36,60,会员人数上限+1（达到53）,會員人數上限+1（達到53）,Maximum membership +1 (up to 53),Thành viên tối đa +1 (tối đa 53),회원 인원수 한도 +1(53 달성),Associação máxima +1 (até 53),สมาชิกสูงสุด +1 (สูงสุด 53),,,,,,,,,
25,54,4,6096384,108000,6,54000,<>,1.12,{13=12;21841=3;gold=115000;coin3=290},{gold=6300000},37,{rmb=7800},37,{coin3=3900},37,70,会员人数上限+1（达到54）,會員人數上限+1（達到54）,Maximum membership +1 (up to 54),Thành viên tối đa +1 (tối đa 54),회원 인원수 한도 +1(54 달성),Associação máxima +1 (até 54),สมาชิกสูงสุด +1 (สูงสุด 54),,,,,,,,,
26,55,4,7315661,110000,6,55000,<>,1.12,{13=12;21841=3;gold=115000;coin3=290},{gold=6500000},37,{rmb=8000},37,{coin3=4000},37,70,会员人数上限+1（达到55）,會員人數上限+1（達到55）,Maximum membership +1 (up to 55),Thành viên tối đa +1 (tối đa 55),회원 인원수 한도 +1(55 달성),Associação máxima +1 (até 55),สมาชิกสูงสุด +1 (สูงสุด 55),,,,,,,,,
27,56,4,8778793,112000,6,56000,<>,1.13,{13=12;21841=3;gold=115000;coin3=290},{gold=6700000},38,{rmb=8200},38,{coin3=4100},38,70,会员人数上限+1（达到56）,會員人數上限+1（達到56）,Maximum membership +1 (up to 56),Thành viên tối đa +1 (tối đa 56),회원 인원수 한도 +1(56 달성),Associação máxima +1 (até 56),สมาชิกสูงสุด +1 (สูงสุด 56),,,,,,,,,
28,57,4,10534552,114000,6,57000,<>,1.13,{13=12;21841=3;gold=115000;coin3=290},{gold=6900000},38,{rmb=8400},38,{coin3=4200},38,70,会员人数上限+1（达到57）,會員人數上限+1（達到57）,Maximum membership +1 (up to 57),Thành viên tối đa +1 (tối đa 57),회원 인원수 한도 +1(57 달성),Associação máxima +1 (até 57),สมาชิกสูงสุด +1 (สูงสุด 57),,,,,,,,,
29,58,4,12641462,116000,6,58000,<>,1.14,{13=12;21841=3;gold=115000;coin3=290},{gold=7100000},39,{rmb=8600},39,{coin3=4300},39,80,会员人数上限+1（达到58）,會員人數上限+1（達到58）,Maximum membership +1 (up to 58),Thành viên tối đa +1 (tối đa 58),회원 인원수 한도 +1(58 달성),Associação máxima +1 (até 58),สมาชิกสูงสุด +1 (สูงสุด 58),,,,,,,,,
30,59,4,15169754,118000,6,59000,<>,1.14,{13=12;21841=3;gold=115000;coin3=290},{gold=7300000},39,{rmb=8800},39,{coin3=4400},39,80,会员人数上限+1（达到59）,會員人數上限+1（達到59）,Maximum membership +1 (up to 59),Thành viên tối đa +1 (tối đa 59),회원 인원수 한도 +1(59 달성),Associação máxima +1 (até 59),สมาชิกสูงสุด +1 (สูงสุด 59),,,,,,,,,
31,60,4,18203705,120000,7,60000,<>,1.15,{13=12;21841=3;gold=115000;coin3=290},{gold=7500000},40,{rmb=9000},40,{coin3=4500},40,80,会员人数上限+1（达到60）,會員人數上限+1（達到60）,Maximum membership +1 (up to 60),Thành viên tối đa +1 (tối đa 60),회원 인원수 한도 +1(60 달성),Associação máxima +1 (até 60),สมาชิกสูงสุด +1 (สูงสุด 60),,,,,,,,,
32,61,4,21844446,122000,7,61000,<>,1.15,{13=12;21841=3;gold=115000;coin3=290},{gold=7700000},40,{rmb=9200},40,{coin3=4600},40,80,会员人数上限+1（达到61）,會員人數上限+1（達到61）,Maximum membership +1 (up to 61),Thành viên tối đa +1 (tối đa 61),회원 인원수 한도 +1(61 달성),Associação máxima +1 (até 61),สมาชิกสูงสุด +1 (สูงสุด 61),,,,,,,,,
33,62,4,26213335,124000,7,62000,<>,1.16,{13=12;21841=3;gold=115000;coin3=290},{gold=7900000},41,{rmb=9400},41,{coin3=4700},41,90,会员人数上限+1（达到62）,會員人數上限+1（達到62）,Maximum membership +1 (up to 62),Thành viên tối đa +1 (tối đa 62),회원 인원수 한도 +1(62 달성),Associação máxima +1 (até 62),สมาชิกสูงสุด +1 (สูงสุด 62),,,,,,,,,
34,63,4,31456002,126000,7,63000,<>,1.16,{13=12;21841=3;gold=115000;coin3=290},{gold=8100000},41,{rmb=9600},41,{coin3=4800},41,90,会员人数上限+1（达到63）,會員人數上限+1（達到63）,Maximum membership +1 (up to 63),Thành viên tối đa +1 (tối đa 63),회원 인원수 한도 +1(63 달성),Associação máxima +1 (até 63),สมาชิกสูงสุด +1 (สูงสุด 63),,,,,,,,,
35,64,4,37747203,128000,7,64000,<>,1.17,{13=12;21841=3;gold=115000;coin3=290},{gold=8300000},42,{rmb=9800},42,{coin3=4900},42,90,会员人数上限+1（达到64）,會員人數上限+1（達到64）,Maximum membership +1 (up to 64),Thành viên tối đa +1 (tối đa 64),회원 인원수 한도 +1(64 달성),Associação máxima +1 (até 64),สมาชิกสูงสุด +1 (สูงสุด 64),,,,,,,,,
36,65,4,45296643,130000,7,65000,<>,1.17,{13=12;21841=3;gold=115000;coin3=290},{gold=8500000},42,{rmb=10000},42,{coin3=5000},42,90,会员人数上限+1（达到65）,會員人數上限+1（達到65）,Maximum membership +1 (up to 65),Thành viên tối đa +1 (tối đa 65),회원 인원수 한도 +1(65 달성),Associação máxima +1 (até 65),สมาชิกสูงสุด +1 (สูงสุด 65),,,,,,,,,
37,66,4,54355972,132000,7,66000,<>,1.18,{13=12;21841=3;gold=115000;coin3=290},{gold=8700000},43,{rmb=10200},43,{coin3=5100},43,100,会员人数上限+1（达到66）,會員人數上限+1（達到66）,Maximum membership +1 (up to 66),Thành viên tối đa +1 (tối đa 66),회원 인원수 한도 +1(66 달성),Associação máxima +1 (até 66),สมาชิกสูงสุด +1 (สูงสุด 66),,,,,,,,,
38,67,4,65227167,134000,7,67000,<>,1.18,{13=12;21841=3;gold=115000;coin3=290},{gold=8900000},43,{rmb=10400},43,{coin3=5200},43,100,会员人数上限+1（达到67）,會員人數上限+1（達到67）,Maximum membership +1 (up to 67),Thành viên tối đa +1 (tối đa 67),회원 인원수 한도 +1(67 달성),Associação máxima +1 (até 67),สมาชิกสูงสุด +1 (สูงสุด 67),,,,,,,,,
39,68,4,78272600,136000,7,68000,<>,1.19,{13=12;21841=3;gold=115000;coin3=290},{gold=9100000},44,{rmb=10600},44,{coin3=5300},44,100,会员人数上限+1（达到68）,會員人數上限+1（達到68）,Maximum membership +1 (up to 68),Thành viên tối đa +1 (tối đa 68),회원 인원수 한도 +1(68 달성),Associação máxima +1 (até 68),สมาชิกสูงสุด +1 (สูงสุด 68),,,,,,,,,
40,69,4,93927120,138000,7,69000,<>,1.19,{13=12;21841=3;gold=115000;coin3=290},{gold=9300000},44,{rmb=10800},44,{coin3=5400},44,100,会员人数上限+1（达到69）,會員人數上限+1（達到69）,Maximum membership +1 (up to 69),Thành viên tối đa +1 (tối đa 69),회원 인원수 한도 +1(69 달성),Associação máxima +1 (até 69),สมาชิกสูงสุด +1 (สูงสุด 69),,,,,,,,,
41,70,5,112712544,140000,8,70000,<>,1.2,{13=12;21841=3;gold=115000;coin3=290},{gold=9500000},45,{rmb=11000},45,{coin3=5500},45,110,会员人数上限+1（达到70）,會員人數上限+1（達到70）,Maximum membership +1 (up to 70),Thành viên tối đa +1 (tối đa 70),회원 인원수 한도 +1(70 달성),Associação máxima +1 (até 70),สมาชิกสูงสุด +1 (สูงสุด 70),可设置副会长人数+1,可設置副會長人數+1,Can set one more Assistant Leader+1,Có thể đặt thêm một Phó Hội Trưởng,설정 가능 부회장 수 +1,Pode definir mais um Vice-líder+1,สามารถตั้งรองหัวหน้ากิลด์เพิ่มได้อีกหนึ่งคน+1,,
42,71,5,135255053,142000,8,71000,<>,1.2,{13=12;21841=3;gold=115000;coin3=290},{gold=9700000},45,{rmb=11200},45,{coin3=5600},45,110,会员人数上限+1（达到71）,會員人數上限+1（達到71）,Maximum membership +1 (up to 71),Thành viên tối đa +1 (tối đa 71),회원 인원수 한도 +1(71 달성),Associação máxima +1 (até 71),สมาชิกสูงสุด +1 (สูงสุด 71),,,,,,,,,
43,72,5,162306063,144000,8,72000,<>,1.21,{13=12;21841=3;gold=115000;coin3=290},{gold=9900000},46,{rmb=11400},46,{coin3=5700},46,110,会员人数上限+1（达到72）,會員人數上限+1（達到72）,Maximum membership +1 (up to 72),Thành viên tối đa +1 (tối đa 72),회원 인원수 한도 +1(72 달성),Associação máxima +1 (até 72),สมาชิกสูงสุด +1 (สูงสุด 72),,,,,,,,,
44,73,5,194767276,146000,8,73000,<>,1.21,{13=12;21841=3;gold=115000;coin3=290},{gold=10100000},46,{rmb=11600},46,{coin3=5800},46,110,会员人数上限+1（达到73）,會員人數上限+1（達到73）,Maximum membership +1 (up to 73),Thành viên tối đa +1 (tối đa 73),회원 인원수 한도 +1(73 달성),Associação máxima +1 (até 73),สมาชิกสูงสุด +1 (สูงสุด 73),,,,,,,,,
45,74,5,233720731,148000,8,74000,<>,1.22,{13=12;21841=3;gold=115000;coin3=290},{gold=10300000},47,{rmb=11800},47,{coin3=5900},47,120,会员人数上限+1（达到74）,會員人數上限+1（達到74）,Maximum membership +1 (up to 74),Thành viên tối đa +1 (tối đa 74),회원 인원수 한도 +1(74 달성),Associação máxima +1 (até 74),สมาชิกสูงสุด +1 (สูงสุด 74),,,,,,,,,
46,75,5,280464877,150000,8,75000,<>,1.22,{13=12;21841=3;gold=115000;coin3=290},{gold=10500000},47,{rmb=12000},47,{coin3=6000},47,120,会员人数上限+1（达到75）,會員人數上限+1（達到75）,Maximum membership +1 (up to 75),Thành viên tối đa +1 (tối đa 75),회원 인원수 한도 +1(75 달성),Associação máxima +1 (até 75),สมาชิกสูงสุด +1 (สูงสุด 75),,,,,,,,,
47,76,5,336557852,152000,8,76000,<>,1.23,{13=12;21841=3;gold=115000;coin3=290},{gold=10700000},48,{rmb=12200},48,{coin3=6100},48,120,会员人数上限+1（达到76）,會員人數上限+1（達到76）,Maximum membership +1 (up to 76),Thành viên tối đa +1 (tối đa 76),회원 인원수 한도 +1(76 달성),Associação máxima +1 (até 76),สมาชิกสูงสุด +1 (สูงสุด 76),,,,,,,,,
48,77,5,403869423,154000,8,77000,<>,1.23,{13=12;21841=3;gold=115000;coin3=290},{gold=10900000},48,{rmb=12400},48,{coin3=6200},48,120,会员人数上限+1（达到77）,會員人數上限+1（達到77）,Maximum membership +1 (up to 77),Thành viên tối đa +1 (tối đa 77),회원 인원수 한도 +1(77 달성),Associação máxima +1 (até 77),สมาชิกสูงสุด +1 (สูงสุด 77),,,,,,,,,
49,78,5,484643307,156000,8,78000,<>,1.24,{13=12;21841=3;gold=115000;coin3=290},{gold=11100000},49,{rmb=12600},49,{coin3=6300},49,130,会员人数上限+1（达到78）,會員人數上限+1（達到78）,Maximum membership +1 (up to 78),Thành viên tối đa +1 (tối đa 78),회원 인원수 한도 +1(78 달성),Associação máxima +1 (até 78),สมาชิกสูงสุด +1 (สูงสุด 78),,,,,,,,,
50,79,5,581571969,158000,8,79000,<>,1.24,{13=12;21841=3;gold=115000;coin3=290},{gold=11300000},49,{rmb=12800},49,{coin3=6400},49,130,会员人数上限+1（达到79）,會員人數上限+1（達到79）,Maximum membership +1 (up to 79),Thành viên tối đa +1 (tối đa 79),회원 인원수 한도 +1(79 달성),Associação máxima +1 (até 79),สมาชิกสูงสุด +1 (สูงสุด 79),,,,,,,,,
