变量名,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
121,1001,121,100,{gold=1000000},{rmb=200},0,<>
122,1001,122,100,{coin4=30},{520=2},0,<>
123,1001,123,100,{14=50},{15=20;16=30},0,<>
124,1001,124,100,{19=2},{801=1;19=10},0,<>
125,1001,125,100,{gold=1000000},{gold=3000000},0,<>
126,1001,126,100,{coin4=500},{520=1;coin4=2000},0,<>
127,1001,127,100,{800=5},{800=10;801=5},0,<>
128,1001,128,100,{940=5},{942=5;941=5},0,<>
129,1001,129,100,{rmb=100},{rmb=300},0,<>
130,1001,130,100,{920=1},{921=2},1,<>
131,1001,131,100,{520=2},{521=2},0,<>
132,1001,132,100,{20011=10},{card={id=13}},0,<>
133,1001,133,100,{gold=1000000},{rmb=200},0,<>
134,1001,134,100,{coin4=30},{520=2},0,<>
135,1001,135,100,{14=50},{15=20;16=30},0,<>
136,1001,136,100,{19=2},{801=1;19=10},0,<>
137,1001,137,100,{gold=1000000},{gold=3000000},0,<>
138,1001,138,100,{coin4=500},{520=1;coin4=2000},0,<>
139,1001,139,100,{800=5},{800=10;801=5},0,<>
140,1001,140,100,{940=5},{942=5;941=5},1,<>
141,1001,141,100,{rmb=100},{rmb=300},0,<>
142,1001,142,100,{920=1},{921=2},0,<>
143,1001,143,100,{520=2},{521=2},0,<>
144,1001,144,100,{20011=10},{card={id=13}},0,<>
145,1001,145,100,{gold=1000000},{rmb=200},0,<>
146,1001,146,100,{coin4=30},{520=2},0,<>
147,1001,147,100,{14=50},{15=20;16=30},0,<>
148,1001,148,100,{19=2},{801=1;19=10},0,<>
149,1001,149,100,{gold=1000000},{gold=3000000},0,<>
150,1001,150,100,{coin4=500},{520=1;coin4=2000},1,<>
151,1001,151,100,{800=5},{800=10;801=5},0,<>
152,1001,152,100,{940=5},{942=5;941=5},0,<>
153,1001,153,100,{rmb=100},{rmb=300},0,<>
154,1001,154,100,{920=1},{921=2},0,<>
155,1001,155,100,{520=2},{521=2},0,<>
156,1001,156,100,{20011=10},{card={id=13}},0,<>
157,1001,157,100,{gold=1000000},{rmb=200},0,<>
158,1001,158,100,{coin4=30},{520=2},0,<>
159,1001,159,100,{14=50},{15=20;16=30},0,<>
160,1001,160,100,{19=2},{801=1;19=10},1,<>
161,1001,161,100,{gold=1000000},{gold=3000000},0,<>
162,1001,162,100,{coin4=500},{520=1;coin4=2000},0,<>
163,1001,163,100,{800=5},{800=10;801=5},0,<>
164,1001,164,100,{940=5},{942=5;941=5},0,<>
165,1001,165,100,{rmb=100},{rmb=300},0,<>
166,1001,166,100,{920=1},{921=2},0,<>
167,1001,167,100,{520=2},{521=2},0,<>
168,1001,168,100,{20011=10},{card={id=13}},0,<>
169,1001,169,100,{gold=1000000},{rmb=200},0,<>
170,1001,170,100,{coin4=30},{520=2},1,<>
171,1001,171,100,{14=50},{15=20;16=30},0,<>
172,1001,172,100,{19=2},{801=1;19=10},0,<>
173,1001,173,100,{gold=1000000},{gold=3000000},0,<>
174,1001,174,100,{coin4=500},{520=1;coin4=2000},0,<>
175,1001,175,100,{800=5},{800=10;801=5},0,<>
176,1001,176,100,{940=5},{942=5;941=5},0,<>
177,1001,177,100,{rmb=100},{rmb=300},0,<>
178,1001,178,100,{920=1},{921=2},0,<>
179,1001,179,100,{520=2},{521=2},0,<>
180,1001,180,100,{20011=10},{card={id=13}},1,<>
181,1001,181,100,{gold=1000000},{rmb=200},0,<>
182,1001,182,100,{coin4=30},{520=2},0,<>
183,1001,183,100,{14=50},{15=20;16=30},0,<>
184,1001,184,100,{19=2},{801=1;19=10},0,<>
185,1001,185,100,{gold=1000000},{gold=3000000},0,<>
186,1001,186,100,{coin4=500},{520=1;coin4=2000},0,<>
187,1001,187,100,{800=5},{800=10;801=5},0,<>
188,1001,188,100,{940=5},{942=5;941=5},0,<>
189,1001,189,100,{rmb=100},{rmb=300},0,<>
190,1001,190,100,{920=1},{921=2},1,<>
191,1001,191,100,{520=2},{521=2},0,<>
192,1001,192,100,{20011=10},{card={id=13}},0,<>
193,1001,193,100,{gold=1000000},{rmb=200},0,<>
194,1001,194,100,{coin4=30},{520=2},0,<>
195,1001,195,100,{14=50},{15=20;16=30},0,<>
196,1001,196,100,{19=2},{801=1;19=10},0,<>
197,1001,197,100,{gold=1000000},{gold=3000000},0,<>
198,1001,198,100,{coin4=500},{520=1;coin4=2000},0,<>
199,1001,199,100,{800=5},{800=10;801=5},0,<>
200,1001,200,100,{940=5},{942=5;941=5},1,<>
201,1001,201,100,{rmb=100},{rmb=300},0,<>
202,1001,202,100,{920=1},{921=2},0,<>
203,1001,203,100,{520=2},{521=2},0,<>
204,1001,204,100,{20011=10},{card={id=13}},0,<>
205,1001,205,100,{gold=1000000},{rmb=200},0,<>
206,1001,206,100,{coin4=30},{520=2},0,<>
207,1001,207,100,{14=50},{15=20;16=30},0,<>
208,1001,208,100,{19=2},{801=1;19=10},0,<>
209,1001,209,100,{gold=1000000},{gold=3000000},0,<>
210,1001,210,100,{coin4=500},{520=1;coin4=2000},1,<>
211,1001,211,100,{800=5},{800=10;801=5},0,<>
212,1001,212,100,{940=5},{942=5;941=5},0,<>
213,1001,213,100,{rmb=100},{rmb=300},0,<>
214,1001,214,100,{920=1},{921=2},0,<>
215,1001,215,100,{520=2},{521=2},0,<>
216,1001,216,100,{20011=10},{card={id=13}},0,<>
217,1001,217,100,{gold=1000000},{rmb=200},0,<>
218,1001,218,100,{coin4=30},{520=2},0,<>
219,1001,219,100,{14=50},{15=20;16=30},0,<>
220,1001,220,100,{19=2},{801=1;19=10},1,<>
221,1001,221,100,{gold=1000000},{gold=3000000},0,<>
222,1001,222,100,{coin4=500},{520=1;coin4=2000},0,<>
223,1001,223,100,{800=5},{800=10;801=5},0,<>
224,1001,224,100,{940=5},{942=5;941=5},0,<>
225,1001,225,100,{rmb=100},{rmb=300},0,<>
226,1001,226,100,{920=1},{921=2},0,<>
227,1001,227,100,{520=2},{521=2},0,<>
228,1001,228,100,{20011=10},{card={id=13}},0,<>
229,1001,229,100,{gold=1000000},{rmb=200},0,<>
230,1001,230,100,{coin4=30},{520=2},1,<>
231,1001,231,100,{14=50},{15=20;16=30},0,<>
232,1001,232,100,{19=2},{801=1;19=10},0,<>
233,1001,233,100,{gold=1000000},{gold=3000000},0,<>
234,1001,234,100,{coin4=500},{520=1;coin4=2000},0,<>
235,1001,235,100,{800=5},{800=10;801=5},0,<>
236,1001,236,100,{940=5},{942=5;941=5},0,<>
237,1001,237,100,{rmb=100},{rmb=300},0,<>
238,1001,238,100,{920=1},{921=2},0,<>
239,1001,239,100,{520=2},{521=2},0,<>
240,1001,240,100,{20011=10},{card={id=13}},1,<>
241,1001,241,100,{gold=1000000},{rmb=200},0,<>
242,1001,242,100,{coin4=30},{520=2},0,<>
243,1001,243,100,{14=50},{15=20;16=30},0,<>
244,1001,244,100,{19=2},{801=1;19=10},0,<>
245,1001,245,100,{gold=1000000},{gold=3000000},0,<>
246,1001,246,100,{coin4=500},{520=1;coin4=2000},0,<>
247,1001,247,100,{800=5},{800=10;801=5},0,<>
248,1001,248,100,{940=5},{942=5;941=5},0,<>
249,1001,249,100,{rmb=100},{rmb=300},0,<>
250,1001,250,0,{920=1},{921=2},1,<>
1001,1002,1,100,{2011=1},{521=888;539=888},0,<1;2;3>
1002,1002,2,100,{14=30},{500=1;talent_point=5},0,<>
1003,1002,3,100,{5000=50},{930=50},0,<>
1004,1002,4,100,{451=120},{502=3;452=60},0,<>
1005,1002,5,100,{gold=1000000},{gold=2000000},0,<>
1006,1002,6,100,{2103=5},{2103=10;941=1},0,<>
1007,1002,7,100,{902=10},{602=10},0,<>
1008,1002,8,100,{850=300},{851=150;502=3},0,<>
1009,1002,9,100,{rmb=100},{rmb=200},0,<>
1010,1002,10,100,{6251=5},{6251=10;501=3},1,<1;2;3>
1011,1002,11,100,{503=2},{519=2},0,<>
1012,1002,12,100,{14=30},{500=1;talent_point=5},0,<>
1013,1002,13,100,{5000=50},{930=50},0,<>
1014,1002,14,100,{451=120},{502=3;452=60},0,<>
1015,1002,15,100,{gold=1000000},{gold=2000000},0,<>
1016,1002,16,100,{2103=5},{2103=10;941=1},0,<>
1017,1002,17,100,{902=10},{602=10},0,<>
1018,1002,18,100,{850=300},{851=150;502=3},0,<>
1019,1002,19,100,{rmb=100},{rmb=200},0,<>
1020,1002,20,100,{2402=1},{2209=1;503=10},1,<1;2;3>
1021,1002,21,100,{503=2},{519=2},0,<>
1022,1002,22,100,{14=30},{500=1;talent_point=5},0,<>
1023,1002,23,100,{5000=50},{930=50},0,<>
1024,1002,24,100,{451=120},{502=3;452=60},0,<>
1025,1002,25,100,{gold=1000000},{gold=2000000},0,<>
1026,1002,26,100,{2103=5},{2103=10;941=1},0,<>
1027,1002,27,100,{902=10},{602=10},0,<>
1028,1002,28,100,{850=300},{851=150;502=3},0,<>
1029,1002,29,100,{rmb=100},{rmb=200},0,<>
1030,1002,30,100,{6251=10},{6251=20;502=5},1,<1;2;3>
1031,1002,31,100,{503=2},{519=2},0,<>
1032,1002,32,100,{14=30},{500=1;talent_point=5},0,<>
1033,1002,33,100,{5000=50},{930=50},0,<>
1034,1002,34,100,{451=120},{502=3;452=60},0,<>
1035,1002,35,100,{gold=1000000},{gold=2000000},0,<>
1036,1002,36,100,{2103=5},{2103=10;941=1},0,<>
1037,1002,37,100,{902=10},{602=10},0,<>
1038,1002,38,100,{850=300},{851=150;502=3},0,<>
1039,1002,39,100,{rmb=100},{rmb=200},0,<>
1040,1002,40,100,{527=5},{6050=1;527=10},1,<1;2;3>
1041,1002,41,100,{503=2},{519=2},0,<>
1042,1002,42,100,{14=30},{500=1;talent_point=5},0,<>
1043,1002,43,100,{5000=50},{930=50},0,<>
1044,1002,44,100,{451=120},{502=3;452=60},0,<>
1045,1002,45,100,{gold=1000000},{gold=2000000},0,<>
1046,1002,46,100,{2103=5},{2103=10;941=1},0,<>
1047,1002,47,100,{902=10},{602=10},0,<>
1048,1002,48,100,{850=300},{851=150;502=3},0,<>
1049,1002,49,100,{rmb=100},{rmb=200},0,<>
1050,1002,50,100,{6251=15},{521=2;card={id=1281}},1,<1;2;3>
1051,1002,51,100,{503=2},{519=2},0,<>
1052,1002,52,100,{14=30},{500=1;talent_point=5},0,<>
1053,1002,53,100,{5000=50},{930=50},0,<>
1054,1002,54,100,{451=120},{502=3;452=60},0,<>
1055,1002,55,100,{gold=1000000},{gold=2000000},0,<>
1056,1002,56,100,{2103=5},{2103=10;941=1},0,<>
1057,1002,57,100,{902=10},{602=10},0,<>
1058,1002,58,100,{850=300},{851=150;502=3},0,<>
1059,1002,59,100,{rmb=100},{rmb=200},0,<>
1060,1002,60,100,{527=5},{6050=1;527=10},1,<1;2;3>
1061,1002,61,100,{503=2},{519=2},0,<>
1062,1002,62,100,{14=30},{500=1;talent_point=5},0,<>
1063,1002,63,100,{5000=50},{930=50},0,<>
1064,1002,64,100,{451=120},{502=3;452=60},0,<>
1065,1002,65,100,{gold=1000000},{gold=2000000},0,<>
1066,1002,66,100,{2103=5},{2103=10;941=1},0,<>
1067,1002,67,100,{902=10},{602=10},0,<>
1068,1002,68,100,{850=300},{851=150;502=3},0,<>
1069,1002,69,100,{rmb=100},{rmb=200},0,<>
1070,1002,70,100,{6251=20},{6251=40;501=3},1,<1;2;3>
1071,1002,71,100,{503=2},{519=2},0,<>
1072,1002,72,100,{14=30},{500=1;talent_point=5},0,<>
1073,1002,73,100,{5000=50},{930=50},0,<>
1074,1002,74,100,{451=120},{502=3;452=60},0,<>
1075,1002,75,100,{gold=1000000},{gold=2000000},0,<>
1076,1002,76,100,{2103=5},{2103=10;941=1},0,<>
1077,1002,77,100,{902=10},{602=10},0,<>
1078,1002,78,100,{850=300},{851=150;502=3},0,<>
1079,1002,79,100,{rmb=100},{rmb=200},0,<>
1080,1002,80,100,{942=1},{942=1;2103=50},1,<1;2;3>
1081,1002,81,100,{503=2},{519=2},0,<>
1082,1002,82,100,{14=30},{500=1;talent_point=5},0,<>
1083,1002,83,100,{5000=50},{930=50},0,<>
1084,1002,84,100,{451=120},{502=3;452=60},0,<>
1085,1002,85,100,{gold=1000000},{gold=2000000},0,<>
1086,1002,86,100,{2103=5},{2103=10;941=1},0,<>
1087,1002,87,100,{902=10},{602=10},0,<>
1088,1002,88,100,{850=300},{851=150;502=3},0,<>
1089,1002,89,100,{rmb=100},{rmb=200},0,<>
1090,1002,90,100,{6251=25},{6251=50;604=30},1,<1;2;3>
1091,1002,91,100,{503=2},{519=2},0,<>
1092,1002,92,100,{14=30},{500=1;talent_point=5},0,<>
1093,1002,93,100,{5000=50},{930=50},0,<>
1094,1002,94,100,{451=120},{502=3;452=60},0,<>
1095,1002,95,100,{gold=1000000},{gold=2000000},0,<>
1096,1002,96,100,{2103=5},{2103=10;941=1},0,<>
1097,1002,97,100,{902=10},{602=10},0,<>
1098,1002,98,100,{850=300},{851=150;502=3},0,<>
1099,1002,99,100,{rmb=100},{rmb=200},0,<>
1100,1002,100,100,{card={id=9002}},{521=2;card={id=4161}},1,<1;2;3>
1101,1002,101,100,{503=2},{519=2},0,<>
1102,1002,102,100,{14=30},{500=1;talent_point=5},0,<>
1103,1002,103,100,{5000=50},{930=50},0,<>
1104,1002,104,100,{451=120},{502=3;452=60},0,<>
1105,1002,105,100,{gold=1000000},{gold=2000000},0,<>
1106,1002,106,100,{2103=5},{2103=10;941=1},0,<>
1107,1002,107,100,{902=10},{602=10},0,<>
1108,1002,108,100,{850=300},{851=150;502=3},0,<>
1109,1002,109,100,{rmb=100},{rmb=200},0,<>
1110,1002,110,100,{502=2},{521=2},1,<1;2>
1111,1002,111,100,{503=2},{519=2},0,<>
1112,1002,112,100,{14=30},{500=1;talent_point=5},0,<>
1113,1002,113,100,{5000=50},{930=50},0,<>
1114,1002,114,100,{451=120},{502=3;452=60},0,<>
1115,1002,115,100,{gold=1000000},{gold=2000000},0,<>
1116,1002,116,100,{2103=5},{2103=10;941=1},0,<>
1117,1002,117,100,{902=10},{602=10},0,<>
1118,1002,118,100,{850=300},{851=150;502=3},0,<>
1119,1002,119,100,{rmb=100},{rmb=200},0,<>
1120,1002,120,100,{502=2},{521=2},1,<1;2>
1121,1002,121,100,{503=2},{519=2},0,<>
1122,1002,122,100,{14=30},{500=1;talent_point=5},0,<>
1123,1002,123,100,{5000=50},{930=50},0,<>
1124,1002,124,100,{451=120},{502=3;452=60},0,<>
1125,1002,125,100,{gold=1000000},{gold=2000000},0,<>
1126,1002,126,100,{2103=5},{2103=10;941=1},0,<>
1127,1002,127,100,{902=10},{602=10},0,<>
1128,1002,128,100,{850=300},{851=150;502=3},0,<>
1129,1002,129,100,{rmb=100},{rmb=200},0,<>
1130,1002,130,100,{502=2},{521=2},1,<1;2>
1131,1002,131,100,{503=2},{519=2},0,<>
1132,1002,132,100,{14=30},{500=1;talent_point=5},0,<>
1133,1002,133,100,{5000=50},{930=50},0,<>
1134,1002,134,100,{451=120},{502=3;452=60},0,<>
1135,1002,135,100,{gold=1000000},{gold=2000000},0,<>
1136,1002,136,100,{2103=5},{2103=10;941=1},0,<>
1137,1002,137,100,{902=10},{602=10},0,<>
1138,1002,138,100,{850=300},{851=150;502=3},0,<>
1139,1002,139,100,{rmb=100},{rmb=200},0,<>
1140,1002,140,100,{502=2},{521=2},1,<1;2>
1141,1002,141,100,{503=2},{519=2},0,<>
1142,1002,142,100,{14=30},{500=1;talent_point=5},0,<>
1143,1002,143,100,{5000=50},{930=50},0,<>
1144,1002,144,100,{451=120},{502=3;452=60},0,<>
1145,1002,145,100,{gold=1000000},{gold=2000000},0,<>
1146,1002,146,100,{2103=5},{2103=10;941=1},0,<>
1147,1002,147,100,{902=10},{602=10},0,<>
1148,1002,148,100,{850=300},{851=150;502=3},0,<>
1149,1002,149,100,{rmb=100},{rmb=200},0,<>
1150,1002,150,100,{502=2},{521=200;card={id=7021}},1,<1;2>
2001,1003,1,100,{2071=1},{521=888;539=888},0,<1;2;3>
2002,1003,2,100,{14=30},{500=1;talent_point=5},0,<>
2003,1003,3,100,{5000=50},{930=50},0,<>
2004,1003,4,100,{451=120},{502=3;452=60},0,<>
2005,1003,5,100,{gold=1000000},{gold=2000000},0,<>
2006,1003,6,100,{2103=5},{2103=10;941=1},0,<>
2007,1003,7,100,{902=10},{602=10},0,<>
2008,1003,8,100,{850=300},{851=150;502=3},0,<>
2009,1003,9,100,{rmb=100},{rmb=200},0,<>
2010,1003,10,100,{6251=5},{6251=10;501=3},1,<1;2;3>
2011,1003,11,100,{503=2},{519=2},0,<>
2012,1003,12,100,{14=30},{500=1;talent_point=5},0,<>
2013,1003,13,100,{5000=50},{930=50},0,<>
2014,1003,14,100,{451=120},{502=3;452=60},0,<>
2015,1003,15,100,{gold=1000000},{gold=2000000},0,<>
2016,1003,16,100,{2103=5},{2103=10;941=1},0,<>
2017,1003,17,100,{902=10},{602=10},0,<>
2018,1003,18,100,{850=300},{851=150;502=3},0,<>
2019,1003,19,100,{rmb=100},{rmb=200},0,<>
2020,1003,20,100,{2402=1},{2209=1;503=10},1,<1;2;3>
2021,1003,21,100,{503=2},{519=2},0,<>
2022,1003,22,100,{14=30},{500=1;talent_point=5},0,<>
2023,1003,23,100,{5000=50},{930=50},0,<>
2024,1003,24,100,{451=120},{502=3;452=60},0,<>
2025,1003,25,100,{gold=1000000},{gold=2000000},0,<>
2026,1003,26,100,{2103=5},{2103=10;941=1},0,<>
2027,1003,27,100,{902=10},{602=10},0,<>
2028,1003,28,100,{850=300},{851=150;502=3},0,<>
2029,1003,29,100,{rmb=100},{rmb=200},0,<>
2030,1003,30,100,{6251=10},{6251=20;502=5},1,<1;2;3>
2031,1003,31,100,{503=2},{519=2},0,<>
2032,1003,32,100,{14=30},{500=1;talent_point=5},0,<>
2033,1003,33,100,{5000=50},{930=50},0,<>
2034,1003,34,100,{451=120},{502=3;452=60},0,<>
2035,1003,35,100,{gold=1000000},{gold=2000000},0,<>
2036,1003,36,100,{2103=5},{2103=10;941=1},0,<>
2037,1003,37,100,{902=10},{602=10},0,<>
2038,1003,38,100,{850=300},{851=150;502=3},0,<>
2039,1003,39,100,{rmb=100},{rmb=200},0,<>
2040,1003,40,100,{527=5},{6050=1;527=10},1,<1;2;3>
2041,1003,41,100,{503=2},{519=2},0,<>
2042,1003,42,100,{14=30},{500=1;talent_point=5},0,<>
2043,1003,43,100,{5000=50},{930=50},0,<>
2044,1003,44,100,{451=120},{502=3;452=60},0,<>
2045,1003,45,100,{gold=1000000},{gold=2000000},0,<>
2046,1003,46,100,{2103=5},{2103=10;941=1},0,<>
2047,1003,47,100,{902=10},{602=10},0,<>
2048,1003,48,100,{850=300},{851=150;502=3},0,<>
2049,1003,49,100,{rmb=100},{rmb=200},0,<>
2050,1003,50,100,{6251=15},{521=2;card={id=3641}},1,<1;2;3>
2051,1003,51,100,{503=2},{519=2},0,<>
2052,1003,52,100,{14=30},{500=1;talent_point=5},0,<>
2053,1003,53,100,{5000=50},{930=50},0,<>
2054,1003,54,100,{451=120},{502=3;452=60},0,<>
2055,1003,55,100,{gold=1000000},{gold=2000000},0,<>
2056,1003,56,100,{2103=5},{2103=10;941=1},0,<>
2057,1003,57,100,{902=10},{602=10},0,<>
2058,1003,58,100,{850=300},{851=150;502=3},0,<>
2059,1003,59,100,{rmb=100},{rmb=200},0,<>
2060,1003,60,100,{527=5},{6050=1;527=10},1,<1;2;3>
2061,1003,61,100,{503=2},{519=2},0,<>
2062,1003,62,100,{14=30},{500=1;talent_point=5},0,<>
2063,1003,63,100,{5000=50},{930=50},0,<>
2064,1003,64,100,{451=120},{502=3;452=60},0,<>
2065,1003,65,100,{gold=1000000},{gold=2000000},0,<>
2066,1003,66,100,{2103=5},{2103=10;941=1},0,<>
2067,1003,67,100,{902=10},{602=10},0,<>
2068,1003,68,100,{850=300},{851=150;502=3},0,<>
2069,1003,69,100,{rmb=100},{rmb=200},0,<>
2070,1003,70,100,{6251=20},{6251=40;501=3},1,<1;2;3>
2071,1003,71,100,{503=2},{519=2},0,<>
2072,1003,72,100,{14=30},{500=1;talent_point=5},0,<>
2073,1003,73,100,{5000=50},{930=50},0,<>
2074,1003,74,100,{451=120},{502=3;452=60},0,<>
2075,1003,75,100,{gold=1000000},{gold=2000000},0,<>
2076,1003,76,100,{2103=5},{2103=10;941=1},0,<>
2077,1003,77,100,{902=10},{602=10},0,<>
2078,1003,78,100,{850=300},{851=150;502=3},0,<>
2079,1003,79,100,{rmb=100},{rmb=200},0,<>
2080,1003,80,100,{942=1},{942=1;2103=50},1,<1;2;3>
2081,1003,81,100,{503=2},{519=2},0,<>
2082,1003,82,100,{14=30},{500=1;talent_point=5},0,<>
2083,1003,83,100,{5000=50},{930=50},0,<>
2084,1003,84,100,{451=120},{502=3;452=60},0,<>
