变量名,huodongID,pointRequire,award,boxIcon,desc,desc_en
132,1013,300,{23841=5;501=2;gold=100000},1,无奖励吗,无奖励吗
133,1013,600,{23841=7;501=3;gold=120000},2,无奖励吗,无奖励吗
134,1013,1200,{23841=10;501=3;gold=140000},2,无奖励吗,无奖励吗
135,1013,1800,{23841=10;501=4;gold=160000},2,无奖励吗,无奖励吗
136,1013,2700,{23841=15;501=5;gold=180000},3,无奖励吗,无奖励吗
137,1013,3600,{23841=15;501=6;gold=200000},3,无奖励吗,无奖励吗
138,1013,5000,{23841=30;501=8;gold=220000},3,无奖励吗,无奖励吗
140,1014,30,{501=1;21031=3;gold=60000},1,无奖励吗,无奖励吗
141,1014,100,{501=2;21031=5;gold=80000},1,无奖励吗,无奖励吗
142,1014,300,{501=2;21031=5;gold=100000},1,无奖励吗,无奖励吗
143,1014,600,{501=3;21031=7;gold=120000},2,无奖励吗,无奖励吗
144,1014,1200,{501=3;21031=10;gold=140000},2,无奖励吗,无奖励吗
145,1014,1800,{501=4;21031=10;gold=160000},2,无奖励吗,无奖励吗
146,1014,2700,{501=5;21031=15;gold=180000},3,无奖励吗,无奖励吗
147,1014,3600,{501=6;21031=15;gold=200000},3,无奖励吗,无奖励吗
148,1014,5000,{501=8;21031=30;gold=220000},3,无奖励吗,无奖励吗
150,1015,30,{501=1;gold=60000;24131=3},1,无奖励吗,无奖励吗
151,1015,100,{501=2;gold=80000;24131=5},1,无奖励吗,无奖励吗
152,1015,300,{501=2;gold=100000;24131=5},1,无奖励吗,无奖励吗
153,1015,600,{501=3;gold=120000;24131=7},2,无奖励吗,无奖励吗
154,1015,1200,{501=3;gold=140000;24131=10},2,无奖励吗,无奖励吗
155,1015,1800,{501=4;gold=160000;24131=10},2,无奖励吗,无奖励吗
156,1015,2700,{501=5;gold=180000;24131=15},3,无奖励吗,无奖励吗
157,1015,3600,{501=6;gold=200000;24131=15},3,无奖励吗,无奖励吗
158,1015,5000,{501=8;gold=220000;24131=30},3,无奖励吗,无奖励吗
160,1016,30,{501=1;20861=3;gold=60000},1,无奖励吗,无奖励吗
161,1016,100,{501=2;20861=5;gold=80000},1,无奖励吗,无奖励吗
162,1016,300,{501=2;20861=5;gold=100000},1,无奖励吗,无奖励吗
163,1016,600,{501=3;20861=7;gold=120000},2,无奖励吗,无奖励吗
164,1016,1200,{501=3;20861=10;gold=140000},2,无奖励吗,无奖励吗
165,1016,1800,{501=4;20861=10;gold=160000},2,无奖励吗,无奖励吗
166,1016,2700,{501=5;20861=15;gold=180000},3,无奖励吗,无奖励吗
167,1016,3600,{501=6;20861=15;gold=200000},3,无奖励吗,无奖励吗
168,1016,5000,{501=8;20861=30;gold=220000},3,无奖励吗,无奖励吗
170,1017,30,{501=1;23251=3;gold=60000},1,无奖励吗,无奖励吗
171,1017,100,{501=2;23251=5;gold=80000},1,无奖励吗,无奖励吗
172,1017,300,{501=2;23251=5;gold=100000},1,无奖励吗,无奖励吗
173,1017,600,{501=3;23251=7;gold=120000},2,无奖励吗,无奖励吗
174,1017,1200,{501=3;23251=10;gold=140000},2,无奖励吗,无奖励吗
175,1017,1800,{501=4;23251=10;gold=160000},2,无奖励吗,无奖励吗
176,1017,2700,{501=5;23251=15;gold=180000},3,无奖励吗,无奖励吗
177,1017,3600,{501=6;23251=15;gold=200000},3,无奖励吗,无奖励吗
178,1017,5000,{501=8;23251=30;gold=220000},3,无奖励吗,无奖励吗
180,1018,30,{501=1;gold=60000;23161=3},1,无奖励吗,无奖励吗
181,1018,100,{501=2;gold=80000;23161=5},1,无奖励吗,无奖励吗
182,1018,300,{501=2;gold=100000;23161=5},1,无奖励吗,无奖励吗
183,1018,600,{501=3;gold=120000;23161=7},2,无奖励吗,无奖励吗
184,1018,1200,{501=3;gold=140000;23161=10},2,无奖励吗,无奖励吗
185,1018,1800,{501=4;gold=160000;23161=10},2,无奖励吗,无奖励吗
186,1018,2700,{501=5;gold=180000;23161=15},3,无奖励吗,无奖励吗
187,1018,3600,{501=6;gold=200000;23161=15},3,无奖励吗,无奖励吗
188,1018,5000,{501=8;gold=220000;23161=30},3,无奖励吗,无奖励吗
190,1019,30,{501=1;23171=3;gold=60000},1,无奖励吗,无奖励吗
191,1019,100,{501=2;23171=5;gold=80000},1,无奖励吗,无奖励吗
192,1019,300,{501=2;23171=5;gold=100000},1,无奖励吗,无奖励吗
193,1019,600,{501=3;23171=7;gold=120000},2,无奖励吗,无奖励吗
194,1019,1200,{501=3;23171=10;gold=140000},2,无奖励吗,无奖励吗
195,1019,1800,{501=4;23171=10;gold=160000},2,无奖励吗,无奖励吗
196,1019,2700,{501=5;23171=15;gold=180000},3,无奖励吗,无奖励吗
197,1019,3600,{501=6;23171=15;gold=200000},3,无奖励吗,无奖励吗
198,1019,5000,{501=8;23171=30;gold=220000},3,无奖励吗,无奖励吗
200,1020,30,{501=1;23181=3;gold=60000},1,无奖励吗,无奖励吗
201,1020,100,{501=2;23181=5;gold=80000},1,无奖励吗,无奖励吗
202,1020,300,{501=2;23181=5;gold=100000},1,无奖励吗,无奖励吗
203,1020,600,{501=3;23181=7;gold=120000},2,无奖励吗,无奖励吗
204,1020,1200,{501=3;23181=10;gold=140000},2,无奖励吗,无奖励吗
205,1020,1800,{501=4;23181=10;gold=160000},2,无奖励吗,无奖励吗
206,1020,2700,{501=5;23181=15;gold=180000},3,无奖励吗,无奖励吗
207,1020,3600,{501=6;23181=15;gold=200000},3,无奖励吗,无奖励吗
208,1020,5000,{501=8;23181=30;gold=220000},3,无奖励吗,无奖励吗
209,1020,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
210,1020,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
211,1020,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
220,1021,30,{20381=3;501=1;gold=60000},1,无奖励吗,无奖励吗
221,1021,100,{20381=5;501=2;gold=80000},1,无奖励吗,无奖励吗
222,1021,300,{20381=5;501=2;gold=100000},1,无奖励吗,无奖励吗
223,1021,600,{20381=7;501=3;gold=120000},2,无奖励吗,无奖励吗
224,1021,1200,{20381=10;501=3;gold=140000},2,无奖励吗,无奖励吗
225,1021,1800,{20381=10;501=4;gold=160000},2,无奖励吗,无奖励吗
226,1021,2700,{20381=15;501=5;gold=180000},3,无奖励吗,无奖励吗
227,1021,3600,{20381=15;501=6;gold=200000},3,无奖励吗,无奖励吗
228,1021,5000,{20381=30;501=8;gold=220000},3,无奖励吗,无奖励吗
229,1021,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
230,1021,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
231,1021,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
240,1022,30,{501=1;20501=3;gold=60000},1,无奖励吗,无奖励吗
241,1022,100,{501=2;20501=5;gold=80000},1,无奖励吗,无奖励吗
242,1022,300,{501=2;20501=5;gold=100000},1,无奖励吗,无奖励吗
243,1022,600,{501=3;20501=7;gold=120000},2,无奖励吗,无奖励吗
244,1022,1200,{501=3;20501=10;gold=140000},2,无奖励吗,无奖励吗
245,1022,1800,{501=4;20501=10;gold=160000},2,无奖励吗,无奖励吗
246,1022,2700,{501=5;20501=15;gold=180000},3,无奖励吗,无奖励吗
247,1022,3600,{501=6;20501=15;gold=200000},3,无奖励吗,无奖励吗
248,1022,5000,{501=8;20501=30;gold=220000},3,无奖励吗,无奖励吗
249,1022,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
250,1022,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
251,1022,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
260,1023,30,{501=1;gold=60000;20611=3},1,无奖励吗,无奖励吗
261,1023,100,{501=2;gold=80000;20611=5},1,无奖励吗,无奖励吗
262,1023,300,{501=2;gold=100000;20611=5},1,无奖励吗,无奖励吗
263,1023,600,{501=3;gold=120000;20611=7},2,无奖励吗,无奖励吗
264,1023,1200,{501=3;gold=140000;20611=10},2,无奖励吗,无奖励吗
265,1023,1800,{501=4;gold=160000;20611=10},2,无奖励吗,无奖励吗
266,1023,2700,{501=5;gold=180000;20611=15},3,无奖励吗,无奖励吗
267,1023,3600,{501=6;gold=200000;20611=15},3,无奖励吗,无奖励吗
268,1023,5000,{501=8;gold=220000;20611=30},3,无奖励吗,无奖励吗
269,1023,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
270,1023,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
271,1023,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
280,1024,30,{501=1;23681=3;gold=60000},1,无奖励吗,无奖励吗
281,1024,100,{501=2;23681=5;gold=80000},1,无奖励吗,无奖励吗
282,1024,300,{501=2;23681=5;gold=100000},1,无奖励吗,无奖励吗
283,1024,600,{501=3;23681=7;gold=120000},2,无奖励吗,无奖励吗
284,1024,1200,{501=3;23681=10;gold=140000},2,无奖励吗,无奖励吗
285,1024,1800,{501=4;23681=10;gold=160000},2,无奖励吗,无奖励吗
286,1024,2700,{501=5;23681=15;gold=180000},3,无奖励吗,无奖励吗
287,1024,3600,{501=6;23681=15;gold=200000},3,无奖励吗,无奖励吗
288,1024,5000,{501=8;23681=30;gold=220000},3,无奖励吗,无奖励吗
289,1024,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
290,1024,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
291,1024,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
300,1025,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
301,1025,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
302,1025,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
303,1025,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
304,1025,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
305,1025,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
306,1025,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
307,1025,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
308,1025,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
309,1025,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
310,1025,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
311,1025,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
320,1026,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
321,1026,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
322,1026,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
323,1026,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
324,1026,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
325,1026,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
326,1026,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
327,1026,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
328,1026,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
329,1026,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
330,1026,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
331,1026,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
340,1027,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
341,1027,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
342,1027,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
343,1027,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
344,1027,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
345,1027,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
346,1027,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
347,1027,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
348,1027,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
349,1027,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
350,1027,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
351,1027,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
360,1028,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
361,1028,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
362,1028,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
363,1028,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
364,1028,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
365,1028,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
366,1028,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
367,1028,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
368,1028,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
369,1028,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
370,1028,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
371,1028,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
380,1029,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
381,1029,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
382,1029,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
383,1029,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
384,1029,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
385,1029,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
386,1029,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
387,1029,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
388,1029,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
389,1029,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
390,1029,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
391,1029,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
400,1030,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
401,1030,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
402,1030,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
403,1030,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
404,1030,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
405,1030,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
406,1030,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
407,1030,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
408,1030,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
409,1030,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
410,1030,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
411,1030,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
420,1031,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
421,1031,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
422,1031,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
423,1031,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
424,1031,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
425,1031,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
426,1031,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
427,1031,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
428,1031,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
429,1031,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
430,1031,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
431,1031,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
440,1032,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
441,1032,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
442,1032,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
443,1032,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
444,1032,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
445,1032,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
446,1032,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
447,1032,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
448,1032,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
449,1032,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
450,1032,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
451,1032,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
460,1033,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
461,1033,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
462,1033,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
463,1033,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
464,1033,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
465,1033,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
466,1033,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
467,1033,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
468,1033,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
469,1033,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
470,1033,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
471,1033,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
472,1034,10,{501=1;gold=80000;21891=1},1,无奖励吗,无奖励吗
473,1034,30,{501=1;gold=80000;21891=2},1,无奖励吗,无奖励吗
474,1034,100,{501=1;gold=100000;21891=3},1,无奖励吗,无奖励吗
