变量名,attrNum1,attrNum2,attrNum3,attrNum4,attrNum5,attrNum6,attrNum7
默认值,<>,<>,<>,<>,<>,<>,<>
等级,属性加成值,属性加成值,属性加成值,属性加成值,属性加成值,属性加成值,属性加成值
57,<18684;374;3737;1495;3737;1495>,<18684;374;3737;1495;3737;1495>,<24912;498;4982;1993;4982;1993>,<37368;747;7474;2989;7474;2989>,<49824;996;9965;3986;9965;3986>,<69754;1394;13951;5580;13951;5580>,<69754;1394;13951;5580;13951;5580>
58,<19008;380;3802;1521;3802;1521>,<19008;380;3802;1521;3802;1521>,<25344;507;5069;2028;5069;2028>,<38016;760;7603;3041;7603;3041>,<50688;1014;10138;4055;10138;4055>,<70963;1420;14193;5677;14193;5677>,<70963;1420;14193;5677;14193;5677>
59,<19332;387;3866;1547;3866;1547>,<19332;387;3866;1547;3866;1547>,<25776;516;5155;2062;5155;2062>,<38664;773;7733;3093;7733;3093>,<51552;1031;10310;4124;10310;4124>,<72173;1443;14434;5774;14434;5774>,<72173;1443;14434;5774;14434;5774>
60,<19656;393;3931;1572;3931;1572>,<19656;393;3931;1572;3931;1572>,<26208;524;5242;2097;5242;2097>,<39312;786;7862;3145;7862;3145>,<52416;1048;10483;4193;10483;4193>,<73382;1467;14676;5870;14676;5870>,<73382;1467;14676;5870;14676;5870>
61,<20049;401;4010;1603;4010;1603>,<20049;401;4010;1603;4010;1603>,<26732;534;5347;2139;5347;2139>,<40098;802;8019;3208;8019;3208>,<53464;1069;10693;4277;10693;4277>,<74850;1496;14970;5987;14970;5987>,<74850;1496;14970;5987;14970;5987>
62,<20450;409;4090;1636;4090;1636>,<20450;409;4090;1636;4090;1636>,<27267;545;5454;2182;5454;2182>,<40900;818;8180;3272;8180;3272>,<54534;1090;10907;4362;10907;4362>,<76347;1526;15269;6107;15269;6107>,<76347;1526;15269;6107;15269;6107>
63,<20859;417;4172;1668;4172;1668>,<20859;417;4172;1668;4172;1668>,<27812;556;5563;2225;5563;2225>,<41718;834;8343;3337;8343;3337>,<55624;1112;11125;4450;11125;4450>,<77874;1557;15574;6229;15574;6229>,<77874;1557;15574;6229;15574;6229>
64,<21276;425;4255;1702;4255;1702>,<21276;425;4255;1702;4255;1702>,<28368;567;5674;2270;5674;2270>,<42553;851;8510;3404;8510;3404>,<56737;1134;11347;4539;11347;4539>,<79431;1588;15886;6354;15886;6354>,<79431;1588;15886;6354;15886;6354>
65,<21702;434;4340;1736;4340;1736>,<21702;434;4340;1736;4340;1736>,<28936;579;5788;2315;5788;2315>,<43404;868;8680;3472;8680;3472>,<57871;1157;11574;4629;11574;4629>,<81020;1620;16203;6481;16203;6481>,<81020;1620;16203;6481;16203;6481>
66,<22136;443;4427;1770;4427;1770>,<22136;443;4427;1770;4427;1770>,<29514;590;5903;2362;5903;2362>,<44272;885;8854;3542;8854;3542>,<59029;1180;11806;4722;11806;4722>,<82640;1652;16528;6611;16528;6611>,<82640;1652;16528;6611;16528;6611>
67,<22579;451;4515;1806;4515;1806>,<22579;451;4515;1806;4515;1806>,<30105;602;6021;2409;6021;2409>,<45157;903;9031;3613;9031;3613>,<60210;1204;12042;4816;12042;4816>,<84293;1685;16858;6743;16858;6743>,<84293;1685;16858;6743;16858;6743>
68,<23030;460;4606;1842;4606;1842>,<23030;460;4606;1842;4606;1842>,<30707;614;6142;2457;6142;2457>,<46060;921;9212;3685;9212;3685>,<61414;1228;12283;4913;12283;4913>,<85979;1719;17195;6878;17195;6878>,<85979;1719;17195;6878;17195;6878>
69,<23491;470;4698;1879;4698;1879>,<23491;470;4698;1879;4698;1879>,<31321;626;6265;2506;6265;2506>,<46981;939;9396;3759;9396;3759>,<62642;1252;12528;5011;12528;5011>,<87698;1753;17539;7015;17539;7015>,<87698;1753;17539;7015;17539;7015>
70,<23961;479;4792;1916;4792;1916>,<23961;479;4792;1916;4792;1916>,<31947;639;6390;2556;6390;2556>,<47921;958;9584;3834;9584;3834>,<63895;1278;12779;5111;12779;5111>,<89452;1788;17890;7155;17890;7155>,<89452;1788;17890;7155;17890;7155>
71,<24440;489;4888;1955;4888;1955>,<24440;489;4888;1955;4888;1955>,<32586;652;6518;2607;6518;2607>,<48880;977;9775;3910;9775;3910>,<65173;1303;13034;5213;13034;5213>,<91241;1824;18248;7299;18248;7299>,<91241;1824;18248;7299;18248;7299>
72,<24929;498;4985;1994;4985;1994>,<24929;498;4985;1994;4985;1994>,<33238;665;6648;2660;6648;2660>,<49857;997;9971;3989;9971;3989>,<66476;1329;13295;5318;13295;5318>,<93066;1861;18613;7445;18613;7445>,<93066;1861;18613;7445;18613;7445>
73,<25427;508;5085;2034;5085;2034>,<25427;508;5085;2034;5085;2034>,<33903;678;6781;2713;6781;2713>,<50854;1017;10170;4068;10170;4068>,<67806;1356;13561;5424;13561;5424>,<94927;1898;18985;7593;18985;7593>,<94927;1898;18985;7593;18985;7593>
74,<25936;519;5187;2074;5187;2074>,<25936;519;5187;2074;5187;2074>,<34581;691;6917;2767;6917;2767>,<51871;1037;10374;4150;10374;4150>,<69162;1383;13832;5533;13832;5533>,<96826;1936;19365;7745;19365;7745>,<96826;1936;19365;7745;19365;7745>
75,<26454;529;5291;2116;5291;2116>,<26454;529;5291;2116;5291;2116>,<35273;705;7055;2822;7055;2822>,<52909;1058;10581;4233;10581;4233>,<70545;1410;14109;5643;14109;5643>,<98763;1974;19752;7900;19752;7900>,<98763;1974;19752;7900;19752;7900>
76,<26983;540;5396;2158;5396;2158>,<26983;540;5396;2158;5396;2158>,<35978;719;7196;2879;7196;2879>,<53967;1079;10793;4317;10793;4317>,<71956;1439;14391;5756;14391;5756>,<100738;2014;20147;8058;20147;8058>,<100738;2014;20147;8058;20147;8058>
77,<27523;550;5504;2201;5504;2201>,<27523;550;5504;2201;5504;2201>,<36698;734;7340;2936;7340;2936>,<55046;1101;11009;4404;11009;4404>,<73395;1467;14679;5871;14679;5871>,<102753;2054;20550;8219;20550;8219>,<102753;2054;20550;8219;20550;8219>
78,<28074;561;5614;2245;5614;2245>,<28074;561;5614;2245;5614;2245>,<37431;748;7487;2995;7487;2995>,<56147;1123;11229;4492;11229;4492>,<74863;1497;14972;5989;14972;5989>,<104808;2095;20961;8384;20961;8384>,<104808;2095;20961;8384;20961;8384>
79,<28635;573;5727;2290;5727;2290>,<28635;573;5727;2290;5727;2290>,<38180;763;7637;3055;7637;3055>,<57270;1145;11453;4582;11453;4582>,<76360;1527;15272;6108;15272;6108>,<106904;2137;21380;8551;21380;8551>,<106904;2137;21380;8551;21380;8551>
80,<29208;584;5841;2336;5841;2336>,<29208;584;5841;2336;5841;2336>,<38944;779;7789;3116;7789;3116>,<58416;1168;11683;4673;11683;4673>,<77887;1557;15577;6231;15577;6231>,<109042;2180;21808;8723;21808;8723>,<109042;2180;21808;8723;21808;8723>
81,<29792;596;5958;2383;5958;2383>,<29792;596;5958;2383;5958;2383>,<39723;794;7945;3178;7945;3178>,<59584;1191;11916;4767;11916;4767>,<79445;1588;15889;6355;15889;6355>,<111223;2223;22244;8897;22244;8897>,<111223;2223;22244;8897;22244;8897>
82,<30388;608;6077;2430;6077;2430>,<30388;608;6077;2430;6077;2430>,<40517;810;8104;3242;8104;3242>,<60776;1215;12154;4862;12154;4862>,<81034;1620;16207;6482;16207;6482>,<113447;2268;22689;9075;22689;9075>,<113447;2268;22689;9075;22689;9075>
83,<30996;620;6199;2479;6199;2479>,<30996;620;6199;2479;6199;2479>,<41327;826;8266;3307;8266;3307>,<61991;1239;12398;4959;12398;4959>,<82655;1653;16531;6612;16531;6612>,<115716;2313;23143;9256;23143;9256>,<115716;2313;23143;9256;23143;9256>
84,<31615;632;6323;2528;6323;2528>,<31615;632;6323;2528;6323;2528>,<42154;843;8431;3373;8431;3373>,<63231;1264;12646;5059;12646;5059>,<84308;1686;16861;6744;16861;6744>,<118030;2360;23605;9442;23605;9442>,<118030;2360;23605;9442;23605;9442>
85,<32248;645;6449;2579;6449;2579>,<32248;645;6449;2579;6449;2579>,<42997;860;8600;3440;8600;3440>,<64496;1290;12898;5160;12898;5160>,<85994;1719;17198;6879;17198;6879>,<120391;2407;24078;9630;24078;9630>,<120391;2407;24078;9630;24078;9630>
86,<32893;658;6578;2631;6578;2631>,<32893;658;6578;2631;6578;2631>,<43857;877;8772;3509;8772;3509>,<65785;1315;13156;5263;13156;5263>,<87714;1754;17542;7017;17542;7017>,<122799;2455;24559;9823;24559;9823>,<122799;2455;24559;9823;24559;9823>
87,<33551;671;6710;2683;6710;2683>,<33551;671;6710;2683;6710;2683>,<44734;894;8947;3579;8947;3579>,<67101;1342;13420;5368;13420;5368>,<89468;1789;17893;7157;17893;7157>,<125255;2504;25050;10019;25050;10019>,<125255;2504;25050;10019;25050;10019>
88,<34222;684;6844;2737;6844;2737>,<34222;684;6844;2737;6844;2737>,<45629;912;9126;3651;9126;3651>,<68443;1368;13688;5476;13688;5476>,<91258;1825;18251;7300;18251;7300>,<127760;2554;25551;10220;25551;10220>,<127760;2554;25551;10220;25551;10220>
89,<34906;698;6981;2792;6981;2792>,<34906;698;6981;2792;6981;2792>,<46541;931;9309;3724;9309;3724>,<69812;1396;13962;5585;13962;5585>,<93083;1861;18616;7446;18616;7446>,<130315;2605;26062;10424;26062;10424>,<130315;2605;26062;10424;26062;10424>
90,<35604;712;7120;2847;7120;2847>,<35604;712;7120;2847;7120;2847>,<47472;949;9495;3798;9495;3798>,<71208;1424;14241;5697;14241;5697>,<94944;1898;18989;7595;18989;7595>,<132921;2657;26584;10633;26584;10633>,<132921;2657;26584;10633;26584;10633>
91,<35960;719;7191;2875;7191;2875>,<35960;719;7191;2875;7191;2875>,<47947;958;9590;3836;9590;3836>,<71920;1438;14383;5754;14383;5754>,<95893;1917;19179;7671;19179;7671>,<134250;2684;26850;10739;26850;10739>,<134250;2684;26850;10739;26850;10739>
92,<36320;726;7263;2904;7263;2904>,<36320;726;7263;2904;7263;2904>,<48426;968;9686;3874;9686;3874>,<72639;1453;14527;5812;14527;5812>,<96852;1936;19371;7748;19371;7748>,<135593;2710;27118;10847;27118;10847>,<135593;2710;27118;10847;27118;10847>
93,<36683;734;7336;2933;7336;2933>,<36683;734;7336;2933;7336;2933>,<48910;978;9783;3913;9783;3913>,<73366;1467;14673;5870;14673;5870>,<97821;1956;19564;7825;19564;7825>,<136949;2738;27390;10955;27390;10955>,<136949;2738;27390;10955;27390;10955>
94,<37050;741;7409;2963;7409;2963>,<37050;741;7409;2963;7409;2963>,<49400;988;9881;3952;9881;3952>,<74099;1482;14819;5928;14819;5928>,<98799;1975;19760;7903;19760;7903>,<138318;2765;27663;11065;27663;11065>,<138318;2765;27663;11065;27663;11065>
95,<37420;748;7483;2992;7483;2992>,<37420;748;7483;2992;7483;2992>,<49894;997;9979;3992;9979;3992>,<74840;1497;14967;5988;14967;5988>,<99787;1995;19958;7982;19958;7982>,<139701;2793;27940;11175;27940;11175>,<139701;2793;27940;11175;27940;11175>
96,<37794;756;7558;3022;7558;3022>,<37794;756;7558;3022;7558;3022>,<50392;1007;10079;4032;10079;4032>,<75589;1512;15117;6047;15117;6047>,<100785;2015;20157;8062;20157;8062>,<141098;2820;28219;11287;28219;11287>,<141098;2820;28219;11287;28219;11287>
97,<38172;763;7634;3052;7634;3052>,<38172;763;7634;3052;7634;3052>,<50896;1017;10180;4072;10180;4072>,<76345;1527;15268;6108;15268;6108>,<101793;2035;20359;8143;20359;8143>,<142509;2849;28502;11400;28502;11400>,<142509;2849;28502;11400;28502;11400>
98,<38554;771;7710;3083;7710;3083>,<38554;771;7710;3083;7710;3083>,<51405;1028;10282;4113;10282;4113>,<77108;1542;15421;6169;15421;6169>,<102811;2055;20562;8224;20562;8224>,<143934;2877;28787;11514;28787;11514>,<143934;2877;28787;11514;28787;11514>
99,<38940;779;7787;3114;7787;3114>,<38940;779;7787;3114;7787;3114>,<51919;1038;10385;4154;10385;4154>,<77879;1557;15575;6231;15575;6231>,<103839;2076;20768;8307;20768;8307>,<145374;2906;29075;11629;29075;11629>,<145374;2906;29075;11629;29075;11629>
100,<39329;786;7865;3145;7865;3145>,<39329;786;7865;3145;7865;3145>,<52439;1048;10488;4195;10488;4195>,<78658;1573;15731;6293;15731;6293>,<104877;2097;20976;8390;20976;8390>,<146827;2935;29365;11745;29365;11745>,<146827;2935;29365;11745;29365;11745>
101,<39722;794;7944;3176;7944;3176>,<39722;794;7944;3176;7944;3176>,<52963;1059;10593;4237;10593;4237>,<79445;1589;15888;6356;15888;6356>,<105926;2118;21185;8474;21185;8474>,<148296;2964;29659;11863;29659;11863>,<148296;2964;29659;11863;29659;11863>
102,<40119;802;8023;3208;8023;3208>,<40119;802;8023;3208;8023;3208>,<53493;1069;10699;4280;10699;4280>,<80239;1605;16047;6420;16047;6420>,<106985;2139;21397;8558;21397;8558>,<149779;2994;29956;11982;29956;11982>,<149779;2994;29956;11982;29956;11982>
103,<40521;810;8103;3240;8103;3240>,<40521;810;8103;3240;8103;3240>,<54028;1080;10806;4322;10806;4322>,<81041;1621;16208;6484;16208;6484>,<108055;2160;21611;8644;21611;8644>,<151276;3024;30255;12101;30255;12101>,<151276;3024;30255;12101;30255;12101>
104,<40926;818;8184;3273;8184;3273>,<40926;818;8184;3273;8184;3273>,<54568;1091;10914;4366;10914;4366>,<81852;1637;16370;6549;16370;6549>,<109136;2182;21827;8730;21827;8730>,<152789;3054;30558;12222;30558;12222>,<152789;3054;30558;12222;30558;12222>
