变量名,_yyId,_beizhu,card1,res1,resScale1,resPos1,titleRes1,posRes1,card2,res2,resScale2,resPos2,titleRes2,posRes2
默认值,,,,,1,{x=0;y=0},"""""","""""",,,1,{x=0;y=0},"""""",""""""
11,,,1981,config/big_hero/normal/img_384_lkz@.png,2.33,{y=0;x=0},common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,{y=0;x=0},common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
12,,,1961,config/big_hero/normal/img_382_gok@.png,2,{y=0;x=0},common/txt/txt_gok.png,common/txt/txt_dw_gok.png,2361,config/big_hero/normal/img_484_plqy@.png,2.33,{y=0;x=0},common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png
13,,,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png
14,,,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,{y=0;x=0},common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
15,,,2441,config/big_hero/normal/img_492_xm@.png,2,{y=0;x=0},common/txt/txt_xm.png,common/txt/txt_dw_xm.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,{y=0;x=0},common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
16,,,1981,config/big_hero/normal/img_384_lkz@.png,2.33,{y=0;x=0},common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,1261,config/big_hero/normal/img_249_lqy@.png,2.618,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
17,,,3641,config/big_hero/normal/img_720_cjhp@.png,2,{y=0;x=0},common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,{y=0;x=0},common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
18,,,3211,config/big_hero/normal/img_643_lxlm@.png,2,{y=0;x=0},common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png,2361,config/big_hero/normal/img_484_plqy@.png,2.33,{y=0;x=0},common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png
19,,,1981,config/big_hero/normal/img_384_lkz@.png,2.33,{y=0;x=0},common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
20,,,3221,config/big_hero/normal/img_644_jklm@.png,2,{y=0;x=0},common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,{y=0;x=0},common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png
21,,,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png
22,,,1961,config/big_hero/normal/img_382_gok@.png,2,{y=0;x=0},common/txt/txt_gok.png,common/txt/txt_dw_gok.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,{y=0;x=0},common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
23,,,3241,config/big_hero/normal/img_646_qlm@.png,2,{y=0;x=0},common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png,2441,config/big_hero/normal/img_492_xm@.png,2,{y=0;x=0},common/txt/txt_xm.png,common/txt/txt_dw_xm.png
24,,,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,{y=0;x=0},common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png
25,,,1961,config/big_hero/normal/img_382_gok@.png,2,{y=0;x=0},common/txt/txt_gok.png,common/txt/txt_dw_gok.png,1261,config/big_hero/normal/img_249_lqy@.png,2.618,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
26,,,3261,config/big_hero/normal/img_648_mlyt@.png,2,{y=0;x=0},common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png,3641,config/big_hero/normal/img_720_cjhp@.png,2,{y=0;x=0},common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png
27,,,1991,config/big_hero/normal/img_385_jlq@.png,2,{y=0;x=0},common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,{y=0;x=0},common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
28,,,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png,1261,config/big_hero/normal/img_249_lqy@.png,2.14,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
29,,,2361,config/big_hero/normal/img_484_plqy@.png,2.33,{y=0;x=0},common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
30,,,4171,config/big_hero/normal/img_809_mlmt@.png,2,{y=0;x=0},common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3221,config/big_hero/normal/img_644_jklm@.png,2,{y=0;x=0},common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png
31,,,1981,config/big_hero/normal/img_384_lkz@.png,2.33,{y=0;x=0},common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png
32,,,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,{y=0;x=0},common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,{y=0;x=0},common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
33,,,3611,config/big_hero/normal/img_717_ypete@.png,2,{y=0;x=0},common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,3241,config/big_hero/normal/img_646_qlm@.png,2,{y=0;x=0},common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png
34,,,1961,config/big_hero/normal/img_382_gok@.png,2,{y=0;x=0},common/txt/txt_gok.png,common/txt/txt_dw_gok.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png
35,,,2441,config/big_hero/normal/img_492_xm@.png,2,{y=0;x=0},common/txt/txt_xm.png,common/txt/txt_dw_xm.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,{y=0;x=0},common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
36,,,1281,config/big_hero/normal/img_251_slb@.png,2,{y=0;x=0},common/txt/txt_slb.png,common/txt/txt_dw_slb.png,3261,config/big_hero/normal/img_648_mlyt@.png,2,{y=0;x=0},common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png
37,,,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,,,1,{y=0;x=0},,
38,,,2461,config/big_hero/normal/img_494_bktn@.png,1.6,{y=0;x=0},common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png,2421,config/big_hero/normal/img_490_mnf@.png,2,{y=0;x=0},common/txt/txt_mnf.png,common/txt/txt_dw_mnf.png
39,,,4111,config/big_hero/normal/img_801_mjyn@.png,1.6,{y=0;x=0},common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,4121,config/big_hero/normal/img_802_mxd@.png,2,{y=0;x=0},common/txt/txt_mxd.png,common/txt/txt_dw_mxd.png
40,,,3621,config/big_hero/normal/img_718_jged100@.png,1.6,{y=0;x=0},common/txt/txt_jged.png,common/txt/txt_dw_jged.png,,,1,{y=0;x=0},,
41,,,4161,config/big_hero/normal/img_807_jlal@.png,1.6,{y=0;x=0},common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png,4023,config/big_hero/normal/img_791_sejlo@.png,2,{y=0;x=0},common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png
42,,,4024,config/big_hero/normal/img_792_lnyl@.png,1.6,{y=0;x=0},common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png,7101,config/big_hero/normal/img_889_zmrt@.png,2,{y=0;x=0},common/txt/txt_zmrt.png,common/txt/txt_dw_zmrt.png
43,,帝牙卢卡 时拉比,2351,config/big_hero/normal/img_483_dylk@.png,2.33,{y=0;x=0},common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png,1281,config/big_hero/normal/img_251_slb@.png,2,{y=0;x=0},common/txt/txt_slb.png,common/txt/txt_dw_slb.png
44,,雷吉奇卡斯  谢米,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,{y=0;x=0},common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png,2441,config/big_hero/normal/img_492_xm@.png,2,{y=0;x=0},common/txt/txt_xm.png,common/txt/txt_dw_xm.png
45,,裂空座 盖欧卡,1981,config/big_hero/normal/img_384_lkz@.png,2.33,{y=0;x=0},common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,1961,config/big_hero/normal/img_382_gok@.png,2,{y=0;x=0},common/txt/txt_gok.png,common/txt/txt_dw_gok.png
46,,捷克罗姆 酋雷姆,3221,config/big_hero/normal/img_644_jklm@.png,2,{y=0;x=0},common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png,3241,config/big_hero/normal/img_646_qlm@.png,2,{y=0;x=0},common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png
47,,莱希拉姆 基拉祈,3211,config/big_hero/normal/img_643_lxlm@.png,2,{y=0;x=0},common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png,1991,config/big_hero/normal/img_385_jlq@.png,2,{y=0;x=0},common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png
48,,洛奇亚 哲尔尼亚斯,1261,config/big_hero/normal/img_249_lqy@.png,2.618,{y=0;x=0},common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png,3601,config/big_hero/normal/img_716_zenys@.png,2,{y=0;x=0},common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png
49,,固拉多 比克提尼,1971,config/big_hero/normal/img_383_gld@.png,2.618,{y=0;x=0},common/txt/txt_gld.png,common/txt/txt_dw_gld.png,2461,config/big_hero/normal/img_494_bktn@.png,1.6,{y=0;x=0},common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
50,,美洛耶塔 胡帕,3261,config/big_hero/normal/img_648_mlyt@.png,2,{y=0;x=0},common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png,3641,config/big_hero/normal/img_720_cjhp@.png,2,{y=0;x=0},common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png
51,,美录坦 伊裴尔塔尔,4171,config/big_hero/normal/img_809_mlmt@.png,2,{y=0;x=0},common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3611,config/big_hero/normal/img_717_ypete@.png,2,{y=0;x=0},common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png
52,,蒂安希 盖洛赛克特,3631,config/big_hero/standby/img_719_dax@.png,2.33,{y=0;x=0},common/txt/txt_dax.png,common/txt/txt_dw_dax.png,3271,config/big_hero/normal/img_649_gnskt@.png,2,{y=0;x=0},common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png
53,,骑拉帝纳 达克莱伊,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,{y=0;x=0},common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,{y=0;x=0},common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
