变量名,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder ,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control
1231,5013,,,,<0.2;0.2;0.3;0.3>,,<0;133.3;133.3;133.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
1232,5091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,<{hide=true;delay=2100;lastTime=2533.33}>,,,,<90;5092>,,TRUE,,
1233,5092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-1;offsetX=-550;lastTime=4900;delay=0;aniName=huokonglong_skill2},,,TRUE,,
1311,6001,,,,<0.25;0.25;0.25;0.25>,,<0;133.3;366.6;133.3>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1321,6005,,,,<0.5;0.5>,,<200;1633.3>,{isRepeat=true;disy=30;endT=200;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1322,6081,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{t=100;x=100;delay=800;y=100};{t=200;x=300;delay=900;y=1500};{t=100;x=100;delay=1100;y=4500};{t=0;x=-400;delay=1600;y=1050};{t=116.67;x=0;delay=1650;y=600};{t=100;x=400;delay=1766.67;y=1200};{t=0;x=-900;delay=2350;y=1200};{t=166.67;x=0;delay=2400;y=0}>,,,,,,,FALSE,,{lifeBar={show=true}}
1331,6007,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;100;166.6;166.6;166.6;166.6;166.6>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
1332,6091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{t=0;scale=1;delay=0;teamClose=0.5;x=-400};{absY=-150;scale=1;delay=100;t=0};{t=1000;x=-300;delay=6300};{t=1000;absY=500;delay=6300}>,<{hide=true;delay=0;lastTime=6500}>,,,,<90;6092;6093>,,TRUE,,
1333,6092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;offsetY=-490;addTolayer=-1;aniLoop=false;zorder=19;offsetX=0;lastTime=8266.67;aniName=penhuolong_skill2},,,TRUE,,
1334,6093,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=false;zorder=99;offsetX=0;lastTime=8233.33;aniName=penhuolong_skill2},,,TRUE,,
1411,6101,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1421,6102,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;166.6;166.6;166.6;166.6;233.3>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1431,6108,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
1432,6191,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,<{zorder=0;delay=6500;lastTime=3000}>,<{t=0;x=-150;delay=6000;absY=400}>,<{scale=1.3;lastTime=6333.3;hide=true;delay=0}>,,,,<90;6192;6193;6194>,,TRUE,,
1433,6192,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/senlin.skel,{scale=0.66;screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=false;zorder=99;offsetX=0;lastTime=8266.67;aniName=penhuolongmegax_skill2},,,TRUE,,
1434,6193,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/huangtu.skel,{scale=0.66;screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=false;zorder=59;offsetX=0;lastTime=8266.67;aniName=penhuolongmegax_skill2},,,TRUE,,
1435,6194,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong.skel,{scale=0.66;screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=false;zorder=19;offsetX=0;lastTime=8266.67;aniName=penhuolongmegax_skill2},,,TRUE,,
1511,6201,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
1521,6202,,,,<0.2;0.3;0.5>,,<0;500;760>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{t=80;x=0;delay=80;y=350};{t=150;x=0;delay=160;y=530};{t=190;x=0;delay=310;y=300};{t=160;x=-800;delay=500;y=1200};{t=0;x=0;delay=800;y=1200};{t=220;x=0;delay=1000;y=0}>,,,,,,,FALSE,,{lifeBar={show=true}}
1531,6208,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
1532,1,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,<{scale=1;lastTime=9666.6;hide=true;delay=0}>,,,,<90;6292;6293;6294>,,TRUE,,
1533,6293,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/shanlin.skel,{screenPos=0;offsetY=150;addTolayer=1;aniLoop=false;zorder=50;offsetX=0;lastTime=9666.6;aniName=penhuolongmegay_skill2},,,TRUE,,
1534,6292,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;offsetY=-280;addTolayer=1;aniLoop=false;zorder=99;offsetX=-170;lastTime=9666.6;aniName=penhuolongmegay_skill2_qian},,,TRUE,,
1535,6294,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;offsetY=-280;addTolayer=-1;aniLoop=false;zorder=1;offsetX=-170;lastTime=9666.6;aniName=penhuolongmegay_skill2_hou},,,TRUE,,
2111,7001,,,,<0.3;0.3;0.4>,,<0;166.6;200>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2121,7004,,,,<1>,,<0>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2131,7005,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
2132,7091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,<{hide=true;delay=0;lastTime=1000}>,,,,<90;7092>,,TRUE,,
2133,7092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-1;offsetX=0;lastTime=3000;delay=0;aniName=jienigui_skill2},,,TRUE,,
2211,8001,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2221,8002,,,,<1>,,<0>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2231,8003,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;200;200;200;200;233.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
2232,8091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{t=0;absX=1900;delay=5000}>,<{hide=true;delay=0;lastTime=5500}>,,,,<90;8092;8093>,,TRUE,,
2233,8092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-50;offsetX=0;lastTime=6266.6;delay=0;aniName=kamigui_skill2},,,TRUE,,
2234,8093,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=-1;offsetX=0;lastTime=6266.6;delay=0;aniName=kamigui_skill2},,,TRUE,,
2311,9001,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2321,9002,,,,<0.5;0.5>,,<0;633.3>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2331,9004,,,,<0.25;0.25;0.25;0.25>,,<0;100;100;100>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
2332,9091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,<90;9092;9093>,{bones=<hitman_move1;hitman_move2;hitman_move3>},TRUE,,
2333,9092,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/tiankong.skel,{scale=0.75;screenPos=0;offsetY=-200;addTolayer=-1;aniLoop=false;zorder=99;offsetX=-100;lastTime=9000;delay=0;aniName=shuijiangui_skill2},,,TRUE,,
2334,9093,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/huangtu.skel,{scale=0.8;screenPos=0;offsetY=-180;addTolayer=-1;aniLoop=false;zorder=99;offsetX=-330;lastTime=9000;delay=0;aniName=shuijiangui_skill2},,,TRUE,,
2411,9101,,,,<0.3;0.3;0.4>,,<0;233.3;1200>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2421,9104,,,,<0.5;0.5>,,<0;1700>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
2431,9106,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;4600;366.6;466.6;400;533.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
2432,1,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{t=0;scale=1;delay=0;teamClose=1.4}>,<{scale=1;lastTime=1332;hide=true;delay=0};{scale=1;lastTime=3596.4;hide=true;delay=2664}>,,,,<90;9192;9193>,{bones=<hitman_move>},TRUE,,
2433,9192,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=0.7;screenPos=0;offsetY=-200;addTolayer=-1;aniLoop=false;zorder=99;offsetX=-100;lastTime=8666.66;delay=0;aniName=shuijianguimega_skill2},,,TRUE,,
2434,9193,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/shandi.skel,{scale=0.66;screenPos=0;offsetY=80;addTolayer=-1;aniLoop=false;zorder=-1;offsetX=0;lastTime=8666.66;delay=0;aniName=shuijianguimega_skill2},,,TRUE,,
3111,10001,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3121,10002,,,,<0.3;0.3;0.4>,,<0;300;300>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3131,10005,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333.3;333.3;333.3;333.3;333.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
3132,10091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_lvmaochong/sixian.skel,{scale=0.66;screenPos=0;offsetY=-150;addTolayer=-1;aniLoop=false;zorder=99;offsetX=-180;lastTime=4666.6;delay=0;aniName=lvmaochong_skill2},,,TRUE,,
3311,12001,,,,<1>,,<0>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3321,12002,,,,<0.3;0.3;0.4>,,<0;100;200>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
3331,12005,,,,<0.25;0.25;0.25;0.25>,,<0;500;800;800>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
4311,15001,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4321,15004,,,,<1>,,<0>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4331,15005,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;66.6;66.6;100;66.6;66.6;766.6>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
4411,15101,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;166.6;133.3;800>,{isRepeat=true;disy=10;endT=100;beginT=0;interval=0;count=1;disx=10},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4421,15106,,,,<1>,,<0>,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
4431,15107,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;200;66.6;100;233.3;133.3;133.3>,{isRepeat=true;disy=30;endT=100;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
4432,15191,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{absY=500;scale=1;delay=5000;absX=1320;t=0}>,<{hide=true;delay=0;lastTime=8100}>,,,,<90;15192>,,TRUE,,
4433,15192,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=false;zorder=99;offsetX=0;lastTime=8333.3;delay=0;aniName=dazhenfengmega_skill2},,,TRUE,,
5111,16001,,,,<1>,,<0>,{disy=25;endT=150;beginT=0;interval=100;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5121,16002,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;160;160;160;160;160;160;160>,{disy=5;endT=100;beginT=0;interval=160;count=9;disx=5},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5131,16012,,,,<0.095;0.105;0.12;0.14;0.16;0.18;0.2>,,<0;633.33;233.33;366.67;266.67;333.33;266.67>,{isRepeat=true;disy=20;endT=150;beginT=0;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
5132,16013,,,,,,,{disy=30;endT=1700;beginT=1500;interval=0;count=1;disx=20},,,,,,,,,,TRUE,,
5211,17001,,,,<1>,,<0>,{disy=25;endT=150;beginT=0;interval=100;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5221,17002,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;266.67;166.67;200;200>,{disy=5;endT=100;beginT=0;interval=200;count=5;disx=5},,,,,,,,,,FALSE,,{lifeBar={show=true}}
5231,17007,,,,<1>,,<0>,{disy=30;endT=200;beginT=0;interval=100;count=2;disx=20},,,,,,,,,,TRUE,,
5232,17091,,,,,,,{isRepeat=true;disy=20;endT=100;beginT=0;interval=0;count=1;disx=15},,,<{t=1300;scale=1;delay=1500;y=600;x=2300};{t=0;scale=1;delay=3100;y=2160;x=0};{t=0;scale=1;delay=3300;y=0;x=0}>,<{hide=true;delay=3000;lastTime=1000}>,,,,,,TRUE,,
5311,18001,,,,<1>,,<0>,{disy=25;endT=150;beginT=0;interval=100;count=1;disx=15},,,,,,,,,,FALSE,,{lifeBar={show=true}}
