变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
383,221,,,,,10,8,1.68%,0,
384,221,,,,,11,8,2%,0,
385,221,,,,,12,8,2.40%,0,
386,221,,,,,13,8,2.80%,0,
387,221,,,,,14,8,3.20%,0,
388,221,,,,,15,8,3.60%,0,
389,221,,,,,16,8,4.00%,0,
390,221,,,,,17,8,4.50%,0,
391,221,,,,,18,8,5.00%,0,
392,231,,,,,1,9,0%,0,
393,231,,,,,2,9,0.04%,0,
394,231,,,,,3,9,0.06%,0,
395,231,,,,,4,9,0.08%,0,
396,231,,,,,5,9,0.12%,0,
397,231,,,,,6,9,0.18%,0,
398,231,,,,,7,9,0.24%,0,
399,231,,,,,8,9,0.32%,0,
400,231,,,,,9,9,0.40%,0,
401,231,,,,,10,9,0.50%,0,
402,231,,,,,11,9,0.60%,0,
403,231,,,,,12,9,0.72%,0,
404,231,,,,,13,9,0.80%,0,
405,231,,,,,14,9,0.90%,0,
406,231,,,,,15,9,1.00%,0,
407,231,,,,,16,9,1.10%,0,
408,231,,,,,17,9,1.30%,0,
409,231,,,,,18,9,1.60%,0,
410,241,,,,,1,7,0%,0,
411,241,,,,,2,7,0%,0,
412,241,,,,,3,7,0.10%,0,
413,241,,,,,4,7,0.25%,0,
414,241,,,,,5,7,0.40%,0,
415,241,,,,,6,7,0.70%,0,
416,241,,,,,7,7,1%,0,
417,241,,,,,8,7,1.30%,0,
418,241,,,,,9,7,1.75%,0,
419,241,,,,,10,7,2.20%,0,
420,241,,,,,11,7,2.65%,0,
421,241,,,,,12,7,3.25%,0,
422,241,,,,,13,7,3.85%,0,
423,241,,,,,14,7,4.45%,0,
424,241,,,,,15,7,5.05%,0,
425,241,,,,,16,7,5.65%,0,
426,241,,,,,17,7,6.25%,0,
427,241,,,,,18,7,6.85%,0,
428,251,,,,,1,1,0%,0,
429,251,,,,,2,1,0.06%,0,
430,251,,,,,3,1,0.11%,0,
431,251,,,,,4,1,0.17%,0,
432,251,,,,,5,1,0.28%,0,
433,251,,,,,6,1,0.39%,0,
434,251,,,,,7,1,0.56%,0,
435,251,,,,,8,1,0.73%,0,
436,251,,,,,9,1,0.95%,0,
437,251,,,,,10,1,1.18%,0,
438,251,,,,,11,1,1.40%,0,
439,251,,,,,12,1,1.68%,0,
440,251,,,,,13,1,2.00%,0,
441,251,,,,,14,1,2.40%,0,
442,251,,,,,15,1,2.80%,0,
443,251,,,,,16,1,3.20%,0,
444,251,,,,,17,1,3.80%,0,
445,251,,,,,18,1,4.20%,0,
446,261,,,,,1,1,0%,0,
447,261,,,,,2,1,0%,0,
448,261,,,,,3,1,0.07%,0,
449,261,,,,,4,1,0.18%,0,
450,261,,,,,5,1,0.28%,0,
451,261,,,,,6,1,0.49%,0,
452,261,,,,,7,1,0.70%,0,
453,261,,,,,8,1,0.91%,0,
454,261,,,,,9,1,1.23%,0,
455,261,,,,,10,1,1.54%,0,
456,261,,,,,11,1,1.86%,0,
457,261,,,,,12,1,2.28%,0,
458,261,,,,,13,1,2.70%,0,
459,261,,,,,14,1,3.12%,0,
460,261,,,,,15,1,3.54%,0,
461,261,,,,,16,1,3.96%,0,
462,261,,,,,17,1,4.38%,0,
463,261,,,,,18,1,4.80%,0,
464,271,,,,,1,7,0%,0,
465,271,,,,,2,7,0.08%,0,
466,271,,,,,3,7,0.16%,0,
467,271,,,,,4,7,0.24%,0,
468,271,,,,,5,7,0.40%,0,
469,271,,,,,6,7,0.56%,0,
470,271,,,,,7,7,0.80%,0,
471,271,,,,,8,7,1.04%,0,
472,271,,,,,9,7,1.36%,0,
473,271,,,,,10,7,1.68%,0,
474,271,,,,,11,7,2%,0,
475,271,,,,,12,7,2.40%,0,
476,271,,,,,13,7,2.80%,0,
477,271,,,,,14,7,3.20%,0,
478,271,,,,,15,7,3.60%,0,
479,271,,,,,16,7,4.00%,0,
480,271,,,,,17,7,4.50%,0,
481,271,,,,,18,7,5.00%,0,
482,281,,,,,1,8,0%,0,
483,281,,,,,2,8,0.08%,0,
484,281,,,,,3,8,0.16%,0,
485,281,,,,,4,8,0.24%,0,
486,281,,,,,5,8,0.40%,0,
487,281,,,,,6,8,0.56%,0,
488,281,,,,,7,8,0.80%,0,
489,281,,,,,8,8,1.04%,0,
490,281,,,,,9,8,1.36%,0,
491,281,,,,,10,8,1.68%,0,
492,281,,,,,11,8,2%,0,
493,281,,,,,12,8,2.40%,0,
494,281,,,,,13,8,2.80%,0,
495,281,,,,,14,8,3.20%,0,
496,281,,,,,15,8,3.60%,0,
497,281,,,,,16,8,4.00%,0,
498,281,,,,,17,8,4.50%,0,
499,281,,,,,18,8,5.00%,0,
500,291,,,,,1,0,0%,0,
501,291,,,,,2,0,0%,0,
502,291,,,,,3,0,0%,0,
503,291,,,,,4,0,0%,0,
504,291,,,,,5,0,0%,0,
505,291,,,,,6,0,0%,0,
506,291,,,,,7,0,0%,0,
507,291,,,,,8,0,0%,0,
508,291,,,,,9,0,0%,0,
509,291,,,,,10,0,0%,0,
510,291,,,,,11,0,0%,0,
511,291,,,,,12,0,0%,0,
512,301,,,,,1,9,0%,0,
513,301,,,,,2,9,0.08%,0,
514,301,,,,,3,9,0.16%,0,
515,301,,,,,4,9,0.24%,0,
516,301,,,,,5,9,0.40%,0,
517,301,,,,,6,9,0.56%,0,
518,301,,,,,7,9,0.80%,0,
519,301,,,,,8,9,1.04%,0,
520,301,,,,,9,9,1.36%,0,
521,301,,,,,10,9,1.68%,0,
522,301,,,,,11,9,2%,0,
523,301,,,,,12,9,2.40%,0,
524,301,,,,,13,9,2.80%,0,
525,301,,,,,14,9,3.20%,0,
526,301,,,,,15,9,3.60%,0,
527,301,,,,,16,9,4.00%,0,
528,301,,,,,17,9,4.50%,0,
529,301,,,,,18,9,5.00%,0,
530,311,,,,,1,0,0%,0,
531,311,,,,,2,0,0%,0,
532,311,,,,,3,0,0%,0,
533,311,,,,,4,0,0%,0,
534,311,,,,,5,0,0%,0,
535,311,,,,,6,0,0%,0,
536,311,,,,,7,0,0%,0,
537,311,,,,,8,0,0%,0,
538,311,,,,,9,0,0%,0,
539,311,,,,,10,0,0%,0,
540,311,,,,,11,0,0%,0,
541,311,,,,,12,0,0%,0,
542,321,,,,,1,10,0%,0,
543,321,,,,,2,10,0%,0,
544,321,,,,,3,10,0.10%,0,
545,321,,,,,4,10,0.25%,0,
546,321,,,,,5,10,0.40%,0,
547,321,,,,,6,10,0.70%,0,
548,321,,,,,7,10,1%,0,
549,321,,,,,8,10,1.30%,0,
550,321,,,,,9,10,1.75%,0,
551,321,,,,,10,10,2.20%,0,
552,321,,,,,11,10,2.65%,0,
553,321,,,,,12,10,3.25%,0,
554,321,,,,,13,10,3.85%,0,
555,321,,,,,14,10,4.45%,0,
556,321,,,,,15,10,5.05%,0,
557,321,,,,,16,10,5.65%,0,
558,321,,,,,17,10,6.25%,0,
559,321,,,,,18,10,6.85%,0,
560,331,,,,,1,10,0%,0,
561,331,,,,,2,10,0%,0,
562,331,,,,,3,10,0.10%,0,
563,331,,,,,4,10,0.25%,0,
564,331,,,,,5,10,0.40%,0,
565,331,,,,,6,10,0.70%,0,
566,331,,,,,7,10,1%,0,
567,331,,,,,8,10,1.30%,0,
568,331,,,,,9,10,1.75%,0,
569,331,,,,,10,10,2.20%,0,
570,331,,,,,11,10,2.65%,0,
571,331,,,,,12,10,3.25%,0,
572,331,,,,,13,10,3.85%,0,
573,331,,,,,14,10,4.45%,0,
574,331,,,,,15,10,5.05%,0,
575,331,,,,,16,10,5.65%,0,
576,331,,,,,17,10,6.25%,0,
577,331,,,,,18,10,6.85%,0,
578,341,,,,,1,13,0%,0,
579,341,,,,,2,13,0.08%,0,
580,341,,,,,3,13,0.16%,0,
581,341,,,,,4,13,0.24%,0,
582,341,,,,,5,13,0.40%,0,
583,341,,,,,6,13,0.56%,0,
584,341,,,,,7,13,0.80%,0,
585,341,,,,,8,13,1.04%,0,
586,341,,,,,9,13,1.36%,0,
587,341,,,,,10,13,1.68%,0,
588,341,,,,,11,13,2%,0,
589,341,,,,,12,13,2.40%,0,
590,341,,,,,13,13,2.80%,0,
591,341,,,,,14,13,3.20%,0,
592,341,,,,,15,13,3.60%,0,
593,341,,,,,16,13,4.00%,0,
594,341,,,,,17,13,4.50%,0,
595,341,,,,,18,13,5.00%,0,
596,351,,,,,1,1,0%,0,
597,351,,,,,2,1,0.03%,0,
598,351,,,,,3,1,0.04%,0,
599,351,,,,,4,1,0.06%,0,
600,351,,,,,5,1,0.08%,0,
601,351,,,,,6,1,0.13%,0,
602,351,,,,,7,1,0.17%,0,
603,351,,,,,8,1,0.22%,0,
604,351,,,,,9,1,0.28%,0,
605,351,,,,,10,1,0.35%,0,
606,351,,,,,11,1,0.42%,0,
607,351,,,,,12,1,0.50%,0,
608,351,,,,,13,1,0.60%,0,
609,351,,,,,14,1,0.70%,0,
610,351,,,,,15,1,0.80%,0,
611,351,,,,,16,1,1.00%,0,
612,351,,,,,17,1,1.20%,0,
613,351,,,,,18,1,1.40%,0,
614,361,,,,,1,0,0%,0,
615,361,,,,,2,0,0%,0,
616,361,,,,,3,0,0%,0,
617,361,,,,,4,0,0%,0,
618,361,,,,,5,0,0%,0,
619,361,,,,,6,0,0%,0,
620,361,,,,,7,0,0%,0,
621,361,,,,,8,0,0%,0,
622,361,,,,,9,0,0%,0,
623,361,,,,,10,0,0%,0,
624,361,,,,,11,0,0%,0,
625,361,,,,,12,0,0%,0,
626,371,,,,,1,9,0%,0,
627,371,,,,,2,9,0.08%,0,
628,371,,,,,3,9,0.16%,0,
629,371,,,,,4,9,0.24%,0,
630,371,,,,,5,9,0.40%,0,
631,371,,,,,6,9,0.56%,0,
632,371,,,,,7,9,0.80%,0,
633,371,,,,,8,9,1.04%,0,
634,371,,,,,9,9,1.36%,0,
635,371,,,,,10,9,1.68%,0,
636,371,,,,,11,9,2%,0,
637,371,,,,,12,9,2.40%,0,
638,371,,,,,13,9,2.80%,0,
639,371,,,,,14,9,3.20%,0,
640,371,,,,,15,9,3.60%,0,
641,371,,,,,16,9,4.00%,0,
642,371,,,,,17,9,4.50%,0,
643,371,,,,,18,9,5.00%,0,
644,381,,,,,1,7,0%,0,
645,381,,,,,2,7,0%,0,
646,381,,,,,3,7,0.10%,0,
647,381,,,,,4,7,0.25%,0,
648,381,,,,,5,7,0.40%,0,
649,381,,,,,6,7,0.70%,0,
650,381,,,,,7,7,1%,0,
651,381,,,,,8,7,1.30%,0,
652,381,,,,,9,7,1.75%,0,
653,381,,,,,10,7,2.20%,0,
654,381,,,,,11,7,2.65%,0,
655,381,,,,,12,7,3.25%,0,
656,381,,,,,13,7,3.85%,0,
657,381,,,,,14,7,4.45%,0,
658,381,,,,,15,7,5.05%,0,
659,381,,,,,16,7,5.65%,0,
660,381,,,,,17,7,6.25%,0,
661,381,,,,,18,7,6.85%,0,
662,391,,,,,1,13,0%,0,
663,391,,,,,2,13,0%,0,
664,391,,,,,3,13,0.10%,0,
665,391,,,,,4,13,0.25%,0,
666,391,,,,,5,13,0.40%,0,
667,391,,,,,6,13,0.70%,0,
668,391,,,,,7,13,1%,0,
669,391,,,,,8,13,1.30%,0,
670,391,,,,,9,13,1.75%,0,
671,391,,,,,10,13,2.20%,0,
672,391,,,,,11,13,2.65%,0,
673,391,,,,,12,13,3.25%,0,
674,391,,,,,13,13,3.85%,0,
675,391,,,,,14,13,4.45%,0,
676,391,,,,,15,13,5.05%,0,
677,391,,,,,16,13,5.65%,0,
678,391,,,,,17,13,6.25%,0,
679,391,,,,,18,13,6.85%,0,
680,401,,,,,1,9,0%,0,
681,401,,,,,2,9,0%,0,
682,401,,,,,3,9,0.10%,0,
683,401,,,,,4,9,0.25%,0,
684,401,,,,,5,9,0.40%,0,
685,401,,,,,6,9,0.70%,0,
686,401,,,,,7,9,1%,0,
687,401,,,,,8,9,1.30%,0,
688,401,,,,,9,9,1.75%,0,
689,401,,,,,10,9,2.20%,0,
690,401,,,,,11,9,2.65%,0,
691,401,,,,,12,9,3.25%,0,
692,401,,,,,13,9,3.85%,0,
693,401,,,,,14,9,4.45%,0,
694,401,,,,,15,9,5.05%,0,
695,401,,,,,16,9,5.65%,0,
696,401,,,,,17,9,6.25%,0,
697,401,,,,,18,9,6.85%,0,
698,411,,,,,1,0,0%,0,
699,411,,,,,2,0,0%,0,
700,411,,,,,3,0,0%,0,
701,411,,,,,4,0,0%,0,
702,411,,,,,5,0,0%,0,
703,411,,,,,6,0,0%,0,
704,411,,,,,7,0,0%,0,
705,411,,,,,8,0,0%,0,
