变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,vipWeight_kr,vipWeight_en,vipWeight_tw,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
102,,{23151=100;22721=100;20601=100;20261=100;21241=60;21081=60;21921=100;22821=60;21291=100;21841=100;22031=100;20731=60;22401=60;21501=100;23541=100;20491=100;23141=100;22241=60;23411=100;20591=100;21391=100;23351=100;23001=100;20331=100;23661=100;21231=60;20391=100;21071=100;21911=60;20771=60;21891=60;21811=100;23021=100;20881=100;21311=60;20721=60;22471=100;21251=60;20241=100;21171=100;22231=60;23591=100;20571=100;21931=100;20741=60;20401=100;20161=100;20631=100;21221=60;21421=100;22991=100;21901=60},3,{coin5=200},0,100,0,0,0,0,20990101,0,<1;250>,0,0,FALSE
111,,{22721=100;20601=100;20261=100;20731=0;21081=0;23411=100;21291=100;22031=100;21421=100;21501=100;21811=100;23141=100;20591=100;21391=100;23351=0;23001=100;20331=100;23661=100;20721=0;21071=100;21241=0;20571=100;20391=100;23541=100;21251=0;20881=100;21171=100;21311=0;21231=0;20491=100;23021=100;20741=0;22991=100;20241=100;20631=100;20161=100;21221=0;20401=100},3,{coin5=200},0,100,100,100,100,0,20990101,1,<1;250>,0,0,FALSE
112,,{23151=100;22721=100;20601=100;20261=100;21241=60;21081=60;21921=100;22821=60;21291=100;21841=100;22031=100;20731=60;22401=60;21501=100;23541=100;20491=100;23141=100;22241=60;23411=100;20591=100;21391=100;23351=100;23001=100;20331=100;23661=100;21231=60;20391=100;21071=100;21911=60;20771=60;21891=60;21811=100;23021=100;20881=100;21311=60;20721=60;22471=100;21251=60;20241=100;21171=100;22231=60;23591=100;20571=100;21931=100;20741=60;20401=100;20161=100;20631=100;21221=60;21421=100;22991=100;21901=60},3,{coin5=200},0,100,0,0,0,0,20990101,1,<1;250>,0,0,FALSE
121,,{22721=0;20601=100;20261=100;21241=40;20491=100;23411=100;22821=40;21291=100;21841=100;22031=100;21421=100;21501=100;23541=100;23141=100;20591=100;21391=100;23351=100;23001=100;20331=100;23661=100;21231=40;21071=100;20731=40;20571=100;20391=100;21891=40;21811=100;20881=100;21311=40;21251=40;20721=40;21171=100;22231=40;23021=100;20241=100;20741=40;22991=100;21221=40;20631=100;20161=100;20401=100;21081=40;21901=40},3,{coin5=200},0,0,100,100,100,0,20990101,2,<1;250>,0,0,FALSE
122,,{23151=100;22721=100;20601=100;20261=100;21241=60;21081=60;21921=100;22821=60;21291=100;21841=100;22031=100;20731=60;22401=60;21501=100;23541=100;20491=100;23141=100;22241=60;23411=100;20591=100;21391=100;23351=100;23001=100;20331=100;23661=100;21231=60;20391=100;21071=100;21911=60;20771=60;21891=60;21811=100;23021=100;20881=100;21311=60;20721=60;22471=100;21251=60;20241=100;21171=100;22231=60;23591=100;20571=100;21931=100;20741=60;20401=100;20161=100;20631=100;21221=60;21421=100;22991=100;21901=60},3,{coin5=200},0,100,0,0,0,0,20990101,2,<1;250>,0,0,FALSE
126,,{22721=0;20601=100;20261=100;21241=40;20491=100;23411=100;22821=40;21291=100;21841=100;22031=100;21421=100;21501=100;23541=100;23141=100;20591=100;21391=100;23351=100;23001=100;20331=100;23661=100;21231=40;21071=100;20731=40;20571=100;20391=100;21891=40;21811=100;20881=100;21311=40;21251=40;20721=40;21171=100;22231=40;23021=100;20241=100;20741=40;22991=100;21221=40;20631=100;20161=100;20401=100;21081=40;21901=40},3,{coin5=200},0,0,100,100,100,0,20990101,3,<1;250>,0,0,FALSE
127,,{23151=100;22721=100;20601=100;20261=100;21241=60;21081=60;21921=100;22821=60;21291=100;21841=100;22031=100;20731=60;22401=60;21501=100;23541=100;20491=100;23141=100;22241=60;23411=100;20591=100;21391=100;23351=100;23001=100;20331=100;23661=100;21231=60;20391=100;21071=100;21911=60;20771=60;21891=60;21811=100;23021=100;20881=100;21311=60;20721=60;22471=100;21251=60;20241=100;21171=100;22231=60;23591=100;20571=100;21931=100;20741=60;20401=100;20161=100;20631=100;21221=60;21421=100;22991=100;21901=60},3,{coin5=200},0,100,0,0,0,0,20990101,3,<1;250>,0,0,FALSE
131,,{20371=100;22961=100;20131=100;20051=100;22301=100;20341=100;22611=100;23281=100;20021=100;20471=100;20781=100;22271=100;20151=100;22871=100;22481=100;20281=100;23471=100;23011=100;22841=100;23511=0;23431=100;22631=100;20801=100;22681=100;22891=100;21441=100;21861=100;20301=100;22011=100;20691=100;22922=100;20011=100;20461=100;20221=100;21801=100;20481=100;20271=100;20551=100;22071=100;22921=100;23291=100;23341=100;23501=100;21851=100;20791=100;22591=100;20091=100;21611=100;20001=100},5,{coin5=150},0,100,100,100,100,0,20990101,4,<1;250>,0,0,FALSE
201,,{20371=100;22961=100;20131=100;20051=100;22301=100;20341=100;22611=100;23281=100;20021=100;20471=100;20781=100;22271=100;20151=100;22871=100;22481=100;20281=100;23471=100;23011=100;22841=100;23511=0;23431=100;22631=100;20801=100;22681=100;22891=100;21441=100;21861=100;20301=100;22011=100;20691=100;22922=100;20011=100;20461=100;20221=100;21801=100;20481=100;20271=100;20551=100;22071=100;22921=100;23291=100;23341=100;23501=100;21851=100;20791=100;22591=100;20091=100;21611=100;20001=100},5,{coin5=150},0,100,100,100,100,0,20990101,5,<1;250>,0,0,FALSE
202,,{20371=100;22961=100;20131=100;20051=100;22301=100;20341=100;22611=100;23281=100;20021=100;20471=100;20781=100;22271=100;20151=100;22871=100;22481=100;20281=100;23471=100;23011=100;22841=100;23511=0;23431=100;22631=100;20801=100;22681=100;22891=100;21441=100;21861=100;20301=100;22011=100;20691=100;22922=100;20011=100;20461=100;20221=100;21801=100;20481=100;20271=100;20551=100;22071=100;22921=100;23291=100;23341=100;23501=100;21851=100;20791=100;22591=100;20091=100;21611=100;20001=100},5,{coin5=150},0,100,100,100,100,0,20990101,6,<1;250>,0,0,FALSE
203,,{20451=100;21351=100;20171=0;20891=100;20101=100;20061=100;20351=100;20231=100;20191=100;20111=100;20541=100;20031=100;23561=100;20071=100;20041=100;20121=100;20081=100},5,{coin5=80},0,100,100,100,100,0,20990101,7,<1;250>,0,0,FALSE
204,,{20451=100;21351=100;20171=0;20891=100;20101=100;20061=100;20351=100;20231=100;20191=100;20111=100;20541=100;20031=100;23561=100;20071=100;20041=100;20121=100;20081=100},5,{coin5=80},0,100,100,100,100,0,20990101,8,<1;250>,0,0,FALSE
