变量名,effortSeqID,needLevel,advance,advanceLimit,advanceLimit_kr,advanceLimit_en,advanceLimit_tw,hp,speed,damage,defence,specialDamage,specialDefence,attrEffect
1125,3,165,25,20,20,20,20,42000,1040,8860,3580,8860,3580,69%
1126,3,170,26,20,20,20,20,44000,1090,9280,3750,9280,3750,73%
1127,3,175,27,20,20,20,20,46000,1140,9700,3920,9700,3920,77%
1128,3,180,28,20,20,20,20,48000,1190,10120,4090,10120,4090,81%
1129,3,185,29,20,20,20,20,50000,1240,10540,4260,10540,4260,85%
1130,3,190,30,20,20,20,20,52000,1290,10960,4430,10960,4430,89%
1131,3,195,31,20,20,20,20,54000,1340,11380,4600,11380,4600,93%
1132,3,200,32,20,20,20,20,56000,1390,11800,4770,11800,4770,97%
11101,4,1,1,32,32,32,32,2000,50,430,170,430,170,0
11102,4,10,2,32,32,32,32,2400,60,510,210,510,210,2%
11103,4,20,3,32,32,32,32,3000,70,640,260,640,260,4%
11104,4,30,4,32,32,32,32,3800,90,810,330,810,330,6%
11105,4,40,5,32,32,32,32,4000,100,850,340,850,340,8%
11106,4,50,6,32,32,32,32,5200,120,1110,440,1110,440,10%
11107,4,60,7,32,32,32,32,6600,160,1410,560,1410,560,12%
11108,4,70,8,32,32,32,32,8200,200,1750,700,1750,700,14%
11109,4,80,9,32,32,32,32,10000,240,2140,860,2140,860,17%
11110,4,90,10,32,32,32,32,12000,290,2560,1030,2560,1030,20%
11111,4,95,11,32,32,32,32,14000,340,2980,1200,2980,1200,23%
11112,4,100,12,32,32,32,32,16000,390,3400,1370,3400,1370,26%
11113,4,105,13,32,32,32,32,18000,440,3820,1540,3820,1540,29%
11114,4,110,14,32,32,32,32,20000,490,4240,1710,4240,1710,32%
11115,4,115,15,32,32,32,32,22000,540,4660,1880,4660,1880,35%
11116,4,120,16,32,32,32,32,24000,590,5080,2050,5080,2050,38%
11117,4,125,17,32,32,32,32,26000,640,5500,2220,5500,2220,41%
11118,4,130,18,32,32,32,32,28000,690,5920,2390,5920,2390,44%
11119,4,135,19,32,32,32,32,30000,740,6340,2560,6340,2560,47%
11120,4,140,20,32,32,32,32,32000,790,6760,2730,6760,2730,50%
11121,4,145,21,32,32,32,32,34000,840,7180,2900,7180,2900,53%
11122,4,150,22,32,32,32,32,36000,890,7600,3070,7600,3070,57%
11123,4,155,23,32,32,32,32,38000,940,8020,3240,8020,3240,61%
11124,4,160,24,32,32,32,32,40000,990,8440,3410,8440,3410,65%
11125,4,165,25,32,32,32,32,42000,1040,8860,3580,8860,3580,69%
11126,4,170,26,32,32,32,32,44000,1090,9280,3750,9280,3750,73%
11127,4,175,27,32,32,32,32,46000,1140,9700,3920,9700,3920,77%
11128,4,180,28,32,32,32,32,48000,1190,10120,4090,10120,4090,81%
11129,4,185,29,32,32,32,32,50000,1240,10540,4260,10540,4260,85%
11130,4,190,30,32,32,32,32,52000,1290,10960,4430,10960,4430,89%
11131,4,195,31,32,32,32,32,54000,1340,11380,4600,11380,4600,93%
11132,4,200,32,32,32,32,32,56000,1390,11800,4770,11800,4770,97%
111101,5,1,1,32,32,32,32,2000,50,430,170,430,170,0
111102,5,10,2,32,32,32,32,2400,60,510,210,510,210,2%
111103,5,20,3,32,32,32,32,3000,70,640,260,640,260,4%
111104,5,30,4,32,32,32,32,3800,90,810,330,810,330,6%
111105,5,40,5,32,32,32,32,4000,100,850,340,850,340,8%
111106,5,50,6,32,32,32,32,5200,120,1110,440,1110,440,10%
111107,5,60,7,32,32,32,32,6600,160,1410,560,1410,560,12%
111108,5,70,8,32,32,32,32,8200,200,1750,700,1750,700,14%
111109,5,80,9,32,32,32,32,10000,240,2140,860,2140,860,17%
111110,5,90,10,32,32,32,32,12000,290,2560,1030,2560,1030,20%
111111,5,95,11,32,32,32,32,14000,340,2980,1200,2980,1200,23%
111112,5,100,12,32,32,32,32,16000,390,3400,1370,3400,1370,26%
111113,5,105,13,32,32,32,32,18000,440,3820,1540,3820,1540,29%
111114,5,110,14,32,32,32,32,20000,490,4240,1710,4240,1710,32%
111115,5,115,15,32,32,32,32,22000,540,4660,1880,4660,1880,35%
111116,5,120,16,32,32,32,32,24000,590,5080,2050,5080,2050,38%
111117,5,125,17,32,32,32,32,26000,640,5500,2220,5500,2220,41%
111118,5,130,18,32,32,32,32,28000,690,5920,2390,5920,2390,44%
111119,5,135,19,32,32,32,32,30000,740,6340,2560,6340,2560,47%
111120,5,140,20,32,32,32,32,32000,790,6760,2730,6760,2730,50%
111121,5,145,21,32,32,32,32,34000,840,7180,2900,7180,2900,53%
111122,5,150,22,32,32,32,32,36000,890,7600,3070,7600,3070,57%
111123,5,155,23,32,32,32,32,38000,940,8020,3240,8020,3240,61%
111124,5,160,24,32,32,32,32,40000,990,8440,3410,8440,3410,65%
111125,5,165,25,32,32,32,32,42000,1040,8860,3580,8860,3580,69%
111126,5,170,26,32,32,32,32,44000,1090,9280,3750,9280,3750,73%
111127,5,175,27,32,32,32,32,46000,1140,9700,3920,9700,3920,77%
111128,5,180,28,32,32,32,32,48000,1190,10120,4090,10120,4090,81%
111129,5,185,29,32,32,32,32,50000,1240,10540,4260,10540,4260,85%
111130,5,190,30,32,32,32,32,52000,1290,10960,4430,10960,4430,89%
111131,5,195,31,32,32,32,32,54000,1340,11380,4600,11380,4600,93%
111132,5,200,32,32,32,32,32,56000,1390,11800,4770,11800,4770,97%
