变量名,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames_tw,storyNames_en,weatherTypeId
13,10105,,1,<51351;0;51351;50803;0;50803>,,FALSE,,,,0.9,0.5,1,1,1,1,stage/ty.csv,<<0;10081>>,<>,<>,<>,<>,<>,
14,10105,,2,<0;0;0;0;183303;0>,<0;0;0;0;1;0>,TRUE,,,,0.9,0.5,0.65,0.65,0.8,0.8,stage/sl.csv,<>,<>,<>,<>,<>,<>,
16,10201,,1,<50592;0;50592;52012;0;52012>,,FALSE,,,,0.65,0.5,0.9,0.9,1,1,stage/grass.csv,<<0;10100>>,<>,<>,<>,<>,<>,
17,10201,,2,<53472;0;53472;0;70232;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,1,1,stage/grass.csv,<>,<>,<>,<>,<>,<>,
19,10202,,1,<0;0;50551;50301;0;50301>,,FALSE,,,,0.65,0.5,0.9,0.9,1,1,stage/sss.csv,<<0;10110>>,<>,<>,<>,<>,<>,
20,10202,,2,<60541;50791;60541;0;70803;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,1,1,stage/sss.csv,<>,<>,<>,<>,<>,<>,
22,10203,,1,<50062;0;50062;50071;0;50071>,,FALSE,,,,0.65,0.5,0.9,0.9,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
23,10203,,2,<61861;0;61861;0;70632;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
25,10204,,1,<51612;50472;0;51171;0;51171>,,FALSE,,,,0.65,0.5,0.9,0.9,1,1,stage/sg2.csv,<<0;10120>>,<>,<>,<>,<>,<>,
26,10204,,2,<50021;60001;50011;0;70092;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,1,1,stage/s.csv,<<99;10130>>,<>,<>,<>,<>,<>,
28,10205,,1,<52481;0;52481;50691;0;50691>,,FALSE,,,,0.65,0.5,0.9,0.9,1,1,stage/s.csv,<<0;10140>>,<>,<>,<>,<>,<>,
29,10205,,2,<50451;0;50451;0;73293;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.9,0.9,1,1,stage/shm.csv,<>,<>,<>,<>,<>,<>,
31,10206,,1,<0;0;53291;51611;0;51611>,,FALSE,,,,0.65,0.5,0.9,0.9,1,1,stage/shm.csv,<<0;10150>>,<>,<>,<>,<>,<>,
32,10206,,2,<0;0;0;0;181303;0>,<0;0;0;0;1;0>,TRUE,,,,0.65,0.5,0.8,0.8,0.8,0.8,stage/shm.csv,<<99;10160>>,<>,<>,<>,<>,<>,
34,10301,,1,<50051;0;50051;52681;0;52681>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/grass.csv,<<0;10200>>,<>,<>,<>,<>,<>,
35,10301,,2,<0;0;0;50111;70122;50121>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/grass.csv,<>,<>,<>,<>,<>,<>,
37,10302,,1,<0;51351;0;51292;0;51292>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
38,10302,,2,<50281;60281;50281;0;71293;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
40,10303,,1,<53542;0;53542;50471;0;50471>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/golden.csv,<>,<>,<>,<>,<>,<>,
41,10303,,2,<52012;0;52012;60191;71353;60191>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/golden.csv,<>,<>,<>,<>,<>,<>,
43,10304,,1,<0;50061;50332;50061;51171;50061>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/qf.csv,<<0;10210>>,<>,<>,<>,<>,<>,
44,10304,,2,<0;50332;0;0;70771;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/qf.csv,<>,<>,<>,<>,<>,<>,
46,10305,,1,<50071;0;50071;50601;0;50601>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
47,10305,,2,<60102;0;60102;50451;70192;50451>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
49,10306,,1,<50031;0;0;51292;51292;51292>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
50,10306,,2,<50052;60262;50052;0;73283;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
52,10307,,1,<50132;0;50132;51421;0;51421>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/ty.csv,<>,<>,<>,<>,<>,<>,
53,10307,,2,<50451;0;50451;60263;70263;60263>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/ty.csv,<>,<>,<>,<>,<>,<>,
55,10308,,1,<0;50261;0;50393;0;50771>,,FALSE,,,,0.7,0.5,0.9,0.9,1,1,stage/nbcity.csv,<<0;10220>>,<>,<>,<>,<>,<>,
56,10308,,2,<0;0;0;0;180761;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.9,0.9,1,1,stage/nbcity.csv,<<99;10230>>,<>,<>,<>,<>,<>,
58,10401,,1,<50691;0;53291;50691;0;53291>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<<0;10300>>,<>,<>,<>,<>,<>,
59,10401,,2,<60022;0;60022;0;70012;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<>,<>,<>,<>,<>,<>,
61,10402,,1,<0;50331;0;50012;50012;50012>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<>,<>,<>,<>,<>,<>,
62,10402,,2,<50011;0;50011;0;73342;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<>,<>,<>,<>,<>,<>,
64,10403,,1,<53291;0;53291;50062;0;50062>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
65,10403,,2,<50601;0;50601;0;70793;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
67,10404,,1,<0;50471;0;50471;51352;50471>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<<0;10310>>,<>,<>,<>,<>,<>,
68,10404,,2,<0;53292;0;0;70741;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
70,10405,,1,<0;50071;0;0;0;0>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/shm.csv,<>,<>,<>,<>,<>,<>,
71,10405,,2,<63291;0;63291;0;71612;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/shm.csv,<>,<>,<>,<>,<>,<>,
73,10406,,1,<0;50602;0;50061;50061;50061>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
74,10406,,2,<51611;61611;51611;0;70603;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
76,10407,,1,<50332;0;50332;52482;0;52482>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
77,10407,,2,<53341;0;53341;0;71303;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
79,10408,,1,<0;50601;0;50741;0;50741>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/qf.csv,<<0;10320>>,<>,<>,<>,<>,<>,
80,10408,,2,<0;0;0;0;181271;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/qf.csv,<>,<>,<>,<>,<>,<>,
82,10501,,1,<0;50012;0;53292;0;53292>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,<>,<>,<>,<>,<>,<>,
83,10501,,2,<52012;52012;52012;0;0;0>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,<>,<>,<>,<>,<>,<>,
84,10501,,3,<60461;0;60461;0;73562;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,<>,<>,<>,<>,<>,<>,
85,10502,,1,<0;50022;52011;50022;50591;50022>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/xcdg.csv,<>,<>,<>,<>,<>,<>,
86,10502,,2,<52271;50481;52271;50012;0;50012>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/xcdg.csv,<>,<>,<>,<>,<>,<>,
87,10502,,3,<62271;0;62271;0;73353;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/xcdg.csv,<>,<>,<>,<>,<>,<>,
88,10503,,1,<50002;53282;51171;50002;0;51171>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
89,10503,,2,<50092;0;50011;50092;0;50011>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
90,10503,,3,<63431;0;63431;0;70891;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
91,10504,,1,<50012;53281;0;50392;50392;50392>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
92,10504,,2,<0;50043;0;50302;50302;50302>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
93,10504,,3,<53281;60692;53281;0;71813;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
94,10505,,1,<50092;50092;50092;50052;0;50052>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
95,10505,,2,<0;53301;0;50272;50131;50272>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
96,10505,,3,<0;0;0;60392;70131;60392>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
97,10506,,1,<0;53542;50892;53542;51421;53542>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
98,10506,,2,<53301;0;53301;51351;0;51351>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
99,10506,,3,<60481;0;60481;0;70393;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,<>,<>,<>,<>,<>,<>,
100,10507,,1,<51292;50071;53301;51292;0;53301>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
101,10507,,2,<50071;50132;50481;50071;50132;50481>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
102,10507,,3,<60131;0;60131;0;71392;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
103,10508,,1,<50061;50272;0;50001;50001;50001>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg2.csv,<>,<>,<>,<>,<>,<>,
104,10508,,2,<50471;50891;50471;50021;0;50021>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg2.csv,<>,<>,<>,<>,<>,<>,
105,10508,,3,<51422;0;51422;63302;71394;63302>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sg2.csv,<>,<>,<>,<>,<>,<>,
106,10509,,1,<50272;50272;50272;50062;0;50062>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
107,10509,,2,<50891;50891;50891;50071;50301;50071>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
108,10509,,3,<63411;0;63411;0;70263;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
109,10510,,1,<0;50011;50022;50011;50002;50011>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<>,<>,<>,<>,<>,<>,
110,10510,,2,<0;50551;0;53501;0;53501>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<>,<>,<>,<>,<>,<>,
111,10510,,3,<0;0;0;0;180761;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,<>,<>,<>,<>,<>,<>,
112,10601,,1,<50892;53542;50092;50892;0;50092>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
113,10601,,2,<50101;52012;50022;50101;52012;50022>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
114,10601,,3,<60191;60191;60191;0;70102;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
115,10602,,1,<50592;50331;0;53541;53541;53541>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
116,10602,,2,<52481;51171;52481;53301;53301;53301>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
117,10602,,3,<52301;61352;52301;0;70493;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
118,10603,,1,<50602;50602;50602;52011;0;52011>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
119,10603,,2,<0;53542;0;53301;50481;53301>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
120,10603,,3,<0;0;0;0;70451;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
121,10604,,1,<0;53542;50021;53542;50691;53542>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
122,10604,,2,<51612;50043;51612;50043;52011;50043>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
123,10604,,3,<62011;0;62011;0;72723;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
124,10605,,1,<50601;50301;50471;50601;0;50471>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sss.csv,<>,<>,<>,<>,<>,<>,
125,10605,,2,<53282;50272;50602;53282;50272;50602>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sss.csv,<>,<>,<>,<>,<>,<>,
126,10605,,3,<60262;63282;60262;0;72612;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sss.csv,<>,<>,<>,<>,<>,<>,
127,10606,,1,<50392;50892;0;50451;50451;50451>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
128,10606,,2,<53472;50792;53472;50451;50451;50451>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
129,10606,,3,<0;60482;0;0;181503;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zz.csv,<>,<>,<>,<>,<>,<>,
130,10607,,1,<50391;50391;50391;50262;0;50262>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
131,10607,,2,<51421;51421;51421;0;50261;0>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
132,10607,,3,<60371;0;60371;0;70472;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
133,10608,,1,<0;50301;50792;50301;51292;50301>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/xcdg.csv,<>,<>,<>,<>,<>,<>,
134,10608,,2,<50392;50791;50392;50791;0;50791>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/xcdg.csv,<>,<>,<>,<>,<>,<>,
135,10608,,3,<61292;0;61292;60082;72633;60082>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/xcdg.csv,<>,<>,<>,<>,<>,<>,
136,10609,,1,<50331;50602;50391;50331;0;50391>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/lightred.csv,<>,<>,<>,<>,<>,<>,
137,10609,,2,<50012;51351;51611;50012;51351;51611>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/lightred.csv,<>,<>,<>,<>,<>,<>,
138,10609,,3,<60461;60461;60461;0;71253;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/lightred.csv,<>,<>,<>,<>,<>,<>,
139,10610,,1,<51171;50452;0;50331;50331;50331>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
140,10610,,2,<50302;52481;50302;51612;51612;51612>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
141,10610,,3,<0;0;0;0;180753;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
142,10701,,1,<50301;50301;50301;50471;0;50471>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
143,10701,,2,<52481;52481;52481;50691;53292;50691>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
144,10701,,3,<61353;0;60331;61353;70072;60331>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
145,10702,,1,<0;51612;50271;51612;53542;51612>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
146,10702,,2,<50471;50101;50471;50101;53472;50101>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
147,10702,,3,<60092;0;60092;63282;70053;63282>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,<>,<>,<>,<>,<>,<>,
148,10703,,1,<50131;53291;50792;50131;0;50792>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg2.csv,<>,<>,<>,<>,<>,<>,
149,10703,,2,<50131;52481;53471;50131;52481;53471>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sg2.csv,<>,<>,<>,<>,<>,<>,
150,10703,,3,<60482;60082;60482;0;70113;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sg2.csv,<>,<>,<>,<>,<>,<>,
151,10704,,1,<50601;50092;0;53302;53302;53302>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ty.csv,<>,<>,<>,<>,<>,<>,
152,10704,,2,<50071;50131;50071;50452;50452;50452>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ty.csv,<>,<>,<>,<>,<>,<>,
153,10704,,3,<52012;0;52012;60571;70572;60571>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/ty.csv,<>,<>,<>,<>,<>,<>,
154,10705,,1,<53542;53542;53542;50021;0;50021>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/river.csv,<>,<>,<>,<>,<>,<>,
155,10705,,2,<52271;52271;52271;50391;50591;50391>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/river.csv,<>,<>,<>,<>,<>,<>,
156,10705,,3,<61352;0;60793;61352;72891;60793>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/river.csv,<>,<>,<>,<>,<>,<>,
157,10706,,1,<0;50392;53291;50392;50452;50392>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
158,10706,,2,<51611;51421;51611;51421;53541;51421>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
159,10706,,3,<60881;0;60881;0;180731;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,<>,<>,<>,<>,<>,<>,
160,10707,,1,<50601;50891;50043;50601;0;50043>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
161,10707,,2,<50021;50272;51292;50021;50272;51292>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
162,10707,,3,<63542;0;63542;0;73511;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
163,10708,,1,<50392;50551;0;50002;50002;50002>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
164,10708,,2,<51351;0;51351;50002;50002;50002>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
165,10708,,3,<0;63021;0;0;180721;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
166,10709,,1,<53282;53282;53282;52011;0;52011>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
167,10709,,2,<50052;50052;50052;53472;53472;53472>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
168,10709,,3,<61081;0;61081;0;72483;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,<>,<>,<>,<>,<>,<>,
169,10710,,1,<0;50451;53292;50451;50392;50451>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/red.csv,<>,<>,<>,<>,<>,<>,
170,10710,,2,<50601;51292;50601;53431;0;53431>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/red.csv,<>,<>,<>,<>,<>,<>,
171,10710,,3,<0;0;0;0;181971;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/red.csv,<>,<>,<>,<>,<>,<>,
172,10801,,1,<50551;0;53292;50551;0;53292>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
173,10801,,2,<50331;53291;50471;50331;53291;50471>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
174,10801,,3,<63302;63302;63302;0;70464;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/green.csv,<>,<>,<>,<>,<>,<>,
175,10802,,1,<50301;50392;0;50891;50891;50891>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
176,10802,,2,<50022;0;50022;0;50592;0>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
177,10802,,3,<50371;60371;50371;0;70372;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,<>,<>,<>,<>,<>,<>,
178,10803,,1,<51421;51421;51421;50891;0;50891>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/river.csv,<>,<>,<>,<>,<>,<>,
179,10803,,2,<50092;50092;50092;50022;50132;50022>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/river.csv,<>,<>,<>,<>,<>,<>,
180,10803,,3,<0;0;0;0;70552;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/river.csv,<>,<>,<>,<>,<>,<>,
181,10804,,1,<0;50071;53541;50071;50331;50071>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,<>,<>,<>,<>,<>,<>,
182,10804,,2,<50062;50021;50062;50021;50602;50021>,,FALSE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,<>,<>,<>,<>,<>,<>,
183,10804,,3,<0;0;0;0;71253;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,<>,<>,<>,<>,<>,<>,
