变量名,_beizhu,starSkillList,cardExchangeRate,fragExchangeRate,universalCards
611,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
621,,<>,0,0,<>
631,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
641,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
651,,<>,0,0,<>
661,,<>,0,0,<>
671,,<>,0,0,<>
681,,<>,0,0,<>
691,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
701,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
702,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
711,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
721,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
731,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
741,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
751,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
761,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
763,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
771,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
781,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
791,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
801,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
811,,<>,0,0,<>
821,,<>,0,0,<>
831,,<>,0,0,<>
841,,<>,0,0,<>
851,,<>,0,0,<>
861,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
871,,<>,0,0,<>
881,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
891,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
901,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
902,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
911,,<>,0,0,<>
921,,<>,0,0,<>
931,,<>,0,0,<>
941,,<>,0,0,<>
951,,<>,0,0,<>
961,,<>,0,0,<>
971,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
981,,<>,0,0,<>
991,,<>,0,0,<>
1001,,<>,0,0,<>
1011,,<>,0,0,<>
1021,,<>,0,0,<>
1031,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1041,,<>,0,0,<>
1051,,<>,0,0,<>
1061,,<>,0,0,<>
1071,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1081,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1091,,<>,0,0,<>
1101,,<>,0,0,<>
1111,,<>,0,0,<>
1121,,<>,0,0,<>
1131,,<>,0,0,<>
1141,,<>,0,0,<>
1151,,<>,0,0,<>
1161,,<>,0,0,<>
1171,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1181,,<>,0,0,<>
1191,,<>,0,0,<>
1201,,<>,0,0,<>
1211,,<>,0,0,<>
1221,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1231,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1241,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1251,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1254,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1261,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1271,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1281,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1291,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1292,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1293,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1294,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1301,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1311,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1321,,<>,0,0,<>
1331,,<>,0,0,<>
1341,,<>,0,0,<>
1351,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
1361,,<>,0,0,<>
1371,,<>,0,0,<>
1381,,<>,0,0,<>
1391,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1401,,<>,0,0,<>
1411,,<>,0,0,<>
1421,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1431,,<>,0,0,<>
1441,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1451,,<>,0,0,<>
1461,,<>,0,0,<>
1471,,<>,0,0,<>
1481,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1491,,<>,0,0,<>
1501,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1511,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1512,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1531,,<>,0,0,<>
1541,,<>,0,0,<>
1551,,<>,0,0,<>
1561,,<>,0,0,<>
1571,,<>,0,0,<>
1581,,<>,0,0,<>
1591,,<>,0,0,<>
1601,,<>,0,0,<>
1611,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1621,,<>,0,0,<>
1631,,<>,0,0,<>
1641,,<>,0,0,<>
1651,,<>,0,0,<>
1661,,<>,0,0,<>
1671,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1672,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1681,,<>,0,0,<>
1691,,<>,0,0,<>
1701,,<>,0,0,<>
1711,,<>,0,0,<>
1721,,<>,0,0,<>
1731,,<>,0,0,<>
1741,,<>,0,0,<>
1751,,<>,0,0,<>
1761,,<>,0,0,<>
1771,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1781,,<>,0,0,<>
1791,,<>,0,0,<>
1801,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1811,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1821,,<>,0,0,<>
1831,,<>,0,0,<>
1841,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1851,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1861,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
1871,,<>,0,0,<>
1881,,<>,0,0,<>
1891,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1901,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1911,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1921,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1931,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1941,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1951,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1961,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1971,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1981,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1991,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2001,,<>,0,0,<>
2011,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2021,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2022,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2023,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2031,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2041,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2042,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2043,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2051,,<>,0,0,<>
2061,,<>,0,0,<>
2071,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2081,,<>,0,0,<>
2091,,<>,0,0,<>
2101,,<>,0,0,<>
2111,,<>,0,0,<>
2121,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2131,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2132,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2141,,<>,0,0,<>
2151,,<>,0,0,<>
2161,,<>,0,0,<>
2171,,<>,0,0,<>
2181,,<>,0,0,<>
2191,,<>,0,0,<>
2201,,<>,0,0,<>
2211,,<>,0,0,<>
2221,,<>,0,0,<>
2231,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2241,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2251,,<>,0,0,<>
2261,,<>,0,0,<>
2271,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2281,,<>,0,0,<>
2291,,<>,0,0,<>
2301,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2311,,<>,0,0,<>
2321,,<>,0,0,<>
2331,,<>,0,0,<>
2341,,<>,0,0,<>
2351,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2361,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2371,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2381,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2391,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2401,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2411,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2421,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2431,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2441,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2451,,<>,0,0,<>
2461,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2471,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2481,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2491,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2492,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2493,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2501,,<>,0,0,<>
2511,,<>,0,0,<>
2521,,<>,0,0,<>
2531,,<>,0,0,<>
2541,,<>,0,0,<>
2551,,<>,0,0,<>
2561,,<>,0,0,<>
2571,,<>,0,0,<>
2581,,<>,0,0,<>
2591,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2601,,<>,0,0,<>
2611,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2621,,<>,0,0,<>
2631,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2641,,<>,0,0,<>
2651,,<>,0,0,<>
2661,,<>,0,0,<>
2671,,<>,0,0,<>
2681,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2691,,<>,0,0,<>
2701,,<>,0,0,<>
2711,,<>,0,0,<>
2721,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2731,,<>,0,0,<>
2741,,<>,0,0,<>
2751,,<>,0,0,<>
2761,,<>,0,0,<>
2771,,<>,0,0,<>
2781,,<>,0,0,<>
2791,,<>,0,0,<>
2801,,<>,0,0,<>
2811,,<>,0,0,<>
2821,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2831,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2841,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2851,,<>,0,0,<>
2861,,<>,0,0,<>
2871,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2881,,<>,0,0,<>
2891,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2901,,<>,0,0,<>
2911,,<>,0,0,<>
2921,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2922,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2931,,<>,0,0,<>
2941,,<>,0,0,<>
2951,,<>,0,0,<>
2961,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2971,,<>,0,0,<>
2981,,<>,0,0,<>
2991,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3001,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3011,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3021,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3031,,<>,0,0,<>
3041,,<>,0,0,<>
3051,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3052,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3061,,<>,0,0,<>
3071,,<>,0,0,<>
3081,,<>,0,0,<>
3091,,<>,0,0,<>
3101,,<>,0,0,<>
3111,,<>,0,0,<>
3121,,<>,0,0,<>
3131,,<>,0,0,<>
3141,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3151,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3161,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3171,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3181,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3191,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3201,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3211,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3221,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3231,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3241,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3244,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3251,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3252,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3261,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3271,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3281,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3291,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3301,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3311,,<>,0,0,<>
3321,,<>,0,0,<>
3331,,<>,0,0,<>
3341,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3351,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3361,,<>,0,0,<>
3371,,<>,0,0,<>
3381,,<>,0,0,<>
3401,,<>,0,0,<>
3411,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3421,,<>,0,0,<>
3431,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3441,,<>,0,0,<>
3451,,<>,0,0,<>
3461,,<>,0,0,<>
3471,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3481,,<>,0,0,<>
3491,,<>,0,0,<>
3501,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3511,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3521,,<>,0,0,<>
3531,,<>,0,0,<>
3541,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3551,,<>,0,0,<>
3561,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
3571,,<>,0,0,<>
3581,,<>,0,0,<>
3591,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3601,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3611,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3621,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3631,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3641,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3651,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3661,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3671,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3672,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3673,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3681,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3691,,<>,0,0,<>
3701,,<>,0,0,<>
3711,,<>,0,0,<>
3721,,<>,0,0,<>
3731,,<>,0,0,<>
3741,,<>,0,0,<>
3751,,<>,0,0,<>
3761,,<>,0,0,<>
3771,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3781,,<>,0,0,<>
3791,,<>,0,0,<>
3801,,<>,0,0,<>
3811,,<>,0,0,<>
3821,,<>,0,0,<>
3831,,<>,0,0,<>
3841,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3851,,<>,0,0,<>
3861,,<>,0,0,<>
3871,,<>,0,0,<>
3881,,<>,0,0,<>
3891,,<>,0,0,<>
3901,,<>,0,0,<>
3911,,<>,0,0,<>
3921,,<>,0,0,<>
3931,,<>,0,0,<>
3941,,<>,0,0,<>
3951,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3961,,<>,0,0,<>
3971,,<>,0,0,<>
3981,,<>,0,0,<>
3991,,<>,0,0,<>
4001,,<>,0,0,<>
4011,,<>,0,0,<>
4021,,<>,0,0,<>
4023,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4024,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4031,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4041,,<>,0,0,<>
4051,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4061,,<>,0,0,<>
4071,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4081,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4091,,<>,0,0,<>
4101,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4111,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4121,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4131,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4141,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4151,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4161,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4171,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
4181,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4182,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4191,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4192,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4201,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4211,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4221,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4231,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4241,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4251,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4252,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4253,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4261,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4271,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4281,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4291,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4301,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4302,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4303,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4311,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4312,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4313,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4321,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4322,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4323,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4331,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4341,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4342,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4343,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4351,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4361,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4371,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4372,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4373,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4381,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4382,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4383,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4391,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4401,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4411,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4421,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4431,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4432,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4433,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4441,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4442,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4443,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4451,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4461,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4481,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4491,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4492,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
4493,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
7001,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
7021,,<74001;74002;74003;74004;74005;74006>,50,1,<9003>
7031,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7041,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7051,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7061,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7071,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7081,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7091,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7101,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7102,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7111,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7121,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8101,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8102,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8103,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8104,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8105,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8106,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8107,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9001,,<>,0,0,<>
9002,,<>,0,0,<>
9003,,<>,0,0,<>
9011,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9013,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9021,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9041,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9051,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9061,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9071,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9081,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9091,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9101,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9111,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9121,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9131,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9141,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9151,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9161,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9171,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9181,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9191,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9201,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9211,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9221,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
9231,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
