变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6,levelExp7
101,26521,31824,39780,53040,66301,69531,69531
102,26786,32143,40178,53570,66964,70226,70226
103,27054,32464,40580,54106,67633,70928,70928
104,27324,32789,40986,54647,68310,71638,71638
105,27597,33117,41396,55194,68993,72354,72354
106,27873,33448,41809,55746,69683,73077,73077
107,28152,33782,42228,56303,70380,73808,73808
108,28434,34120,42650,56866,71083,74546,74546
109,28718,34461,43076,57435,71794,75292,75292
110,29005,34806,43507,58009,72512,76045,76045
111,29295,35154,43942,58589,73237,76805,76805
112,29588,35506,44382,59175,73970,77573,77573
113,29884,35861,44825,59767,74709,78349,78349
114,30183,36219,45274,60364,75457,79132,79132
115,30485,36581,45726,60968,76211,79924,79924
116,30790,36947,46184,61578,76973,80723,80723
117,31097,37317,46645,62194,77743,81530,81530
118,31408,37690,47112,62815,78520,82345,82345
119,31722,38067,47583,63444,79306,83169,83169
120,32040,38447,48059,64078,80099,84001,84001
121,32360,38832,48539,64719,80900,84841,84841
122,32684,39220,49025,65366,81709,85689,85689
123,33011,39612,49515,66020,82526,86546,86546
124,33341,40009,50010,66680,83351,87411,87411
125,33674,40409,50510,67347,84184,88286,88286
126,34011,40813,51015,68020,85026,89168,89168
127,34351,41221,51526,68700,85877,90060,90060
128,34694,41633,52041,69387,86735,90961,90961
129,35041,42049,52561,70081,87603,91870,91870
130,35392,42470,53087,70782,88479,92789,92789
131,35746,42895,53618,71490,89363,93717,93717
132,36103,43323,54154,72205,90257,94654,94654
133,36464,43757,54696,72927,91160,95601,95601
134,36829,44194,55242,73656,92071,96557,96557
135,37197,44636,55795,74393,92992,97522,97522
136,37569,45083,56353,75137,93922,98497,98497
137,37945,45533,56916,75888,94861,99482,99482
138,38324,45989,57486,76647,95810,100477,100477
139,38707,46449,58060,77413,96768,101482,101482
140,39095,46913,58641,78187,97736,102497,102497
141,39485,47382,59227,78969,98713,103522,103522
142,39880,47856,59820,79759,99700,104557,104557
143,40279,48335,60418,80557,100697,105602,105602
144,40682,48818,61022,81362,101704,106659,106659
145,41089,49306,61632,82176,102721,107725,107725
146,41500,49799,62249,82998,103748,108802,108802
147,41915,50297,62871,83828,104786,109890,109890
148,42334,50800,63500,84666,105834,110989,110989
149,42757,51308,64135,85512,106892,112099,112099
150,43185,51821,64776,86368,107961,113220,113220
151,43617,52339,65424,87231,109040,114352,114352
152,44053,52863,66078,88104,110131,115496,115496
153,44493,53392,66739,88985,111232,116651,116651
154,44938,53925,67406,89874,112344,117817,117817
155,45388,54465,68080,90773,113468,118996,118996
156,45841,55009,68761,91681,114603,120185,120185
157,46300,55559,69449,92598,115749,121387,121387
158,46763,56115,70143,93524,116906,122601,122601
159,47230,56676,70845,94459,118075,123827,123827
160,47703,57243,71553,95404,119256,125066,125066
161,48180,57815,72269,96358,120448,126316,126316
162,48662,58394,72991,97321,121653,127579,127579
163,49148,58977,73721,98294,122870,128855,128855
164,49640,59567,74458,99277,124098,130144,130144
165,50136,60163,75203,100270,125339,131445,131445
166,50637,60765,75955,101273,126593,132760,132760
167,51144,61372,76715,102286,127858,134087,134087
168,51655,61986,77482,103308,129137,135428,135428
169,52172,62606,78257,104341,130428,136782,136782
170,52694,63232,79039,105385,131733,138150,138150
171,53220,63864,79830,106439,133050,139532,139532
172,53753,64503,80628,107503,134381,140927,140927
173,54290,65148,81434,108578,135724,142336,142336
174,54833,65799,82249,109664,137082,143760,143760
175,55381,66457,83071,110761,138452,145197,145197
176,55935,67122,83902,111868,139837,146649,146649
177,56495,67793,84741,112987,141235,148116,148116
178,57060,68471,85588,114117,142648,149597,149597
179,57630,69156,86444,115258,144074,151093,151093
180,58206,69847,87308,116410,145515,152604,152604
181,58789,70546,88182,117575,146970,154130,154130
182,59376,71251,89063,118750,148440,155671,155671
183,59970,71964,89954,119938,149924,157228,157228
184,60570,72683,90854,121137,151423,158800,158800
185,61176,73410,91762,122349,152938,160388,160388
186,61787,74144,92680,123572,154467,161992,161992
187,62405,74886,93606,124808,156012,163612,163612
188,63029,75635,94543,126056,157572,165248,165248
189,63660,76391,95488,127316,159147,166900,166900
190,64296,77155,96443,128590,160739,168569,168569
191,64939,77926,97407,129875,162346,170255,170255
192,65588,78706,98381,131174,163970,171958,171958
193,66244,79493,99365,132486,165610,173677,173677
194,66907,80288,100359,133811,167266,175414,175414
195,67576,81090,101362,135149,168938,177168,177168
196,68252,81901,102376,136500,170628,178940,178940
197,68934,82720,103400,137865,172334,180729,180729
198,69623,83548,104434,139244,174057,182537,182537
199,70320,84383,105478,140637,175798,184362,184362
200,71023,85227,106533,142043,177556,186205,186205
